time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
24,4,6.0,0,570,3.7638532500000004,,,,,,,,
49,8,6.125,0,662,3.0974085000000002,,,,,,,,
67,12,5.583333333333333,0,694,2.828256666666667,,,,,,,,
94,16,5.875,0,717,2.7524931875,,,,,,,,
113,20,5.65,0,366,2.6237820499999995,19.738805770874023,-0.06339371204376221,12,0.9966778755187988,-11.20427131652832,0.0003,,
130,24,5.416666666666667,0,243,2.4642800833333336,20.982135772705078,-0.16874772310256958,29,0.991492748260498,-12.743064880371094,0.0003,,
149,28,5.321428571428571,0,193,2.4252478928571426,22.54292869567871,-0.28735530376434326,48,0.9857118725776672,-13.798977851867676,0.0003,,
171,32,5.34375,1,161,2.28893575,21.73135757446289,-0.423004150390625,70,0.9790816903114319,-14.264813423156738,0.0003,,
199,36,5.527777777777778,1,141,2.3155768055555552,24.348037719726562,-0.5909967422485352,98,0.970748245716095,-14.253789901733398,0.0003,,
223,40,5.575,1,133,2.2714164250000004,21.03533363342285,-0.7405745387077332,122,0.9636878967285156,-15.015960693359375,0.0003,,
244,44,5.545454545454546,1,126,2.3095260909090913,21.553380966186523,-0.8674346208572388,143,0.957566499710083,-15.77176284790039,0.0003,,
266,48,5.541666666666667,2,119,2.3076959375,14.44685173034668,-0.9954381585121155,165,0.9512119889259338,-15.48095703125,0.0003,,
292,52,5.615384615384615,2,115,2.225737807692308,9.225838661193848,-1.153624415397644,191,0.9437756538391113,-16.875492095947266,0.0003,,
314,56,5.607142857142857,2,112,2.2032084285714286,5.367312431335449,-1.271553635597229,213,0.9375398755073547,-16.593246459960938,0.0003,,
337,60,5.616666666666666,3,109,2.168461166666667,3.4255762100219727,-1.4089477062225342,236,0.9310808777809143,-17.541566848754883,0.0003,,
358,64,5.59375,3,107,2.167048546875,3.9133760929107666,-1.5478668212890625,257,0.9252280592918396,-18.600332260131836,0.0003,,
381,68,5.602941176470588,3,106,2.184894132352941,2.717593193054199,-1.6804389953613281,280,0.9188598990440369,-19.309890747070312,0.0003,,
401,72,5.569444444444445,3,104,2.1721752083333334,3.30562686920166,-1.8047469854354858,300,0.913355827331543,-18.908855438232422,0.0003,,
421,76,5.5394736842105265,4,103,2.163666565789473,2.190153121948242,-1.922446608543396,320,0.9078878164291382,-19.88960075378418,0.0003,,
443,80,5.5375,4,101,2.2061265874999996,3.604076862335205,-2.061758041381836,342,0.9019091129302979,-19.469314575195312,0.0003,,
473,84,5.630952380952381,4,100,2.22675125,3.222691535949707,-2.217513084411621,372,0.8938207626342773,-19.971981048583984,0.0003,,
498,88,5.659090909090909,5,99,2.151481693181818,3.3840034008026123,-2.387251377105713,397,0.8871420621871948,-19.785816192626953,0.0003,,
519,92,5.641304347826087,5,98,2.1279902065217393,3.440646171569824,-2.486891984939575,418,0.8815708756446838,-20.290760040283203,0.0003,,
537,96,5.59375,5,97,2.1438100729166667,5.6209635734558105,-2.6338915824890137,436,0.8768308758735657,-20.418807983398438,0.0003,,
