time/episodes,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,eval/mean_reward,eval/mean_ep_length
4,3000,0.11044930999539793,0.001,784.0,-1339.4351100000001,3136,13,-0.2561340645514429,229,,
,4136,0.07908896991983055,0.001,,,5000,,-1.4408382299095392,,-2184.4251859784126,1000.0
8,6136,0.24422793712466956,0.001,770.25,-1411.4742206249998,6162,36,-1.8300839176736772,171,,
12,7214,0.3637215923070908,0.001,601.9166666666666,-1020.5789904999998,7223,41,-3.7985274229049684,175,,
16,7633,0.9645836672612599,0.001,492.125,-869.0506250625,7874,43,-4.857199157987322,182,,
20,9140,1.3366542244255544,0.001,459.5,-751.2875513,9190,49,-5.417959833621979,184,,
24,9318,1.8409878492355347,0.001,389.5833333333333,-638.0590176666666,9350,50,-4.9539161920547485,185,,
28,9404,2.0222292448344983,0.001,336.32142857142856,-552.1587394285714,9417,50,-4.562077188491822,185,,
32,9545,2.4778965057111253,0.001,298.75,-490.49689040625,9560,51,-3.9773934078216553,185,,
36,9646,1.9252934853235881,0.001,268.5,-440.8172549166667,9666,52,-4.269658803939819,185,,
40,9770,2.658251289278269,0.001,245.5,-404.6006529499999,9820,52,-3.7683696150779724,186,,
,9820,2.748760242462158,0.001,,,10000,,-3.3960295486450196,,601.3116784716374,903.2
44,12820,1.5093467416763306,0.001,314.09090909090907,-338.4178656590908,13820,74,-3.7948220500946044,185,,
,14820,1.3488863399624824,0.001,,,15000,,-3.861908897161484,,487.57301623243836,908.8
48,16820,1.3036729469895363,0.001,371.25,-274.06120100000004,17820,102,-3.8821588430404663,173,,
,19820,1.1257459895610809,0.001,,,20000,,-3.743000521183014,,221.34626563839848,733.8
52,20820,1.1543997972011566,0.001,419.61538461538464,-223.83870848076927,21820,127,-3.301570736527443,170,,
,24820,0.9058934571444989,0.001,,,25000,,-4.262822738409042,,363.2409493009676,723.1
56,,,,461.07142857142856,-185.41636451785715,25820,151,,170,,
60,28820,0.8013078711628914,0.001,497.0,-124.91544443333333,29820,169,-5.785282823562622,175,,
,29820,0.7966493827402592,0.001,,,30000,,-6.353630834579468,,348.36773529502096,633.4
64,32820,0.7061118451952935,0.001,528.4375,-86.94656235937501,33820,192,-7.514837036132812,175,,
