rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,,,78000,,-62.34417481994629,0.001,12.041330773293971,77396,1000.0,1000.0
,,,,79000,,-62.59269264984131,0.001,8.124127048492431,78396,1000.0,1000.0
,,,,80000,,-62.9322342376709,0.001,5.363392823398113,79396,1000.0,1000.0
,,,,81000,,-63.08551153564453,0.001,6.173457279890775,80396,1000.0,1000.0
643.45,684,805,643.45,81494,101,,,,,,
,,,,82000,,-63.19551317596436,0.001,7.111447909474373,81396,1000.0,1000.0
,,,,83000,,-63.531103073120114,0.001,17.422895700097083,82396,1000.0,1000.0
,,,,84000,,-63.539091438293454,0.001,39.62877401351929,83396,1000.0,1000.0
,,,,85000,,-63.41735722351074,0.001,56.6573586564064,84396,1000.0,1000.0
679.56,688,852,679.56,85494,100,,,,,,
,,,,86000,,-63.24000385284424,0.001,98.92912534713746,85396,1000.0,1000.0
,,,,87000,,-62.30922444915772,0.001,127.55192541885376,86396,1000.0,1000.0
,,,,88000,,-62.211957107543945,0.001,118.66635747718811,87396,1000.0,1000.0
,,,,89000,,-62.24358512115479,0.001,115.38119173240662,88396,1000.0,1000.0
715.13,692,899,715.13,89494,99,,,,,,
,,,,90000,,-62.51427841949463,0.001,123.82964656829834,89396,1000.0,1000.0
,,,,91000,,-62.6922334060669,0.001,117.47195265388488,90396,1000.0,1000.0
,,,,92000,,-63.086701347351074,0.001,68.66102176475525,91396,1000.0,1000.0
,,,,93000,,-62.972722007751464,0.001,51.62722699546814,92396,1000.0,1000.0
750.58,696,945,750.58,93494,98,,,,,,
,,,,94000,,-63.02329719543457,0.001,18.104555861353873,93396,1000.0,1000.0
,,,,95000,,-63.29891175079346,0.001,6.5760502365827564,94396,1000.0,1000.0
,,,,96000,,-63.62978630065918,0.001,5.7259683270454405,95396,1000.0,1000.0
,,,,97000,,-63.99772855377197,0.001,5.9064006834328175,96396,1000.0,1000.0
787.17,700,993,787.17,97494,98,,,,,,
,,,,98000,,-64.37387035369873,0.001,4.402375729590655,97396,1000.0,1000.0
,,,,99000,,-65.04696306610107,0.001,4.176285719484091,98396,1000.0,1000.0
,,,,100000,,-65.35772496032715,0.001,4.523272451221943,99396,1000.0,1000.0
,,,,101000,,-64.74347868347168,0.001,5.61644717669487,100396,1000.0,1000.0
823.4,704,1039,823.4,101494,97,,,,,,
,,,,102000,,-64.74321056365967,0.001,5.2155669747293,101396,1000.0,1000.0
,,,,103000,,-63.52867335510254,0.001,6.22336392647028,102396,1000.0,1000.0
,,,,104000,,-62.38456398773194,0.001,5.204838126659394,103396,1000.0,1000.0
,,,,105000,,-61.480373268127444,0.001,3.823976368457079,104396,1000.0,1000.0
859.75,708,1086,859.75,105494,97,,,,,,
,,,,106000,,-60.29204933929444,0.001,6.005151212871075,105396,1000.0,1000.0
,,,,107000,,-59.20817916870117,0.001,6.957588630080223,106396,1000.0,1000.0
,,,,108000,,-58.91722503662109,0.001,6.394825943440199,107396,1000.0,1000.0
,,,,109000,,-58.832116157531736,0.001,5.96327133834362,108396,1000.0,1000.0
895.62,712,1132,895.62,109494,96,,,,,,
,,,,110000,,-59.649166908264164,0.001,6.59333331155777,109396,1000.0,1000.0
,,,,111000,,-60.594178718566894,0.001,6.416040982067585,110396,1000.0,1000.0
,,,,112000,,-61.3386111907959,0.001,5.359794932633639,111396,1000.0,1000.0
,,,,113000,,-61.62361164855957,0.001,4.095973644345999,112396,1000.0,1000.0
931.64,716,1178,931.64,113494,96,,,,,,
,,,,114000,,-62.118842720031736,0.001,2.1395501975417135,113396,1000.0,1000.0
,,,,115000,,-63.33502629089355,0.001,2.865476646900177,114396,1000.0,1000.0
,,,,116000,,-65.40684674072266,0.001,5.204789098381996,115396,1000.0,1000.0
,,,,117000,,-66.57281113433838,0.001,8.361807688593865,116396,1000.0,1000.0
966.36,720,1226,966.36,117494,95,,,,,,
,,,,118000,,-67.08519681549072,0.001,10.508953335285186,117396,1000.0,1000.0
,,,,119000,,-67.2901471786499,0.001,11.303243802189828,118396,1000.0,1000.0
,,,,120000,,-68.67864725494385,0.001,9.753600880622864,119396,1000.0,1000.0
,,,,121000,,-69.10951526641846,0.001,14.354816568076611,120396,1000.0,1000.0
1000.0,724,1272,1000.0,121494,95,,,,,,
,,,,122000,,-68.87950199890136,0.001,15.968148496627808,121396,1000.0,1000.0
,,,,123000,,-68.91959169006347,0.001,15.316884561300277,122396,1000.0,1000.0
,,,,124000,,-69.03140642547608,0.001,13.903947549581527,123396,1000.0,1000.0
,,,,125000,,-67.89331313323974,0.001,11.298011145114899,124396,1000.0,1000.0
1000.0,728,1321,1000.0,125494,94,,,,,,
,,,,126000,,-67.97397254180908,0.001,11.931361486673355,125396,1000.0,1000.0
,,,,127000,,-68.63470924377441,0.001,12.943360076189041,126396,1000.0,1000.0
,,,,128000,,-69.76542946624755,0.001,10.88175782084465,127396,1000.0,1000.0
,,,,129000,,-71.40183047485351,0.001,10.481783431053161,128396,1000.0,1000.0
1000.0,732,1369,1000.0,129494,94,,,,,,
,,,,130000,,-71.85357318115234,0.001,11.82451041996479,129396,1000.0,1000.0
,,,,131000,,-72.18997294616699,0.001,12.74788022696972,130396,1000.0,1000.0
,,,,132000,,-71.18066494750977,0.001,14.690350193619729,131396,1000.0,1000.0
,,,,133000,,-71.22693812561035,0.001,16.42846224284172,132396,1000.0,1000.0
1000.0,736,1417,1000.0,133494,94,,,,,,
