rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,eval/mean_ep_length,eval/mean_reward
66.69,9701,121.48204564000004,176,55,236,-30.24411565607244,9594,0.001,17.5103843439193,,
,10000,,,,,-30.64864616394043,9909,0.001,10.520533525943756,19.1,-0.4601073166821152
67.39,10013,119.75053488000002,176,56,240,,,,,,
64.71,10087,113.14888947,176,57,244,-31.363149219089085,9984,0.001,16.20110034942627,,
62.34,10159,107.27027529000003,176,57,248,-31.585086398654514,10056,0.001,10.799360076586405,,
59.72,10233,100.79546959000001,176,57,252,-31.498477172851562,10130,0.001,19.18624226670516,,
58.06,10305,96.33198274,176,58,256,-32.03892283969455,10202,0.001,19.73047865761651,,
55.58,10379,90.14554684000001,176,58,260,-32.45158081054687,10276,0.001,15.052627776798449,,
52.99,10452,83.81324905,177,59,264,-32.300133599175346,10348,0.001,12.843757483694288,,
50.39,10524,77.45152669,177,59,268,-33.0944947136773,10421,0.001,17.320148355431026,,
47.67,10596,70.82110639999999,177,59,272,-32.45632447136773,10493,0.001,14.922274655765957,,
45.0,10668,64.30187208999999,177,60,276,-33.35713322957357,10565,0.001,12.302089201079475,,
42.5,10740,58.22723219999999,177,60,280,-33.19288571675619,10637,0.001,9.19579741689894,,
40.56,10813,53.255131379999995,177,60,284,-33.62759441799588,10710,0.001,11.523858706156412,,
38.29,10888,47.517546389999985,177,61,288,-34.210865868462456,10785,0.001,9.865216267736335,,
36.31,10960,42.455531859999994,177,61,292,-33.64820755852593,10857,0.001,7.155311346054077,,
35.24,11034,39.23706752,177,62,296,-34.03929773966471,10930,0.001,11.304371926519606,,
32.58,11106,32.7274025,177,62,300,-33.620605892605255,11003,0.001,10.666475375493368,,
30.47,11178,27.407979580000003,177,62,304,-34.30986192491319,11075,0.001,9.457447674539354,,
28.08,11250,21.47219157,177,63,308,-33.333424462212456,11147,0.001,11.73569213019477,,
25.38,11322,14.873948340000002,177,63,312,-33.87530877855089,11219,0.001,7.81186142232683,,
22.69,11394,8.27457956,177,64,316,-34.071729024251304,11291,0.001,7.976769102944268,,
21.48,11467,4.679894389999999,178,64,320,-35.09787826538086,11364,0.001,10.33810191405447,,
20.39,11542,1.93003321,178,64,324,-35.13024482727051,11438,0.001,13.32875808916594,,
20.38,11615,1.83176795,178,65,328,-34.25217990875244,11512,0.001,16.268156578666286,,
20.61,11688,1.5481656999999993,178,65,332,-34.580200619167755,11585,0.001,11.682989332411024,,
20.6,11761,1.4233820599999996,178,65,336,-35.16151123046875,11658,0.001,15.528505626477694,,
18.2,11833,-1.45041318,178,66,340,-34.55012724134657,11730,0.001,9.88208630349901,,
18.19,11906,-1.4738807899999995,178,66,344,-34.647047466701935,11803,0.001,11.745834986368815,,
18.2,11979,-1.4904253399999998,178,67,348,-34.18863974677192,11876,0.001,10.320662048127916,,
18.2,12053,-1.49334748,178,67,352,-33.64315329657661,11949,0.001,10.82747859703867,,
18.21,12126,-1.50758115,178,67,356,-34.545843336317276,12022,0.001,8.99502804544237,,
18.2,12199,-1.5022272199999998,178,68,360,-34.95264739990235,12096,0.001,10.357957890159206,,
18.19,12271,-1.49719294,178,68,364,-34.4732608795166,12168,0.001,9.196024232440525,,
18.2,12344,-1.49954008,178,69,368,-34.27224985758463,12240,0.001,11.979193422529432,,
18.21,12417,-1.5128572999999996,178,69,372,-34.7557750278049,12314,0.001,8.550993694199455,,
18.23,12491,-1.51513189,178,70,376,-34.354247411092125,12387,0.001,9.848976235640677,,
,12500,,,,,-33.39471607208252,12406,0.001,10.418421845687064,18.35,-1.5781119317762204
18.23,12563,-1.5103783899999996,177,70,380,-34.81659232245551,12460,0.001,7.084557520018683,,
18.23,12636,-1.5105015,177,71,384,-34.15149858262804,12532,0.001,8.576823963059319,,
18.22,12710,-1.4971684100000002,177,71,388,-33.693760553995766,12607,0.001,9.080707135953402,,
18.22,12782,-1.4982836700000002,178,71,392,-35.01236809624566,12679,0.001,6.517101168632507,,
18.21,12855,-1.4895239399999998,178,72,396,-34.265149434407554,12752,0.001,7.553379588656956,,
18.24,12930,-1.5033076400000005,178,72,400,-33.37077960968018,12826,0.001,6.642916666833978,,
18.27,13005,-1.5131888699999996,178,72,404,-33.27701886494955,12901,0.001,6.032033970481471,,
18.3,13080,-1.5199835900000003,178,73,408,-33.84069690704346,12976,0.001,8.103264407107705,,
18.32,13154,-1.52377523,178,73,412,-33.21967182159424,13050,0.001,8.4490277390731,,
18.21,13215,-1.45704985,178,73,416,-32.716917514801025,13114,0.001,7.031428432464599,,
18.09,13276,-1.37058815,179,74,420,-34.4007294178009,13174,0.001,8.539863300323486,,
17.9,13332,-1.24439626,179,74,424,-33.07769012451172,13233,0.001,12.947994351387024,,
17.7,13385,-1.10081741,179,74,428,-33.58881023951939,13287,0.001,7.358822226524353,,
17.82,13470,-0.8256379799999999,179,75,432,-34.269467427180366,13358,0.001,7.077859935760498,,
17.85,13546,-0.54470794,179,75,436,-34.70717175801595,13442,0.001,10.060059600406223,,
18.08,13641,-0.24570558999999995,179,76,440,-33.464007811112836,13526,0.001,9.84188362685117,,
18.49,13755,0.06986314,179,76,444,-33.76617349897112,13645,0.001,11.818415250097003,,
18.48,13827,0.33498675999999994,179,77,448,-35.35228862762451,13724,0.001,8.795367090325607,,
18.43,13896,0.7214421,179,77,452,-34.85092247856988,13792,0.001,9.992765398586497,,
18.39,13965,1.07762535,179,77,456,-34.434060202704536,13863,0.001,11.931497149997288,,
18.32,14031,1.4769932600000002,179,78,460,-35.55475616455078,13929,0.001,11.532530754804611,,
18.27,14098,1.9003750799999997,179,78,464,-34.724191188812256,13995,0.001,9.715837099972893,,
18.64,14208,2.4644345899999998,180,78,468,-35.10576079873478,14092,0.001,10.539482188947273,,
19.2,14337,3.202775629999999,180,79,472,-35.12956290774875,14215,0.001,11.165270103348625,,
20.01,14492,4.440193519999999,180,80,476,-35.78165397644043,14368,0.001,12.66451936364174,,
22.28,14791,8.329963679999999,180,81,480,-36.678293228149414,14665,0.001,11.72023911592437,,
,15000,,,,,-37.216045580412214,14745,0.001,13.674504017218565,115.95,132.52784309238194
25.74,15210,13.463557600000001,178,85,484,-37.05671103341239,15008,0.001,10.362069420192553,,
28.63,15573,16.59114941,178,87,488,-37.74158575179729,15430,0.001,14.560119043005274,,
30.96,15878,19.29742591,178,88,492,-38.997243555580695,15741,0.001,10.897628195314523,,
33.4,16195,22.18135027,178,90,496,-39.70914710651744,16052,0.001,15.634383557856768,,
34.02,16332,23.655583349999997,178,91,500,-39.67611488929162,16220,0.001,17.344870466452377,,
34.53,16458,25.048587920000003,178,91,504,-41.340701293945315,16341,0.001,20.199316847708918,,
34.93,16573,26.205919160000004,178,92,508,-41.41393074622521,16465,0.001,25.24741706141719,,
35.26,16680,27.27196265,179,93,512,-41.65264180501302,16568,0.001,23.942210904483137,,
35.82,16797,28.449289719999996,179,93,516,-41.64384950910296,16684,0.001,14.093698996084708,,
