time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
2048,1,2,-126.58469161538461,721,121.61538461538461,,,,,,,,,,,,,
4096,2,7,-122.18014693103446,569,114.82758620689656,10,-0.02248072624206543,0.1431640625,-0.030498315111617557,0.2,180.31975464820863,-11.267665734887123,0.0003,0.012946566,0.9827747344970703,30.56076431274414,,
5000,,,,,,20,-0.08570230007171631,0.12099609375,-0.027787045075092463,0.2,102.0456111907959,-11.14681492447853,0.0003,0.013691632,0.9658432006835938,24.24300765991211,1000.0,978.1821878015995
6144,3,22,-104.75559473770493,277,99.54098360655738,,,,,,,,,,,,,
8192,4,26,-103.53461012048193,307,98.67469879518072,30,0.0015023350715637207,0.131494140625,-0.032351361462497154,0.2,88.5336120724678,-11.037071833014489,0.0003,0.0128237,0.9582861065864563,37.293548583984375,,
10000,,,,,,40,0.002764403820037842,0.123828125,-0.03151203924498987,0.2,105.85546654462814,-10.975397792458534,0.0003,0.012686336,0.9500114917755127,40.927825927734375,1000.0,968.1667254805565
10240,5,41,-72.2344572,248,69.63,,,,,,,,,,,,,
12288,6,45,-57.46310923,267,55.94,50,0.06286752223968506,0.124853515625,-0.03467880302341655,0.2,118.92831072807311,-10.903334930539131,0.0003,0.010856309,0.9428038597106934,48.160343170166016,,
14336,7,50,-57.70475402000001,286,57.35,60,0.09964197874069214,0.1048828125,-0.029868519119918346,0.2,129.32236733436585,-10.829050695896148,0.0003,0.010395138,0.9315709471702576,69.53902435302734,,
15000,,,,,,70,0.13127750158309937,0.126806640625,-0.03414529149304144,0.2,99.38228198289872,-10.73387752175331,0.0003,0.012028884,0.9204534292221069,32.529666900634766,1000.0,943.494233238697
16384,8,64,-60.17370183,252,61.49,,,,,,,,,,,,,
18432,9,69,-71.45559650999999,266,73.78,80,0.13409209251403809,0.10869140625,-0.030854216794250534,0.2,133.3088822364807,-10.663135120272637,0.0003,0.010135916,0.9153316617012024,63.269493103027344,,
20000,,,,,,90,0.12993401288986206,0.133349609375,-0.034927689342293886,0.2,101.51088626384735,-10.631329992413521,0.0003,0.01244347,0.9120762944221497,54.1370735168457,1000.0,911.7023972570896
20480,10,83,-59.31255437000001,245,61.6,,,,,,,,,,,,,
22528,11,87,-65.95987466,256,69.08,100,0.1170312762260437,0.115087890625,-0.03454848577966914,0.2,157.5548294067383,-10.581208926439285,0.0003,0.011153428,0.9045642614364624,63.45196533203125,,
24576,12,92,-65.07173927000001,266,68.54,110,0.20080357789993286,0.1203125,-0.03418596817355137,0.2,98.99195541143418,-10.518242612481117,0.0003,0.011297798,0.8981093168258667,38.33444595336914,,
25000,,,,,,120,0.2120598554611206,0.126611328125,-0.03617821635270957,0.2,106.13856498003005,-10.460895583033562,0.0003,0.011968962,0.8922209739685059,58.28760528564453,1000.0,883.1856200098991
26624,13,106,-69.73162084,249,74.48,,,,,,,,,,,,,
28672,14,111,-87.91116601,256,94.69,130,0.21720534563064575,0.12314453125,-0.03600532058044337,0.2,83.51326381564141,-10.385511410236358,0.0003,0.011261434,0.8817156553268433,37.59619140625,,
30000,,,,,,140,0.3340126872062683,0.1421875,-0.03548305600997992,0.2,73.41548157930374,-10.294463339447976,0.0003,0.012632891,0.8718904256820679,30.166730880737305,776.9,676.0591803222894
30720,15,123,-104.94124434999999,248,113.92,,,,,,,,,,,,,
32768,16,128,-112.90085487999998,255,124.69,150,0.4479285478591919,0.18154296875,-0.03942238805466332,0.2,59.53913365900517,-10.228046220541,0.0003,0.013828447,0.8668068647384644,18.87399673461914,,
34816,17,132,-102.18399022999996,262,113.54,160,0.356509804725647,0.121337890625,-0.03317527372855693,0.2,112.61358450651169,-10.184576708078385,0.0003,0.010914056,0.8625224232673645,45.69856643676758,,
35000,,,,,,170,0.5444510877132416,0.1046875,-0.03270347690267954,0.2,112.06571179628372,-10.128311303257941,0.0003,0.0094513595,0.8551417589187622,35.06593704223633,1000.0,872.9459271013736
36864,18,147,-74.08978134,249,84.15,,,,,,,,,,,,,
38912,19,151,-68.11794743,256,78.72,180,0.4739762544631958,0.1080078125,-0.032609045127173886,0.2,125.59597640037536,-10.078545507788657,0.0003,0.010603789,0.8513809442520142,72.54668426513672,,
40000,,,,,,190,0.6414866745471954,0.124462890625,-0.035868578433291984,0.2,82.05609300136567,-10.032677307724953,0.0003,0.012272734,0.8450077176094055,56.88286209106445,1000.0,841.2110716104507
40960,20,166,-62.20210262999999,246,72.18,,,,,,,,,,,,,
43008,21,170,-62.34832920000001,251,72.79,200,0.16527032852172852,0.152734375,-0.040772565559018405,0.2,113.35037611722946,-9.980276769399643,0.0003,0.012710664,0.8410794734954834,56.177452087402344,,
45000,,,,,,210,0.7225283086299896,0.166259765625,-0.040941311282222156,0.2,68.48335660099983,-9.929530104994774,0.0003,0.014842272,0.834301769733429,15.03445816040039,985.3,819.7180107459426
45056,22,185,-74.22385059,243,87.0,,,,,,,,,,,,,
47104,23,189,-73.41304278000001,248,86.9,220,0.7030142843723297,0.12666015625,-0.03890314665623009,0.2,76.6254373550415,-9.857754525542259,0.0003,0.011640925,0.8260616660118103,29.351335525512695,,
49152,24,193,-85.10306236999999,253,101.84,230,0.701368510723114,0.147900390625,-0.03953170998429414,0.2,52.41051546931267,-9.78801084458828,0.0003,0.013304114,0.8195599317550659,38.14813995361328,,
50000,,,,,,240,0.7438779175281525,0.1533203125,-0.03749413745536003,0.2,51.18828599750996,-9.724599087238312,0.0003,0.014416806,0.8138095140457153,27.728355407714844,694.3,550.5826068386435
51200,25,205,-96.54794915000004,249,116.44,,,,,,,,,,,,,
53248,26,209,-101.90653592999999,254,124.72,250,0.8075002282857895,0.157470703125,-0.04295806673180778,0.2,55.17567266225815,-9.637352329492568,0.0003,0.014193727,0.8024638295173645,24.446561813354492,,
55000,,,,,,260,0.7879860103130341,0.173779296875,-0.041530311330279804,0.2,77.35912220478058,-9.542923367023468,0.0003,0.015500493,0.7946724891662598,29.675085067749023,629.4,490.0747289583087
55296,27,220,-98.38041275000002,251,122.62,,,,,,,,,,,,,
57344,28,224,-72.11674403,255,91.59,270,0.8018143326044083,0.125927734375,-0.037785398791311306,0.2,83.13776614069938,-9.479948288202285,0.0003,0.012330619,0.7895287275314331,27.589529037475586,,
59392,29,228,-75.28716311000002,259,97.29,280,0.7105731070041656,0.16435546875,-0.04164569288259372,0.2,106.6137979388237,-9.423175635933877,0.0003,0.014875092,0.783582329750061,32.706214904785156,,
60000,,,,,,290,0.8013406246900558,0.1736328125,-0.04444614758103853,0.2,52.487014228105544,-9.346342551708222,0.0003,0.015761683,0.774823784828186,13.765451431274414,318.1,240.6851073950529
61440,30,235,-72.04850900000002,260,94.2,,,,,,,,,,,,,
63488,31,240,-70.30509445000001,264,92.7,300,0.7121006548404694,0.161083984375,-0.042080611467827114,0.2,107.27351685762406,-9.280310824513435,0.0003,0.013905609,0.7697339653968811,38.255828857421875,,
65000,,,,,,310,0.8008038252592087,0.1681640625,-0.045649671362480146,0.2,75.33513231873512,-9.214006045460701,0.0003,0.01463427,0.762749195098877,47.61029052734375,547.8,415.9861954178661
65536,32,250,-70.09102555,261,93.8,,,,,,,,,,,,,
67584,33,254,-80.6681259,265,110.38,320,0.8377783298492432,0.17666015625,-0.045703207497717814,0.2,52.456501519680025,-9.155212000012398,0.0003,0.015858095,0.7585787177085876,29.304018020629883,,
69632,34,258,-65.23142135,268,90.59,330,0.890451580286026,0.24169921875,-0.04883900632266887,0.2,40.848575091362,-9.097366204857826,0.0003,0.02033573,0.7524458169937134,14.878028869628906,,
70000,,,,,,340,0.8579027950763702,0.213330078125,-0.0488453492638655,0.2,59.70105434060097,-9.023537206649781,0.0003,0.018421177,0.744360089302063,19.995677947998047,439.8,321.95004876106975
71680,35,267,-78.28970873000002,267,110.25,,,,,,,,,,,,,
73728,36,272,-85.3261842,271,122.23,350,0.7084326446056366,0.302294921875,-0.04795509663235862,0.2,18.612912023812534,-8.949355387687683,0.0003,0.028400566,0.7382235527038574,1.7329668998718262,,
75000,,,,,,360,0.7464966773986816,0.23876953125,-0.04265892712865025,0.2,35.01640936732292,-8.842758750915527,0.0003,0.01932751,0.7262095212936401,7.039364814758301,388.5,290.92333342581986
75776,37,280,-90.83149808999997,270,133.44,,,,,,,,,,,,,
77824,38,284,-82.82408801999998,273,123.78,370,0.7782430648803711,0.21630859375,-0.041852701356401664,0.2,30.75803319066763,-8.73171159029007,0.0003,0.0219957,0.7170355319976807,8.942171096801758,,
79872,39,288,-88.89291392999998,276,135.08,380,0.7066336572170258,0.159521484375,-0.04426647234358825,0.2,100.6389652967453,-8.649822613596916,0.0003,0.013361579,0.7119059562683105,42.18247985839844,,
80000,,,,,,390,0.8709572553634644,0.29423828125,-0.05062077209004201,0.2,29.38256155848503,-8.552584987878799,0.0003,0.025055088,0.7011616230010986,8.914074897766113,433.5,310.47887462452053
81920,40,297,-91.89487103000002,275,142.47,,,,,,,,,,,,,
83968,41,301,-95.81392366,278,151.98,400,0.8857754692435265,0.311669921875,-0.05330487421888393,0.2,21.185509675741194,-8.442522618174554,0.0003,0.027384311,0.6927172541618347,5.966095924377441,,
85000,,,,,,410,0.7603222876787186,0.15986328125,-0.04072157911141403,0.2,72.43145520687104,-8.391004014015198,0.0003,0.013413677,0.6903656721115112,49.20733642578125,666.1,488.6733630627394
86016,42,313,-88.61689155000002,274,143.22,,,,,,,,,,,,,
88064,43,317,-67.94925655000002,277,114.1,420,0.8567730784416199,0.35439453125,-0.051141766332148106,0.2,16.334120270609855,-8.303541281819344,0.0003,0.030791204,0.6802392601966858,6.41652250289917,,
90000,,,,,,430,0.8066931664943695,0.2291015625,-0.04572475855529774,0.2,47.17173346877098,-8.23003052175045,0.0003,0.01946297,0.6753787994384766,17.24907875061035,224.4,163.50056024491786
90112,44,324,-79.10526579000002,277,135.75,,,,,,,,,,,,,
92160,45,328,-83.09041450999999,280,146.08,440,0.862759605050087,0.2451171875,-0.04765150714083575,0.2,28.20739099085331,-8.162612214684486,0.0003,0.020894222,0.6700481176376343,8.019987106323242,,
94208,46,333,-72.46116104999999,282,134.87,450,0.8762800022959709,0.247216796875,-0.04956822002714034,0.2,27.369050854444502,-8.088714277744293,0.0003,0.022940552,0.663701057434082,22.279014587402344,,
