time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
295,-11.996664047241211,0.0003,-0.7747020721435547,1.9745442867279053,94,4,0.943706750869751,-35.04899975,194,73.75,3,,
785,-18.84412384033203,0.0003,-2.735839366912842,0.7618714570999146,85,8,0.8148614764213562,-29.042628625,684,98.125,9,,
1227,-23.911624908447266,0.0003,-4.423945426940918,1.4167845249176025,82,12,0.7145918011665344,-35.7917325,1126,102.25,14,,
1709,-29.22415542602539,0.0003,-6.086323261260986,2.6663594245910645,76,16,0.620116114616394,-41.21838675,1608,106.8125,22,,
1928,-30.773996353149414,0.0003,-6.833603858947754,4.086701393127441,74,20,0.5816370844841003,-37.54974310000001,1827,96.4,25,,
2112,-31.973329544067383,0.0003,-7.557125091552734,3.8229198455810547,73,24,0.5512660145759583,-33.61035295833333,2011,88.0,28,,
3292,-37.22785568237305,0.0003,-10.590801239013672,3.8623180389404297,69,28,0.39456796646118164,-56.09726010714285,3191,117.57142857142857,47,,
4700,-35.54723358154297,0.0003,-13.408955574035645,4.289970397949219,67,32,0.2657475471496582,-80.01793515624999,4599,146.875,69,,
5000,-36.04994201660156,0.0003,-13.919462203979492,4.017657279968262,,,0.24444273114204407,,4899,,,-53.95929249732107,367.3
5901,-34.01585006713867,0.0003,-15.820310592651367,3.187431812286377,62,36,0.1903027594089508,-96.3819138611111,5800,163.91666666666666,94,,
6140,-33.886573791503906,0.0003,-16.320695877075195,4.788660049438477,62,40,0.17808404564857483,-89.4987368,6039,153.5,98,,
7562,-29.022327423095703,0.0003,-17.901996612548828,4.214545249938965,62,44,0.12002933025360107,-104.0932196818182,7461,171.86363636363637,120,,
9650,-22.055519104003906,0.0003,-17.367286682128906,2.9756574630737305,63,48,0.06852293014526367,-122.915038375,9549,201.04166666666666,152,,
10000,-21.98093605041504,0.0003,-16.898723602294922,2.568248987197876,,,0.06259289383888245,,9899,,,-73.556542265194,408.2
11097,-18.63132095336914,0.0003,-14.62689208984375,3.3964803218841553,60,52,0.04730873927474022,-127.13064278846151,10996,213.40384615384616,184,,
11490,-17.66975212097168,0.0003,-13.943437576293945,3.4585580825805664,60,56,0.04283249005675316,-121.5255534107143,11389,205.17857142857142,190,,
11842,-17.999351501464844,0.0003,-14.194510459899902,3.10253643989563,60,60,0.03922540321946144,-113.99768368333335,11741,197.36666666666667,196,,
13048,-14.783723831176758,0.0003,-10.914409637451172,4.537545680999756,60,64,0.02946578897535801,-112.65352775,12947,203.875,215,,
14240,-12.217121124267578,0.0003,-8.162454605102539,3.207655906677246,60,68,0.022959811612963676,-111.33350920588235,14139,209.41176470588235,233,,
15000,-12.347244262695312,0.0003,-5.260890960693359,2.5086004734039307,,,0.019959332421422005,,14899,,,-69.64695581154228,362.5
15724,-10.269693374633789,0.0003,-4.070255279541016,2.3696703910827637,59,72,0.017843756824731827,-110.03118255555556,15623,218.38888888888889,265,,
16175,-9.848636627197266,0.0003,-2.220378875732422,3.0762906074523926,59,76,0.01682139001786709,-106.4753240394737,16074,212.82894736842104,272,,
17115,-8.850516319274902,0.0003,-0.5982062816619873,2.525146007537842,59,80,0.015179818496108055,-100.6000045125,17014,213.9375,287,,
18596,-8.351821899414062,0.0003,-0.8341346383094788,2.9123353958129883,59,84,0.014077817089855671,-98.5969085952381,18495,221.38095238095238,310,,
20000,-7.44033670425415,0.0003,1.0579925775527954,2.209254026412964,,,0.013595518656075,,19899,,,10.776204533600321,191.0
22087,-5.376592636108398,0.0003,1.1102240085601807,2.0822501182556152,59,88,0.013619246892631054,-97.63860931818182,21986,250.98863636363637,368,,
22488,-5.743141174316406,0.0003,0.16301971673965454,1.7611117362976074,59,92,0.013678713701665401,-92.93088800000001,22387,244.43478260869566,375,,
22701,-5.952256679534912,0.0003,0.8910932540893555,1.9629261493682861,60,96,0.01362250093370676,-88.52679162500003,22600,236.46875,378,,
24828,-5.153779029846191,0.0003,-1.4966542720794678,2.4610819816589355,60,100,0.013523955829441547,-84.87306116000003,24727,248.28,410,,
25000,-4.115883827209473,0.0003,0.21507471799850464,2.1364471912384033,,,0.013391384854912758,,24899,,,45.760648498966475,475.5
27053,-4.8861236572265625,0.0003,1.4737915992736816,1.8244798183441162,59,104,0.013479222543537617,-81.61215802999999,26952,267.58,454,,
29982,-3.838290214538574,0.0003,-0.15885087847709656,2.017784595489502,59,108,0.013174261897802353,-80.21124831000002,29881,291.97,500,,
30000,-4.198324203491211,0.0003,-0.3503000736236572,1.748593807220459,,,0.01320422999560833,,29899,,,100.78861434049904,465.8
33022,-5.452378273010254,0.0003,0.0020906180143356323,2.202399730682373,59,112,0.013077680952847004,-72.00380977,32921,317.95,558,,
34100,-5.648900985717773,0.0003,0.07771313190460205,2.235489845275879,59,116,0.013028484769165516,-66.25989714,33999,323.91,574,,
35000,-5.546835899353027,0.0003,-0.31456273794174194,1.9575207233428955,,,0.012906788848340511,,34899,,,105.24511591825903,424.6
36098,-5.663173198699951,0.0003,-1.300504207611084,1.9587225914001465,58,120,0.012913167476654053,-59.08466152000001,35997,341.7,614,,
36513,-6.101896286010742,0.0003,-0.6657267212867737,2.7386248111724854,58,124,0.012909036129713058,-56.555384939999996,36412,344.01,621,,
40000,-6.963775157928467,0.0003,0.4789876341819763,2.107196807861328,,,0.012406373396515846,,39899,,,207.89256438389492,547.5
40264,-7.8770294189453125,0.0003,0.695769190788269,2.009721279144287,58,128,0.012353415600955486,-39.08769527000001,40163,369.72,693,,
41956,-8.725680351257324,0.0003,-0.20580095052719116,1.931281328201294,58,132,0.012483453378081322,-23.551584940000012,41855,372.56,720,,
42815,-9.98965072631836,0.0003,0.6052117347717285,2.513282299041748,58,136,0.012478495948016644,-8.925727680000003,42714,369.14,734,,
45000,-10.396926879882812,0.0003,0.14358466863632202,1.8023552894592285,,,0.012201153673231602,,44899,,,138.87728175119264,334.4
45070,-10.671265602111816,0.0003,-0.7704243659973145,3.3641886711120605,58,140,0.012016845867037773,-1.3555624400000026,44969,389.3,775,,
46317,-10.505483627319336,0.0003,-0.8539569973945618,2.1037745475769043,58,144,0.01208591926842928,12.7001928,46216,387.55,794,,
48417,-12.614727973937988,0.0003,-0.1803186684846878,2.653796911239624,58,148,0.01193662453442812,31.80182173,48316,387.67,826,,
50000,-12.399517059326172,0.0003,-0.15763768553733826,2.027087926864624,,,0.012030341662466526,,49899,,,261.8908871562526,526.0
50623,-13.088357925415039,0.0003,-0.36020195484161377,2.0167245864868164,58,152,0.011970533058047295,47.37286520000001,50522,395.26,871,,
52247,-12.510860443115234,0.0003,-1.6850388050079346,2.0673162937164307,58,156,0.011980697512626648,57.70091819,52146,407.57,895,,
53953,-17.679906845092773,0.0003,-0.24477621912956238,1.9827688932418823,58,160,0.01181676797568798,68.38052445000001,53852,421.11,922,,
55000,-16.163883209228516,0.0003,-0.3750741183757782,2.0578317642211914,,,0.01193502452224493,,54899,,,367.50458996393996,599.1
55148,-15.643808364868164,0.0003,0.11579251289367676,2.605379343032837,57,164,0.011864143423736095,77.13840415,55047,421.0,954,,
57293,-15.754090309143066,0.0003,-0.5808531045913696,2.768158435821533,58,168,0.011568126268684864,92.37109957000001,57192,430.53,987,,
58661,-16.89727783203125,0.0003,-0.009237885475158691,3.160447597503662,58,172,0.011657399125397205,103.59445670000001,58560,429.37,1008,,
59160,-17.52216911315918,0.0003,0.6292681097984314,2.2932674884796143,58,176,0.01188072469085455,109.70178197999999,59059,429.85,1016,,
59950,-19.911428451538086,0.0003,-1.0637329816818237,2.7505011558532715,58,180,0.011552134528756142,116.00261274,59849,428.35,1028,,
60000,-18.214866638183594,0.0003,0.9793286323547363,2.5938916206359863,,,0.011486265808343887,,59899,,,579.1911206274963,894.4
61241,-16.920089721679688,0.0003,-1.7314064502716064,2.3189773559570312,57,184,0.011572451330721378,125.11012003000002,61140,426.45,1067,,
62194,-20.581756591796875,0.0003,0.22926446795463562,2.7342963218688965,57,188,0.011606217361986637,135.67191667999998,62093,401.07,1081,,
63591,-22.50531578063965,0.0003,1.829730749130249,2.5984110832214355,57,192,0.011640085838735104,146.57516665,63490,411.03,1102,,
65000,-22.15770721435547,0.0003,1.8188740015029907,2.235243797302246,,,0.011656682007014751,,64899,,,408.4983778825692,738.1
65551,-23.270015716552734,0.0003,0.6087193489074707,2.337204694747925,57,196,0.011690041050314903,157.98755924,65450,428.5,1147,,
68525,-23.76079559326172,0.0003,0.18635866045951843,3.352468252182007,57,200,0.01169675961136818,176.13859685,68424,436.97,1192,,
70000,-25.120298385620117,0.0003,-0.5434672832489014,2.80605149269104,,,0.011654064990580082,,69899,,,362.7869768488599,619.3
