time/total_timesteps,train/std,train/entropy_loss,rollout/ep_len_mean,time/fps,train/explained_variance,train/policy_loss,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,time/iterations,train/value_loss,eval/mean_ep_length,eval/mean_reward
27000,0.9431112408638,-27.180694580078125,30.77,197,2.0623207092285156e-05,221.8368377685547,0.0007,150.24906065,136,5399,5400,80.04121398925781,,
27500,0.9406234622001648,-27.138830184936523,30.91,197,-5.364418029785156e-06,213.3884735107422,0.0007,150.90630982000002,138,5499,5500,91.97624969482422,,
28000,0.9407119750976562,-27.13270378112793,30.86,198,0.0,229.6897430419922,0.0007,150.74708749,141,5599,5600,88.7686767578125,,
28500,0.9393172264099121,-27.10133171081543,30.76,198,-6.794929504394531e-06,223.19482421875,0.0007,150.01150045000003,143,5699,5700,81.69315338134766,,
29000,0.9363320469856262,-27.036487579345703,31.92,198,5.304813385009766e-06,236.36099243164062,0.0007,155.67207711999998,145,5799,5800,94.16089630126953,,
29500,0.9367982149124146,-27.042600631713867,33.2,198,4.708766937255859e-06,226.84829711914062,0.0007,162.31115447,148,5899,5900,77.31141662597656,,
30000,0.9364253282546997,-27.037378311157227,,,8.463859558105469e-05,175.88539123535156,0.0007,,,5999,,56.58869552612305,28.4,139.51742440238596
30000,,,34.9,196,,,,170.89272836,152,,6000,,,
30500,0.9329116940498352,-26.96339225769043,36.74,196,2.2649765014648438e-06,208.20425415039062,0.0007,180.23099046000004,155,6099,6100,74.18367004394531,,
31000,0.9324762225151062,-26.953413009643555,37.72,196,-1.1920928955078125e-07,200.4600372314453,0.0007,185.18446741000002,157,6199,6200,68.54366302490234,,
31500,0.9319438338279724,-26.944311141967773,38.44,196,1.1920928955078125e-06,196.5979461669922,0.0007,188.90426820999997,160,6299,6300,72.2127456665039,,
32000,0.9314684867858887,-26.92884635925293,39.47,196,9.5367431640625e-07,-4840.1630859375,0.0007,194.10760087,162,6399,6400,45542.78125,,
32500,0.9301009178161621,-26.9008846282959,40.9,197,0.0,211.643310546875,0.0007,201.56970595,164,6499,6500,75.48692321777344,,
33000,0.929755687713623,-26.89101219177246,41.62,197,6.258487701416016e-06,206.6296844482422,0.0007,205.34954479,166,6599,6600,70.1871337890625,,
33500,0.9298292398452759,-26.890094757080078,40.95,198,5.960464477539063e-08,195.0317840576172,0.0007,201.53737017000003,169,6699,6700,61.1401481628418,,
34000,0.9287611246109009,-26.867090225219727,38.99,198,2.682209014892578e-06,187.2311248779297,0.0007,191.43809271,171,6799,6800,57.953651428222656,,
34500,0.926533043384552,-26.814559936523438,37.47,198,-6.079673767089844e-06,174.9579315185547,0.0007,183.41252450999997,173,6899,6900,47.03955841064453,,
35000,0.9245168566703796,-26.772912979125977,,,0.0,172.3597412109375,0.0007,,,6999,,52.3240966796875,39.35,188.99075083062053
35000,,,37.09,195,,,,181.10642788,178,,7000,,,
35500,0.9247413873672485,-26.77573585510254,36.76,195,-1.1920928955078125e-07,184.94509887695312,0.0007,178.84283086,181,7099,7100,61.15316390991211,,
36000,0.922724187374115,-26.725543975830078,35.36,196,0.0,200.4188690185547,0.0007,171.69520388,183,7199,7200,58.05279541015625,,
36500,0.9229947328567505,-26.73191261291504,33.5,196,0.0,168.2674560546875,0.0007,161.90770223,186,7299,7300,50.49826431274414,,
37000,0.922167956829071,-26.71164321899414,31.77,196,-1.0013580322265625e-05,208.79881286621094,0.0007,153.92291457999997,188,7399,7400,67.2447280883789,,
37500,0.920719563961029,-26.6848201751709,30.77,196,5.662441253662109e-06,180.69525146484375,0.0007,149.47628125,191,7499,7500,52.08395004272461,,
38000,0.9198561906814575,-26.664609909057617,30.68,196,2.6226043701171875e-06,187.518798828125,0.0007,149.70142201000002,193,7599,7600,57.933692932128906,,
38500,0.9206878542900085,-26.685949325561523,29.41,196,0.0,212.5907745361328,0.0007,144.15799256000003,196,7699,7700,75.48674774169922,,
39000,0.9185500144958496,-26.644948959350586,28.97,196,-7.033348083496094e-06,-7920.8046875,0.0007,142.31005262,198,7799,7800,80477.5859375,,
39500,0.9177424311637878,-26.617029190063477,28.67,196,-8.344650268554688e-06,195.35935974121094,0.0007,141.0597217,201,7899,7900,53.720001220703125,,
40000,0.9175059199333191,-26.613245010375977,,,0.0,207.96646118164062,0.0007,,,7999,,71.43987274169922,20.9,99.59421469809021
40000,,,28.34,195,,,,139.4874682,204,,8000,,,
40500,0.9174795150756836,-26.61029624938965,29.03,195,2.980232238769531e-07,-1467.8504638671875,0.0007,142.28232404000002,206,8099,8100,18266.251953125,,
41000,0.9120126962661743,-26.498401641845703,28.87,195,-3.814697265625e-06,121.93602752685547,0.0007,140.89375081,209,8199,8200,30.21546745300293,,
41500,0.9123215079307556,-26.49946403503418,29.16,195,3.3974647521972656e-06,150.75567626953125,0.0007,141.67663359,211,8299,8300,36.93845748901367,,
42000,0.9117107391357422,-26.484525680541992,29.51,195,-7.510185241699219e-06,133.26235961914062,0.0007,142.91373829,214,8399,8400,29.343738555908203,,
42500,0.9087494015693665,-26.426305770874023,29.74,195,0.0,125.16143035888672,0.0007,143.15000504000002,217,8499,8500,30.71429443359375,,
43000,0.9051716923713684,-26.34380531311035,29.87,195,3.2782554626464844e-06,146.4000244140625,0.0007,142.75820187000002,219,8599,8600,40.40937042236328,,
43500,0.9031659960746765,-26.29437828063965,29.55,195,2.6881694793701172e-05,113.36724853515625,0.0007,140.64795836,222,8699,8700,21.3686466217041,,
44000,0.9022566080093384,-26.274118423461914,29.8,195,-1.1920928955078125e-07,147.84544372558594,0.0007,141.44282852,224,8799,8800,35.8323974609375,,
44500,0.9033035635948181,-26.295902252197266,29.85,196,0.0,125.20702362060547,0.0007,141.66909729,226,8899,8900,29.40887451171875,,
45000,0.9014073610305786,-26.252283096313477,,,3.68952751159668e-05,127.14875793457031,0.0007,,,8999,,30.358688354492188,20.85,97.77476964136585
45000,,,30.05,195,,,,142.33192301,230,,9000,,,
45500,0.8995304107666016,-26.209030151367188,30.97,195,-2.384185791015625e-07,127.52898406982422,0.0007,147.04179915999998,232,9099,9100,26.455127716064453,,
46000,0.9003317952156067,-26.225488662719727,31.77,195,0.0,126.080078125,0.0007,151.03341546,235,9199,9200,29.473691940307617,,
46500,0.8973766565322876,-26.155506134033203,32.35,195,2.980232238769531e-07,-3353.280517578125,0.0007,154.01565086000002,237,9299,9300,45866.23046875,,
47000,0.8961124420166016,-26.12847900390625,32.24,196,-1.1920928955078125e-07,128.8816375732422,0.0007,154.36203866000002,239,9399,9400,26.17706871032715,,
47500,0.8932225108146667,-26.065759658813477,32.68,196,0.0,88.13182830810547,0.0007,156.70974844,242,9499,9500,14.131854057312012,,
48000,0.8911811709403992,-26.013898849487305,33.1,196,0.0,118.85296630859375,0.0007,159.09163889,244,9599,9600,21.801828384399414,,
48500,0.8879653215408325,-25.942459106445312,32.13,196,9.119510650634766e-06,108.41228485107422,0.0007,154.52357679999997,246,9699,9700,20.370580673217773,,
49000,0.8868641257286072,-25.915796279907227,31.29,196,2.1457672119140625e-05,113.23579406738281,0.0007,150.99535318000002,249,9799,9800,21.878446578979492,,
49500,0.8843652009963989,-25.8695011138916,31.22,197,9.179115295410156e-06,85.09806823730469,0.0007,151.21787770999998,251,9899,9900,16.89188575744629,,
50000,0.8844529986381531,-25.8680362701416,,,0.0001277923583984375,113.3529281616211,0.0007,,,9999,,26.182968139648438,24.45,121.36536737419665
50000,,,30.47,196,,,,147.94825009,254,,10000,,,
50500,0.8871731162071228,-25.926786422729492,29.47,197,1.3589859008789062e-05,116.13221740722656,0.0007,143.32641051000002,256,10099,10100,21.074748992919922,,
51000,0.8859277963638306,-25.898426055908203,28.67,197,0.5272484719753265,-261.8927307128906,0.0007,139.8623273,258,10199,10200,127.60920715332031,,
51500,0.8856647610664368,-25.898237228393555,28.41,197,0.530506432056427,230.7132110595703,0.0007,138.95282336999998,260,10299,10300,89.60265350341797,,
52000,0.8859472274780273,-25.9061222076416,27.66,197,0.17352652549743652,165.5882568359375,0.0007,135.08873209,262,10399,10400,54.9761848449707,,
52500,0.8850035667419434,-25.8817081451416,26.84,198,0.1923675537109375,-5191.52587890625,0.0007,130.47004524000002,264,10499,10500,61836.36328125,,
53000,0.8833341598510742,-25.839126586914062,26.87,198,0.003729581832885742,138.8974151611328,0.0007,130.45356244,267,10599,10600,30.686389923095703,,
53500,0.8845134973526001,-25.861352920532227,27.12,198,0.07472944259643555,-1763.8729248046875,0.0007,131.37678379000002,269,10699,10700,24000.724609375,,
54000,0.8863884806632996,-25.9014949798584,27.05,198,-0.009550929069519043,112.60355377197266,0.0007,130.81983384,271,10799,10800,23.348936080932617,,
54500,0.8868047595024109,-25.909931182861328,26.42,198,0.005667388439178467,98.8967514038086,0.0007,126.54828914999999,274,10899,10900,17.360103607177734,,
55000,0.8845699429512024,-25.858154296875,,,0.002092123031616211,106.8735580444336,0.0007,,,10999,,20.181339263916016,23.9,112.10425419667736
55000,,,26.26,198,,,,124.84130766,277,,11000,,,
55500,0.8870008587837219,-25.91155433654785,25.4,198,-0.011977434158325195,75.07530212402344,0.0007,119.81188888000001,279,11099,11100,10.604714393615723,,
56000,0.8866733908653259,-25.900196075439453,24.11,198,-0.0005058050155639648,86.76203918457031,0.0007,112.44622182999997,282,11199,11200,11.631556510925293,,
56500,0.8874869346618652,-25.920080184936523,23.54,198,0.00024110078811645508,-5819.1953125,0.0007,109.12210080000001,284,11299,11300,91099.4921875,,
57000,0.8876305818557739,-25.928312301635742,23.42,198,0.0007179975509643555,49.33727264404297,0.0007,108.54297161000002,286,11399,11400,5.421752452850342,,
57500,0.8861568570137024,-25.894001007080078,22.92,198,0.00908052921295166,76.60396575927734,0.0007,106.03979089,288,11499,11500,10.457013130187988,,
58000,0.8861374855041504,-25.895238876342773,22.72,198,0.001648247241973877,60.38303756713867,0.0007,105.43090577999999,291,11599,11600,6.518734931945801,,
58500,0.8846927881240845,-25.865209579467773,22.78,198,0.00019544363021850586,59.90800857543945,0.0007,105.87086734,294,11699,11700,6.4939775466918945,,
59000,0.8839780688285828,-25.851760864257812,22.92,198,1.7285346984863281e-06,-2176.76416015625,0.0007,106.79115857000001,296,11799,11800,33318.6796875,,
59500,0.8826403021812439,-25.817407608032227,23.05,198,4.309415817260742e-05,71.0984115600586,0.0007,107.75953126,299,11899,11900,8.568991661071777,,
60000,0.8823877573013306,-25.813556671142578,,,-0.0003305673599243164,60.24580001831055,0.0007,,,11999,,6.768947124481201,20.25,94.356116243219
60000,,,22.45,198,,,,104.90081454999999,302,,12000,,,
60500,0.8820015788078308,-25.802356719970703,22.4,198,0.00030803680419921875,66.55667877197266,0.0007,104.65430081999999,305,12099,12100,8.517756462097168,,
61000,0.8802348375320435,-25.75416374206543,22.1,198,3.510713577270508e-05,59.94084548950195,0.0007,103.31787163999998,307,12199,12200,5.633084774017334,,
61500,0.87896329164505,-25.72389030456543,22.31,198,-1.1920928955078125e-07,37.58618927001953,0.0007,104.53680037,309,12299,12300,2.285619020462036,,
62000,0.8791120648384094,-25.73638343811035,22.31,198,0.0,-7718.73828125,0.0007,104.49618071,312,12399,12400,105295.8046875,,
62500,0.8794185519218445,-25.732892990112305,22.42,198,-7.152557373046875e-07,-6537.94677734375,0.0007,104.92996090000001,314,12499,12500,107078.4609375,,
63000,0.8803715705871582,-25.755517959594727,22.88,198,2.384185791015625e-07,-2183.74072265625,0.0007,107.42498042,316,12599,12600,36931.04296875,,
63500,0.8784465789794922,-25.70647621154785,23.0,198,2.3663043975830078e-05,42.994441986083984,0.0007,108.09617272000001,319,12699,12700,2.879671335220337,,
64000,0.8776653409004211,-25.697607040405273,23.05,199,2.855062484741211e-05,45.37229537963867,0.0007,108.43915609999998,321,12799,12800,4.291065692901611,,
64500,0.8787023425102234,-25.716047286987305,23.15,199,0.0,39.43502426147461,0.0007,109.11625019000002,323,12899,12900,2.465789556503296,,
65000,0.8777210116386414,-25.68548011779785,,,4.172325134277344e-07,47.557125091552734,0.0007,,,12999,,3.465090274810791,20.55,96.5076183370431
65000,,,22.71,198,,,,107.02829952,327,,13000,,,
65500,0.8775884509086609,-25.6776180267334,22.26,198,2.384185791015625e-07,-2102.6708984375,0.0007,104.78833542999998,329,13099,13100,39303.015625,,
