train/actor_loss,train/critic_loss,time/episodes,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-45.79222124481201,0.9269609569311142,,,0.001,,125000,,124204,,1000.0,905.5872725031338
-45.924681106567384,0.8809496764838696,156,125,0.001,980.32,126204,765.0953477400002,125204,1004,,
-47.047196662902834,0.8937690192461014,,,0.001,,130000,,129204,,1000.0,894.9663450250868
,,160,125,,980.32,130204,776.45336611,,1039,,
-47.62355556488037,1.0036970856189729,164,126,0.001,980.32,134204,780.9690524900001,133204,1063,,
-47.84767503356934,0.9960459946393967,,,0.001,,135000,,134204,,1000.0,899.7954589288449
-48.35171234130859,0.998916390568018,168,125,0.001,980.32,138204,788.21892811,137204,1099,,
-48.841984558105466,0.9581375141938527,,,0.001,,140000,,139234,,1000.0,833.6324984276201
-48.947493423461914,1.0131597906947136,172,125,0.001,970.62,141234,781.2906688799999,140234,1129,,
-49.42280615234375,1.0594031313061714,,,0.001,,145000,,144234,,1000.0,931.5625536559616
,,176,124,,970.62,145234,784.3359125499999,,1164,,
-49.801233627319334,0.9683083633482457,180,125,0.001,970.62,149234,791.56245323,148234,1189,,
-49.817158721923825,1.0757629393041135,,,0.001,,150000,,149234,,1000.0,878.5693055796467
-49.40691936717314,1.1186929910943129,184,124,0.001,961.31,152303,795.6669392000002,151303,1220,,
-50.09985601043701,1.0928238111436368,,,0.001,,155000,,154303,,1000.0,874.4969160919776
-50.263583282470705,1.164533361375332,188,124,0.001,961.31,156303,799.71236039,155303,1257,,
-50.22500375366211,1.0668279873728752,,,0.001,,160000,,159303,,1000.0,903.952020273637
,,192,123,,961.31,160303,804.4093530999999,,1295,,
-50.32844011688233,1.1242922048270703,196,124,0.001,961.31,164303,806.6015290999999,163303,1319,,
-50.34019807434082,1.2062422840297222,,,0.001,,165000,,164303,,1000.0,721.4430120750272
-50.21608128356934,1.2973907663226127,200,124,0.001,961.31,168303,821.20381561,167303,1356,,
-50.24561547088623,1.267891162455082,,,0.001,,170000,,169303,,1000.0,931.2915929914452
-50.31642691040039,1.168724945783615,204,123,0.001,961.31,172303,833.66550382,171303,1392,,
-50.19270518493652,1.103382641106844,,,0.001,,175000,,174303,,1000.0,901.9362173327245
-50.44721139526367,1.0855242663025857,208,123,0.001,961.31,176303,837.77813971,175303,1428,,
-50.62869641876221,1.0307907901406288,,,0.001,,180000,,179303,,1000.0,932.1342074327171
,,212,123,,961.31,180303,845.90998478,,1464,,
-51.057774940490724,0.9386787442862987,216,123,0.001,961.31,184303,852.68315997,183303,1490,,
-51.17664699554443,0.9189929044395685,,,0.001,,185000,,184303,,1000.0,966.6432299343171
-51.561297660827634,0.8197342393100262,220,123,0.001,961.31,188303,854.8405680199999,187303,1527,,
-51.664652145385745,0.8062333205938339,,,0.001,,190000,,189303,,1000.0,935.8592099029105
-51.87380390167236,0.7777555814385414,224,122,0.001,961.31,192303,850.1150976799998,191303,1565,,
-52.36376595306397,0.7660525927990675,,,0.001,,195000,,194303,,1000.0,926.8482580850832
-52.48868203735351,0.7617452894747258,228,122,0.001,971.16,196303,860.91506458,195303,1602,,
-52.8143041229248,0.7638234278708697,,,0.001,,200000,,199303,,1000.0,943.6942737006582
,,232,122,,980.99,200303,872.8363163500002,,1641,,
-52.8897137298584,0.7630238641649485,236,122,0.001,980.99,204303,841.38766995,203303,1667,,
-52.961456359863284,0.7379351227283478,,,0.001,,205000,,204303,,1000.0,973.1927207776113
-53.39905136871338,0.6955089195668698,240,122,0.001,980.99,208303,846.0709040200001,207303,1705,,
-53.513450103759766,0.7467135841697454,,,0.001,,210000,,209303,,1000.0,991.5660025532416
-53.55813242340088,0.7405547423213721,244,121,0.001,980.99,212303,849.3377077400002,211303,1742,,
-53.98991265869141,0.7276179107427597,,,0.001,,215000,,214303,,1000.0,938.0525385402609
-54.047736907958985,0.7067866580486297,248,121,0.001,980.99,216303,853.77973801,215303,1779,,
-54.639137969970704,0.7100351053327322,,,0.001,,220000,,219303,,1000.0,986.1742667372862
,,252,121,,980.99,220303,856.0153094500002,,1814,,
-55.17347034454346,0.7014613806307316,256,121,0.001,980.99,224303,859.6722484000001,223303,1839,,
-55.20970034790039,0.7319750416576862,,,0.001,,225000,,224303,,1000.0,975.6177296013454
-55.3792854385376,0.6780400013923645,260,121,0.001,980.99,228303,863.8153417300001,227303,1875,,
-55.7795051651001,0.6569247652292252,,,0.001,,230000,,229303,,1000.0,990.0568057441153
-56.072489555358885,0.6590760006457568,264,121,0.001,980.99,232303,869.1798617999999,231303,1910,,
-56.39425981140137,0.7003338427394629,,,0.001,,235000,,234303,,1000.0,965.4784423319564
-56.53701147460937,0.7038645079731941,268,121,0.001,980.99,236303,874.6712994999999,235303,1947,,
-56.96171771240235,0.6594221389591693,,,0.001,,240000,,239303,,1000.0,1022.1215432659723
,,272,121,,990.69,240303,889.6753077,,1982,,
-57.360850509643555,0.64530171482265,276,121,0.001,990.69,244303,895.02759973,243303,2007,,
-57.64202938842774,0.6554673573970795,,,0.001,,245000,,244303,,1000.0,1044.537153491401
-57.89310884857178,0.6548650947511196,280,121,0.001,990.69,248303,899.9244182399999,247303,2042,,
-58.06795200347901,0.6554402803480626,,,0.001,,250000,,249303,,1000.0,991.3640684566111
-58.24867629241943,0.683631561934948,284,121,0.001,1000.0,252303,910.3266527,251303,2079,,
-58.2958479309082,0.7029357246905565,,,0.001,,255000,,254303,,1000.0,935.0197683572071
-58.44475543212891,0.7474869683682919,288,121,0.001,1000.0,256303,909.2527311800001,255303,2115,,
-58.747951538085935,0.7356312222629785,,,0.001,,260000,,259303,,914.2,1027.5619883076288
,,292,121,,1000.0,260303,915.9719302900002,,2150,,
-59.16322624969482,0.7373530544638633,296,121,0.001,1000.0,264303,927.8232709399998,263303,2174,,
-59.11202599334717,0.7493552534580231,,,0.001,,265000,,264303,,1000.0,1131.455475813197
-59.684499641418455,0.7359725803136825,300,121,0.001,1000.0,268303,937.3078290100001,267303,2207,,
-59.79907481384277,0.8211597425043583,,,0.001,,270000,,269303,,1000.0,1354.7293160381996
-59.99867433929443,0.8359746506214142,304,121,0.001,992.37,271540,941.9515752,271303,2243,,
-60.26087395477295,0.9690889804661273,,,0.001,,275000,,274540,,1000.0,1327.3467579687597
,,308,121,,992.37,275540,957.23383705,,2274,,
-60.678013473510745,1.0143850726485253,312,121,0.001,992.37,279540,973.0377418699999,278540,2299,,
-60.95044515991211,0.993961629986763,,,0.001,,280000,,279540,,1000.0,1421.5602669016457
-61.56522383117676,1.0854703645408152,316,121,0.001,992.37,283540,994.19457157,282540,2335,,
-61.97286010742187,1.1546086822152137,,,0.001,,285000,,284540,,1000.0,1616.908236308309
-62.75948609924316,1.2620897829532622,320,121,0.001,992.37,287540,1011.33402913,286540,2371,,
-63.94578872680664,1.417051570057869,,,0.001,,290000,,289540,,946.3,1076.1803129995328
-64.0649010772705,1.2371413699388505,324,121,0.001,992.37,291540,1040.0790922699998,290540,2406,,
-65.4618579788208,1.3453678061962129,,,0.001,,295000,,294540,,1000.0,1371.7502484173951
,,328,121,,992.37,295540,1052.40892479,,2441,,
-66.66828484344482,1.4259367950558663,332,121,0.001,992.37,299540,1079.12051749,298540,2465,,
-67.0439375,1.4453178185820579,,,0.001,,300000,,299540,,1000.0,1642.8306289339903
-68.22239123535157,1.4876042985916138,336,121,0.001,992.37,303540,1147.3451803199998,302540,2501,,
-69.12163078308106,1.582795750081539,,,0.001,,305000,,304540,,1000.0,1704.0676717114343
-69.81330320739747,1.6331300971508027,340,121,0.001,992.37,307540,1175.6048312699997,306540,2538,,
-71.16639366149903,1.6433912821412087,,,0.001,,310000,,309540,,902.1,1306.1733517977314
-71.62449435424804,1.7421848457455635,344,121,0.001,992.37,311540,1204.08156268,310540,2572,,
-73.11514549255371,1.925875106215477,,,0.001,,315000,,314025,,934.3,1603.5840901849838
,,348,120,,987.22,315025,1209.38390757,,2604,,
-74.63123692321777,2.2024463893771173,352,121,0.001,987.22,319025,1223.4919883700002,318025,2628,,
-74.68860437011719,2.2221784672141074,,,0.001,,320000,,319025,,888.2,1529.876759826587
-75.67198847961426,2.390553518652916,356,121,0.001,983.27,322630,1230.4795647800001,321630,2660,,
-76.37260623168946,2.590633408665657,,,0.001,,325000,,324630,,763.1,180.59978436894306
-76.20238211495536,2.4433392671394802,360,121,0.001,977.48,326051,1253.44810207,325051,2689,,
-77.3562430267334,2.8262607901096346,,,0.001,,330000,,329051,,831.6,871.1850012796465
,,364,121,,977.48,330051,1286.2820720099999,,2723,,
-78.90971481323243,2.932049456477165,368,121,0.001,974.63,333766,1313.24404104,333051,2747,,
