rollout/ep_len_mean,train/std,train/value_loss,train/learning_rate,time/fps,train/explained_variance,train/policy_loss,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,time/total_timesteps,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
25.57894736842105,0.9875373840332031,5.530370235443115,0.0007,179,0.2403125762939453,-38.54888916015625,100,23.293908105263156,2,99,500,-16.87921714782715,,
25.358974358974358,0.9848940372467041,10.734651565551758,0.0007,203,-0.0027724504470825195,45.94880294799805,200,23.890473846153842,4,199,1000,-16.845733642578125,,
24.76271186440678,0.9866127371788025,5.849123477935791,0.0007,207,-3.010369300842285,-22.8338565826416,300,23.791135237288138,7,299,1500,-16.862836837768555,,
24.341463414634145,0.9814066886901855,7.943459987640381,0.0007,207,-0.7873450517654419,-29.281787872314453,400,23.28217431707317,9,399,2000,-16.799564361572266,,
23.56,0.9812326431274414,42.49259567260742,0.0007,204,0.28555041551589966,-13.370070457458496,500,22.769286870000002,12,499,2500,-16.798559188842773,,
23.68,0.9795693159103394,7.911849498748779,0.0007,207,-0.8185161352157593,41.7298469543457,600,23.32224586,14,599,3000,-16.7734375,,
22.82,0.9784500598907471,16.159364700317383,0.0007,208,-1.3835391998291016,-69.98308563232422,700,22.606307660000002,16,699,3500,-16.765913009643555,,
23.45,0.9795265197753906,6.231055736541748,0.0007,210,-0.004327654838562012,32.66966247558594,800,23.183823629999996,19,799,4000,-16.780338287353516,,
23.89,0.9792026281356812,5.404656887054443,0.0007,211,0.0909566879272461,35.78508758544922,900,24.109741049999997,21,899,4500,-16.769638061523438,,
,0.9768468737602234,296.77703857421875,0.0007,,-0.0038355588912963867,-211.5834503173828,,,,999,5000,-16.748004913330078,22.45,24.1763491914724
23.06,,,,203,,,1000,23.572204029999995,24,,5000,,,
23.09,0.9763085842132568,10.51343822479248,0.0007,203,-0.2614983320236206,54.648353576660156,1100,23.45448144,27,1099,5500,-16.73147964477539,,
22.16,0.9699484705924988,213.8816375732422,0.0007,204,-0.005536913871765137,-94.09789276123047,1200,22.554384650000006,29,1199,6000,-16.65878677368164,,
21.25,0.9702765345573425,6.873582363128662,0.0007,205,-0.014867186546325684,37.486419677734375,1300,21.49695374000001,31,1299,6500,-16.66261100769043,,
21.31,0.9650132656097412,4.123133182525635,0.0007,206,-0.18241214752197266,34.71874237060547,1400,21.409630429999996,33,1399,7000,-16.58918571472168,,
21.45,0.969419002532959,8.280474662780762,0.0007,205,-0.014980316162109375,44.93853759765625,1500,21.616581380000003,36,1499,7500,-16.648366928100586,,
21.78,0.966731071472168,3.0734598636627197,0.0007,207,0.037970781326293945,27.785552978515625,1600,22.27459359,38,1599,8000,-16.613483428955078,,
22.45,0.9661077260971069,5.882383823394775,0.0007,208,-0.0005751848220825195,38.57278060913086,1700,23.040757339999995,40,1699,8500,-16.605430603027344,,
22.2,0.9660037755966187,1681.05078125,0.0007,208,-0.003815770149230957,-633.7863159179688,1800,23.06642817,43,1799,9000,-16.605772018432617,,
22.25,0.9642300605773926,1.2701265811920166,0.0007,209,0.13374048471450806,18.253015518188477,1900,23.24612718,45,1899,9500,-16.578643798828125,,
,0.9648666381835938,5.132569313049316,0.0007,,-0.0015333890914916992,39.599517822265625,,,,1999,10000,-16.582813262939453,22.8,24.662895895680414
22.57,,,,206,,,2000,23.150120499999993,48,,10000,,,
21.73,0.9614243507385254,1.5914855003356934,0.0007,208,-0.0030614137649536133,18.9232120513916,2100,22.50414721,50,2099,10500,-16.543935775756836,,
22.12,0.9581982493400574,2034.511962890625,0.0007,209,0.0032549500465393066,-656.3212280273438,2200,22.8711508,52,2199,11000,-16.50575065612793,,
22.42,0.9565147757530212,0.19940638542175293,0.0007,210,0.07866168022155762,5.932460784912109,2300,22.7025526,54,2299,11500,-16.482528686523438,,
22.02,0.9540663957595825,8.342297554016113,0.0007,211,-2.09808349609375e-05,42.68726348876953,2400,23.053866920000004,56,2399,12000,-16.45059585571289,,
22.95,0.9582645893096924,1584.679931640625,0.0007,212,0.07245862483978271,-402.36572265625,2500,24.22232156,58,2499,12500,-16.503955841064453,,
