time/episodes,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
,154218,,,0.39503208887577057,,,0.001,-47.73231826019287,155000,946.4776923269034,1000.0
156,,1000.0,853.0610683100001,,145,1066,,,155218,,
160,158218,1000.0,856.7270760700001,0.40175907585024834,146,1090,0.001,-48.24558360290527,159218,,
,159218,,,0.4034346613138914,,,0.001,-48.31080152893066,160000,807.8603676855564,1000.0
164,162218,1000.0,858.8797916899999,0.3888435135781765,145,1123,0.001,-48.6380791015625,163218,,
,164218,,,0.40385776676237584,,,0.001,-48.94912726593017,165000,886.9346407577395,1000.0
168,166218,1000.0,860.2463023199999,0.43639339838922026,144,1156,0.001,-49.09736534881592,167218,,
,169218,,,0.4195971038490534,,,0.001,-49.467300285339356,170000,897.4725878868252,1000.0
172,170218,1000.0,861.6411473000001,0.4177976610660553,143,1190,0.001,-49.53986781311035,171218,,
,174218,,,0.4279028451293707,,,0.001,-49.8911425704956,175000,917.3683719214052,1000.0
176,,1000.0,865.0867902399998,,143,1224,,,175218,,
180,178218,1000.0,872.4114635999998,0.5090708271861076,143,1247,0.001,-49.89560404968262,179218,,
,179218,,,0.4914129241704941,,,0.001,-49.730635330200194,180000,865.2911815216299,1000.0
184,182218,1000.0,867.36778454,0.46531366612017155,143,1280,0.001,-49.94004683685303,183218,,
,184218,,,0.42542406444251535,,,0.001,-50.101065490722654,185000,715.2549303419888,1000.0
188,186218,1000.0,864.7630056400001,0.4280895991921425,142,1312,0.001,-50.417348106384274,187218,,
,189218,,,0.49335398921370505,,,0.001,-50.312942558288576,190000,900.9089815151877,1000.0
192,190218,1000.0,864.66299858,0.5110704059302806,142,1344,0.001,-50.13690728759766,191218,,
,194218,,,0.49679182150959966,,,0.001,-50.161233993530274,195000,901.8749141009524,1000.0
196,,1000.0,864.56301335,,141,1379,,,195218,,
200,198218,1000.0,876.19940037,0.5422756877988577,142,1401,0.001,-50.437944618225096,199218,,
,199218,,,0.5488953499794006,,,0.001,-50.47159467315674,200000,912.7852904344269,1000.0
204,202218,1000.0,877.7612022300001,0.5591629849672317,141,1432,0.001,-50.62922736358642,203218,,
,204218,,,0.5426492021977901,,,0.001,-50.54227891540528,205000,780.6625530263409,1000.0
208,206218,1000.0,876.4465092099999,0.5229069837927818,141,1461,0.001,-50.49019146728516,207218,,
,209218,,,0.5512494979351759,,,0.001,-50.50451895904541,210000,773.638984304294,1000.0
212,210218,1000.0,876.19397789,0.6153424585759639,141,1489,0.001,-50.543628051757814,211218,,
216,214218,990.21,856.2892821100002,0.7729978398382664,141,1509,0.001,-49.89309558105469,214239,,
,214358,,,0.7209966225283486,,,0.001,-50.08575146993001,215000,758.6838869860512,1000.0
220,216358,981.4,846.5794557000003,0.740784981250763,142,1529,0.001,-50.05098217010498,217358,,
,219358,,,0.6649766296744347,,,0.001,-50.29853691864014,220000,837.9328013624996,1000.0
224,220358,981.4,845.33101073,0.6355185540020466,141,1559,0.001,-50.32155715179444,221358,,
,224358,,,0.568478334158659,,,0.001,-50.10932238006592,225000,651.6566918917466,1000.0
228,,981.4,840.12674665,,141,1589,,,225358,,
232,228358,981.4,840.0196808500001,0.6492914779782295,141,1620,0.001,-49.7347783203125,229358,,
,229358,,,0.6432116569280625,,,0.001,-49.709961318969725,230000,601.0247906822602,1000.0
236,232358,981.4,827.00016453,0.6571032197773456,141,1650,0.001,-50.14428002929687,233358,,
,234358,,,0.6039051661789417,,,0.001,-50.36951145935058,235000,799.1387777275173,1000.0
240,236358,981.4,826.05686836,0.6558910428881645,141,1680,0.001,-50.243551612854006,237358,,
,239358,,,0.5889749277234078,,,0.001,-50.27292366790771,240000,944.8842000714503,1000.0
244,240358,981.4,826.8810987100002,0.547048154309392,141,1708,0.001,-50.18817169952393,241358,,
,244358,,,0.573714593321085,,,0.001,-50.34032135772705,245000,862.9816371101886,1000.0
248,,981.4,826.3250741299998,,141,1736,,,245358,,
252,248358,981.4,826.23244562,0.5706552508622408,141,1757,0.001,-50.79984384918213,249358,,
,249358,,,0.5173297483325004,,,0.001,-50.87127987670898,250000,886.0024360422627,1000.0
256,252358,981.4,825.3544591100002,0.4867470838576555,141,1787,0.001,-51.24155683898926,253358,,
,254358,,,0.49917495051026345,,,0.001,-51.37174089050293,255000,880.1061721326784,1000.0
260,256358,981.4,823.31679283,0.5826751356124877,141,1815,0.001,-51.4287435836792,257358,,
,259358,,,0.6730108359158039,,,0.001,-51.646115150451664,260000,894.9062222960172,1000.0
264,260358,981.4,825.2295803100001,0.6301825006604195,141,1843,0.001,-51.96533846282959,261358,,
,264358,,,0.6469225294589996,,,0.001,-52.18304956817627,265000,865.2471144160256,1000.0
268,,981.4,824.4456697700001,,141,1872,,,265358,,
272,268358,981.4,824.0771532599999,0.6566136590838433,142,1893,0.001,-51.67448829650879,269358,,
,269358,,,0.6590321045219898,,,0.001,-52.02601350402832,270000,889.751869410649,1000.0
276,272358,981.4,826.7351201199999,0.6627321158647537,142,1922,0.001,-52.247613410949704,273358,,
,274358,,,0.6735316731631756,,,0.001,-52.6619695892334,275000,502.2068169108592,1000.0
280,276358,981.4,820.05763347,0.6970729733109474,142,1950,0.001,-52.75885445404053,277358,,
,279358,,,0.6375847551226616,,,0.001,-52.785575630187985,280000,648.8178192095598,1000.0
284,280358,981.4,820.5556286999999,0.6184522630274296,142,1980,0.001,-52.97048168182373,281358,,
,284358,,,0.6337038311958313,,,0.001,-53.21273965454102,285000,749.2728225415573,1000.0
288,,981.4,821.6770269000001,,141,2009,,,285358,,
292,288358,981.4,822.18121387,0.6351051664054393,142,2030,0.001,-52.95132081604004,289358,,
,289358,,,0.6050553370714188,,,0.001,-53.0726587600708,290000,898.1628485267632,1000.0
296,292358,981.4,820.95563782,0.5443443342447281,142,2061,0.001,-52.96963121032715,293358,,
,294358,,,0.5067487310767174,,,0.001,-53.164184715271,295000,915.4312074972389,1000.0
300,296358,981.4,820.0876897200001,0.554137927532196,74,3978,0.001,-53.231374641418455,297358,,
,299358,,,0.5838126430809498,,,0.001,-53.09842682647705,300000,799.2829466708936,1000.0
304,300358,981.4,815.9016753899999,0.6125616100728511,75,4014,0.001,-53.209791374206546,301358,,
,304358,,,0.5179192560315132,,,0.001,-53.69126550292969,305000,822.30939650191,1000.0
308,,981.4,816.53656608,,75,4053,,,305358,,
312,308358,981.4,815.35723763,0.5813297363221646,75,4077,0.001,-54.348120391845704,309358,,
,309358,,,0.6628155010640622,,,0.001,-54.311226951599124,310000,826.9423338536174,1000.0
316,312358,991.19,832.8847665099998,0.7088423247337341,76,4113,0.001,-54.148205528259275,313358,,
,314358,,,0.8192569671571255,,,0.001,-53.95430435180664,315000,825.2710551398166,1000.0
320,316358,1000.0,839.2163461700002,0.818372976720333,76,4152,0.001,-53.304787483215335,317358,,
,319358,,,0.8292849773466587,,,0.001,-52.96689086914063,320000,828.7995691881908,1000.0
324,320358,1000.0,836.80129403,0.8298457061350346,76,4188,0.001,-53.08013314819336,321358,,
,324358,,,0.6556990206241607,,,0.001,-53.54990688323974,325000,789.7803981522098,1000.0
328,,1000.0,840.4833839500002,,77,4223,,,325358,,
332,328358,1000.0,839.0752830700002,0.8165514293313026,77,4247,0.001,-53.68189978790283,329358,,
,329358,,,0.8505369992256164,,,0.001,-53.187313613891604,330000,494.96217479567275,1000.0
336,332358,1000.0,826.3978646999999,0.7825294951796532,77,4282,0.001,-52.36784843444824,333358,,
,334358,,,0.9095191118121148,,,0.001,-52.824357864379884,335000,444.1794731063768,907.3
340,335493,991.35,806.5447559500001,1.1195451303764625,78,4310,0.001,-52.97930253441654,336493,,
,339493,,,1.0810483375787734,,,0.001,-51.795304695129396,340000,546.0492306705098,1000.0
344,,991.35,789.0891701800001,,78,4347,,,340493,,
348,343493,991.35,772.9420126199999,1.3368067435622215,78,4372,0.001,-53.19580096435547,344493,,
,344493,,,1.273936928153038,,,0.001,-53.10330065917969,345000,663.2551461477415,1000.0
352,347493,991.35,761.8293370099999,1.2181024525165558,79,4409,0.001,-52.31544460296631,348493,,
,349882,,,1.3156339979723364,,,0.001,-52.108605057153945,350000,382.2305449507083,964.6
356,350103,977.45,730.14885205,1.3095929671196915,79,4433,0.001,-51.99368019104004,351103,,
,354103,,,1.544640293776989,,,0.001,-49.35287556457519,355000,410.9092077699694,1000.0
360,,977.45,716.6364652799999,,79,4466,,,355103,,
364,358103,977.45,692.7181194100001,1.6951456907987594,79,4489,0.001,-46.27509665679931,359103,,
,359103,,,1.6776824370026588,,,0.001,-46.73219051361084,360000,484.1467052682303,1000.0
368,362103,977.45,681.9575742799998,1.3791463060975075,80,4522,0.001,-48.41854119110108,363103,,
,364103,,,1.281870076239109,,,0.001,-47.84030257415772,365000,603.1462912204312,1000.0
372,366103,977.45,668.6797299400001,1.1997570454478264,80,4555,0.001,-47.365275634765624,367103,,
,369103,,,1.0993806797862054,,,0.001,-46.55372087097168,370000,456.3704158191569,1000.0
376,370103,977.45,655.1904270800001,1.088731486082077,80,4590,0.001,-46.21250720977783,371103,,
,374103,,,1.0342762240469456,,,0.001,-45.20020074462891,375000,676.2579350013286,1000.0
380,,977.45,649.9794316900002,,81,4624,,,375103,,
384,378103,977.45,644.4835190500002,0.9567125018835068,81,4648,0.001,-44.578850173950194,379103,,
,379103,,,0.980128957927227,,,0.001,-44.656155075073244,380000,775.8206933498848,1000.0
388,382103,977.45,647.95046455,1.0597623591721057,81,4683,0.001,-44.635157890319825,383103,,
,384103,,,1.006810274899006,,,0.001,-44.426380111694336,385000,411.4769751793239,1000.0
392,386103,977.45,643.5705837,1.0419803381562234,82,4716,0.001,-44.39420377349853,387103,,
,389103,,,1.303708659529686,,,0.001,-44.39070666503906,390000,125.4170992329833,1000.0
396,390103,977.45,622.32518232,1.1796322477459908,82,4754,0.001,-44.25566216278076,391103,,
,394103,,,1.1521040348410607,,,0.001,-43.66367870330811,395000,556.4005671333522,1000.0
400,,977.45,610.2254930199999,,82,4793,,,395103,,
404,398103,977.45,609.34797317,1.2668798000812531,82,4817,0.001,-44.262382431030275,399103,,
,399103,,,1.2901193440556527,,,0.001,-44.376799339294436,400000,638.9368938279338,901.5
408,401303,969.45,593.68290981,1.5136463007330894,83,4844,0.001,-44.62335731506348,402303,,
,404303,,,1.238831088066101,,,0.001,-44.10977893829346,405000,539.8541212013355,1000.0
412,405303,969.45,550.71832664,1.0968691131472588,83,4879,0.001,-43.69467794036865,406303,,
,409303,,,1.0678237625062466,,,0.001,-43.7636891784668,410000,615.2563433181494,1000.0
416,,969.45,536.01001987,,83,4913,,,410303,,
420,413303,969.45,539.54359851,1.0793681008815765,83,4936,0.001,-43.9910269317627,414303,,
,414303,,,1.0616543833911418,,,0.001,-43.90769234466553,415000,789.5887756570359,1000.0
424,417303,969.45,529.3423427399999,1.0159730491042138,84,4968,0.001,-43.24356795501709,418303,,
,419303,,,1.0403493509292603,,,0.001,-42.856991661071774,420000,769.3230944195296,1000.0
428,421303,969.45,518.9743052800001,1.2560636212825775,84,5002,0.001,-42.63110026550293,422303,,
,424303,,,1.639871068418026,,,0.001,-41.310064384460446,425000,273.1429076300934,1000.0
432,425303,969.45,507.70153214000004,1.6658909218907356,84,5035,0.001,-40.67193535614014,426303,,
,429303,,,2.1338159440755846,,,0.001,-41.270876029968264,430000,414.3726160058286,1000.0
436,,969.45,493.19344762000003,,84,5067,,,430303,,
440,433303,978.1,486.61278023000006,1.745155004441738,85,5089,0.001,-41.125352828979494,434303,,
,434303,,,1.5066730993390083,,,0.001,-40.984380096435544,435000,775.6742070686072,1000.0
444,437303,978.1,491.69165388,1.160578244268894,85,5121,0.001,-41.216243293762204,438303,,
,439303,,,1.1771138048171996,,,0.001,-42.49758888244629,440000,44.516560228529855,1000.0
448,441303,978.1,474.26547157,1.238387037754059,85,5154,0.001,-43.96057708740234,442303,,
,444303,,,1.2587018662691116,,,0.001,-44.995055625915526,445000,618.4013437939808,1000.0
452,445303,978.1,470.61203184,1.2685034242868423,86,5189,0.001,-44.888162185668946,446303,,
,449303,,,1.679806749880314,,,0.001,-44.970072563171385,450000,763.4048441132996,1000.0
456,,992.0,492.63623031000003,,86,5222,,,450303,,
460,453303,992.0,484.05682509999997,1.9187036773562431,86,5244,0.001,-43.353362190246585,454303,,
,454303,,,1.8787975500822067,,,0.001,-43.47274294281006,455000,472.29218820302924,1000.0
464,457303,992.0,500.64507320000007,1.4981944769024849,86,5276,0.001,-43.82075227355957,458303,,
,459303,,,1.642769991517067,,,0.001,-43.805902885437014,460000,661.6261165014469,1000.0
468,461303,992.0,504.5950973699999,1.9456540724635125,87,5308,0.001,-43.93740730285644,462303,,
,464303,,,1.844693829357624,,,0.001,-44.403012184143066,465000,857.6087486463599,1000.0
472,465303,992.0,510.34996644,1.695214219391346,87,5340,0.001,-44.78465017700195,466303,,
,469303,,,1.4769956284165382,,,0.001,-44.7801943435669,470000,500.2823173004843,1000.0
476,,992.0,502.07438805999993,,87,5373,,,470303,,
480,473303,992.0,491.1925995100001,1.5449549862742424,87,5395,0.001,-44.913302398681644,474303,,
,474303,,,1.445261782646179,,,0.001,-44.89111171722412,475000,638.8056958891451,1000.0
484,477303,992.0,491.16023857000005,1.6024029027819633,88,5426,0.001,-44.95784578704834,478303,,
,479303,,,1.5764425682425498,,,0.001,-44.9277331237793,480000,690.6801527872682,1000.0
488,481303,992.0,487.0838381000001,1.3223902453184129,88,5457,0.001,-45.343532669067386,482303,,
,484303,,,1.3334877296686172,,,0.001,-46.243751159667966,485000,612.1086509913555,1000.0
492,485303,992.0,480.08078715999994,1.2838707159757614,88,5490,0.001,-46.295208198547364,486303,,
,489303,,,1.1467265606820582,,,0.001,-46.0841763381958,490000,391.63052680790423,907.2
496,,992.0,497.6783594499999,,88,5521,,,490303,,
500,493303,992.0,503.93068708,1.038510508596897,89,5543,0.001,-46.952236801147464,494303,,
,494303,,,1.0938969099521636,,,0.001,-46.89010076141357,495000,649.621971987281,1000.0
504,497303,992.0,488.38260089000005,1.21638320094347,89,5578,0.001,-46.53318682861328,498303,,
,499303,,,1.1833306736946105,,,0.001,-45.762949256896974,500000,637.1138940449106,1000.0
508,501303,1000.0,492.29003406000004,1.1559218697547913,89,5611,0.001,-45.58283812713623,502303,,
,504303,,,1.194915691971779,,,0.001,-46.48484077453613,505000,829.9859140423126,1000.0
512,505303,1000.0,537.04331029,1.0879715066850186,89,5643,0.001,-46.59997004699707,506303,,
,509303,,,0.8773601046204567,,,0.001,-46.59810526275635,510000,760.3319296166301,1000.0
516,,1000.0,554.92052097,,89,5676,,,510303,,
520,513303,1000.0,552.4670552599999,0.8926544716954231,90,5698,0.001,-47.50711375427246,514303,,
,514303,,,0.9375117869377136,,,0.001,-47.44588831329346,515000,761.7850904052145,1000.0
524,517303,1000.0,557.6823654499999,0.8289042767882348,90,5729,0.001,-47.34264992523193,518303,,
,519303,,,0.8811232723891735,,,0.001,-47.33115602874756,520000,775.5419309660094,1000.0
528,521303,1000.0,567.2988070199999,0.8939939258992672,90,5761,0.001,-47.235116706848146,522303,,
,524303,,,0.9366872909367084,,,0.001,-47.39508210754394,525000,805.0583694514819,1000.0
532,525303,1000.0,578.0932808800001,0.9304247404634952,90,5792,0.001,-47.27732911682129,526303,,
,529303,,,1.3820156248807907,,,0.001,-45.923488174438475,530000,725.0327915834147,1000.0
536,,1000.0,609.5487043,,91,5825,,,530303,,
540,533303,1000.0,618.0754492399999,1.225689985305071,91,5849,0.001,-45.58258377838135,534303,,
,534303,,,1.1996992859244346,,,0.001,-45.58065490722656,535000,719.1530883128056,1000.0
544,537303,1000.0,626.42971678,1.0328234525620936,91,5881,0.001,-45.30359567260742,538303,,
,539303,,,0.8720080115199089,,,0.001,-45.26393630218506,540000,948.9368696329184,1000.0
548,541303,1000.0,660.59606992,0.8947997032403946,91,5913,0.001,-45.01723198699951,542303,,
,544303,,,1.008063397437334,,,0.001,-44.94464502716065,545000,779.500891513005,1000.0
552,545303,1000.0,658.29107412,0.9420755906701088,91,5945,0.001,-44.90117315673828,546303,,
,549303,,,0.9216888725161553,,,0.001,-45.16106169891357,550000,387.3834656907711,1000.0
556,,1000.0,664.0092989299999,,92,5975,,,550303,,
560,553303,1000.0,656.79087193,1.0129247938394546,92,5997,0.001,-45.45714817810059,554303,,
,554303,,,1.0200289614200593,,,0.001,-45.30329280853272,555000,-327.90688246414646,1000.0
564,557303,1000.0,626.49060461,1.3841463255286217,92,6027,0.001,-46.28013624572754,558303,,
,559303,,,1.441729131102562,,,0.001,-49.1480167388916,560000,470.5960070592846,1000.0
568,561303,1000.0,620.89537981,1.2625383945703506,92,6058,0.001,-49.03104441833496,562303,,
,564303,,,1.0567778093218803,,,0.001,-48.188704399108886,565000,647.1052059063455,1000.0
572,565303,1000.0,611.90209048,1.021704639941454,92,6091,0.001,-48.1481184463501,566303,,
,569303,,,0.7924973874688148,,,0.001,-48.71771678924561,570000,591.2177370045334,1000.0
576,,1000.0,618.32325782,,93,6123,,,570303,,
580,573303,1000.0,636.32852452,0.7563697813153267,93,6145,0.001,-49.622016510009765,574303,,
,574303,,,0.7661189498603344,,,0.001,-49.96027138519287,575000,849.8079202631488,1000.0
584,577303,1000.0,638.88107632,0.703094214707613,93,6178,0.001,-50.66931897735596,578303,,
,579303,,,0.6726946383714676,,,0.001,-51.30745565032959,580000,884.4280073221977,1000.0
588,581303,1000.0,641.3166829500001,0.6665301511138677,93,6208,0.001,-51.75650574493408,582303,,
,584303,,,0.7333255453109742,,,0.001,-52.061363525390625,585000,863.5990773283877,1000.0
592,585303,1000.0,649.20169306,0.7104007233977317,93,6240,0.001,-52.16577420043945,586303,,
,589303,,,0.8143968833684921,,,0.001,-52.8059197845459,590000,830.4098860549973,1000.0
596,,1000.0,655.5887285800001,,94,6272,,,590303,,
600,593303,1000.0,659.0599042499999,1.0058644671738148,94,6295,0.001,-54.850191123962404,594303,,
,594303,,,1.1482919169664383,,,0.001,-56.37673949432373,595000,-393.1057692056929,1000.0
604,597303,1000.0,639.2473864099999,1.469390086054802,94,6328,0.001,-58.1979582824707,598303,,
,599303,,,1.5795386248230934,,,0.001,-58.57078681182861,600000,685.8666344980127,1000.0
608,601303,1000.0,643.8209552000001,1.3602482197880745,94,6362,0.001,-58.73532499694824,602303,,
,604303,,,1.747426628947258,,,0.001,-58.869771850585934,605000,675.5524709212128,1000.0
612,605303,1000.0,634.11606283,1.745022130548954,94,6393,0.001,-58.29863607025146,606303,,
,609303,,,1.604426832318306,,,0.001,-56.87515813446045,610000,501.3984987019809,1000.0
616,,1000.0,580.85486367,,94,6425,,,610303,,
620,613303,1000.0,562.5855995000001,1.4739115859866143,95,6446,0.001,-57.038468864440915,614303,,
,614303,,,1.5223536512851714,,,0.001,-56.75736186218262,615000,207.45918404292314,918.0
624,616389,990.86,554.2653577200001,1.364160943865776,95,6471,0.001,-56.21080930328369,617389,,
,619389,,,1.1124167829751967,,,0.001,-55.436237342834474,620000,524.270867771795,1000.0
628,620389,990.86,546.41057996,1.0451319714188576,95,6503,0.001,-55.45534194946289,621389,,
,624389,,,0.9402069725990295,,,0.001,-55.75658182525635,625000,632.0527322119567,1000.0
632,,990.86,536.48883524,,95,6537,,,625389,,
636,628389,990.86,538.8301662100001,0.7659871341884136,95,6560,0.001,-57.29719216156006,629389,,
,629389,,,0.7245554576218128,,,0.001,-57.72072666168213,630000,717.4186375540681,1000.0
640,632389,990.86,551.23051388,0.6859350167065859,96,6591,0.001,-57.97215052032471,633389,,
,634389,,,0.700601986438036,,,0.001,-58.211659729003905,635000,820.5257416837151,1000.0
644,636389,990.86,548.78263852,0.6745946516990662,96,6623,0.001,-58.43272765350342,637389,,
,639389,,,0.6885032811462879,,,0.001,-59.0089495010376,640000,577.6446605173871,1000.0
648,640389,990.86,540.16213722,0.7079410717487336,96,6653,0.001,-59.29128675842285,641389,,
,644389,,,0.6702802065014839,,,0.001,-59.85507155609131,645000,501.7691892941948,1000.0
652,,990.86,546.48421021,,96,6684,,,645389,,
656,648389,990.86,545.0644385100001,0.7145644027888775,96,6706,0.001,-59.852214767456054,649389,,
,649389,,,0.7135657861232757,,,0.001,-59.77105461883545,650000,834.0072098340839,1000.0
660,652389,990.86,571.4308922000001,0.7565080134272575,96,6738,0.001,-59.3443922958374,653389,,
,654389,,,0.9330106116235256,,,0.001,-59.23708302307129,655000,357.1416452275822,1000.0
664,656389,990.86,579.78119187,0.9085656807124615,97,6769,0.001,-58.978434173583985,657389,,
,659389,,,0.9972912646830082,,,0.001,-58.36817560577393,660000,557.1527168355067,905.7
668,660389,990.86,581.06235963,0.9027177827954292,97,6800,0.001,-58.04192378997803,661389,,
,664389,,,0.8933472392559052,,,0.001,-57.29969321441651,665000,570.3519901712425,932.2
672,,990.86,579.91764192,,97,6831,,,665389,,
676,667745,984.42,587.89252666,0.8848532901406289,97,6848,0.001,-56.89080880737305,668745,,
,669745,,,0.9233301993012428,,,0.001,-56.748115898132326,670000,840.0158218382043,1000.0
680,671745,984.42,588.1456237199999,0.9479097973108291,97,6880,0.001,-56.432772735595705,672745,,
