time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
58228,-24.705188751220703,0.0003,-1.9376304149627686,2.735802412033081,68,140,0.013747029937803745,119.16813705,58127,506.17,847,,
60000,-25.883939743041992,0.0003,-0.6894966959953308,2.4161527156829834,,,0.01374890562146902,,59899,,,339.57671669352584,565.0
60461,-26.281509399414062,0.0003,-0.8960449695587158,2.946012496948242,68,144,0.013780553825199604,138.3540118,60360,516.63,879,,
61258,-25.8953914642334,0.0003,-1.6848090887069702,2.996493101119995,68,148,0.0137861343100667,149.34629987999998,61157,512.94,888,,
63104,-26.436649322509766,0.0003,0.4407568573951721,2.4140748977661133,69,152,0.013914595358073711,167.62935415999996,63003,517.95,909,,
64527,-29.455211639404297,0.0003,0.4697610139846802,2.9806056022644043,69,156,0.013603150844573975,184.46857550999997,64426,517.65,924,,
65000,-28.788414001464844,0.0003,0.7354736328125,2.497485637664795,,,0.01380322314798832,,64899,,,400.85480062657734,554.0
67731,-29.515228271484375,0.0003,-0.5171298980712891,2.158534049987793,69,160,0.013772106729447842,207.99789518999998,67630,533.43,968,,
70000,-30.31653594970703,0.0003,0.37941083312034607,2.454918384552002,,,0.013875146396458149,,69899,,,447.3272569668363,497.8
70243,-32.088050842285156,0.0003,-0.09290261566638947,2.9411239624023438,69,164,0.014001652598381042,224.14220957999999,70142,536.74,1003,,
73278,-30.74964141845703,0.0003,-0.49712321162223816,2.336503744125366,70,168,0.014032009989023209,238.66671232000004,73177,544.13,1035,,
75000,-33.87908935546875,0.0003,0.7988823056221008,3.2726173400878906,,,0.013878144323825836,,74899,,,613.664421128112,714.1
76357,-34.08685302734375,0.0003,0.2622946500778198,3.062962055206299,70,172,0.014057270251214504,265.62810393999996,76256,561.98,1079,,
78812,-36.60804748535156,0.0003,0.9970876574516296,2.4780097007751465,71,176,0.014041319489479065,280.72705221000007,78711,569.36,1106,,
80000,-38.078861236572266,0.0003,0.22297829389572144,2.527066230773926,,,0.01390836015343666,,79899,,,519.2529767868458,545.5
81889,-39.51544189453125,0.0003,1.5058658123016357,2.733452081680298,71,180,0.013946213759481907,298.30987232,81788,583.02,1147,,
83431,-38.274452209472656,0.0003,-1.1485167741775513,2.453354835510254,71,184,0.013900715857744217,307.06878275,83330,581.53,1164,,
84664,-36.808135986328125,0.0003,-1.4079939126968384,2.1326608657836914,71,188,0.013999689370393753,320.05605361,84563,581.08,1178,,
85000,-38.546653747558594,0.0003,-1.3552532196044922,3.2276077270507812,,,0.013856970705091953,,84899,,,595.029942140579,669.6
88260,-41.48567199707031,0.0003,1.0309287309646606,3.2952497005462646,71,192,0.01375835482031107,348.46247092,88159,581.47,1228,,
90000,-43.26591491699219,0.0003,-0.9726858139038086,3.7463974952697754,,,0.014090604148805141,,89899,,,483.56474493392744,403.6
90124,-42.00897216796875,0.0003,0.1436632126569748,3.6980679035186768,71,196,0.014188495464622974,361.70518673999993,90023,587.01,1256,,
93414,-45.19792175292969,0.0003,0.7389187812805176,1.9481732845306396,72,200,0.013866203837096691,383.85165443,93313,600.61,1292,,
94450,-45.45018005371094,0.0003,1.052743673324585,3.352355480194092,72,204,0.013860836625099182,389.31515661,94349,585.9,1304,,
95000,-46.68321990966797,0.0003,0.5404486060142517,2.3967831134796143,,,0.013638384640216827,,94899,,,430.1804006898292,420.3
97205,-47.92464065551758,0.0003,0.585638701915741,2.823413133621216,72,208,0.01390935480594635,412.54598102000006,97104,603.41,1341,,
98794,-47.96751403808594,0.0003,-0.9627413153648376,2.353334903717041,72,212,0.014234514907002449,422.0611613199999,98693,599.75,1359,,
100000,-50.240089416503906,0.0003,-0.30519306659698486,2.6015195846557617,,,0.01427926030009985,,99899,,,543.2876772681251,480.9
101188,-49.88420104980469,0.0003,-0.34166616201400757,6.525480270385742,72,216,0.014133489690721035,437.9277342799999,101087,585.48,1392,,
103628,-50.6552734375,0.0003,-0.4490851163864136,4.593466758728027,72,220,0.014251833781599998,453.25886059,103527,578.95,1420,,
105000,-52.25785827636719,0.0003,-0.6127507090568542,2.549571990966797,,,0.014167767018079758,,104899,,,737.9504100489081,696.8
