rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
5.0,4,0,20,5.0,5221,,,,,,
5.125,8,0,41,5.125,5531,,,,,,
5.583333333333333,12,0,67,5.583333333333333,5855,,,,,,
5.625,16,0,90,5.625,5972,,,,,,
5.4,20,0,108,5.4,1332,0.001,9,0.3074689606825511,-1.084420084953308,,
5.0,24,0,120,5.0,689,0.001,21,0.021182007466753323,-0.9481658339500427,,
4.714285714285714,28,0,132,4.714285714285714,502,0.001,33,0.011769954115152359,-0.985744833946228,,
4.5,32,0,144,4.5,408,0.001,45,0.01156946923583746,-1.0503333806991577,,
4.333333333333333,36,0,156,4.333333333333333,350,0.001,57,0.00300690244572858,-1.054764986038208,,
4.2,40,0,168,4.2,310,0.001,69,0.0030725024795780578,-1.0845186710357666,,
4.090909090909091,44,0,180,4.090909090909091,285,0.001,81,0.0035148693714290857,-1.1417438983917236,,
4.0,48,0,192,4.0,269,0.001,93,0.00599796852717797,-1.1519968509674072,,
3.923076923076923,52,0,204,3.923076923076923,254,0.001,105,0.005498562939465046,-1.1890472173690796,,
3.857142857142857,56,0,216,3.857142857142857,241,0.001,117,0.005872785268972318,-1.2072679996490479,,
3.8,60,0,228,3.8,230,0.001,129,0.009150890943904718,-1.2230747938156128,,
3.75,64,1,240,3.75,221,0.001,141,0.0075363717041909695,-1.284553050994873,,
3.7058823529411766,68,1,252,3.7058823529411766,213,0.001,153,0.00899464450776577,-1.2776142358779907,,
3.6666666666666665,72,1,264,3.6666666666666665,208,0.001,165,0.007972827336440483,-1.2485851049423218,,
3.6315789473684212,76,1,276,3.6315789473684212,203,0.001,177,0.00947879875699679,-1.2922214269638062,,
3.6,80,1,288,3.6,200,0.001,189,0.01068208273500204,-1.3385487794876099,,
3.5714285714285716,84,1,300,3.5714285714285716,197,0.001,201,0.00798859540373087,-1.3568707704544067,,
3.5454545454545454,88,1,312,3.5454545454545454,194,0.001,213,0.009761037149777016,-1.373254656791687,,
3.5217391304347827,92,1,324,3.5217391304347827,191,0.001,225,0.006896159922083219,-1.3421841859817505,,
3.5,96,1,336,3.5,189,0.001,237,0.006698386821274956,-1.3873169422149658,,
3.48,100,1,348,3.48,187,0.001,249,0.009178167364249626,-1.4552074670791626,,
3.4,104,1,360,3.4,185,0.001,261,0.016672305762767792,-1.4416331052780151,,
3.31,108,2,372,3.31,183,0.001,273,0.006722073070704937,-1.4651728868484497,,
3.17,112,2,384,3.17,181,0.001,285,0.012619354762136936,-1.4356063604354858,,
3.06,116,2,396,3.06,178,0.001,297,0.012522614871462187,-1.422312617301941,,
3.0,120,2,408,3.0,176,0.001,309,0.012589146693547567,-1.4656051397323608,,
3.0,124,2,420,3.0,174,0.001,321,0.018977152183651924,-1.508748173713684,,
3.0,128,2,432,3.0,174,0.001,333,0.011088129598647356,-1.4824060201644897,,
3.0,132,2,444,3.0,173,0.001,345,0.007412786440302928,-1.5323225259780884,,
3.0,136,2,456,3.0,171,0.001,357,0.013081669652213654,-1.4640389680862427,,
3.0,140,2,468,3.0,170,0.001,369,0.009982542367652059,-1.4673871994018555,,
3.0,144,2,480,3.0,169,0.001,381,0.011721143499016762,-1.5954716205596924,,
3.0,148,2,492,3.0,168,0.001,393,0.011542413073281447,-1.5550895929336548,,
3.0,152,2,504,3.0,168,0.001,405,0.01149078489591678,-1.5529156923294067,,
3.0,156,3,516,3.0,167,0.001,417,0.01148171971241633,-1.563801884651184,,
3.0,160,3,528,3.0,166,0.001,429,0.01713819398234288,-1.548195481300354,,
3.0,164,3,540,3.0,165,0.001,441,0.010629040654748678,-1.5276433229446411,,
3.0,168,3,552,3.0,164,0.001,453,0.0043649930351724224,-1.5779163837432861,,
3.0,172,3,564,3.0,164,0.001,465,0.009912261739373207,-1.5068864822387695,,
3.0,176,3,576,3.0,163,0.001,477,0.005220172926783562,-1.6563706398010254,,
3.0,180,3,588,3.0,163,0.001,489,0.007225451680521171,-1.5625802278518677,,
3.0,184,3,600,3.0,162,0.001,501,0.006422040984034538,-1.570690631866455,,
3.0,188,3,612,3.0,162,0.001,513,0.01087861011425654,-1.6333181858062744,,
3.0,192,3,624,3.0,161,0.001,525,0.0123413543527325,-1.6252601146697998,,
3.0,196,3,636,3.0,161,0.001,537,0.011352169793099165,-1.5739741325378418,,
3.0,200,4,648,3.0,161,0.001,549,0.017276299186050892,-1.6168296337127686,,
3.0,204,4,660,3.0,161,0.001,561,0.014366478736822804,-1.6139309406280518,,
3.0,208,4,672,3.0,160,0.001,573,0.004857814327503244,-1.7337919473648071,,
3.0,212,4,684,3.0,160,0.001,585,0.01648048109685381,-1.631121039390564,,
3.0,216,4,696,3.0,159,0.001,597,0.013782877785464128,-1.6171174049377441,,
3.0,220,4,708,3.0,159,0.001,609,0.010376559725652138,-1.6253361701965332,,
3.0,224,4,720,3.0,159,0.001,621,0.01295520644634962,-1.685378909111023,,
3.0,228,4,732,3.0,159,0.001,633,0.009015774121508002,-1.696340799331665,,
3.0,232,4,744,3.0,159,0.001,645,0.010693178822596868,-1.6573482751846313,,
3.1,236,4,766,3.1,160,0.001,663,0.009148221230134368,-1.821976661682129,,
3.31,240,4,799,3.31,160,0.001,696,0.024080329574644566,-1.8741249084472655,,
3.68,244,5,848,3.68,160,0.001,737,0.030081730069858686,-1.8937324682871501,,
4.11,248,5,903,4.11,159,0.001,796,0.03424353338778019,-1.9799142678578694,,
4.55,252,5,959,4.55,160,0.001,845,0.03842786221454541,-2.0666535581861223,,
,,,1000,,,0.001,903,0.041296149417757985,-2.1759037290300642,24.5,24.5
5.28,256,6,1044,5.28,157,0.001,927,0.039569305178398885,-2.163310170173645,,
5.8,260,7,1108,5.8,155,0.001,1000,0.0403401058759879,-2.1990605267611416,,
6.38,264,7,1178,6.38,155,0.001,1059,0.04479992084882476,-2.376566743850708,,
7.2,268,8,1272,7.2,154,0.001,1152,0.041892931408559285,-2.4365665117899575,,
8.52,272,9,1416,8.52,154,0.001,1285,0.05969794413873127,-2.624378454117548,,
9.82,276,10,1558,9.82,153,0.001,1426,0.0661122165620327,-2.848535188039144,,
11.29,280,11,1717,11.29,154,0.001,1581,0.0641685205583389,-3.1265170574188232,,
12.74,284,12,1874,12.74,152,0.001,1736,0.08632120845276256,-3.364206552505493,,
,,,2000,,,0.001,1866,0.07603144046405087,-3.6376564502716064,40.9,40.9
14.34,288,13,2046,14.34,149,0.001,1908,0.09582199608641011,-3.6596675373259044,,
16.35,292,15,2259,16.35,149,0.001,2105,0.10429849717439267,-4.020560196467808,,
17.26,296,16,2362,17.26,145,0.001,2252,0.37350309843366797,-5.749970038731893,,
17.51,300,16,2399,17.51,144,0.001,2294,0.2929290119144652,-5.5261993408203125,,
17.8,304,16,2440,17.8,145,0.001,2334,0.33400182696906006,-5.79858120282491,,
18.21,308,17,2493,18.21,145,0.001,2382,0.44361050312335676,-5.728214263916016,,
19.16,312,17,2600,19.16,145,0.001,2472,0.6261010159706247,-5.896062024434408,,
20.31,316,18,2727,20.31,144,0.001,2603,0.5619415392478307,-6.103480962606577,,
21.51,320,19,2859,21.51,143,0.001,2732,0.4769460929406656,-6.161455279902408,,
,,,3000,,,0.001,2900,0.42962210495834763,-6.637775815051535,58.5,58.5
23.3,324,21,3050,23.3,142,,,,,,
26.42,328,23,3374,26.42,144,0.001,3186,0.4117990675333299,-7.235893149124949,,
30.12,332,26,3756,30.12,143,0.001,3567,0.3952566203906348,-8.033973718944349,,
,,,4000,,,0.001,3853,0.3666821703916848,-8.598263468061175,57.1,57.1
33.17,336,28,4083,33.17,141,0.001,3910,0.38721717292802377,-8.775154409737423,,
35.53,340,30,4352,35.53,141,0.001,4191,0.48751637094641387,-9.106797589196098,,
