rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
2.5,4,14,4186,0,3.5,,,,,,
2.75,8,30,4395,0,3.75,,,,,,
5.0,12,72,4954,0,6.0,,,,,,
4.75,16,92,5097,0,5.75,,,,,,
4.4,20,108,1217,0,5.4,-0.7888824343681335,10,0.16660423080126444,0.001,,
4.0,24,120,759,0,5.0,-0.747870683670044,22,0.13299339016278586,0.001,,
3.7142857142857144,28,132,576,0,4.714285714285714,-0.7579107582569122,34,0.11013431350390117,0.001,,
3.5,32,144,464,0,4.5,-0.8009650707244873,46,0.06467261289556821,0.001,,
3.3333333333333335,36,156,403,0,4.333333333333333,-0.7753632962703705,58,0.07122708608706792,0.001,,
3.2,40,168,362,0,4.2,-0.7378053665161133,70,0.07921452323595683,0.001,,
3.090909090909091,44,180,336,0,4.090909090909091,-0.7468397617340088,82,0.07131501783927281,0.001,,
3.0,48,192,311,0,4.0,-0.7740783393383026,94,0.05090563620130221,0.001,,
2.923076923076923,52,204,293,0,3.923076923076923,-0.7577767968177795,106,0.049500087896982826,0.001,,
2.857142857142857,56,216,279,0,3.857142857142857,-0.7306074798107147,118,0.057088639587163925,0.001,,
2.9,60,234,272,0,3.9,-0.9091922044754028,131,0.05288122873753309,0.001,,
3.453125,64,285,250,1,4.453125,-0.9870307683944702,173,0.09683585241436958,0.001,,
9.823529411764707,68,736,228,3,10.823529411764707,-1.748131077464034,498,0.058410375413098715,0.001,,
,,1000,,,,-2.5428542667819607,855,0.06598580739791354,0.001,83.9,84.9
14.36111111111111,72,1106,172,6,15.36111111111111,-2.786515335704005,941,0.0583742433335892,0.001,,
17.605263157894736,76,1414,168,8,18.605263157894736,-3.4248195325627044,1237,0.0732374074936345,0.001,,
22.1625,80,1853,169,10,23.1625,-4.238730343561324,1641,0.07443388919602698,0.001,,
,,2000,,,,-4.787884073991042,1888,0.08570415813189286,0.001,123.4,124.4
27.083333333333332,84,2359,160,14,28.083333333333332,-5.324286583698157,2144,0.07904300885275006,0.001,,
30.897727272727273,88,2807,160,17,31.897727272727273,-6.235499938329061,2601,0.10600866982713342,0.001,,
,,3000,,,,-6.6857569268409245,2806,0.08210626944027682,0.001,106.2,107.2
34.119565217391305,92,3231,157,20,35.119565217391305,-7.106891791025798,3023,0.08611775922734256,0.001,,
36.979166666666664,96,3646,157,23,37.979166666666664,-7.954712212085724,3443,0.10443879291415215,0.001,,
,,4000,,,,-8.68491096496582,3882,0.11119637553664771,0.001,102.1,103.1
39.79,100,4079,155,26,40.79,,,,,,
43.3,104,4444,155,28,44.3,-9.397441824277243,4268,0.14022509144463888,0.001,,
46.8,108,4810,155,30,47.8,-10.046626959906684,4632,0.153548202739003,0.001,,
,,5000,,,,-10.388611909819812,4880,0.18023787724015153,0.001,82.9,83.9
49.7,112,5142,155,33,50.7,-10.628411060426293,4963,0.17554991288357472,0.001,,
52.89,116,5481,154,35,53.89,-11.096318289291027,5301,0.18552394896403127,0.001,,
55.94,120,5802,154,37,56.94,-11.479406418338899,5619,0.20988642508464475,0.001,,
,,6000,,,,-11.873188161849976,5883,0.22625731961962617,0.001,75.1,76.1
59.27,124,6147,154,39,60.27,-12.06457306788518,5960,0.2478778510318174,0.001,,
63.01,128,6533,155,41,64.01,-12.466759326411228,6318,0.27942798050618406,0.001,,
66.44,132,6888,155,44,67.44,-12.982038573214883,6693,0.3606028511728111,0.001,,
,,7000,,,,-13.074169048896202,6897,0.3919721463551888,0.001,73.7,74.7
,,8000,,,,-13.228329194558633,6971,0.3861989298382321,0.001,1000.0,1000.0
78.68,136,8123,148,54,79.67,-13.660970682144166,7971,0.5598234712257981,0.001,,
80.58,140,8325,148,55,81.57,-14.235117975870768,8184,0.6570639213768102,0.001,,
83.29,144,8608,149,57,84.28,-14.358082723617553,8459,0.7150624960660934,0.001,,
,,9000,,,,-14.50497959278248,8513,0.6788404782613119,0.001,1000.0,1000.0
,,10000,,,,-14.815988819122314,9513,0.9403969327807427,0.001,1000.0,1000.0
,,11000,,,,-15.420373870849609,10513,1.164492966890335,0.001,1000.0,1000.0
,,12000,,,,-16.146333196640015,11513,1.1502704992890358,0.001,1000.0,1000.0
123.21,148,12608,141,88,124.16,,,,,,
,,13000,,,,-16.86988026046753,12513,1.2012234898507594,0.001,1000.0,1000.0
,,14000,,,,-17.465438081741333,13513,1.4317387794852257,0.001,1000.0,1000.0
,,15000,,,,-17.99631072998047,14513,1.5379427770376206,0.001,1000.0,1000.0
,,16000,,,,-18.56769668197632,15513,1.2801999373733997,0.001,1000.0,1000.0
