rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
45792.625176150934,126,53248,26,419,1000.0,-0.002791166305541992,0.955267071723938,0.20908203125,0.0003,298823.78125,250,641562.4923828125,0.2,-23.352029418945314,-0.06916027312690858,0.020446857,,
,,55000,,,,0.00021648406982421875,0.953228235244751,0.197705078125,0.0003,520461.46875,260,1047614.988671875,0.2,-23.317727345228196,-0.06944911586178933,0.01987559,69105.42334880828,1000.0
46086.249314181805,123,55296,27,449,1000.0,,,,,,,,,,,,,
46422.00364749123,126,57344,28,453,1000.0,0.00010037422180175781,0.9508626461029053,0.19560546875,0.0003,439999.28125,270,870588.9728515625,0.2,-23.27462030649185,-0.06416591761808377,0.019375496,,
46604.56274991526,129,59392,29,458,1000.0,-5.352497100830078e-05,0.9477344155311584,0.202734375,0.0003,419187.25,280,819531.670703125,0.2,-23.228700667619705,-0.06718101962760556,0.019311484,,
,,60000,,,,0.000186920166015625,0.9472085237503052,0.203662109375,0.0003,398449.0625,290,760759.651953125,0.2,-23.19829503893852,-0.06786677941563539,0.02046178,80884.90404472352,1000.0
47083.91816677049,124,61440,30,492,1000.0,,,,,,,,,,,,,
47760.43222477778,127,63488,31,496,1000.0,-0.00035691261291503906,0.9474804997444153,0.20634765625,0.0003,577200.1875,300,1159031.8443359374,0.2,-23.197851127386095,-0.07054934480693191,0.02032939,,
,,65000,,,,0.0005469322204589844,0.9462365508079529,0.200439453125,0.0003,533038.9375,310,1246501.7138671875,0.2,-23.18523449897766,-0.0696005429053912,0.01859736,74771.31589317322,1000.0
48418.908862769225,123,65536,32,531,1000.0,,,,,,,,,,,,,
48659.1140688806,126,67584,33,536,1000.0,2.384185791015625e-06,0.9443283081054688,0.20517578125,0.0003,584200.5,320,1081654.978515625,0.2,-23.155840891599656,-0.07168508084141649,0.01981308,,
48900.074968260866,128,69632,34,540,1000.0,-0.00011205673217773438,0.9417746067047119,0.226123046875,0.0003,532304.4375,330,941702.23359375,0.2,-23.11607632637024,-0.07612636557896621,0.021808963,,
,,70000,,,,-8.022785186767578e-05,0.9396761059761047,0.222216796875,0.0003,495954.15625,340,907076.4318359375,0.2,-23.07739425301552,-0.07127118165954016,0.022404939,74622.67240123749,1000.0
49074.08634030986,125,71680,35,572,1000.0,,,,,,,,,,,,,
49887.02905006849,127,73728,36,577,1000.0,0.0001297593116760254,0.9373603463172913,0.226123046875,0.0003,434408.5,350,1151310.139453125,0.2,-23.032668352127075,-0.06995005233911797,0.02263924,,
,,75000,,,,-0.0006585121154785156,0.9356845021247864,0.2232421875,0.0003,635122.5625,360,1248152.133984375,0.2,-22.998759418725967,-0.07591696722374763,0.022294082,73219.52361679077,1000.0
50151.17099794666,124,75776,37,610,1000.0,,,,,,,,,,,,,
50241.27481884415,126,77824,38,615,1000.0,0.0002238750457763672,0.9333723187446594,0.226220703125,0.0003,415858.03125,370,955345.9833984375,0.2,-22.952780103683473,-0.06750803534523583,0.023117982,,
50279.911792341765,128,79872,39,620,1000.0,0.00019073486328125,0.9315196871757507,0.278515625,0.0003,307246.875,380,681467.6705078125,0.2,-22.919259750843047,-0.07886432465165853,0.026615322,,
,,80000,,,,4.589557647705078e-05,0.9309008717536926,0.252001953125,0.0003,511196.9375,390,999080.2607421875,0.2,-22.89981490969658,-0.07832770364184398,0.024535373,73625.65090579986,1000.0
50594.223315814816,124,81920,40,658,1000.0,,,,,,,,,,,,,
50823.33543106024,126,83968,41,663,1000.0,0.00040072202682495117,0.9274212121963501,0.25517578125,0.0003,448264.125,400,802907.1888671875,0.2,-22.858898359537125,-0.07756226600613444,0.024791796,,
,,85000,,,,4.26173210144043e-05,0.926140308380127,0.244091796875,0.0003,481317.40625,410,1041581.0119140625,0.2,-22.81475039720535,-0.07494642289238981,0.024355348,74429.56888771057,1000.0
51294.84808002324,122,86016,42,699,1000.0,,,,,,,,,,,,,
51634.83414244317,125,88064,43,704,1000.0,-1.2516975402832031e-05,0.923115074634552,0.22744140625,0.0003,613088.9375,420,1236896.7302734375,0.2,-22.776248240470885,-0.07299640445271507,0.023425955,,
,,90000,,,,0.00044274330139160156,0.9226878881454468,0.265576171875,0.0003,586841.125,430,1236976.3083984375,0.2,-22.744447576999665,-0.08116721326077822,0.02611735,75599.33831996917,1000.0
51825.346724177776,122,90112,44,737,1000.0,,,,,,,,,,,,,
52163.28417580434,124,92160,45,742,1000.0,-1.919269561767578e-05,0.9206511378288269,0.25908203125,0.0003,529154.375,440,1025930.519140625,0.2,-22.724378991127015,-0.07843407445761841,0.027515925,,
52506.5256015851,126,94208,46,746,1000.0,3.075599670410156e-05,0.9193164706230164,0.2408203125,0.0003,585204.9375,450,1149866.196484375,0.2,-22.688166636228562,-0.07315387793642003,0.024527274,,
,,95000,,,,7.992982864379883e-05,0.9180179238319397,0.237548828125,0.0003,708943.75,460,1376137.30703125,0.2,-22.66430734395981,-0.07246747534372844,0.023876285,73669.22816429139,1000.0
52807.36770365625,123,96256,47,777,1000.0,,,,,,,,,,,,,
53172.44651272449,125,98304,48,781,1000.0,2.5033950805664062e-06,0.9166387319564819,0.255322265625,0.0003,549721.5,470,1208983.6259765625,0.2,-22.640263575315476,-0.07894588139897678,0.02520888,,
,,100000,,,,1.3589859008789062e-05,0.9168351292610168,0.250634765625,0.0003,538068.125,480,1251549.421484375,0.2,-22.630471813678742,-0.0753346855926793,0.024282303,80513.05898704528,1000.0
53459.439648670006,123,100352,49,813,1000.0,,,,,,,,,,,,,
53771.68725941,125,102400,50,817,1000.0,2.8431415557861328e-05,0.9173482060432434,0.253759765625,0.0003,546367.375,490,1095621.181640625,0.2,-22.641529154777526,-0.07656927740608807,0.025837354,,
54346.19391952999,127,104448,51,821,1000.0,-4.029273986816406e-05,0.9162951111793518,0.2845703125,0.0003,476669.90625,500,987773.0279296875,0.2,-22.627384930849075,-0.07858456171816215,0.030361878,,
,,105000,,,,-8.058547973632812e-05,0.9145165085792542,0.273291015625,0.0003,625313.1875,510,1225481.618359375,0.2,-22.603003668785096,-0.07560219040897209,0.031269096,73395.9844575882,1000.0
55078.88525316998,124,106496,52,855,1000.0,,,,,,,,,,,,,
55601.36460473998,126,108544,53,860,1000.0,2.574920654296875e-05,0.9137658476829529,0.247900390625,0.0003,785598.5,520,1511904.04921875,0.2,-22.58219132423401,-0.07354569513699971,0.02660698,,
,,110000,,,,-0.000845789909362793,0.9114908576011658,0.252490234375,0.0003,541768.3125,530,1235235.4890625,0.2,-22.54849891066551,-0.07559848116361537,0.026902352,70097.56034851074,1000.0
56133.30195162998,124,110592,54,890,1000.0,,,,,,,,,,,,,
56466.87864971,125,112640,55,894,1000.0,-0.0001367330551147461,0.9106553196907043,0.2841796875,0.0003,478168.84375,540,930235.2595703125,0.2,-22.52485873103142,-0.08201801870891359,0.031834204,,
56988.15623929999,127,114688,56,898,1000.0,0.00019985437393188477,0.9118305444717407,0.2880859375,0.0003,615448.125,550,1270998.494140625,0.2,-22.530248963832854,-0.08378054493514356,0.030143298,,
,,115000,,,,-3.361701965332031e-05,0.9116941690444946,0.291455078125,0.0003,421997.6875,560,922734.3833984375,0.2,-22.532879316806792,-0.08202974973537494,0.032208696,71342.27790126801,1000.0
57606.03806480999,125,116736,57,932,1000.0,,,,,,,,,,,,,
58264.853580459996,126,118784,58,936,1000.0,1.0848045349121094e-05,0.9095263481140137,0.23857421875,0.0003,678253.125,570,1388026.3890625,0.2,-22.511366266012192,-0.07106774190906436,0.025312118,,
,,120000,,,,9.340047836303711e-05,0.9087730050086975,0.291015625,0.0003,527872.75,580,1099072.2234375,0.2,-22.487390559911727,-0.07931393484759611,0.029068597,72543.91764011382,1000.0
58576.25693595999,124,120832,59,968,1000.0,,,,,,,,,,,,,
59097.656876609995,126,122880,60,971,1000.0,0.0005185604095458984,0.9059907793998718,0.31318359375,0.0003,470359.4375,590,950377.8279296875,0.2,-22.448804849386214,-0.08826834580395371,0.03192338,,
59558.41297811,127,124928,61,976,1000.0,-4.5299530029296875e-06,0.9048118591308594,0.2630859375,0.0003,641914.25,600,1431872.9015625,0.2,-22.41361009478569,-0.07917199546354822,0.029325414,,
,,125000,,,,1.0728836059570312e-05,0.904202401638031,0.28232421875,0.0003,487461.875,610,1090150.9619140625,0.2,-22.398291677236557,-0.0752663191058673,0.03186983,71488.00634517669,1000.0
60040.20857501,126,126976,62,1004,1000.0,,,,,,,,,,,,,
60951.72709987999,127,129024,63,1009,1000.0,0.0004303455352783203,0.9014483690261841,0.2599609375,0.0003,582397.3125,620,1236173.641796875,0.2,-22.361171740293504,-0.07299351640394888,0.028718371,,
,,130000,,,,0.0,0.9001289010047913,0.2455078125,0.0003,635724.0625,630,1476044.932421875,0.2,-22.325679194927215,-0.06758533546817488,0.025700737,76071.26032295226,1000.0
61219.19120033001,126,131072,64,1039,1000.0,,,,,,,,,,,,,
61320.08704346,127,133120,65,1043,1000.0,-2.384185791015625e-06,0.8989851474761963,0.30966796875,0.0003,499193.28125,640,904110.12421875,0.2,-22.30207452774048,-0.07675118191691581,0.035539027,,
,,135000,,,,8.940696716308594e-07,0.8976122736930847,0.30400390625,0.0003,419877.25,650,698948.4884765625,0.2,-22.28165183067322,-0.0735974894661922,0.034979098,75455.15651226044,1000.0
61410.111183839996,126,135168,66,1072,1000.0,,,,,,,,,,,,,
61496.89256607998,127,137216,67,1076,1000.0,0.00019127130508422852,0.8954600691795349,0.320458984375,0.0003,345129.84375,660,749663.177734375,0.2,-22.244147694110872,-0.07550124601111748,0.034813963,,
61587.42408956999,128,139264,68,1081,1000.0,-1.430511474609375e-06,0.8954814076423645,0.29873046875,0.0003,578477.0,670,1037930.5,0.2,-22.227521574497224,-0.07749746222398243,0.033779457,,
,,140000,,,,7.450580596923828e-06,0.8957398533821106,0.304296875,0.0003,397767.71875,680,838720.2044921875,0.2,-22.231758093833925,-0.06984970876364968,0.035950165,77568.16077766419,1000.0
61860.67212168999,127,141312,69,1108,1000.0,,,,,,,,,,,,,
62199.60031876999,128,143360,70,1112,1000.0,1.0192394256591797e-05,0.8953563570976257,0.292724609375,0.0003,694790.75,690,1264480.8658203124,0.2,-22.23038637638092,-0.08389340556459501,0.031855356,,
,,145000,,,,7.152557373046875e-07,0.8945218920707703,0.3279296875,0.0003,515296.40625,700,938059.809765625,0.2,-22.21799115538597,-0.08240714480052702,0.039276466,74833.29274425507,1000.0
62548.88446214,127,145408,71,1142,1000.0,,,,,,,,,,,,,
63050.18875251001,128,147456,72,1146,1000.0,4.827976226806641e-06,0.8915913105010986,0.308203125,0.0003,819462.75,710,1547500.743359375,0.2,-22.17529183626175,-0.0846461751498282,0.03359659,,
63154.01033943999,129,149504,73,1150,1000.0,-0.00014126300811767578,0.8897573947906494,0.32275390625,0.0003,594398.5,720,1035074.070703125,0.2,-22.130194818973543,-0.0840991461649537,0.037834316,,
,,150000,,,,1.2993812561035156e-05,0.887345016002655,0.322705078125,0.0003,439293.4375,730,813665.0533203125,0.2,-22.086188238859176,-0.07741957295220345,0.03817416,72241.15245838165,1000.0
63337.274640169984,128,151552,74,1180,1000.0,,,,,,,,,,,,,
63207.261659879994,129,153600,75,1184,1000.0,9.161233901977539e-05,0.8843932747840881,0.357177734375,0.0003,437512.28125,740,861904.8107421875,0.2,-22.032316917181014,-0.08755393744213506,0.044672973,,
