time/episodes,time/fps,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,eval/mean_ep_length,eval/mean_reward
4,157,3000,4.48813885974884,1000.0,0.07605282786814496,25,4000,-2821.45330825,0.001,,
8,127,4028,6.42647705078125,515.625,1.2524760340650876,32,4125,-1467.5490247500002,0.001,,
,,4295,8.441062714071835,,0.7262240912984399,,5000,,0.001,1000.0,-2314.3211879730225
12,93,5375,12.797405481338501,473.75,0.444906594324857,60,5685,-1437.8442874166667,0.001,,
16,92,6076,14.619544982910156,381.1875,0.8859172200455385,66,6099,-1176.2454441875,0.001,,
20,92,6138,15.728188514709473,307.7,0.9858512832568243,66,6154,-950.5057826999998,0.001,,
24,92,6194,15.82649314403534,258.7083333333333,2.104004431515932,66,6209,-800.3881288749999,0.001,,
28,93,6252,15.658905792236329,224.67857142857142,1.7736474441157446,67,6291,-696.0066583214285,0.001,,
32,97,7417,17.799092226250227,233.84375,1.4977640447228453,76,7483,-713.48190896875,0.001,,
36,104,8911,20.83555480732637,255.33333333333334,1.5717649591319702,88,9192,-697.5023789444444,0.001,,
,,9192,21.37710706562015,,2.061929737121609,,10000,,0.001,738.1,-541.9575266031782
40,94,10236,24.33465810922476,260.525,1.6659523019423852,110,10421,-673.4783408249999,0.001,,
44,96,12453,28.006669759750366,283.29545454545456,2.438201567158103,128,12465,-687.7618874090908,0.001,,
48,100,14573,30.407343723155833,304.2916666666667,2.550180309348636,145,14606,-670.6512951875001,0.001,,
,,14606,30.82287530338063,,2.753261840704716,,15000,,0.001,242.3,-8.342536395206661
52,104,15650,32.07751835093779,320.1923076923077,2.583213603857792,158,16650,-650.689639923077,0.001,,
56,100,16708,32.21183776855469,299.0,2.5218882390430997,165,16744,-606.6629067142857,0.001,,
60,107,18269,33.92033916640567,321.15,3.7366248269480065,179,19269,-594.4978759333334,0.001,,
,,19344,35.18317935341283,,3.6993396425247194,,20000,,0.001,202.4,29.233166401833294
64,103,20625,36.0040757043021,322.734375,3.491844264213725,198,20655,-571.65033884375,0.001,,
68,104,21691,36.757709922790525,319.3970588235294,3.711680099129677,206,21719,-550.7705009852941,0.001,,
72,105,21914,37.63614724477132,305.2916666666667,5.7104424893856045,208,21981,-527.6202849166667,0.001,,
76,105,22024,38.391641998291014,290.0,4.39149284362793,208,22040,-501.71198839473686,0.001,,
80,106,23106,38.56500878143311,288.9625,5.714392050504684,217,23117,-490.23311461249995,0.001,,
84,107,24245,40.61311149597168,288.85714285714283,4.570548678437869,226,24264,-476.7005754880952,0.001,,
,,24264,40.82291793823242,,5.922658343064158,,25000,,0.001,171.4,-85.79995777225122
88,109,25381,41.97305202484131,299.78409090909093,5.280036860042149,239,26381,-480.4445531818182,0.001,,
92,107,27522,44.66233825683594,299.2608695652174,6.570362530022024,255,27532,-471.0875119456521,0.001,,
96,108,28600,45.70958409118652,298.7604166666667,5.810900563955307,264,28681,-460.93062460416667,0.001,,
,,29681,46.954046089172365,,6.03961785531044,,30000,,0.001,232.1,-33.41907488069264
100,108,30690,49.153072357177734,307.24,5.718011670642429,284,30724,-459.07553449999995,0.001,,
104,108,30928,49.1272824605306,269.39,5.670106132825215,285,30939,-349.0542661,0.001,,
108,108,31060,50.168808937072754,269.46,6.323628485202789,286,31071,-347.26540778000003,0.001,,
112,108,31137,49.73768870035807,257.06,10.093542319077711,288,31391,-295.68374495999996,0.001,,
116,108,31528,50.22634946382963,254.83,8.828115762448778,290,31582,-283.87763642000004,0.001,,
120,109,32617,51.113613764444985,264.76,6.802341381708781,299,32630,-291.77052466000004,0.001,,
124,109,32768,51.52156472206116,266.2,6.655699737610355,300,32829,-293.20258082,0.001,,
128,109,32952,51.21999588012695,266.83,8.778672843143857,301,32974,-292.94933117,0.001,,
132,109,33031,51.82255172729492,255.59,10.536643862724304,302,33042,-260.91344452,0.001,,
136,109,34124,51.92118064117432,249.42,9.047304934978484,310,34134,-246.25802305999997,0.001,,
140,110,34320,52.354931592941284,239.07,8.638816026771593,311,34328,-230.85260773999994,0.001,,
,,34362,52.12958090645926,,12.083017860140119,,35000,,0.001,130.0,6.107084798136929
144,111,,,228.97,,315,35362,-206.33801293999997,,,
148,110,35534,53.54445266723633,210.1,7.180963754653931,323,35616,-189.76570026999997,0.001,,
152,113,36635,54.125986099243164,209.85,7.422169367472331,332,37635,-181.96872155,0.001,,
156,111,37683,54.43644741603306,212.23,7.833617568016052,339,37967,-184.68740834,0.001,,
160,111,38045,54.6763198852539,187.93,12.703742694854736,341,38062,-169.53429778999998,0.001,,
164,111,38124,54.813542175292966,175.19,10.964961369832357,341,38174,-162.82779285000004,0.001,,
168,111,38301,55.0904541015625,166.26,9.720683426692569,343,38345,-156.98176923,0.001,,
172,111,38535,55.12914244707893,166.08,12.835344136109827,344,38589,-154.83211118,0.001,,
176,112,38745,55.209370930989586,168.42,11.703192197359526,346,38882,-159.2293215,0.001,,
180,112,39204,54.929710388183594,160.96,14.523233370347457,349,39213,-152.05052548,0.001,,
184,112,39301,55.29861427755917,150.46,10.903971181196326,349,39310,-145.33460375,0.001,,
188,112,39338,55.602178955078124,129.66,11.524015283584594,350,39347,-123.93890757,0.001,,
192,112,39376,54.96949844360351,118.52,12.359072542190551,350,39384,-114.25892167999999,0.001,,
196,112,39466,56.009608182040125,107.94,11.520145030248733,351,39475,-106.44825374,0.001,,
200,112,39541,56.18916320800781,88.29,14.295986281500923,351,39553,-91.34167712,0.001,,
204,112,39588,56.057646942138675,86.58,12.081104516983032,352,39597,-89.63746146000001,0.001,,
208,112,39681,55.717894962855745,86.18,12.171904522075987,352,39689,-88.32234263000001,0.001,,
212,112,39718,55.994267272949216,83.36,12.825758298238119,352,39727,-85.85546640999999,0.001,,
,,39736,55.57724838256836,,14.367739571465385,,40000,,0.001,114.0,10.650040228897705
216,112,40744,56.014227867126465,91.7,11.881272435188293,362,40752,-89.42670743,0.001,,
220,112,40778,55.849544525146484,81.76,14.140990840064156,362,40806,-80.75370794,0.001,,
224,112,40890,56.763479232788086,80.7,11.646407186985016,363,40899,-79.23030778000002,0.001,,
228,114,42007,56.95485263824463,100.33,12.037650612831115,374,43007,-84.98867752000002,0.001,,
232,115,43093,57.773282051086426,110.51,11.142702420552572,382,44093,-91.54280272999999,0.001,,
236,113,44121,58.111026763916016,99.99,10.359205775790745,388,44133,-84.38688649000001,0.001,,
240,113,44197,58.45222091674805,98.79,10.167857752905952,389,44207,-82.82705027,0.001,,
,,44291,57.64431156831629,,12.026458086286272,,45000,,0.001,12.6,-20.80269741350785
244,115,,,99.29,,392,45291,-80.41894441000001,,,
248,113,45319,57.24449348449707,97.12,12.619732326931423,398,45328,-78.66174288,0.001,,
252,114,46347,58.87349166870117,87.28,9.031494704159824,406,46363,-74.67061072999999,0.001,,
256,114,47383,59.25433578491211,94.24,10.130711902271617,415,47391,-73.90874901000001,0.001,,
260,114,47467,59.1092529296875,94.66,10.539185396830241,416,47528,-75.14155217000001,0.001,,
264,114,47557,59.77920627593994,93.92,13.891602993011475,416,47566,-73.68533804,0.001,,
268,114,47591,59.404457092285156,92.68,13.079874250623915,417,47613,-71.89108839,0.001,,
272,114,47641,58.37516326904297,90.64,11.003406221216375,417,47653,-69.63032267,0.001,,
276,114,47714,59.403809042537915,88.4,13.81734257033377,418,47722,-65.14357164,0.001,,
280,114,47787,59.3334938396107,86.49,15.732082627036355,419,47862,-64.00417383000001,0.001,,
284,114,47914,59.12939376831055,86.12,13.763296508789063,420,47922,-63.479107490000004,0.001,,
288,114,47975,59.641310373942055,86.36,14.747211350335014,420,47983,-63.806969480000014,0.001,,
292,113,49014,59.72272282409668,96.38,13.976232215881348,430,49022,-70.99250159,0.001,,
296,113,49098,59.67412540830415,96.33,12.44186646478218,431,49108,-70.92815291999999,0.001,,
300,113,49135,59.819931983947754,95.91,10.767670843336317,431,49144,-70.32293630000001,0.001,,
304,113,49171,60.416429138183595,95.82,11.832642889022827,431,49179,-69.95665857,0.001,,
308,113,49269,60.62629089355469,96.12,12.632219505310058,432,49301,-70.85753106,0.001,,
312,113,49331,59.70681858062744,96.14,13.397846460342407,432,49341,-70.78901468000002,0.001,,
316,113,49415,59.62497615814209,86.73,16.907034635543823,433,49425,-64.82948994,0.001,,
320,114,49449,60.4871940612793,86.52,17.089982271194458,433,49458,-64.61684835999999,0.001,,
324,114,49661,60.54799938201904,88.23,16.839216470718384,435,49722,-67.94185449,0.001,,
328,114,49750,59.91317138671875,67.52,14.464870558844673,435,49759,-60.405685209999994,0.001,,
332,114,49825,60.07817664513221,57.43,18.03796022909659,436,49836,-53.78779369000001,0.001,,
336,114,49891,59.74904365539551,57.66,13.040786879403251,437,49899,-53.89495521,0.001,,
340,114,49942,60.5321044921875,57.43,17.00389575958252,437,49950,-53.530483010000005,0.001,,
344,114,49977,59.69412899017334,46.94,17.032460927963257,437,49985,-48.01326489,0.001,,
,,49993,59.66587448120117,,13.128186821937561,,50000,,0.001,11.4,-16.167815666645765
