time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
5833,22.19,34,39.003858099999995,264,169,0.001,-19.18585268656413,5714,0.5156636328800864,,
5919,22.17,34,38.97552577,268,169,0.001,-19.357745933532716,5801,1.0680449789478665,,
6007,22.15,35,38.94854158,272,168,0.001,-19.821686484596945,5889,1.1420617631890557,,
6097,22.16,36,38.97056674,276,168,0.001,-19.742644049904563,5978,0.6527787067673423,,
6183,22.13,36,38.93089515,280,168,0.001,-19.593624591827393,6066,1.1324686174807341,,
6271,22.13,37,38.93455447,284,168,0.001,-19.890445015647195,6153,0.4703657247803428,,
6358,22.14,37,38.949869140000004,288,167,0.001,-20.4858604777943,6240,0.6324028741745722,,
6445,22.16,38,38.98856703999999,292,167,0.001,-20.20728943564675,6328,0.927667730233886,,
6535,22.17,39,38.99788624999999,296,166,0.001,-20.460412979125977,6416,0.8104501867836172,,
6622,22.15,39,38.964320189999995,300,166,0.001,-20.663704958829012,6504,0.9050705839287151,,
6711,22.14,40,38.956432750000005,304,166,0.001,-20.33540777726607,6592,0.8541811040856622,,
6800,22.12,40,38.92129000999999,308,166,0.001,-20.82169993718465,6682,0.6511852715326392,,
6889,22.12,41,38.92915517,312,166,0.001,-21.037600777365945,6771,1.2507581322089485,,
6978,22.14,41,38.97119397,316,166,0.001,-20.78246196111043,6860,0.8031639651111935,,
7067,22.16,42,38.99308568,320,166,0.001,-20.866634022105824,6949,1.0025717693826426,,
7154,22.12,42,38.938761449999994,324,166,0.001,-20.54101458462802,7036,1.3950472419912165,,
7244,22.13,43,38.95062568000001,328,166,0.001,-20.897877606478605,7125,0.7558669353073294,,
7331,22.09,43,38.889740890000006,332,166,0.001,-20.778018604625355,7214,0.6330661787228151,,
7419,22.09,44,38.87779582,336,166,0.001,-20.891427993774414,7301,1.177158233794299,,
7500,,,,,,0.001,-21.234995928677645,7389,1.1206651451912792,22.05,38.89948638677597
7507,22.08,45,38.87852946,340,165,,,,,,
7597,22.09,45,38.887367360000006,344,165,0.001,-21.278967770663176,7479,0.8478935192460599,,
7686,22.09,46,38.892452410000004,348,166,0.001,-21.31407928466797,7568,0.8638650964606892,,
7774,22.08,46,38.875082139999996,352,166,0.001,-21.466265071522106,7655,0.86612914909016,,
7864,22.07,47,38.86958897,356,166,0.001,-21.396000428633258,7745,0.8236550300017648,,
7953,22.08,47,38.87891707,360,166,0.001,-21.542360999367453,7835,0.5631960359486666,,
8040,22.07,48,38.86709219,364,166,0.001,-21.131684389981356,7922,1.500056049653462,,
8128,22.09,48,38.90759852,368,166,0.001,-21.58229160308838,8010,0.8542480313259623,,
8218,22.11,49,38.93327634,372,166,0.001,-21.60037595575506,8099,0.854470960471941,,
8307,22.1,49,38.911105750000004,376,166,0.001,-21.868581945245918,8189,1.2435935139656067,,
8396,22.13,50,38.95323104,380,166,0.001,-21.848323648626153,8277,0.9806823987852443,,
8484,22.13,50,38.954333950000006,384,166,0.001,-21.33918033946644,8366,1.1564678400754929,,
8574,22.16,51,39.00453829,388,166,0.001,-21.512646068226207,8456,0.7793848379091783,,
8663,22.18,51,39.029739590000005,392,166,0.001,-21.640023491599344,8545,0.5840709390847579,,
8752,22.17,52,39.010666269999994,396,166,0.001,-21.88979738408869,8634,1.023635365746238,,
8841,22.19,53,39.04583296,400,166,0.001,-21.533622221513227,8722,0.8943456194617532,,
8929,22.18,53,39.03037258,404,166,0.001,-21.843183517456055,8810,0.6850247491489757,,
9018,22.18,54,39.03650438,408,166,0.001,-21.653776963551838,8900,0.8694921628288601,,
9107,22.18,54,39.03146422,412,166,0.001,-21.947914470325816,8989,0.6843174140561711,,
9195,22.17,55,39.01931666,416,166,0.001,-21.9894738630815,9077,0.8944252214648507,,
9284,22.17,55,39.0247543,420,166,0.001,-21.674035159024324,9166,0.6438458900560032,,
9373,22.19,56,39.05092467,424,165,0.001,-21.59278730912642,9256,1.1955855691974813,,
9463,22.19,57,39.0515751,428,165,0.001,-21.325766823508523,9345,1.2142105089581532,,
9551,22.2,57,39.07368734,432,165,0.001,-21.615412972190164,9433,1.201987316662615,,
9640,22.21,58,39.0793083,436,165,0.001,-21.68916736949574,9522,0.8790752752260729,,
9726,22.19,58,39.03169028,440,165,0.001,-21.876767071810637,9608,0.5682426676863715,,
9815,22.18,59,39.02070683,444,165,0.001,-21.496476809183758,9698,1.913925773423651,,
9905,22.19,59,39.03042853,448,165,0.001,-21.388489289717242,9786,0.5070762498812242,,
9994,22.2,60,39.050944630000004,452,165,0.001,-21.8031739321622,9875,0.9217375083403154,,
10000,,,,,,0.001,-21.43645175298055,9898,0.9023586848507756,22.05,38.89948636293411
10083,22.19,61,39.03870056000001,456,164,0.001,-21.67226895419034,9964,0.5351812907240607,,
10171,22.18,61,39.02217122,460,164,0.001,-21.350332953713156,10053,1.3430826040831478,,
10259,22.19,62,39.039560789999996,464,164,0.001,-21.86741898276589,10141,0.6621126220984892,,
10349,22.21,62,39.07063213,468,164,0.001,-21.492723638361152,10230,1.1595296168869191,,
10436,22.18,63,39.023767750000005,472,164,0.001,-21.127104152332652,10319,0.5440463775938208,,
10525,22.18,63,39.02297619000001,476,164,0.001,-21.428937738591973,10407,0.8849821727384221,,
10614,22.18,64,39.01643721,480,164,0.001,-21.468510714444246,10495,0.8971016718582674,,
10705,22.21,64,39.05974232,484,164,0.001,-21.63685703277588,10586,1.4206954642482426,,
10793,22.19,65,39.02907776000001,488,164,0.001,-21.032480760054156,10675,0.5241940536282279,,
10880,22.17,65,39.00221956000001,492,164,0.001,-21.44376616044478,10763,0.9301084320653569,,
10967,22.15,66,38.96181795,496,164,0.001,-21.619807503440164,10849,1.2107761651277542,,
11054,22.13,67,38.932201279999994,500,164,0.001,-21.480036302046344,10937,0.5229475051164627,,
11143,22.14,67,38.942486509999995,504,165,0.001,-21.37645721435547,11024,1.2876421213150024,,
