rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-5.357084250000001,4,19,930,0,4.75,,,,,,,,
-6.0000553750000005,8,41,967,0,5.125,,,,,,,,
-5.586376666666666,12,64,997,0,5.333333333333333,,,,,,,,
-6.1666368125,16,88,1001,0,5.5,,,,,,,,
-5.957070850000001,20,108,636,0,5.4,-0.035388197749853134,-9.415249824523926,0.0003,0.9981969594955444,7,24.289398193359375,,
-5.586270541666667,24,125,358,0,5.208333333333333,-0.1398608386516571,-12.630596160888672,0.0003,0.9930834174156189,24,20.73104476928711,,
-5.62535792857143,28,147,257,0,5.25,-0.27291518449783325,-12.265948295593262,0.0003,0.9864883422851562,46,21.425045013427734,,
-5.9245560625,32,176,206,0,5.5,-0.44817912578582764,-12.545950889587402,0.0003,0.977873682975769,75,20.802518844604492,,
-5.826570222222222,36,195,188,1,5.416666666666667,-0.5668907761573792,-12.949769973754883,0.0003,0.972279965877533,94,17.81071662902832,,
-6.433189525,40,229,161,1,5.725,-0.7710375785827637,-13.732245445251465,0.0003,0.962360680103302,128,14.125431060791016,,
-6.498421522727273,44,250,154,1,5.681818181818182,-0.895866870880127,-13.7255859375,0.0003,0.9562926292419434,149,9.146841049194336,,
-6.550300541666666,48,271,148,1,5.645833333333333,-1.0207910537719727,-14.488443374633789,0.0003,0.9502718448638916,170,6.122344017028809,,
-6.770888038461539,52,299,141,2,5.75,-1.183119297027588,-14.937085151672363,0.0003,0.9423180222511292,198,3.3752269744873047,,
-6.691693946428572,56,322,137,2,5.75,-1.3175745010375977,-15.271167755126953,0.0003,0.9358518123626709,221,2.191230297088623,,
-6.6270727166666665,60,341,133,2,5.683333333333334,-1.4344230890274048,-15.988534927368164,0.0003,0.9305457472801208,240,2.9289052486419678,,
-6.522392999999999,64,359,130,2,5.609375,-1.5452059507369995,-15.630008697509766,0.0003,0.9255461096763611,258,3.535245418548584,,
-6.692247985294117,68,385,127,3,5.661764705882353,-1.70354163646698,-16.650646209716797,0.0003,0.9183657169342041,284,2.85168194770813,,
-6.582013625,72,403,125,3,5.597222222222222,-1.8125500679016113,-16.854896545410156,0.0003,0.913430392742157,302,2.5258543491363525,,
-6.545263828947369,76,428,124,3,5.631578947368421,-1.9469003677368164,-16.957664489746094,0.0003,0.906630277633667,327,2.319166421890259,,
-6.494839400000001,80,454,122,3,5.675,-2.0999090671539307,-16.35045623779297,0.0003,0.8996251225471497,353,3.3563685417175293,,
-6.453605119047619,84,474,121,3,5.642857142857143,-2.2261598110198975,-17.328311920166016,0.0003,0.8942692875862122,373,2.250465154647827,,
-6.5564189772727275,88,508,118,4,5.7727272727272725,-2.4092602729797363,-17.18758773803711,0.0003,0.885246217250824,407,2.168976068496704,,
-6.519561315217392,92,535,117,4,5.815217391304348,-2.5779671669006348,-17.39244842529297,0.0003,0.8781650066375732,434,2.500884532928467,,
-6.420063312500001,96,558,116,4,5.8125,-2.713846206665039,-17.17392349243164,0.0003,0.8721790313720703,457,2.6615514755249023,,
-6.40425058,100,588,116,5,5.88,-2.8812012672424316,-17.432579040527344,0.0003,0.8644307255744934,487,2.362238883972168,,
-6.41895342,104,617,115,5,5.98,-3.040623426437378,-16.684986114501953,0.0003,0.8570052981376648,516,2.3715014457702637,,
-6.24243063,108,635,114,5,5.94,-3.1423916816711426,-17.19306755065918,0.0003,0.8524306416511536,534,1.7650649547576904,,
-6.19438453,112,653,114,5,5.89,-3.262758255004883,-17.522613525390625,0.0003,0.8478811383247375,552,2.174600601196289,,
-6.041247900000001,116,676,113,5,5.88,-3.411695957183838,-18.657188415527344,0.0003,0.8421064615249634,575,1.8160911798477173,,
-6.029109310000001,120,696,113,6,5.88,-3.515737295150757,-17.80506134033203,0.0003,0.8371132016181946,595,2.5588021278381348,,
-6.085541060000001,124,721,113,6,5.96,-3.666229009628296,-17.277639389038086,0.0003,0.8309144973754883,620,2.1365604400634766,,
-6.06440783,128,740,113,6,5.93,-3.7735180854797363,-17.501480102539062,0.0003,0.826230525970459,639,1.659916639328003,,
-5.90926842,132,764,112,6,5.88,-3.8684496879577637,-17.00074577331543,0.0003,0.8203527331352234,663,2.1036767959594727,,
-5.84047912,136,784,112,6,5.89,-4.00267219543457,-17.22571563720703,0.0003,0.8154860734939575,683,2.367584705352783,,
-5.526663600000001,140,801,112,7,5.72,-4.149480819702148,-17.41628646850586,0.0003,0.8113794922828674,700,2.7259836196899414,,
-5.38217344,144,828,112,7,5.78,-4.252443313598633,-17.591705322265625,0.0003,0.8048927783966064,727,2.1821179389953613,,
-5.340943969999999,148,854,112,7,5.83,-4.4177632331848145,-17.43997573852539,0.0003,0.7986955642700195,753,2.0195279121398926,,
-5.24287191,152,881,112,7,5.82,-4.58631706237793,-17.57765007019043,0.0003,0.7923181056976318,780,1.964733600616455,,
-5.163329470000001,156,902,112,8,5.8,-4.6908721923828125,-17.237892150878906,0.0003,0.787390410900116,801,2.4770545959472656,,
-5.11868651,160,928,112,8,5.87,-4.83593225479126,-17.887413024902344,0.0003,0.7813248634338379,827,2.461918354034424,,
-5.065903629999999,164,950,111,8,5.91,-4.992795944213867,-18.007612228393555,0.0003,0.7762343287467957,849,2.4834792613983154,,
-4.91250998,168,976,111,8,5.91,-5.128766059875488,-17.990650177001953,0.0003,0.7702602744102478,875,2.5707716941833496,,
-4.91229397,172,999,110,9,5.96,-5.258680820465088,-17.23955535888672,0.0003,0.7650046944618225,898,2.346128225326538,,
-4.869824170000001,176,1020,110,9,5.92,-5.34407901763916,-16.937725067138672,0.0003,0.7602408528327942,919,3.2770893573760986,,
