rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/std,train/approx_kl,eval/mean_reward,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_ep_length,train/clip_range
,,,,,22500,-4.1182447776198385,0.0603515625,100,0.4255197048187256,136.99404907226562,0.9548613429069519,0.0062797256,258.4453480660915,-0.008025598447420634,0.0003,338.0850153923035,111.45,0.2
90.27,53,421,11,188.98377510999998,22528,,,,,,,,,,,,,
92.97,57,426,12,197.23978406999998,24576,-4.122333836555481,0.05556640625,110,0.7431842684745789,76.44456481933594,0.9580283164978027,0.0063790586,,-0.008290708827553317,0.0003,252.47031202316285,,0.2
,,,,,25000,-4.12275033146143,0.084716796875,120,0.74444380402565,105.3379898071289,0.9545639753341675,0.008064099,300.4430683493614,-0.010254656283359509,0.0003,246.3050627708435,126.15,0.2
97.13,63,417,13,208.30973539000007,26624,,,,,,,,,,,,,
,,,,,27500,-4.115786331892013,0.1044921875,130,0.824089914560318,106.17240905761719,0.9544073939323425,0.0079928255,310.97813749909403,-0.014212295369361527,0.0003,196.818661403656,131.15,0.2
102.65,70,407,14,223.05992320000001,28672,,,,,,,,,,,,,
,,,,,30000,-4.1084646672010425,0.114599609375,140,0.8717765510082245,68.5344467163086,0.949266791343689,0.011627426,318.51551258563995,-0.01682634532917291,0.0003,181.52296841144562,135.5,0.2
105.47,76,400,15,231.32928096000003,30720,,,,,,,,,,,,,
,,,,,32500,-4.103775931894779,0.097998046875,150,0.7603749483823776,60.23551940917969,0.9507540464401245,0.009539118,318.0136783003807,-0.012275902077089996,0.0003,251.59288165569305,137.35,0.2
110.58,82,395,16,245.35559635000004,32768,,,,,,,,,,,,,
115.36,86,401,17,259.02139538000006,34816,-4.089037612080574,0.105859375,160,0.8391328752040863,153.84571838378906,0.9405272006988525,0.0090939915,,-0.011668956508219707,0.0003,196.76112134456633,,0.2
,,,,,35000,-4.0389631852507595,0.057958984375,170,0.8692203015089035,49.9039421081543,0.9205030798912048,0.0057594627,314.0742103397846,-0.006017134163994342,0.0003,174.19721076488494,136.15,0.2
120.52,92,396,18,273.22241598,36864,,,,,,,,,,,,,
,,,,,37500,-4.013579311966896,0.0916015625,180,0.8918336108326912,45.843387603759766,0.9244792461395264,0.010073677,325.1823780655861,-0.009537907244521193,0.0003,164.1166000366211,142.55,0.2
124.9,99,392,19,284.95426483,38912,,,,,,,,,,,,,
,,,,,40000,-4.015306276082993,0.06044921875,190,0.833976536989212,91.9690170288086,0.9222583770751953,0.005714824,315.9593093574047,-0.00548263978707837,0.0003,192.29069414138795,137.55,0.2
127.29,105,388,20,291.1411213,40960,,,,,,,,,,,,,
,,,,,42500,-4.013201071321964,0.083740234375,200,0.8372057527303696,106.0985336303711,0.9229907393455505,0.00661669,310.336997115612,-0.007202948839403689,0.0003,212.35667843818663,135.05,0.2
131.23,111,386,21,303.18808075,43008,,,,,,,,,,,,,
,,,,,45000,-4.013027781248093,0.055859375,210,0.9181894510984421,43.90043258666992,0.9229256510734558,0.006597408,310.226920235157,-0.007113190094241872,0.0003,124.21085250377655,135.2,0.2
133.44,117,382,22,310.07656602,45056,,,,,,,,,,,,,
135.09,121,387,23,313.67766513,47104,-4.018414621055126,0.09189453125,220,0.9648724682629108,15.994497299194336,0.9274570345878601,0.01086305,,-0.00931467215414159,0.0003,56.03569224476814,,0.2
,,,,,47500,-4.021343922615051,0.09912109375,230,0.9687082022428513,15.938695907592773,0.9258579611778259,0.007628589,304.1297300040722,-0.008058493697899394,0.0003,45.20964068472385,133.0,0.2
136.53,127,385,24,317.13915722999997,49152,,,,,,,,,,,,,
,,,,,50000,-3.994111945480108,0.073828125,240,0.9826967213302851,6.760520935058594,0.9115831851959229,0.009107273,306.2619363903999,-0.0075413032638607545,0.0003,28.293477594852448,133.7,0.2
137.61,133,382,25,321.92334888,51200,,,,,,,,,,,,,
,,,,,52500,-3.9781083084642885,0.105419921875,250,0.953010767698288,42.88883972167969,0.9153055548667908,0.010811213,329.71929314136503,-0.01017868954804726,0.0003,64.837032610178,139.2,0.2
139.21,139,380,26,328.36225591000004,53248,,,,,,,,,,,,,
,,,,,55000,-3.9718959771096705,0.094189453125,260,0.9893818795681,7.001254081726074,0.9086971282958984,0.008296173,336.46028200984,-0.007416472093609627,0.0003,19.96518805772066,140.6,0.2
138.98,146,378,27,329.172562,55296,,,,,,,,,,,,,
139.46,150,382,28,334.16907922999997,57344,-3.9635673061013224,0.0814453125,270,0.9715528078377247,9.621006965637207,0.9088889956474304,0.009238753,,-0.008036432589869946,0.0003,41.78464165627956,,0.2
,,,,,57500,-3.9521484538912772,0.113525390625,280,0.9825817383825779,9.635224342346191,0.9011368155479431,0.009656031,276.4032396435738,-0.010771979813580402,0.0003,30.67027891278267,119.4,0.2
139.74,155,380,29,338.29140879,59392,,,,,,,,,,,,,
