time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
1266,-23.901201248168945,0.0003,-4.561955451965332,0.60735684633255,104,4,0.706230878829956,-138.165965,1165,316.5,12,,
1782,-29.138870239257812,0.0003,-6.484715461730957,1.6878936290740967,101,8,0.6060840487480164,-98.28868274999999,1681,222.75,17,,
2210,-33.538902282714844,0.0003,-7.991543769836426,1.6895580291748047,98,12,0.5344935059547424,-73.20941375,2109,184.16666666666666,22,,
2339,-33.388648986816406,0.0003,-8.522510528564453,2.543045997619629,97,16,0.5147518515586853,-59.484442812500006,2238,146.1875,23,,
4399,-40.46400451660156,0.0003,-13.659801483154297,2.2275753021240234,96,20,0.286100298166275,-113.04156990000001,4298,219.95,45,,
4570,-39.19160461425781,0.0003,-14.099211692810059,3.1710739135742188,95,24,0.2725725769996643,-99.49423629166665,4469,190.41666666666666,47,,
4793,-39.94756317138672,0.0003,-14.803035736083984,3.567066192626953,95,28,0.2558486759662628,-91.81447574999997,4692,171.17857142857142,50,,
5000,-39.256343841552734,0.0003,-14.905421257019043,4.5167083740234375,,,0.24127911031246185,,4899,,,16.390123377152484,139.1
5911,-37.83329772949219,0.0003,-16.274147033691406,3.8239645957946777,91,32,0.1866917908191681,-103.84388471874999,5810,184.71875,64,,
7082,-34.9718017578125,0.0003,-17.895771026611328,2.517888069152832,90,36,0.1350959837436676,-114.71090308333333,6981,196.72222222222223,78,,
8264,-31.89984130859375,0.0003,-19.483978271484375,3.150815486907959,91,40,0.09748034179210663,-123.10899494999998,8163,206.6,90,,
9633,-26.43551254272461,0.0003,-18.956382751464844,2.4345264434814453,90,44,0.06727691739797592,-128.35016170454543,9532,218.9318181818182,105,,
10000,-26.258163452148438,0.0003,-18.964365005493164,1.998172640800476,,,0.061018526554107666,,9899,,,-60.91390119504649,289.2
10767,-24.3082275390625,0.0003,-17.003538131713867,2.092272996902466,87,48,0.050000645220279694,-127.018819375,10666,224.3125,123,,
10964,-23.581165313720703,0.0003,-16.726604461669922,4.780541896820068,87,52,0.04755863919854164,-118.59665788461538,10863,210.84615384615384,125,,
11224,-23.288639068603516,0.0003,-16.878067016601562,3.028254985809326,87,56,0.04451432824134827,-111.58547764285713,11123,200.42857142857142,128,,
11489,-22.23877716064453,0.0003,-17.300823211669922,2.3929834365844727,87,60,0.04167608544230461,-105.87537796666666,11388,191.48333333333332,131,,
11711,-21.059345245361328,0.0003,-14.402839660644531,3.7257895469665527,87,64,0.039463892579078674,-100.33714951562499,11610,182.984375,133,,
11882,-21.768335342407227,0.0003,-16.107908248901367,2.643878936767578,87,68,0.037855152040719986,-94.8575115588235,11781,174.73529411764707,135,,
12018,-20.96603775024414,0.0003,-15.534226417541504,2.562871217727661,87,72,0.03662341833114624,-90.32744430555555,11917,166.91666666666666,137,,
13395,-18.097427368164062,0.0003,-12.28903579711914,3.0428428649902344,87,76,0.026523953303694725,-91.08954663157893,13294,176.25,152,,
13710,-17.46440315246582,0.0003,-10.369887351989746,4.221382141113281,87,80,0.024762531742453575,-86.9349307,13609,171.375,156,,
14851,-15.610761642456055,0.0003,-4.594082355499268,2.4709906578063965,87,84,0.019564004614949226,-87.77177954761903,14750,176.79761904761904,168,,
15000,-16.152721405029297,0.0003,-6.576808929443359,2.241769552230835,,,0.019036779180169106,,14899,,,-6.699423875566572,128.8
15973,-13.966768264770508,0.0003,-4.84268856048584,2.5663061141967773,87,88,0.01614420674741268,-88.09920713636362,15872,181.51136363636363,182,,
17081,-12.824172019958496,0.0003,1.1815030574798584,1.4782896041870117,87,92,0.01403371524065733,-86.10143113043476,16980,185.66304347826087,194,,
18400,-11.091608047485352,0.0003,-1.0259103775024414,1.5859801769256592,87,96,0.01309557817876339,-83.85374120833333,18299,191.66666666666666,209,,
19540,-11.07371997833252,0.0003,0.9691842794418335,1.9232921600341797,87,100,0.012935698963701725,-81.07464436,19439,195.4,222,,
19946,-10.84517765045166,0.0003,-1.0037778615951538,2.139291286468506,87,104,0.012944669462740421,-75.12557011,19845,186.8,226,,
20000,-10.481972694396973,0.0003,-0.35873982310295105,1.519624948501587,,,0.012902611866593361,,19899,,,-12.354822807753226,178.6
21295,-10.156558990478516,0.0003,-0.12509429454803467,1.8907132148742676,87,108,0.012937500141561031,-73.64256921,21194,195.13,243,,
23454,-9.395502090454102,0.0003,-1.3954594135284424,2.0728015899658203,87,112,0.012689806520938873,-71.39802305,23353,212.44,267,,
25000,-8.720207214355469,0.0003,-1.101433277130127,1.9987905025482178,,,0.012420064769685268,,24899,,,46.647790985959,300.3
26513,-8.128454208374023,0.0003,0.3581783175468445,1.4786808490753174,86,116,0.012597857974469662,-67.29599873000001,26412,241.74,305,,
27901,-8.575636863708496,0.0003,0.13103368878364563,1.7500553131103516,87,120,0.01249279547482729,-51.54865065,27800,235.02,320,,
28712,-8.682215690612793,0.0003,-0.1198996901512146,1.9593913555145264,87,124,0.01247403398156166,-49.02510376999999,28611,241.42,328,,
29033,-8.850603103637695,0.0003,1.1353869438171387,2.3254146575927734,87,128,0.012255732901394367,-46.02487889,28932,242.4,332,,
29893,-8.328153610229492,0.0003,0.1880781650543213,2.133880138397217,87,132,0.012367391027510166,-36.07309131,29792,239.82,341,,
30000,-8.824749946594238,0.0003,-1.2372273206710815,1.8570600748062134,,,0.01234162226319313,,29899,,,132.69846728641423,481.6
33893,-9.428340911865234,0.0003,-0.9286032915115356,1.5186775922775269,86,136,0.012212434783577919,-18.836214489999996,33792,268.11,392,,
35000,-9.815580368041992,0.0003,0.7317889928817749,1.4962852001190186,,,0.012528189457952976,,34899,,,184.0783777043609,467.4
36099,-10.385560989379883,0.0003,-0.9011549353599548,1.6831810474395752,85,140,0.01245491299778223,-3.1611821599999956,35998,278.35,423,,
39260,-11.172128677368164,0.0003,-1.1178429126739502,1.554312825202942,85,144,0.01240037102252245,15.231931440000004,39159,296.27,457,,
40000,-12.481404304504395,0.0003,0.0038381367921829224,1.6788837909698486,,,0.012554549612104893,,39899,,,348.618496137767,756.5
42203,-13.319583892822266,0.0003,1.6877191066741943,1.7469592094421387,84,148,0.012500041164457798,32.368372320000006,42102,314.36,501,,
45000,-14.381610870361328,0.0003,2.4949231147766113,2.0350255966186523,,,0.012538222596049309,,44899,,,349.42771478554624,703.8
45408,-15.09906005859375,0.0003,-1.0630006790161133,2.1213910579681396,83,152,0.012601366266608238,46.13350668,45307,344.44,545,,
48068,-15.411927223205566,0.0003,0.8478538990020752,1.7728618383407593,83,156,0.012659926898777485,59.37341259,47967,368.44,573,,
50000,-16.155193328857422,0.0003,-1.0919904708862305,2.0831620693206787,,,0.012473111040890217,,49899,,,383.8357011268934,637.9
51231,-17.750720977783203,0.0003,-0.9845622777938843,1.9312169551849365,83,160,0.012450744397938251,75.04633854,51130,397.42,617,,
53359,-18.944475173950195,0.0003,0.6902105808258057,2.8965868949890137,83,164,0.01241390686482191,86.09535353,53258,416.48,640,,
55000,-19.1839599609375,0.0003,0.5122684240341187,2.114147663116455,,,0.012431351467967033,,54899,,,336.21761250048365,558.2
55693,-20.627243041992188,0.0003,-0.2278352975845337,1.883967638015747,82,168,0.012335668317973614,99.3995218,55592,438.11,673,,
58565,-22.101455688476562,0.0003,1.3502743244171143,1.7506730556488037,82,172,0.01209972333163023,114.15169379999999,58464,465.47,705,,
60000,-23.104448318481445,0.0003,-1.820688009262085,1.7589243650436401,,,0.012424644082784653,,59899,,,434.80122795003336,686.4
60118,-23.775943756103516,0.0003,-0.19648689031600952,1.9780808687210083,82,176,0.012238942086696625,126.22232177,60017,467.23,732,,
63070,-26.051593780517578,0.0003,1.5819737911224365,2.7841672897338867,82,180,0.012110506184399128,146.96620549,62969,493.6,765,,
64546,-26.44847869873047,0.0003,-0.4315381646156311,2.0856285095214844,82,184,0.012353681027889252,161.34227062,64445,496.95,782,,
65000,-26.159944534301758,0.0003,0.15452632308006287,2.4428887367248535,,,0.012222233228385448,,64899,,,358.8154623483839,582.2
67144,-27.270896911621094,0.0003,0.4883215129375458,1.795507788658142,81,188,0.011849996633827686,182.43171448000004,67043,511.71,819,,
67642,-27.78087615966797,0.0003,-0.7356777191162109,2.254699230194092,82,192,0.012253786437213421,187.73200732,67541,505.61,824,,
70000,-28.520118713378906,0.0003,0.7028716206550598,2.146984577178955,,,0.011979280970990658,,69899,,,642.55154558968,893.6
70013,-27.918807983398438,0.0003,-1.5896936655044556,2.2891671657562256,81,196,0.011979492381215096,201.56700759000003,69912,516.13,860,,
74013,-30.21247673034668,0.0003,-0.7222718000411987,1.9966528415679932,81,200,0.012158021330833435,226.51308952000002,73912,544.73,904,,
75000,-29.842357635498047,0.0003,-0.9337465167045593,1.598874807357788,,,0.012177190743386745,,74899,,,612.6909731192485,685.7
77123,-33.56773376464844,0.0003,-0.5682880282402039,1.6205248832702637,81,204,0.012235832400619984,245.24603426000004,77022,571.77,947,,
80000,-33.56747055053711,0.0003,1.1212947368621826,1.9141299724578857,,,0.012227799743413925,,79899,,,540.891383289588,622.6
80380,-33.01683044433594,0.0003,-2.1221580505371094,1.6555626392364502,81,208,0.012293390929698944,270.43080255,80279,590.85,990,,
82990,-35.6895637512207,0.0003,1.5247774124145508,2.8957817554473877,81,212,0.012166197411715984,288.51412321,82889,595.36,1020,,
85000,-37.42223358154297,0.0003,-0.6722867488861084,1.5899312496185303,,,0.012393347918987274,,84899,,,663.7680638872728,793.4
85262,-37.52417755126953,0.0003,1.093133807182312,2.785789728164673,80,216,0.012418483383953571,302.08821293,85161,587.49,1056,,
