time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
2048,1,105.94027247777777,22.622222222222224,3,599,,,,,,,,,,,,,
4096,2,105.43761208999999,22.53,8,506,0.2,-24.12053737640381,0.9989843964576721,0.019965444,10,0.003173530101776123,0.21552734375,1350.0868780136109,440.5870666503906,-0.06077321722405031,0.0003,,
5000,,,,,,0.2,-24.116033202409746,0.9994422793388367,0.026010145,20,0.025148093700408936,0.275732421875,1018.5052396774292,375.94073486328125,-0.0738472749129869,0.0003,421.743137152493,84.05
6144,3,108.48885923,23.35,14,412,,,,,,,,,,,,,
8192,4,110.19189608,23.45,19,420,0.2,-24.099951618909834,0.9981228113174438,0.027271278,30,0.022849857807159424,0.30107421875,951.8615552902222,362.0166015625,-0.08020927269826643,0.0003,,
10000,,,,,,0.2,-24.07372346520424,0.9959930181503296,0.031494115,40,0.023454487323760986,0.34501953125,891.6914627075196,405.3598327636719,-0.0864364935347112,0.0003,351.1814433455467,67.7
10240,5,110.47827536000001,23.5,25,397,,,,,,,,,,,,,
12288,6,121.28259415000001,25.94,30,402,0.2,-24.06008951663971,0.9963243007659912,0.036717355,50,0.02299422025680542,0.37265625,853.7768299102784,375.5289001464844,-0.08852235914964694,0.0003,,
14336,7,129.17111834,27.36,35,406,0.2,-24.04929264783859,0.994860827922821,0.034362555,60,0.027487635612487793,0.360009765625,942.181997680664,512.2042846679688,-0.08749340369249695,0.0003,,
15000,,,,,,0.2,-24.018846321105958,0.9929037690162659,0.028774459,70,0.03633242845535278,0.30595703125,1067.2663841247559,529.7351684570312,-0.08223040553566534,0.0003,411.1819827884436,77.65
16384,8,135.85101249,29.21,42,389,,,,,,,,,,,,,
18432,9,134.56216469999998,28.82,46,392,0.2,-23.98552640080452,0.9913375973701477,0.026385173,80,0.05937802791595459,0.27607421875,1062.7117385864258,545.61376953125,-0.07880333331704606,0.0003,,
20000,,,,,,0.2,-23.95172894001007,0.9892340302467346,0.021270938,90,0.10235917568206787,0.228955078125,958.0464696884155,438.6880798339844,-0.07419656080601271,0.0003,326.487813128531,61.55
20480,10,135.91666419,29.15,53,382,,,,,,,,,,,,,
22528,11,140.77673365,30.04,58,384,0.2,-23.949556756019593,0.9903831481933594,0.018776506,100,0.17491436004638672,0.195263671875,953.2464099884033,438.85919189453125,-0.06571502838341985,0.0003,,
24576,12,146.11375547,31.56,63,387,0.2,-23.943655931949614,0.9887022376060486,0.017215203,110,0.2925543785095215,0.172998046875,887.086305809021,466.3901672363281,-0.06274654353619553,0.0003,,
25000,,,,,,0.2,-23.92529057264328,0.9882475733757019,0.01681772,120,0.3111172914505005,0.1578125,944.6953240394593,350.6048278808594,-0.05789170197676867,0.0003,321.1132916688919,60.9
26624,13,157.68883425,33.68,70,379,,,,,,,,,,,,,
28672,14,163.990134,34.77,75,382,0.2,-23.914887791872026,0.9877447485923767,0.018844891,130,0.29259592294692993,0.169091796875,1217.8935327529907,617.8314819335938,-0.0600121364928782,0.0003,,
30000,,,,,,0.2,-23.912024861574174,0.9874879121780396,0.015844086,140,0.2899780869483948,0.14814453125,1134.5442010879517,529.499267578125,-0.05666718929423951,0.0003,397.7633812367916,74.7
30720,15,165.42456871000002,35.02,81,376,,,,,,,,,,,,,
32768,16,169.51776259,36.29,86,379,0.2,-23.902332347631454,0.9870127439498901,0.01712253,150,0.3233599066734314,0.159423828125,1123.4729930877686,484.9027404785156,-0.05830319766246248,0.0003,,
34816,17,165.1819554,35.52,91,381,0.2,-23.893879497051238,0.9865912199020386,0.015644366,160,0.32899218797683716,0.138671875,1021.9509965896607,481.6697998046875,-0.0556359790294664,0.0003,,
35000,,,,,,0.2,-23.89288822412491,0.986748218536377,0.015420559,170,0.3437138795852661,0.127294921875,1083.0386325836182,505.22540283203125,-0.052795011122361755,0.0003,325.08071059435605,61.4
36864,18,168.89774304000002,35.98,97,377,,,,,,,,,,,,,
38912,19,181.72773103,38.2,102,380,0.2,-23.876377815008162,0.9844663143157959,0.017623186,180,0.36275219917297363,0.162744140625,1071.8917591094971,515.3108520507812,-0.05796900510904379,0.0003,,
40000,,,,,,0.2,-23.849206924438477,0.9837881922721863,0.017263476,190,0.36564117670059204,0.158837890625,1290.6254962921143,518.1240234375,-0.0564548113005003,0.0003,317.7353300601244,59.5
40960,20,187.64930384,39.36,109,373,,,,,,,,,,,,,
43008,21,197.50418498000002,41.57,115,373,0.2,-23.84453214406967,0.9835851192474365,0.01966319,200,0.39461779594421387,0.171240234375,1096.1371458053588,503.23681640625,-0.05733972912130412,0.0003,,
45000,,,,,,0.2,-23.83288733959198,0.9832485318183899,0.018386122,210,0.39133328199386597,0.172509765625,1289.2558910369874,447.2815856933594,-0.05736853007692844,0.0003,269.9016061782837,52.1
45056,22,206.17873058000004,43.36,121,369,,,,,,,,,,,,,
47104,23,202.60019272000008,43.09,126,372,0.2,-23.829008203744888,0.9828106164932251,0.016755242,220,0.36894333362579346,0.15322265625,1257.136294555664,609.8047485351562,-0.055077885114587846,0.0003,,
