time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
1300,6.09,13,216,-4.69904903,95,-6.950849533081055,1199,0.0003,4.675817489624023,-16.656169891357422,0.6987009048461914,,
1324,6.07,13,220,-4.67690173,95,-7.010850429534912,1223,0.0003,5.4665398597717285,-17.571083068847656,0.6937593221664429,,
1343,6.07,14,224,-4.62393368,95,-7.233626365661621,1242,0.0003,4.669636249542236,-16.41794776916504,0.6898764371871948,,
1366,6.09,14,228,-4.629994660000001,94,-7.328395843505859,1265,0.0003,5.200956344604492,-16.844371795654297,0.6851844787597656,,
1390,6.08,14,232,-4.60591398,94,-7.374643325805664,1289,0.0003,5.024175643920898,-16.198030471801758,0.680338978767395,,
1409,6.01,14,236,-4.56005766,94,-7.538322448730469,1308,0.0003,5.22713565826416,-16.4123592376709,0.6765281558036804,,
1437,6.09,15,240,-4.55019137,94,-7.633878707885742,1336,0.0003,5.088464260101318,-16.0718994140625,0.6709370017051697,,
1457,6.08,15,244,-4.51401617,94,-7.740200042724609,1356,0.0003,5.60556173324585,-16.022428512573242,0.6669749021530151,,
1483,6.12,15,248,-4.53525938,94,-7.976295471191406,1382,0.0003,7.206769943237305,-16.301292419433594,0.6618536710739136,,
1500,5.9,15,252,-4.397044719999999,94,-8.054811477661133,1399,0.0003,6.267724990844727,-14.704209327697754,0.658528745174408,,
1522,5.81,16,256,-4.24508686,94,-8.227317810058594,1421,0.0003,6.138073921203613,-15.492018699645996,0.6542470455169678,,
1548,5.79,16,260,-4.1766887299999995,94,-8.38962459564209,1447,0.0003,5.341183662414551,-15.4016695022583,0.6492246389389038,,
1574,5.81,16,264,-4.169757199999999,94,-8.506179809570312,1473,0.0003,5.709441661834717,-15.136456489562988,0.6442441344261169,,
1598,5.82,16,268,-4.13376045,94,-8.566278457641602,1497,0.0003,6.138432502746582,-15.141127586364746,0.6396825909614563,,
1622,5.8,17,272,-4.0658142,94,-8.668744087219238,1521,0.0003,6.923031806945801,-15.420378684997559,0.6351592540740967,,
1648,5.76,17,276,-4.02160339,94,-8.827213287353516,1547,0.0003,7.245587348937988,-15.654195785522461,0.6302931904792786,,
1671,5.73,17,280,-3.9727834,94,-9.019006729125977,1570,0.0003,7.106422424316406,-15.261515617370605,0.6260198354721069,,
1694,5.75,17,284,-3.9383340300000005,94,-9.065925598144531,1593,0.0003,4.931344985961914,-14.330987930297852,0.6217730641365051,,
1713,5.71,18,288,-3.8384461899999995,94,-9.212320327758789,1612,0.0003,5.785726070404053,-14.935503005981445,0.6182894706726074,,
1737,5.71,18,292,-3.8472029799999996,94,-9.364444732666016,1636,0.0003,6.276701927185059,-14.65264892578125,0.6139168739318848,,
1767,5.68,18,296,-3.9090606399999994,94,-9.447847366333008,1666,0.0003,7.402101993560791,-14.002838134765625,0.6084907054901123,,
1793,5.72,19,300,-3.9141588599999992,94,-9.706083297729492,1692,0.0003,6.612722396850586,-14.68957805633545,0.6038300395011902,,
1822,5.85,19,304,-4.02911496,94,-9.799138069152832,1721,0.0003,4.659316062927246,-14.367738723754883,0.5986655950546265,,
1841,5.81,19,308,-3.95270384,94,-9.957651138305664,1740,0.0003,9.08190631866455,-13.453899383544922,0.5953033566474915,,
1867,5.89,19,312,-4.05494924,94,-10.033721923828125,1766,0.0003,9.543617248535156,-15.296821594238281,0.5907291173934937,,
1889,5.89,20,316,-4.095323830000001,94,-10.206197738647461,1788,0.0003,7.522954940795898,-14.74156665802002,0.5869054198265076,,
1913,5.89,20,320,-4.16209663,94,-10.30617904663086,1812,0.0003,6.230060577392578,-13.904375076293945,0.582754373550415,,
1932,5.89,20,324,-4.1711483199999995,94,-10.45455265045166,1831,0.0003,8.815168380737305,-13.749700546264648,0.5794774293899536,,
1965,5.99,20,328,-4.31557944,94,-10.572864532470703,1864,0.0003,6.236465930938721,-13.318031311035156,0.5738404393196106,,
1990,6.0,21,332,-4.330834889999999,93,-10.722440719604492,1889,0.0003,6.660579681396484,-13.621394157409668,0.5696202516555786,,
2021,6.12,21,336,-4.39656156,94,-10.915399551391602,1920,0.0003,4.609877586364746,-13.093391418457031,0.5644118785858154,,
2040,6.03,21,340,-4.335023100000001,94,-11.027959823608398,1939,0.0003,8.18328857421875,-12.970132827758789,0.5612408518791199,,
2064,6.07,21,344,-4.43982752,93,-11.208209037780762,1963,0.0003,6.019749164581299,-12.211511611938477,0.5572625994682312,,
2096,6.13,22,348,-4.44086162,93,-11.416569709777832,1995,0.0003,6.973906517028809,-12.691452026367188,0.5520042777061462,,
2122,6.22,22,352,-4.467315190000001,94,-11.464998245239258,2021,0.0003,6.75605583190918,-12.923297882080078,0.5477630496025085,,
2146,6.24,22,356,-4.452263090000001,94,-11.678522109985352,2045,0.0003,7.738284587860107,-12.771474838256836,0.543888509273529,,
2169,6.21,23,360,-4.40378211,94,-11.640586853027344,2068,0.0003,6.420040130615234,-11.965437889099121,0.5402041673660278,,
2192,6.18,23,364,-4.428430550000001,94,-11.882749557495117,2091,0.0003,6.940998554229736,-12.165448188781738,0.5365466475486755,,
2214,6.16,23,368,-4.35179515,94,-11.888279914855957,2113,0.0003,6.6442365646362305,-12.357927322387695,0.5330706238746643,,
2245,6.23,23,372,-4.43086677,94,-12.104138374328613,2144,0.0003,8.743461608886719,-11.594574928283691,0.5282244682312012,,
2268,6.2,24,376,-4.398187940000001,94,-12.155227661132812,2167,0.0003,7.3211212158203125,-12.137763977050781,0.5246471762657166,,
2293,6.22,24,380,-4.41121584,93,-12.256351470947266,2192,0.0003,6.233697891235352,-10.623724937438965,0.5207767486572266,,
2318,6.24,24,384,-4.4371911299999995,94,-12.543899536132812,2217,0.0003,6.937049865722656,-11.076671600341797,0.5169444680213928,,
2337,6.24,24,388,-4.41971149,94,-12.62392520904541,2236,0.0003,5.43947696685791,-11.439682006835938,0.5140553712844849,,
2360,6.23,25,392,-4.36166291,94,-12.739595413208008,2259,0.0003,5.720382213592529,-11.215997695922852,0.5105568170547485,,
2388,6.21,25,396,-4.317210899999999,94,-12.713357925415039,2287,0.0003,7.969788551330566,-11.481348037719727,0.506339430809021,,
2416,6.23,25,400,-4.37648618,94,-12.926563262939453,2315,0.0003,7.508111476898193,-11.90083122253418,0.502177357673645,,
2445,6.23,25,404,-4.33758399,94,-13.086446762084961,2344,0.0003,6.101951599121094,-9.986562728881836,0.49792179465293884,,
2470,6.29,26,408,-4.36573833,94,-12.929000854492188,2369,0.0003,5.857099533081055,-10.970457077026367,0.49431824684143066,,
2497,6.3,26,412,-4.309913460000001,94,-12.879461288452148,2396,0.0003,4.759572982788086,-11.147977828979492,0.4904983937740326,,
2520,6.31,26,416,-4.330387780000001,94,-12.997265815734863,2419,0.0003,4.720992088317871,-10.219242095947266,0.48728442192077637,,
2550,6.37,27,420,-4.352309750000001,94,-13.038296699523926,2449,0.0003,5.30181884765625,-10.810480117797852,0.4831415116786957,,
2572,6.4,27,424,-4.397254670000001,94,-13.332768440246582,2471,0.0003,6.509418487548828,-10.575994491577148,0.4801291525363922,,
2600,6.35,27,428,-4.32176698,94,-13.437738418579102,2499,0.0003,5.344693660736084,-10.165271759033203,0.47630906105041504,,
2632,6.42,28,432,-4.33994018,93,-13.544535636901855,2531,0.0003,5.267067909240723,-10.558435440063477,0.4719819724559784,,
2653,6.32,28,436,-4.2543092300000005,93,-13.739516258239746,2552,0.0003,4.691684722900391,-10.068912506103516,0.4691377878189087,,
2680,6.4,28,440,-4.29984656,93,-13.800111770629883,2579,0.0003,5.339600086212158,-9.899807929992676,0.4655149281024933,,
2698,6.34,28,444,-4.1854265900000005,94,-13.884716987609863,2597,0.0003,4.941422939300537,-9.784388542175293,0.4631064534187317,,
2717,6.21,28,448,-4.061940590000001,93,-14.263833999633789,2616,0.0003,3.2483274936676025,-9.449588775634766,0.4605853855609894,,
