time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1,2048,5,1000.0,39384.5183815,359,,,,,,,,,,,,,
2,4096,13,1000.0,41922.741628749995,312,0.9985741972923279,0.2,0.010784038,0.0962890625,10,-0.04352483128895983,212328.0625,0.0003,0.0004725456237792969,432790.11005859374,-24.11298589706421,,
,5000,,,,,0.9985411167144775,0.2,0.009353685,0.05283203125,20,-0.0341346934903413,262723.65625,0.0003,-0.00446927547454834,563072.55546875,-24.104144597053526,1000.0,49290.99020767212
3,6144,77,1000.0,41928.694693666665,79,,,,,,,,,,,,,
4,8192,85,1000.0,41204.995600124996,95,0.9960289001464844,0.2,0.012650222,0.09951171875,30,-0.04604114543180913,245705.0,0.0003,-0.0012309551239013672,488205.35224609374,-24.07663474082947,,
,10000,,,,,0.9932535886764526,0.2,0.01325967,0.111865234375,40,-0.05119345430866815,211984.6875,0.0003,-0.001175999641418457,413575.79150390625,-24.033071982860566,1000.0,67191.53565883636
5,10240,146,1000.0,41045.342980299996,69,,,,,,,,,,,,,
6,12288,153,1000.0,40783.44381883333,79,0.992889940738678,0.2,0.011483677,0.089892578125,50,-0.044698599149705844,214861.375,0.0003,-0.00319516658782959,446295.11171875,-23.999767565727232,,
7,14336,161,1000.0,41247.754183785706,88,0.9906490445137024,0.2,0.012495737,0.115234375,60,-0.04842129680182552,216013.265625,0.0003,0.000635981559753418,418220.3270507812,-23.98051255941391,,
,15000,,,,,0.9870017766952515,0.2,0.013479967,0.117578125,70,-0.05321475050004665,294853.65625,0.0003,-0.0005675554275512695,551849.8528320312,-23.92511978149414,1000.0,75988.89955806732
8,16384,216,1000.0,41327.2128798125,75,,,,,,,,,,,,,
9,18432,224,1000.0,41684.128305722224,82,0.9862598180770874,0.2,0.012655852,0.12548828125,80,-0.052740827546222134,246167.671875,0.0003,0.0004527568817138672,485341.09912109375,-23.890334302186965,,
,20000,,,,,0.985253632068634,0.2,0.013183754,0.126611328125,90,-0.05505681790818926,280653.46875,0.0003,0.0007687807083129883,542685.61953125,-23.877517968416214,1000.0,70102.65645942689
10,20480,284,1000.0,42079.93786815,72,,,,,,,,,,,,,
11,22528,291,1000.0,42111.668188,77,0.9844501614570618,0.2,0.012270426,0.1224609375,100,-0.054482368202297946,287160.34375,0.0003,-0.0006113052368164062,556813.7802734375,-23.85707817673683,,
12,24576,299,1000.0,42783.04747008334,81,0.9834685921669006,0.2,0.012591382,0.118212890625,110,-0.050226717023178935,336375.75,0.0003,0.0001900792121887207,602254.9352539063,-23.84500386714935,,
,25000,,,,,0.9810306429862976,0.2,0.013763308,0.128271484375,120,-0.05666972491017077,292332.3125,0.0003,-4.887580871582031e-06,599374.2765625,-23.81512239575386,1000.0,81264.00658226013
13,26624,355,1000.0,42993.53361561538,74,,,,,,,,,,,,,
14,28672,362,1000.0,43297.4743835,78,0.9787925481796265,0.2,0.013711475,0.132373046875,130,-0.054817489680135625,304263.21875,0.0003,1.6570091247558594e-05,568925.7681640625,-23.771252942085265,,
,30000,,,,,0.9795871376991272,0.2,0.014634019,0.14296875,140,-0.05466654656047467,261201.609375,0.0003,-0.0005573034286499023,578193.9383789062,-23.767511081695556,1000.0,87049.52623767852
15,30720,419,1000.0,43810.1652787,73,,,,,,,,,,,,,
16,32768,428,1000.0,44493.57734353125,76,0.9778650999069214,0.2,0.013675788,0.13203125,150,-0.05827786039444618,408604.0,0.0003,-1.4543533325195312e-05,908914.47109375,-23.75657628774643,,
17,34816,436,1000.0,44852.192512352936,79,0.9767040014266968,0.2,0.014473449,0.145361328125,160,-0.05654459587240126,329480.0,0.0003,-0.0013935565948486328,700828.408203125,-23.729418182373045,,
,35000,,,,,0.9751971960067749,0.2,0.014433415,0.143408203125,170,-0.05758561562979594,421034.375,0.0003,0.00021719932556152344,835742.179296875,-23.70785833597183,1000.0,78777.74485092163
18,36864,495,1000.0,45669.938735749995,74,,,,,,,,,,,,,
19,38912,503,1000.0,46547.54147678946,77,0.9739693999290466,0.2,0.0135703385,0.119384765625,180,-0.052649406215641646,554663.375,0.0003,0.00031757354736328125,1156992.6876953125,-23.680898934602737,,
,40000,,,,,0.9730125665664673,0.2,0.014405254,0.13671875,190,-0.05774288708053064,450644.3125,0.0003,0.0005013346672058105,871113.8689453125,-23.663697975873948,1000.0,79188.60231800079
20,40960,566,1000.0,47029.32353385,72,,,,,,,,,,,,,
21,43008,573,1000.0,47705.18407258139,74,0.9697356820106506,0.2,0.016756821,0.1658203125,200,-0.06272178380168043,408334.96875,0.0003,-1.7881393432617188e-06,912932.9044921875,-23.618855226039887,,
,45000,,,,,0.9690821170806885,0.2,0.01534643,0.164794921875,210,-0.0611494354379829,481658.40625,0.0003,1.823902130126953e-05,923857.7220703125,-23.587988197803497,1000.0,81589.73998241425
22,45056,632,1000.0,48095.23194355556,71,,,,,,,,,,,,,
23,47104,640,1000.0,48190.106550340424,73,0.9659178256988525,0.2,0.01703284,0.164013671875,220,-0.06367891577247065,396085.5625,0.0003,-0.0004596710205078125,833026.694140625,-23.554856097698213,,
24,49152,648,1000.0,48541.97395167347,75,0.9645192623138428,0.2,0.018764697,0.196240234375,230,-0.06870967444265261,365010.15625,0.0003,0.0007089972496032715,699587.637109375,-23.51371134519577,,
,50000,,,,,0.9631722569465637,0.2,0.016727004,0.17783203125,240,-0.06580040856497363,428254.5,0.0003,4.1425228118896484e-05,864898.8583984375,-23.492133575677872,1000.0,112900.26662635803
25,51200,707,1000.0,48874.22542831372,72,,,,,,,,,,,,,
26,53248,714,1000.0,49371.539594113194,74,0.9608858823776245,0.2,0.017109405,0.1732421875,250,-0.06633942115004174,483422.46875,0.0003,-0.002010345458984375,966892.9673828125,-23.456450432538986,,
,55000,,,,,0.9593686461448669,0.2,0.018587792,0.187646484375,260,-0.06884418221889063,502584.8125,0.0003,0.001423656940460205,1015232.422265625,-23.423518097400667,1000.0,104829.62477703094
27,55296,773,1000.0,50094.21523363635,71,,,,,,,,,,,,,
28,57344,781,1000.0,50440.39298099999,73,0.9567397832870483,0.2,0.01731598,0.180419921875,270,-0.0663285484071821,680385.4375,0.0003,3.230571746826172e-05,1416275.285546875,-23.383350455760954,,
29,59392,789,1000.0,51139.98343850847,75,0.9556537866592407,0.2,0.018879352,0.194287109375,280,-0.06653229718795046,584871.875,0.0003,8.821487426757812e-06,1004781.1408203125,-23.351770865917207,,
,60000,,,,,0.9551562070846558,0.2,0.0164091,0.171826171875,290,-0.0650042380177183,809907.6875,0.0003,5.185604095458984e-06,1524381.671484375,-23.34253951907158,1000.0,118924.88677158355
30,61440,849,1000.0,51613.49137347539,72,,,,,,,,,,,,,
31,63488,857,1000.0,51813.17594763491,74,0.9527577757835388,0.2,0.02000911,0.19638671875,300,-0.06843551843485329,644246.25,0.0003,0.00014066696166992188,1104648.5236328125,-23.312497013807295,,
,65000,,,,,0.9503799676895142,0.2,0.021037452,0.21220703125,310,-0.07141948346979916,585906.5,0.0003,0.0003529787063598633,1076961.4666015625,-23.263811534643175,1000.0,79390.59146232605
32,65536,917,1000.0,52244.124965169234,71,,,,,,,,,,,,,
33,67584,924,1000.0,52737.701992671646,73,0.9480916261672974,0.2,0.021901544,0.217822265625,320,-0.07171584495808929,521467.3125,0.0003,1.239776611328125e-05,1115777.7662109374,-23.22870483994484,,
34,69632,932,1000.0,52790.91908094203,74,0.9462087154388428,0.2,0.020959068,0.211376953125,330,-0.07560358954215189,625192.375,0.0003,0.00014090538024902344,1226163.91796875,-23.188229006528854,,
,70000,,,,,0.9440193176269531,0.2,0.021683406,0.223876953125,340,-0.0722301859932486,538786.875,0.0003,2.5451183319091797e-05,1011496.0798828125,-23.153707587718962,1000.0,79585.17510986328
35,71680,991,1000.0,53538.61695356338,72,,,,,,,,,,,,,
36,73728,999,1000.0,54072.94277519178,73,0.9421947598457336,0.2,0.020034967,0.194970703125,350,-0.06971096789347939,842334.0625,0.0003,3.9696693420410156e-05,1788471.4171875,-23.11625466942787,,
,75000,,,,,0.9404992461204529,0.2,0.020569175,0.207421875,360,-0.06741863156494218,553457.8125,0.0003,-5.602836608886719e-06,1236346.355078125,-23.085974442958832,1000.0,79217.1989894867
37,75776,1058,1000.0,54413.67944354667,71,,,,,,,,,,,,,
38,77824,1066,1000.0,54611.70956255845,73,0.9398781061172485,0.2,0.020635603,0.222900390625,370,-0.07329487462411635,585320.3125,0.0003,-3.135204315185547e-05,1262398.441015625,-23.06684493422508,,
39,79872,1073,1000.0,55055.99475092407,74,0.9370322823524475,0.2,0.022869803,0.23125,380,-0.07544636134698521,617078.5625,0.0003,1.0728836059570312e-06,1351566.049609375,-23.028796017169952,,
,80000,,,,,0.9345003366470337,0.2,0.024362493,0.23369140625,390,-0.07643563196179456,547416.875,0.0003,-0.00023937225341796875,1354549.9841796875,-22.981023502349853,1000.0,83088.27411441803
40,81920,1131,1000.0,55683.51613614815,72,,,,,,,,,,,,,
41,83968,1138,1000.0,56201.49538881928,73,0.9320262670516968,0.2,0.018577471,0.194189453125,400,-0.06903648362495005,1094708.625,0.0003,0.0006492733955383301,2060557.848828125,-22.939168018102645,,
,85000,,,,,0.9330829381942749,0.2,0.019963395,0.20810546875,410,-0.07058022510609589,932500.25,0.0003,-0.0005664825439453125,1840791.260546875,-22.928691840171815,1000.0,85465.83650245666
42,86016,1198,1000.0,57029.861881604666,71,,,,,,,,,,,,,
43,88064,1206,1000.0,57223.775886125,73,0.9319519996643066,0.2,0.02320183,0.216455078125,420,-0.07364905251888558,845700.0,0.0003,0.00011372566223144531,1710061.50625,-22.92588077187538,,
,90000,,,,,0.930198609828949,0.2,0.023448097,0.23828125,430,-0.07174998944683467,622320.9375,0.0003,5.9604644775390625e-06,1189151.348046875,-22.898742300271987,1000.0,79191.9373020172
44,90112,1262,1000.0,57438.84789834444,71,,,,,,,,,,,,,
45,92160,1270,1000.0,57643.92276146739,72,0.9292364716529846,0.2,0.021057967,0.21318359375,440,-0.07018276004237123,575514.75,0.0003,8.887052536010742e-05,1233335.08046875,-22.87426684498787,,
46,94208,1277,1000.0,58280.5624072234,73,0.9279958605766296,0.2,0.022785205,0.226025390625,450,-0.07296059942455031,591687.125,0.0003,0.00022608041763305664,1292162.826953125,-22.85474772453308,,
,95000,,,,,0.9267749786376953,0.2,0.021997426,0.2103515625,460,-0.07362513162661344,994583.9375,0.0003,8.404254913330078e-06,2121223.10234375,-22.832023411989212,1000.0,73561.46901111603
47,96256,1331,1000.0,58517.08369653125,72,,,,,,,,,,,,,
48,98304,1339,1000.0,58957.24445214286,73,0.9254835844039917,0.2,0.02690535,0.262158203125,470,-0.07969786745379678,809697.5,0.0003,0.00013905763626098633,1377299.30234375,-22.80562844276428,,
,100000,,,,,0.9252477884292603,0.2,0.021743834,0.20673828125,480,-0.06880767536640633,961382.5625,0.0003,2.4199485778808594e-05,1873851.54375,-22.797164207696916,1000.0,72815.4648967743
49,100352,1393,1000.0,59389.00551036,72,,,,,,,,,,,,,
50,102400,1401,1000.0,60003.683973299994,73,0.9228063225746155,0.2,0.025189567,0.25478515625,490,-0.0790459142473992,793746.25,0.0003,-4.029273986816406e-05,1750406.074609375,-22.764896297454833,,
51,104448,1409,1000.0,60791.812149679994,74,0.9204683303833008,0.2,0.025156341,0.260693359375,500,-0.08207611159305088,840735.0,0.0003,6.377696990966797e-06,1615357.016796875,-22.724315685033798,,
,105000,,,,,0.9196475744247437,0.2,0.025204055,0.22841796875,510,-0.06800620799767784,853739.5625,0.0003,0.00011146068572998047,1670856.377734375,-22.694666928052904,1000.0,63993.2725692749
52,106496,1466,1000.0,61544.94064514,72,,,,,,,,,,,,,
53,108544,1474,1000.0,62234.313045020004,73,0.91825932264328,0.2,0.024592716,0.22236328125,520,-0.07332052984565962,913391.75,0.0003,7.075071334838867e-05,1949876.16328125,-22.677336806058882,,
,110000,,,,,0.9170514941215515,0.2,0.026411967,0.26142578125,530,-0.07304298779345117,633766.125,0.0003,-0.0003281831741333008,1300136.48203125,-22.650979417562485,1000.0,66978.67109451295
54,110592,1534,1000.0,62612.10205257,72,,,,,,,,,,,,,
