time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
595,0,200,0.7180473482608796,4,50,0.001,0.8186063635349273,50.0,-49.80939175,,
287,1,400,1.4273026165366174,8,250,0.001,1.6872034025192262,50.0,-65.55703775,,
,,500,0.16418034642934798,,350,0.001,1.2042029094696045,,,-10.56151465,50.0
190,3,600,0.11836161479353904,12,450,0.001,1.1130868124961852,50.0,-50.76143558333334,,
189,4,800,0.06278738293796778,16,650,0.001,1.137604274749756,50.0,-40.5620343125,,
,,1000,0.05659896671772003,,850,0.001,1.249628973007202,,,-10.562376699999998,50.0
172,5,1000,,20,,,,50.0,-34.96066935,,
176,6,1200,0.05166230257600546,24,1050,0.001,1.371186661720276,50.0,-31.101335875,,
178,7,1400,0.051520614624023436,28,1250,0.001,1.4621775341033936,50.0,-27.741925392857144,,
,,1500,0.06833904191851616,,1350,0.001,1.5223059272766113,,,-11.0133737,50.0
169,9,1600,0.06204209644347429,32,1450,0.001,1.5724230337142944,50.0,-25.74964428125,,
172,10,1800,0.062165948301553725,36,1650,0.001,1.704671859741211,50.0,-23.633940166666665,,
,,2000,0.08276020087301732,,1850,0.001,1.83603178024292,,,-11.563814200000001,50.0
165,12,2000,,40,,,,50.0,-22.317717425,,
167,13,2200,0.04618171244859695,44,2050,0.001,2.013636603355408,50.0,-21.54985663636364,,
169,14,2400,0.05352296266704798,48,2250,0.001,2.155122013092041,50.0,-20.75912645833333,,
,,2500,0.05725512459874153,,2350,0.001,2.2428550624847414,,,-10.87177645,50.0
163,15,2600,0.07064054504036904,52,2450,0.001,2.3273808765411377,50.0,-20.03028075,,
164,16,2800,0.0424863376095891,56,2650,0.001,2.445100173950195,50.0,-19.412046803571428,,
,,3000,0.04089095629751682,,2850,0.001,2.5995640182495117,,,-10.7514597,50.0
161,18,3000,,60,,,,50.0,-18.749920333333332,,
164,19,3200,0.054502433948218826,64,3050,0.001,2.699709587097168,50.0,-18.12168978125,,
164,20,3400,0.08567112967371941,68,3250,0.001,2.854270172119141,50.0,-17.76408016176471,,
,,3500,0.0733278638869524,,3350,0.001,2.9219146251678465,,,-9.984646900000001,50.0
160,22,3600,0.04494018234312534,72,3450,0.001,3.0211629009246828,50.0,-17.43728223611111,,
161,23,3800,0.05197805266827345,76,3650,0.001,3.1127873706817626,50.0,-17.098678486842104,,
,,4000,0.03854752738028765,,3850,0.001,3.2575694942474365,,,-10.961062700000001,50.0
156,25,4000,,80,,,,50.0,-16.8333458375,,
157,26,4200,0.050813935473561285,84,4050,0.001,3.360034246444702,50.0,-16.589916583333334,,
157,27,4400,0.055855397172272205,88,4250,0.001,3.4924770545959474,50.0,-16.248477920454548,,
,,4500,0.045026623010635376,,4350,0.001,3.582221813201904,,,-11.49704505,50.0
154,29,4600,0.038489000238478184,92,4450,0.001,3.6280739402770994,50.0,-15.862213565217392,,
155,30,4800,0.0820140402764082,96,4650,0.001,3.735468616485596,50.0,-15.68748540625,,
,,5000,0.041102024540305135,,4850,0.001,3.8462108039855956,,,-10.507820550000002,50.0
151,32,5000,,100,,,,50.0,-15.31635026,,
152,34,5200,0.04161058228462935,104,5050,0.001,3.97392183303833,50.0,-13.724650910000001,,
153,35,5400,0.057373493909835815,108,5250,0.001,4.089893159866333,50.0,-10.87540805,,
,,5500,0.05442139763385057,,5350,0.001,4.151029920578003,,,-11.13913165,50.0
151,36,5600,0.045109285712242125,112,5450,0.001,4.168490524291992,50.0,-10.51808593,,
152,37,5800,0.04134313680231571,116,5650,0.001,4.284134731292725,50.0,-10.577308229999998,,
,,6000,0.04468941867351532,,5850,0.001,4.4118396759033205,,,-10.257824300000001,50.0
151,39,6000,,120,,,,50.0,-10.48198235,,
151,40,6200,0.04584820616990328,124,6050,0.001,4.458088836669922,50.0,-10.384377919999999,,
153,41,6400,0.0642568963766098,128,6250,0.001,4.580611000061035,50.0,-10.55624003,,
,,6500,0.10245460838079452,,6350,0.001,4.642856159210205,,,-10.482468100000002,50.0
151,43,6600,0.05409225083887577,132,6450,0.001,4.727581806182862,50.0,-10.48604132,,
152,44,6800,0.0923371222615242,136,6650,0.001,4.7608628082275395,50.0,-10.645771629999997,,
,,7000,0.05111559383571148,,6850,0.001,4.853397960662842,,,-10.71365435,50.0
151,46,7000,,140,,,,50.0,-10.635306559999998,,
152,47,7200,0.039304107613861564,144,7050,0.001,4.9572083854675295,50.0,-10.566006730000002,,
152,48,7400,0.05398246575146914,148,7250,0.001,4.9888279914855955,50.0,-10.515349999999998,,
,,7500,0.05009715259075165,,7350,0.001,5.032899684906006,,,-12.1177407,50.0
152,49,7600,0.05187889520078898,152,7450,0.001,5.102024555206299,50.0,-10.491701729999997,,
153,50,7800,0.054146608635783196,156,7650,0.001,5.19928279876709,50.0,-10.530652839999998,,
,,8000,0.04407556727528572,,7850,0.001,5.353700141906739,,,-12.099722850000001,50.0
152,52,8000,,160,,,,50.0,-10.608601029999999,,
153,53,8200,0.05015830233693123,164,8050,0.001,5.370108985900879,50.0,-10.767912929999996,,
154,54,8400,0.05023476485162973,168,8250,0.001,5.4569986534118655,50.0,-10.785357719999997,,
,,8500,0.04551908887922764,,8350,0.001,5.542392959594727,,,-12.21196325,50.0
153,56,8600,0.04210327059030533,172,8450,0.001,5.576399326324463,50.0,-10.75620097,,
153,57,8800,0.04408200167119503,176,8650,0.001,5.642076416015625,50.0,-10.722673209999998,,
,,9000,0.054638691917061805,,8850,0.001,5.79177043914795,,,-12.042908299999999,50.0
152,58,9000,,180,,,,50.0,-10.74207484,,
153,60,9200,0.05550420191138983,184,9050,0.001,5.869499607086182,50.0,-10.76807307,,
153,61,9400,0.04646631397306919,188,9250,0.001,5.929590263366699,50.0,-10.855475140000001,,
,,9500,0.054531200751662255,,9350,0.001,5.984001007080078,,,-12.51793165,50.0
152,62,9600,0.05001918077468872,192,9450,0.001,6.0182906532287594,50.0,-11.054714560000003,,
153,63,9800,0.05012915272265673,196,9650,0.001,6.109178524017334,50.0,-11.029318369999997,,
,,10000,0.0701643954962492,,9850,0.001,6.1248322868347165,,,-11.51485335,50.0
152,65,10000,,200,,,,50.0,-11.223100289999998,,
153,66,10200,0.0510331217199564,204,10050,0.001,6.286133575439453,50.0,-11.238313269999999,,
153,67,10400,0.04447010394185782,208,10250,0.001,6.368501853942871,50.0,-11.269579819999999,,
,,10500,0.04897729121148586,,10350,0.001,6.418938503265381,,,-9.980464549999999,50.0
152,69,10600,0.04201621700078249,212,10450,0.001,6.448586483001709,50.0,-11.19854209,,
153,70,10800,0.044293857887387274,216,10650,0.001,6.508989658355713,50.0,-11.132900970000001,,
,,11000,0.05137973204255104,,10850,0.001,6.591134090423584,,,-9.84994455,50.0
152,72,11000,,220,,,,50.0,-11.156832910000002,,
153,73,11200,0.04137490052729845,224,11050,0.001,6.646156330108642,50.0,-11.15863817,,
153,74,11400,0.04109815012663603,228,11250,0.001,6.766814441680908,50.0,-11.04177045,,
,,11500,0.04121297728270292,,11350,0.001,6.772962589263916,,,-9.053072750000002,50.0
152,76,11600,0.0448765429854393,232,11450,0.001,6.814702014923096,50.0,-11.018541229999999,,
153,77,11800,0.0430616245046258,236,11650,0.001,6.8938413429260255,50.0,-10.985940089999996,,
,,12000,0.04787361990660429,,11850,0.001,6.936235694885254,,,-9.24456325,50.0
152,78,12000,,240,,,,50.0,-10.906250600000003,,
153,79,12200,0.03897483613342047,244,12050,0.001,7.049765529632569,50.0,-10.844064659999999,,
153,80,12400,0.05079727381467819,248,12250,0.001,7.164894752502441,50.0,-10.73361037,,
,,12500,0.05659537617117166,,12350,0.001,7.172864990234375,,,-9.413051399999999,50.0
152,82,12600,0.0401421207934618,252,12450,0.001,7.174958534240723,50.0,-10.629235569999999,,
153,83,12800,0.04148735992610455,256,12650,0.001,7.257021007537841,50.0,-10.417473709999998,,
,,13000,0.04376104947179556,,12850,0.001,7.330848026275635,,,-9.193117749999999,50.0
152,85,13000,,260,,,,50.0,-10.25006561,,
152,86,13200,0.04532296776771545,264,13050,0.001,7.423856735229492,50.0,-10.06988015,,
152,87,13400,0.04800882518291474,268,13250,0.001,7.5079115295410155,50.0,-9.811709440000001,,
,,13500,0.04481074303388596,,13350,0.001,7.543755970001221,,,-8.925781599999999,50.0
152,89,13600,0.04531210154294968,272,13450,0.001,7.570730857849121,50.0,-9.69169423,,
152,90,13800,0.04373650830239058,276,13650,0.001,7.636590595245361,50.0,-9.62604005,,
,,14000,0.046072788313031195,,13850,0.001,7.698226470947265,,,-8.76920595,50.0
151,92,14000,,280,,,,50.0,-9.3900207,,
152,93,14200,0.04282543573528528,284,14050,0.001,7.803202152252197,50.0,-9.24297081,,
152,94,14400,0.0450021093711257,288,14250,0.001,7.8651058387756345,50.0,-9.26286253,,
,,14500,0.036309342421591284,,14350,0.001,7.906814289093018,,,-8.711973750000002,50.0
152,96,14600,0.04223708044737577,292,14450,0.001,7.952943992614746,50.0,-9.11468965,,
152,97,14800,0.040327167324721816,296,14650,0.001,8.027766876220703,50.0,-8.97428601,,
,,15000,0.03990510601550341,,14850,0.001,8.12072380065918,,,-8.6228451,50.0
151,98,15000,,300,,,,50.0,-8.787799759999999,,
152,99,15200,0.044508632607758045,304,15050,0.001,8.140954761505126,50.0,-8.728098899999999,,
152,100,15400,0.038456107415258886,308,15250,0.001,8.2116410446167,50.0,-8.67680845,,
,,15500,0.04382373370230198,,15350,0.001,8.284395866394043,,,-8.642816,50.0
151,102,15600,0.04022474512457848,312,15450,0.001,8.307888336181641,50.0,-8.54740152,,
152,103,15800,0.042117947451770305,316,15650,0.001,8.408709564208984,50.0,-8.5455647,,
,,16000,0.03681147832423449,,15850,0.001,8.46093692779541,,,-8.5840165,50.0
151,105,16000,,320,,,,50.0,-8.4946236,,
151,106,16200,0.04016474548727274,324,16050,0.001,8.584405670166015,50.0,-8.45168218,,
152,107,16400,0.042655231058597566,328,16250,0.001,8.663203201293946,50.0,-8.514581190000001,,
,,16500,0.039307644814252855,,16350,0.001,8.679845848083495,,,-8.187283749999999,50.0
151,109,16600,0.04039511386305094,332,16450,0.001,8.741738204956055,50.0,-8.52852325,,
151,110,16800,0.06586040701717139,336,16650,0.001,8.824019813537598,50.0,-8.43922792,,
,,17000,0.04126238789409399,,16850,0.001,8.91688190460205,,,-8.288314049999999,50.0
151,112,17000,,340,,,,50.0,-8.46911042,,
151,113,17200,0.03783855095505714,344,17050,0.001,8.982450408935547,50.0,-8.410608690000002,,
152,114,17400,0.05324115518480539,348,17250,0.001,9.043725280761718,50.0,-8.45903308,,
,,17500,0.03840013284236193,,17350,0.001,9.079866943359375,,,-8.00590645,50.0
151,116,17600,0.045886258631944656,352,17450,0.001,9.169516334533691,50.0,-8.522116159999998,,
151,117,17800,0.03785890348255634,356,17650,0.001,9.211010818481446,50.0,-8.505766209999999,,
,,18000,0.048754101432859895,,17850,0.001,9.278795013427734,,,-8.022440049999998,50.0
151,118,18000,,360,,,,50.0,-8.53106877,,
151,119,18200,0.03863044735044241,364,18050,0.001,9.385802879333497,50.0,-8.37233493,,
151,121,18400,0.03819243334233761,368,18250,0.001,9.458939895629882,50.0,-8.51542986,,
,,18500,0.06099791970103979,,18350,0.001,9.462292098999024,,,-7.620889149999999,50.0
151,122,18600,0.036149642653763296,372,18450,0.001,9.481149711608886,50.0,-8.473180679999999,,
151,123,18800,0.039955692030489445,376,18650,0.001,9.592707633972168,50.0,-8.46755277,,
,,19000,0.03794694848358631,,18850,0.001,9.65516944885254,,,-7.335594300000001,50.0
151,125,19000,,380,,,,50.0,-8.37917906,,
151,126,19200,0.043527243100106715,384,19050,0.001,9.730415878295899,50.0,-8.34230917,,
152,127,19400,0.037058361768722535,388,19250,0.001,9.81104549407959,50.0,-8.264461619999999,,
,,19500,0.04031271144747734,,19350,0.001,9.846883354187012,,,-8.3009722,50.0
151,129,19600,0.048539010286331175,392,19450,0.001,9.925670661926269,50.0,-8.25652104,,
151,130,19800,0.04552844516932964,396,19650,0.001,9.919171600341796,50.0,-8.17578982,,
,,20000,0.04274364650249481,,19850,0.001,9.997191505432129,,,-8.106088699999999,50.0
151,132,20000,,400,,,,50.0,-8.17913867,,
151,133,20200,0.04190302051603794,404,20050,0.001,10.058955001831055,50.0,-8.153907799999999,,
152,134,20400,0.04734412539750338,408,20250,0.001,10.16915023803711,50.0,-8.063895089999999,,
,,20500,0.04681042268872261,,20350,0.001,10.245930213928222,,,-7.7498936,50.0
151,136,20600,0.04469287022948265,412,20450,0.001,10.259402046203613,50.0,-7.974925679999999,,
151,137,20800,0.054173133112490175,416,20650,0.001,10.277244987487792,50.0,-7.883809609999999,,
,,21000,0.04590896036475897,,20850,0.001,10.372237472534179,,,-7.63685655,50.0
151,138,21000,,420,,,,50.0,-7.786586240000002,,
151,140,21200,0.042110112458467484,424,21050,0.001,10.456265144348144,50.0,-7.76261131,,
151,141,21400,0.045430442541837694,428,21250,0.001,10.518466796875,50.0,-7.66210936,,
,,21500,0.04684559442102909,,21350,0.001,10.538684425354004,,,-7.82988225,50.0
151,143,21600,0.04191358897835016,432,21450,0.001,10.53131965637207,50.0,-7.65209042,,
151,144,21800,0.04623668864369392,436,21650,0.001,10.657710304260254,50.0,-7.507538780000001,,
,,22000,0.050815146043896676,,21850,0.001,10.738766288757324,,,-7.437727649999999,50.0
150,145,22000,,440,,,,50.0,-7.490861140000001,,
150,147,22200,0.050536384284496305,444,22050,0.001,10.817131690979004,50.0,-7.46007663,,
151,148,22400,0.04774384066462517,448,22250,0.001,10.84101505279541,50.0,-7.370039869999999,,
,,22500,0.04400717996060848,,22350,0.001,10.89117862701416,,,-7.3512704499999995,50.0
150,149,22600,0.04334085788577795,452,22450,0.001,10.910020294189453,50.0,-7.350719229999999,,
151,150,22800,0.04583608355373144,456,22650,0.001,11.024047431945801,50.0,-7.371214119999999,,
,,23000,0.04044124279171228,,22850,0.001,11.05482307434082,,,-7.984361000000002,50.0
150,152,23000,,460,,,,50.0,-7.267078079999999,,
151,153,23200,0.04410840187221766,464,23050,0.001,11.133922233581544,50.0,-7.36849204,,
151,154,23400,0.046942961812019346,468,23250,0.001,11.185384941101074,50.0,-7.19950875,,
,,23500,0.04364061370491981,,23350,0.001,11.153811340332032,,,-7.412177200000002,50.0
151,156,23600,0.04417899943888187,472,23450,0.001,11.267751693725586,50.0,-7.124383590000001,,
151,157,23800,0.04461848087608814,476,23650,0.001,11.288407859802247,50.0,-7.0539862499999995,,
,,24000,0.04392623219639063,,23850,0.001,11.379752349853515,,,-8.0049052,50.0
150,158,24000,,480,,,,50.0,-7.187894,,
151,160,24200,0.043140971437096595,484,24050,0.001,11.456408348083496,50.0,-7.183303839999999,,
151,161,24400,0.059936034679412845,488,24250,0.001,11.489636688232421,50.0,-7.086608469999999,,
,,24500,0.04441611334681511,,24350,0.001,11.506945114135743,,,-7.913262850000001,50.0
151,162,24600,0.0468984242901206,492,24450,0.001,11.552868804931641,50.0,-6.977951440000001,,
151,163,24800,0.04273355882614851,496,24650,0.001,11.617445526123047,50.0,-6.983908120000001,,
,,25000,0.042016056664288044,,24850,0.001,11.64009090423584,,,-7.4133823,50.0
150,165,25000,,500,,,,50.0,-7.0083146,,
151,166,25200,0.04367422088980675,504,25050,0.001,11.701171684265137,50.0,-7.01645567,,
151,167,25400,0.05555975876748562,508,25250,0.001,11.765203475952148,50.0,-6.977614789999999,,
,,25500,0.05545923836529255,,25350,0.001,11.816327171325684,,,-7.413324399999999,50.0
150,169,25600,0.0415643410757184,512,25450,0.001,11.839126167297364,50.0,-7.015791590000001,,
151,170,25800,0.046962894201278686,516,25650,0.001,11.932867736816407,50.0,-7.03477668,,
,,26000,0.04652350723743439,,25850,0.001,11.93752155303955,,,-7.3722902,50.0
150,172,26000,,520,,,,50.0,-7.063823319999999,,
151,173,26200,0.05388256125152111,524,26050,0.001,12.042180404663085,50.0,-7.018650409999999,,
151,174,26400,0.04451619941741228,528,26250,0.001,12.136905364990234,50.0,-7.01062077,,
,,26500,0.05224648490548134,,26350,0.001,12.155088233947755,,,-7.137494200000001,50.0
150,176,26600,0.05653605960309505,532,26450,0.001,12.224806480407715,50.0,-6.8234030400000005,,
151,177,26800,0.04371233135461807,536,26650,0.001,12.226023979187012,50.0,-7.071650709999999,,
,,27000,0.05053639363497495,,26850,0.001,12.241481857299805,,,-7.119882500000001,50.0
150,179,27000,,540,,,,50.0,-6.987035479999999,,
151,180,27200,0.048026327043771744,544,27050,0.001,12.348384971618652,50.0,-6.813564660000001,,
151,181,27400,0.049555239453911784,548,27250,0.001,12.38583797454834,50.0,-6.839656049999999,,
,,27500,0.04598719656467438,,27350,0.001,12.43564956665039,,,-7.1244168499999985,50.0
150,182,27600,0.043805953934788706,552,27450,0.001,12.41621509552002,50.0,-6.710175830000001,,
151,183,27800,0.04711519926786423,556,27650,0.001,12.480823822021485,50.0,-6.673397700000001,,
,,28000,0.04993196364492178,,27850,0.001,12.597480583190919,,,-7.156468999999999,50.0
150,185,28000,,560,,,,50.0,-6.768350800000002,,
150,186,28200,0.06276535384356975,564,28050,0.001,12.625066947937011,50.0,-6.84802864,,
151,187,28400,0.0404516589641571,568,28250,0.001,12.685470352172851,50.0,-6.886378220000001,,
,,28500,0.04625565990805626,,28350,0.001,12.738835067749024,,,-7.2117702999999995,50.0
150,189,28600,0.04323999151587486,572,28450,0.001,12.751873016357422,50.0,-6.973610800000001,,
150,190,28800,0.044278816021978855,576,28650,0.001,12.815953102111816,50.0,-6.941524010000002,,
,,29000,0.04439246363937855,,28850,0.001,12.874214096069336,,,-7.1552135,50.0
150,192,29000,,580,,,,50.0,-6.9483536500000005,,
150,193,29200,0.04196337640285492,584,29050,0.001,12.956556663513183,50.0,-6.8363644699999995,,
151,194,29400,0.040514477267861365,588,29250,0.001,13.006339569091796,50.0,-6.79276708,,
,,29500,0.04726697620004416,,29350,0.001,12.956792907714844,,,-7.269867700000001,50.0
150,196,29600,0.04407563928514719,592,29450,0.001,13.032782783508301,50.0,-6.8591231200000005,,
150,197,29800,0.05012384407222271,596,29650,0.001,13.058024597167968,50.0,-6.9134648599999995,,
,,30000,0.04026931434869766,,29850,0.001,13.081091804504394,,,-7.240706749999999,50.0
