rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/std,train/approx_kl,eval/mean_reward,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_ep_length,train/clip_range
19.46,3,643,1,14.92153775,2048,,,,,,,,,,,,,
,,,,,2500,-4.241988112032414,0.196826171875,10,-0.002353072166442871,10.082322120666504,0.9902526140213013,0.017388662,84.02537752091885,-0.020681120236986317,0.0003,40.477190455794336,56.15,0.2
24.28,8,459,2,24.135360059999996,4096,,,,,,,,,,,,,
,,,,,5000,-4.218240220844746,0.1400390625,20,0.28343498706817627,44.85870361328125,0.9835711717605591,0.014401164,73.24884890019894,-0.020094822644023225,0.0003,132.45539981126785,45.05,0.2
34.87,14,411,3,45.929099120000004,6144,,,,,,,,,,,,,
,,,,,7500,-4.2054904967546465,0.0818359375,30,0.24494469165802002,93.09192657470703,0.9820311069488525,0.009924976,88.73842390477657,-0.01444039067137055,0.0003,242.16376485824586,50.45,0.2
44.81,21,377,4,64.73057931,8192,,,,,,,,,,,,,
,,,,,10000,-4.190431612730026,0.099609375,40,0.15841245651245117,82.9774169921875,0.9737564921379089,0.010870918,153.81211348176004,-0.016682310969918034,0.0003,240.32061247825624,74.05,0.2
55.59,28,361,5,90.71357454999999,10240,,,,,,,,,,,,,
66.58,32,372,6,117.45591188,12288,-4.170284935832024,0.07373046875,50,0.045268118381500244,168.27639770507812,0.9694499373435974,0.008141851,,-0.013884987361961976,0.0003,378.4743220806122,,0.2
,,,,,12500,-4.161595226824284,0.026220703125,60,0.0075185298919677734,151.49899291992188,0.9687260389328003,0.004466048,215.9307323694229,-0.00496901246078778,0.0003,433.7554271697998,94.6,0.2
74.32,39,360,7,138.39982804000002,14336,,,,,,,,,,,,,
,,,,,15000,-4.152579513192177,0.10244140625,70,0.0011848807334899902,222.7567901611328,0.9629513621330261,0.010205257,206.12980633974075,-0.014698990987380967,0.0003,448.3015347480774,91.25,0.2
82.05,47,348,8,162.62470251000002,16384,,,,,,,,,,,,,
,,,,,17500,-4.138011783361435,0.044091796875,80,0.0045662522315979,146.00570678710938,0.9598156809806824,0.0057391366,205.4075721859932,-0.006912771565839648,0.0003,435.9307857513428,91.4,0.2
86.37,54,339,9,175.41557019000004,18432,,,,,,,,,,,,,
,,,,,20000,-4.133670867979527,0.046044921875,90,0.25501948595046997,135.38990783691406,0.9605072736740112,0.0049991803,207.22572244405745,-0.005994280100276228,0.0003,352.0063413619995,92.5,0.2
89.05,60,337,10,184.92542864000004,20480,,,,,,,,,,,,,
