eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/approx_kl
-12.780341445654631,1000,50.0,,,,,,,,,,,,,,,,
-12.780341445654631,2000,50.0,,,,,,,,,,,,,,,,
,2048,,2,1,-62.63721335,738,50.0,,,,,,,,,,,
-13.222384326159954,3000,50.0,,,,,,-0.008376385431620292,0.0034809112548828125,202.88819098472595,-2.7972477197647097,0.9666618704795837,0.2,0.0482421875,10,67.51419830322266,0.0003,0.0068181986
-13.222384326159954,4000,50.0,,,,,,,,,,,,,,,,
,4096,,6,2,-61.05503855555555,598,50.0,,,,,,,,,,,
-13.192119815945626,5000,50.0,,,,,,-0.004738261934835464,0.3056827783584595,103.72478104829788,-2.7498945109546185,0.9470041990280151,0.2,0.021484375,20,24.773157119750977,0.0003,0.004533951
-13.192119815945626,6000,50.0,,,,,,,,,,,,,,,,
,6144,,11,3,-59.88739041000001,556,50.0,,,,,,,,,,,
-11.117242071405053,7000,50.0,,,,,,-0.007160239122458734,0.3016597628593445,65.51133095026016,-2.7109263256192206,0.9277565479278564,0.2,0.046044921875,30,12.546195983886719,0.0003,0.0066361534
-11.117242071405053,8000,50.0,,,,,,,,,,,,,,,,
,8192,,15,4,-58.83528858,540,50.0,,,,,,,,,,,
-13.23480480723083,9000,50.0,,,,,,-0.009688321439898572,0.3617907166481018,59.934725761413574,-2.661139339208603,0.902334988117218,0.2,0.057470703125,40,13.494492530822754,0.0003,0.0068772263
-13.23480480723083,10000,50.0,,,,,,,,,,,,,,,,
,10240,,19,5,-57.22344682999999,522,50.0,,,,,,,,,,,
-16.24719519019127,11000,50.0,,,,,,-0.007566402739030309,0.3914138674736023,41.88811253607273,-2.587544472515583,0.8639649748802185,0.2,0.0404296875,50,10.51750373840332,0.0003,0.00876999
-16.24719519019127,12000,50.0,,,,,,,,,,,,,,,,
,12288,,23,6,-56.324823049999985,519,50.0,,,,,,,,,,,
-15.99314738214016,13000,50.0,,,,,,-0.014224435968208127,0.6238939464092255,46.49264959096909,-2.5204138003289698,0.8437772989273071,0.2,0.089111328125,60,13.988372802734375,0.0003,0.008821288
-15.99314738214016,14000,50.0,,,,,,,,,,,,,,,,
,14336,,27,7,-55.76508389000001,518,50.0,,,,,,,,,,,
-27.894579984247684,15000,50.0,,,,,,-0.013252252913662232,0.5969255268573761,41.21105816960335,-2.4737001225352286,0.8238626718521118,0.2,0.076025390625,70,10.347960472106934,0.0003,0.008672832
-27.894579984247684,16000,50.0,,,,,,,,,,,,,,,,
,16384,,31,8,-55.74051315,523,50.0,,,,,,,,,,,
-35.70319816172123,17000,50.0,,,,,,-0.012909478531219066,0.8235007673501968,32.13565118908882,-2.4286308996379375,0.8084292411804199,0.2,0.072314453125,80,15.616655349731445,0.0003,0.007188974
-35.70319816172123,18000,50.0,,,,,,,,,,,,,,,,
,18432,,35,9,-56.765148980000006,521,50.0,,,,,,,,,,,
-45.40289784520864,19000,50.0,,,,,,-0.012208970659412444,0.8709181547164917,26.888505470752715,-2.397969049215317,0.7958759069442749,0.2,0.08447265625,90,16.190258026123047,0.0003,0.0059229364
-45.40289784520864,20000,50.0,,,,,,,,,,,,,,,,
