rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
760.75,0.08372408094070852,4,0.001,-1201.4186825,16,3043,186,-3.985358920797706,2000,,
,0.12919812026247382,,0.001,,,5000,,5.967253092765808,4000,-2419.164286184311,1000.0
880.375,0.054650035440921785,8,0.001,-1823.4813414999999,59,7043,117,3.0085242290496828,6000,,
767.8333333333334,0.16404699028655886,12,0.001,-1708.9064562499998,81,9214,113,3.3619047417640684,9029,,
,0.49961809305028176,,0.001,,,10000,,2.473339388907795,9171,-1781.255689190235,901.5
703.8125,0.3231688097119331,16,0.001,-1496.8277053125,112,11261,100,0.9026349902153015,11191,,
568.7,0.7877875980403688,20,0.001,-1206.7510548,113,11374,100,1.1259451243612502,11320,,
,0.8367075968384743,,0.001,,,15000,,0.2283049153626198,14331,401.194053219512,924.5
640.5833333333334,,24,,-1026.5973178333334,154,15374,99,,,,
691.9285714285714,0.8712074938118458,28,0.001,-817.3254023571429,186,19374,103,-2.419799015045166,18331,,
,0.8103626690208912,,0.001,,,20000,,-2.63123894405365,19331,455.67709076696065,1000.0
730.4375,0.8344156666696072,32,0.001,-666.92471671875,235,23374,99,-3.5562212228775025,22331,,
,0.7592400037646294,,0.001,,,25000,,-4.405920949935913,24331,497.2877795398208,905.1
760.3888888888889,0.7950703682303428,36,0.001,-540.0662790833334,283,27374,96,-5.21630143737793,26331,,
,0.7517029514312744,,0.001,,,30000,,-6.804262795448303,29331,455.3684895312675,888.8
784.35,0.8160122194588184,40,0.001,-429.535244075,327,31374,95,-7.283946890830993,30331,,
,0.7576050607860089,,0.001,,,35000,,-9.152109699249268,34331,604.3609808033477,1000.0
803.9545454545455,,44,,-337.1336692954546,376,35374,94,,,,
820.2916666666666,0.7227909677922726,48,0.001,-255.71792668749995,410,39374,96,-11.321734794616699,38331,,
,0.7013006426990033,,0.001,,,40000,,-11.911372871398926,39331,655.7670461470203,1000.0
834.1153846153846,0.7189444522559643,52,0.001,-184.13533226923076,459,43374,94,-13.656244630813598,42331,,
,0.7181625580787658,,0.001,,,45000,,-14.82884790802002,44331,735.4123563730915,1000.0
845.9642857142857,0.6982427021861076,56,0.001,-121.58050885714283,513,47374,92,-15.985592929840088,46331,,
,0.7078610186576844,,0.001,,,50000,,-17.887421325683594,49331,762.263592584289,1000.0
856.2333333333333,0.6916910290122033,60,0.001,-63.386387149999976,570,51374,90,-18.461464057922363,50331,,
,0.6487551895976067,,0.001,,,55000,,-20.895229053497314,54331,756.6184030390344,1000.0
865.21875,,64,,-13.499656874999992,627,55374,88,,,,
873.1470588235294,0.6465687465369702,68,0.001,32.517394985294125,662,59374,89,-23.30203761291504,58331,,
,0.6318479456007481,,0.001,,,60000,,-23.914002925872804,59331,850.4608354378491,1000.0
880.1944444444445,0.643873320132494,72,0.001,76.78747259722223,717,63374,88,-25.63593578720093,62331,,
,0.6180953615605831,,0.001,,,65000,,-26.80182024383545,64331,867.6496568879578,1000.0
886.5,0.5976706491410733,76,0.001,117.94778273684211,772,67374,87,-27.9044751663208,66331,,
,0.6221340746879578,,0.001,,,70000,,-29.604565536499024,69331,858.2314451964106,1000.0
892.175,0.606241347283125,80,0.001,155.814231075,829,71374,86,-30.14439653778076,70331,,
,0.6344911489784718,,0.001,,,75000,,-32.256476093292235,74331,919.1791100555813,1000.0
897.3095238095239,,84,,190.77234597619048,884,75374,85,,,,
901.9772727272727,0.6501517661511899,88,0.001,226.27324950000002,921,79374,86,-34.30687663269043,78331,,
,0.6493499822020531,,0.001,,,80000,,-34.8469400100708,79331,975.9310394748114,1000.0
895.5217391304348,0.691863730430603,92,0.001,248.99937058695653,975,82388,84,-36.42222305297852,82331,,
,0.7056398448944092,,0.001,,,85000,,-37.623417808532714,84345,1096.8625196281123,1000.0
899.875,0.740371282428503,96,0.001,283.7449805104167,1023,86388,84,-38.205902160644534,85345,,
,0.8136692974567413,,0.001,,,90000,,-40.40645310211182,89345,1009.4138379235519,936.8
903.88,,100,,315.46571500000005,1078,90388,83,,,,
913.45,0.8742512472271919,104,0.001,399.94924598000006,1116,94388,84,-42.609197708129884,93345,,
,0.8845401032865048,,0.001,,,95000,,-43.08017462158203,94345,691.3283540097997,804.0
912.71,1.0133217008411883,108,0.001,533.53940684,1171,98314,83,-44.289647087097165,97345,,
,1.0715790673494339,,0.001,,,100000,,-45.247691864013674,99271,748.1828437560296,901.3
931.0,1.1514864785075187,112,0.001,648.19630347,1225,102314,83,-46.297696586608886,101271,,
,1.3353782839775086,,0.001,,,105000,,-47.830756805419924,104271,788.757093601604,648.2
942.55,1.287615274310112,116,0.001,709.7019777500001,1272,105516,82,-48.12441311645508,105271,,
981.42,1.5869943639039994,120,0.001,747.39906405,1304,109516,83,-49.45557119750976,108473,,
,1.539693114042282,,0.001,,,110000,,-49.55288693237305,109473,1057.3021274719563,928.7
981.42,1.6651437646150589,124,0.001,811.08164436,1358,113516,83,-51.23333336639404,112473,,
,1.6961021570563317,,0.001,,,115000,,-52.17477303314209,114473,716.2561332758971,841.9
981.42,1.9183987400531768,128,0.001,835.12157516,1413,117516,83,-53.01873020172119,116473,,
,2.042269374012947,,0.001,,,120000,,-54.263419921875,119320,677.7648489763378,910.3
979.89,2.1067399859428404,132,0.001,867.3718473399998,1464,121363,82,-54.44711260986328,120320,,
,2.4422598509788513,,0.001,,,125000,,-56.20294226837158,124320,1199.8058047449508,926.1
979.89,,136,,878.09659853,1518,125363,82,,,,
979.89,2.723573456287384,140,0.001,909.36797646,1555,129363,83,-57.40765550231934,128320,,
,2.9691378488773252,,0.001,,,130000,,-58.352576677807534,129894,822.138265146022,963.4
975.63,3.0280160669088363,144,0.001,938.61183755,1603,132937,82,-59.344866645812985,131894,,
,3.1723587090969088,,0.001,,,135000,,-60.659720748901364,134613,1373.546770053124,1000.0
972.82,3.110548202633858,148,0.001,958.60546599,1656,136656,82,-60.533112762451175,135613,,
,3.230714356660843,,0.001,,,140000,,-62.61255044555664,139613,1420.9880080288858,889.4
972.82,,152,,983.0380158900001,1706,140656,82,,,,
960.29,3.7917625103423847,156,0.001,994.80235009,1733,143403,82,-63.96520569745232,142360,,
,4.044384875059128,,0.001,,,145000,,-64.81086660766601,144360,1405.1620998984931,996.2
960.29,4.093876351833344,160,0.001,1029.79059432,1788,147403,82,-66.054241065979,146360,,
,4.141619155764579,,0.001,,,150000,,-67.49227777862549,149813,1043.8729860825028,704.4
954.82,,164,,1054.4756728800003,1834,150856,82,,,,
954.82,4.328127167701721,168,0.001,1077.87272732,1871,154856,82,-69.3729623260498,153813,,
,4.38423344874382,,0.001,,,155000,,-69.35740899658204,154813,1384.7490526867507,828.8
954.82,4.391713943004608,172,0.001,1109.2090388899999,1923,158856,82,-70.71240990447998,157813,,
,4.602889543533325,,0.001,,,160000,,-71.47028506469726,159813,1681.4173634391277,906.3
954.82,5.01573976111412,176,0.001,1142.3331451200002,1977,162856,82,-72.42360157775879,161813,,
,4.703547791957855,,0.001,,,165000,,-73.93504298400879,164813,1367.124490860915,922.8
954.82,4.741774285554886,180,0.001,1155.14550245,2029,166856,82,-73.94474130249023,165813,,
,5.021082468509674,,0.001,,,170000,,-75.28174256896973,169813,1859.2386040279641,1000.0
954.82,,184,,1192.9740755799999,2088,170856,81,,,,
951.84,5.325297019004822,188,0.001,1216.66820556,2124,174558,82,-76.49941310119628,173515,,
,5.655839429140091,,0.001,,,175000,,-77.3714720916748,174515,1672.3472292495862,951.3
955.32,5.332327072133017,192,0.001,1245.61926344,2171,177920,81,-77.84974122442593,176877,,
,5.544747510671615,,0.001,,,180000,,-79.56524357604981,179877,1477.6262763996783,831.6
955.32,5.697916311264038,196,0.001,1278.18435013,2223,181920,81,-80.08714627075196,180877,,
,5.582607152462006,,0.001,,,185000,,-81.61752601623535,184877,1417.9043219864252,913.6
955.32,,200,,1311.52823178,2276,185920,81,,,,
950.85,5.680142228364945,204,0.001,1334.9992637399998,2309,189473,82,-83.36300169372558,188430,,
,5.819005894422531,,0.001,,,190000,,-83.68173924255372,189430,1498.5035523886502,829.8
951.59,5.740053600788117,208,0.001,1374.8245173099997,2356,193473,82,-85.282693069458,192430,,
,5.674028670475018,,0.001,,,195000,,-86.65273030598958,194591,709.6093303177971,382.7
943.2,6.040984187602997,212,0.001,1371.7087461100004,2390,196634,82,-86.72592930603027,195591,,
941.59,5.783331190667501,216,0.001,1395.2888218999997,2418,199675,82,-86.83175513857887,198632,,
,6.316761137008667,,0.001,,,200000,,-88.31307008361816,199632,1539.4931330399588,850.2
928.89,6.824254797530298,220,0.001,1407.2946916599997,2464,202405,82,-89.40708326428665,202018,,
,6.521652934074402,,0.001,,,205000,,-90.38447674560547,204362,1951.2600159088965,1000.0
928.89,6.500559675455094,224,0.001,1427.6225270299997,2514,206405,82,-90.90573706054687,205362,,
,6.465558390378952,,0.001,,,210000,,-92.30832052612304,209362,1967.070631035138,1000.0
928.89,,228,,1465.41455438,2569,210405,81,,,,
929.48,7.177901079654694,232,0.001,1493.34051909,2605,214311,82,-93.48108001708984,213332,,
,7.131978028350407,,0.001,,,215000,,-93.87835409702399,214268,2073.3858266533352,1000.0
929.48,7.006665505886078,236,0.001,1544.69107547,2658,218311,82,-95.07609133911133,217268,,
,6.991844269037247,,0.001,,,220000,,-95.75542431640625,219268,1975.8803910615388,1000.0
929.48,7.026177673816681,240,0.001,1570.5286785699998,2711,222311,81,-96.33676092529296,221268,,
,6.495515599489212,,0.001,,,225000,,-97.92076203918457,224268,2024.6994352777256,1000.0
933.74,7.2139691648483275,244,0.001,1599.70625229,2763,226311,81,-98.4380643157959,225268,,
,6.854912309646607,,0.001,,,230000,,-100.00458016967774,229268,1888.2525277722568,1000.0
936.55,,248,,1640.7694639699998,2819,230311,81,,,,
935.25,7.275276272296906,252,0.001,1653.6256371800002,2852,234181,82,-100.7789500427246,233138,,
