train/ent_coef_loss,time/episodes,time/total_timesteps,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/ent_coef,eval/mean_reward,eval/mean_ep_length
-0.6490614414215088,4,263,-11.849028587341309,2.0445380210876465,162,0.0003,-26.76835425,65.75,1,155,0.9528222680091858,,
-1.5109095573425293,8,477,-14.43707275390625,1.9591426849365234,376,0.0003,-28.204414875,59.625,4,114,0.8936326503753662,,
-5.961555480957031,12,1689,-26.890979766845703,1.279237985610962,1588,0.0003,-58.111843916666665,140.75,17,94,0.6245889067649841,,
-9.722282409667969,16,2801,-32.772613525390625,2.857434034347534,2700,0.0003,-86.4484058125,175.0625,30,92,0.4513772428035736,,
-13.331774711608887,20,3975,-35.6377067565918,2.831188201904297,3874,0.0003,-106.128072,198.75,43,91,0.32168734073638916,,
-13.844679832458496,24,4297,-35.70960998535156,3.5533204078674316,4196,0.0003,-96.458300875,179.04166666666666,46,91,0.2932754456996918,,
-14.934462547302246,28,4628,-35.231231689453125,2.8917148113250732,4527,0.0003,-92.91205610714287,165.28571428571428,50,91,0.26682108640670776,,
-15.350168228149414,32,4844,-34.973121643066406,6.209504127502441,4743,0.0003,-84.89159984375,151.375,52,91,0.2508401870727539,,
-15.424798965454102,,5000,-35.587547302246094,3.1600887775421143,4899,0.0003,,,,,0.23993520438671112,73.47944477792043,717.7
-16.860597610473633,36,6052,-32.592918395996094,2.5621535778045654,5951,0.0003,-96.04837863888889,168.11111111111111,75,80,0.17843367159366608,,
-17.72787857055664,40,6341,-32.33428955078125,6.444570541381836,6240,0.0003,-91.81099060000001,158.525,78,80,0.16471658647060394,,
-19.582740783691406,44,7591,-29.180625915527344,2.9029693603515625,7490,0.0003,-101.10512506818185,172.52272727272728,92,82,0.11666582524776459,,
-20.457862854003906,48,9866,-21.93651008605957,1.9281675815582275,9765,0.0003,-117.49747279166667,205.54166666666666,118,83,0.06263574212789536,,
-18.979137420654297,,10000,-21.945343017578125,2.8295211791992188,9899,0.0003,,,,,0.060424450784921646,-105.00969878857904,438.4
-18.994646072387695,52,10179,-21.337373733520508,2.3433632850646973,10078,0.0003,-111.63368626923078,195.75,128,79,0.057579249143600464,,
-18.76496124267578,56,11656,-17.179126739501953,2.1469788551330566,11555,0.0003,-111.84493332142857,208.14285714285714,143,81,0.03902255743741989,,
-14.245923042297363,60,13061,-14.626046180725098,1.6670842170715332,12960,0.0003,-109.60998633333334,217.68333333333334,159,82,0.027377907186746597,,
-13.801393508911133,64,13421,-13.950043678283691,1.4349679946899414,13320,0.0003,-104.63153867187499,209.703125,163,82,0.025151057168841362,,
-11.12321662902832,68,14678,-12.144556045532227,2.017340898513794,14577,0.0003,-102.25182061764706,215.85294117647058,176,83,0.01896468736231327,,
-9.726181983947754,,15000,-11.574170112609863,1.9489078521728516,14899,0.0003,,,,,0.017767945304512978,-16.21727418619048,652.8
0.15689516067504883,72,18678,-8.774589538574219,1.5552165508270264,18577,0.0003,-97.75691845833335,259.4166666666667,229,81,0.011336407624185085,,
0.5002909302711487,,20000,-8.38686752319336,1.3345407247543335,19899,0.0003,,,,,0.011265712790191174,47.27600899597601,376.3
0.4366798400878906,76,20255,-8.703161239624023,1.7619688510894775,20154,0.0003,-90.9411367368421,266.5131578947368,252,80,0.011363662779331207,,
-0.5919159650802612,80,20882,-8.180164337158203,1.3816386461257935,20781,0.0003,-85.6882361375,261.025,259,80,0.011267631314694881,,
0.8198674321174622,84,21759,-8.186640739440918,1.5756773948669434,21658,0.0003,-79.77721572619048,259.0357142857143,269,80,0.011201353743672371,,
1.2156176567077637,88,21949,-8.11964225769043,1.550472617149353,21848,0.0003,-75.98507376136364,249.42045454545453,271,80,0.011091915890574455,,
0.11538350582122803,92,23302,-8.132599830627441,1.30026376247406,23201,0.0003,-69.34070973913045,253.2826086956522,285,81,0.011092831380665302,,
-0.05166164040565491,96,24742,-7.889923095703125,1.8204493522644043,24641,0.0003,-63.763945218749996,257.7291666666667,301,81,0.011405456811189651,,
-0.8720982670783997,,25000,-8.143356323242188,1.5235412120819092,24899,0.0003,,,,,0.01143826637417078,71.03104285169684,262.1
0.666483998298645,100,27905,-7.964992523193359,1.4225304126739502,27804,0.0003,-53.09505586,279.05,340,81,0.011654898524284363,,
0.9318386912345886,104,28754,-8.714305877685547,1.7547494173049927,28653,0.0003,-51.052402029999996,284.91,350,82,0.011859340593218803,,
0.891106128692627,108,29158,-9.315004348754883,1.4166035652160645,29057,0.0003,-48.46665783,286.81,354,82,0.011752774007618427,,
-0.6226210594177246,,30000,-9.088582992553711,1.7467119693756104,29899,0.0003,,,,,0.011754320934414864,232.66998941335987,690.6
-0.7711050510406494,112,30528,-9.191439628601074,1.6855155229568481,30427,0.0003,-40.017759610000006,288.39,379,80,0.011822184547781944,,
0.7263683676719666,116,30851,-9.535444259643555,1.593475341796875,30750,0.0003,-31.568553980000004,280.5,383,80,0.011813522316515446,,
0.1365576982498169,120,31409,-10.264036178588867,1.5384190082550049,31308,0.0003,-21.555810729999994,274.34,389,80,0.011994056403636932,,
-1.2421256303787231,124,32749,-9.655949592590332,2.0626935958862305,32648,0.0003,-16.005300660000003,284.52,404,81,0.011857169680297375,,
0.38818418979644775,,35000,-11.10513687133789,1.50899076461792,34899,0.0003,,,,,0.012087452225387096,318.3726313405488,749.4
0.9663083553314209,128,35156,-11.413152694702148,2.4334726333618164,35055,0.0003,-5.916643930000003,305.28,441,79,0.011990928091108799,,
