time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
280,77,,985.8,,255619,,1385.0479186500004,3302,,,
284,77,-87.00466581726074,974.59,4.699400461196899,258498,0.001,1405.0645741899998,3347,258248,,
,,-87.4400400390625,,5.018611817836762,260000,0.001,,,259498,832.7,1410.546803811891
288,77,-88.18475239562989,974.59,5.5729438922405246,262498,0.001,1438.46229143,3393,261498,,
,,-88.3977497974074,,5.766602841748932,265000,0.001,,,264316,848.5,1466.396243176717
292,77,,962.77,,265316,,1453.7479646400002,3433,,,
296,77,-89.99589292907714,962.77,5.270759768724441,269316,0.001,1470.6152228300002,3484,268316,,
,,-90.24926309204102,,5.178386496782303,270000,0.001,,,269316,933.0,1552.3554751612246
300,77,-91.5507918701172,962.77,5.044162654399872,273316,0.001,1492.1469312799998,3539,272316,,
,,-92.09139770507812,,4.990514399290085,275000,0.001,,,274316,958.9,1817.1145262904115
304,77,-92.62631834411621,962.77,5.149583592414856,277316,0.001,1479.1371361400002,3595,276316,,
,,-93.49372023010254,,5.2950523982048034,280000,0.001,,,279316,1000.0,2025.714977705758
308,77,-93.99769105529785,962.77,5.073594331026078,281316,0.001,1510.35683212,3651,280316,,
,,-96.31102990722657,,4.508790170669555,285000,0.001,,,284316,834.0,1594.8714224095922
312,76,,969.61,,285316,,1534.7897995799995,3707,,,
316,76,-97.7652811126709,966.4,5.602012968063354,288995,0.001,1587.04039177,3753,287995,,
,,-98.39921362304688,,5.017375515222549,290000,0.001,,,289995,643.3,360.3306753827725
320,76,-99.36449432373047,953.26,4.775251116071429,291681,0.001,1602.6215760599996,3792,290681,,
,,-98.91627626037598,,4.968401540756226,295000,0.001,,,294681,1000.0,1949.8872856991015
324,76,,953.26,,295681,,1606.51400717,3848,,,
328,76,-99.8611125793457,944.06,4.633022627592087,298761,0.001,1596.55663023,3886,297761,,
,,-100.46197326660156,,4.657162821531296,300000,0.001,,,299761,877.5,1759.8581040555146
332,76,-101.32051667170738,932.96,4.702313026385521,301651,0.001,1587.98527277,3929,300895,,
,,-101.57441819763184,,5.698365485906601,305000,0.001,,,304363,1000.0,1847.7882516032441
336,76,,930.08,,305363,,1575.6668798700002,3979,,,
340,76,-102.2366293334961,925.24,5.7961530696153645,308879,0.001,1587.1173448700001,4025,307879,,
,,-102.4341142578125,,5.806493663311005,310000,0.001,,,309879,1000.0,2089.8792659197934
344,76,-102.73479748535156,929.2,5.675284126996994,312879,0.001,1605.74411062,4082,311879,,
,,-103.05561380386352,,5.121389396535526,315000,0.001,,,314396,935.3,1590.5244472355582
348,76,,914.37,,315396,,1587.4674878400003,4119,,,
352,76,-102.88282003158179,907.49,5.556762147408265,318708,0.001,1509.5841826499998,4159,317708,,
,,-102.15735887145996,,6.397884932041168,320000,0.001,,,319708,876.8,1830.968911012914
356,76,-102.04325708007812,898.9,7.145624926567078,321650,0.001,1503.4206313199998,4214,321597,,
360,76,-101.79988763427734,889.36,7.130549541711807,324696,0.001,1451.81734306,4254,324650,,
,,-102.33563331935717,,7.392845972724583,325000,0.001,,,324696,941.8,1940.9925114857965
364,76,-102.13140701293945,889.36,7.140182401657104,328696,0.001,1463.9814927099997,4298,327696,,
,,-102.49680805969238,,8.368729083776474,330000,0.001,,,329696,701.8,1462.1608696546405
368,76,-102.26584699076992,879.98,7.6383520749307445,331758,0.001,1454.5131824,4341,330758,,
372,76,-103.06102033996582,865.75,7.104291168451309,334335,0.001,1433.2432968000003,4381,334040,,
,,-102.93785937327259,,6.94394321854659,335000,0.001,,,334970,533.5,1083.8550129981945
376,76,-102.64691857588919,862.63,7.891474503466958,337882,0.001,1432.5139256500001,4421,336882,,
,,-103.38525573730469,,7.2396971199512485,340000,0.001,,,339882,625.2,1209.4702151320757
380,76,-102.99598892211914,862.63,7.972473869085312,341882,0.001,1432.7328235800003,4474,340882,,
,,-103.10377101135253,,9.581717592000961,345000,0.001,,,344882,881.7,1845.1956232880243
384,76,,873.84,,345882,,1427.4726870099998,4529,,,
388,76,-103.67325601196289,873.84,9.540180127620697,349882,0.001,1440.13005374,4580,348882,,
,,-103.98178143310547,,10.740088959693908,350000,0.001,,,349882,1000.0,1980.3639768891037
392,76,-104.6314175847065,882.3,10.224447411226938,353546,0.001,1465.31209621,4632,352546,,
,,-103.53642622375489,,9.614102419614792,355000,0.001,,,354546,914.5,1795.3654129458241
396,76,-104.26074812316895,882.3,9.050350988149644,357546,0.001,1474.53232854,4687,356546,,
,,-105.2399395904541,,9.46185953259468,360000,0.001,,,359546,1000.0,2017.8511381678284
400,76,-104.78135803222656,882.3,8.898581698179244,361546,0.001,1465.4665402599996,4742,360546,,
,,-105.60012109375,,8.322330263614655,365000,0.001,,,364546,898.6,1913.056378420163
404,76,,882.3,,365546,,1509.7975271700002,4797,,,
408,76,-106.62506486511231,882.3,8.031417367458344,369546,0.001,1511.2763591999997,4847,368546,,
,,-106.73461045837402,,8.526987572908402,370000,0.001,,,369546,943.9,1988.2596589876339
412,76,-106.58109168021001,877.72,9.331777510607814,373088,0.001,1522.29217428,4897,372088,,
,,-107.84684594329697,,9.62325672691713,375000,0.001,,,374980,936.4,1991.0636761948467
416,76,-107.56773794555664,879.85,9.422822849035263,376980,0.001,1552.8200658299997,4951,375980,,
,,-107.58504116291903,,8.523529001644679,380000,0.001,,,379020,1000.0,2241.809514946118
420,76,,883.39,,380020,,1545.4467730000001,4994,,,
424,76,-108.36856613159179,883.39,9.872874187231064,384020,0.001,1562.97720538,5044,383020,,
,,-107.80374679565429,,10.04230702996254,385000,0.001,,,384020,849.5,1553.7070649888367
428,76,-108.22374884033204,892.59,10.662069789409637,388020,0.001,1553.5808331399999,5099,387020,,
,,-107.21353630065919,,11.84553590965271,390000,0.001,,,389720,979.8,2068.881009669043
432,76,-107.46974291120257,897.13,11.410640002777857,391364,0.001,1568.0908432699998,5148,390364,,
,,-107.57097856140136,,10.844658928394317,395000,0.001,,,394364,1000.0,2023.0445895903279
436,75,,900.01,,395364,,1569.0350763399997,5203,,,
440,75,-106.32226237354662,893.02,11.236845265298882,398181,0.001,1553.2316010700001,5248,397960,,
,,-106.45705331420899,,11.859299194812774,400000,0.001,,,399181,848.4,1633.3490941904486
444,75,-106.20818203735351,893.02,10.253579782485962,402181,0.001,1552.44997127,5295,401181,,
,,-106.52769200134277,,10.019082441329957,405000,0.001,,,404181,939.7,1846.7223525348586
448,75,-106.06652322387696,907.85,9.996188445568084,406181,0.001,1582.35140705,5352,405181,,
,,-106.65019529724121,,11.074446144342422,410000,0.001,,,409181,978.6,2009.3506175775547
452,75,,914.73,,410181,,1674.64373452,5406,,,
456,75,-107.80885951232911,925.31,11.442104377508164,414181,0.001,1671.6708965,5457,413181,,
,,-106.73656631469727,,11.164777702569962,415000,0.001,,,414181,787.3,1579.1924663702025
460,75,-107.26669543457031,934.85,9.54691465973854,418181,0.001,1734.1297520399996,5513,417181,,
,,-107.49947611999512,,9.826349045276642,420000,0.001,,,419181,945.5,2044.4532722277102
464,75,-108.08045198059082,934.85,10.889684509277343,422181,0.001,1737.2999274999997,5571,421181,,
,,-109.03271914672851,,10.37373529791832,425000,0.001,,,424931,1000.0,1941.1292470775545
468,75,,941.73,,425931,,1751.5782391799999,5623,,,
472,75,-109.0441176147461,955.96,10.286944270133972,429931,0.001,1784.4373793500001,5673,428931,,
,,-108.93573774719238,,11.282741969585418,430000,0.001,,,429931,928.6,1971.1649242409972
476,75,-109.70048626708984,955.93,11.116124432563781,433475,0.001,1783.71447938,5727,432931,,
,,-110.38099197387696,,11.50311598110199,435000,0.001,,,434475,1000.0,2114.953591458546
480,75,-110.51608085632324,955.93,10.348169777393341,437475,0.001,1810.7320006100001,5779,436475,,
,,-110.54104656982422,,10.751573330402374,440000,0.001,,,439475,997.6,2017.9253566434606
484,75,-110.063596014883,952.04,11.251219004148743,441086,0.001,1838.5639314900004,5832,440086,,
,,-111.43240571594238,,10.178529779434204,445000,0.001,,,444086,1000.0,2203.079211081937
488,75,,952.04,,445086,,1843.3575013800003,5888,,,
492,75,-112.1496215057373,955.4,9.998145054817199,449086,0.001,1855.96759871,5937,448086,,
,,-112.49817456054687,,9.688920289993286,450000,0.001,,,449086,1000.0,1944.3340907566248
496,75,-112.73687773132325,955.4,9.805938644647599,453086,0.001,1855.98044504,5992,452086,,
,,-113.16794404602051,,10.209318101644516,455000,0.001,,,454756,846.2,1659.373015195038
500,75,-113.53979872131347,952.1,11.059963152885437,456756,0.001,1857.48820737,6042,455756,,
,,-114.47904760742188,,10.20326614022255,460000,0.001,,,459756,1000.0,1724.2513484481751
504,75,,952.1,,460756,,1860.9251114900003,6099,,,
508,75,-115.45758488464355,952.1,9.505159459829331,464756,0.001,1865.53113344,6149,463756,,
,,-115.49154316711426,,10.210367131233216,465000,0.001,,,464756,1000.0,2202.5007668949897
512,75,-115.88313282775879,956.68,9.497460344552994,468756,0.001,1878.5823638699999,6206,467756,,
,,-116.52530625915527,,10.414940791845321,470000,0.001,,,469756,1000.0,2276.9655327078885
516,75,-116.79767553710937,957.76,9.694517654180526,472756,0.001,1885.1627995399997,6262,471756,,
,,-116.94253383893422,,9.68017674078454,475000,0.001,,,474529,1000.0,2178.8560452051925
520,75,-117.57785269165039,965.09,8.945921361207962,476529,0.001,1925.07106091,6316,475529,,
,,-118.93569640092626,,10.803313052434618,480000,0.001,,,479126,967.8,2195.928777346015
524,75,,961.06,,480126,,1916.9915427899998,6368,,,
528,75,-119.45114408874511,961.06,8.973630093812943,484126,0.001,1959.14707205,6418,483126,,
,,-119.8316876373291,,8.918731575250625,485000,0.001,,,484126,1000.0,2193.531080356287
532,75,-120.10116691589356,967.62,9.251099323272705,488126,0.001,1976.0965869100005,6475,487126,,
,,-120.51591770935059,,9.429488508224487,490000,0.001,,,489126,1000.0,2231.5489195922623
536,75,-120.98316960144042,967.62,9.10907586812973,492126,0.001,2005.52911555,6532,491126,,
,,-121.81401597595215,,9.600091170549392,495000,0.001,,,494126,1000.0,2153.554872718628
540,75,-121.54364585876465,979.45,10.382921028614044,496126,0.001,2037.3345673800002,6590,495126,,
,,-123.06543859863281,,10.12509014415741,500000,0.001,,,499126,1000.0,2137.8427139571404
544,75,,979.45,,500126,,2047.4214678000003,6646,,,
548,75,-123.02110974121094,979.45,9.623148743867874,504126,0.001,2053.2974537600003,6697,503126,,
,,-122.78732080078125,,10.238659158945083,505000,0.001,,,504126,1000.0,2031.1908851688029
552,75,-124.2416434173584,979.45,9.230785649299621,508126,0.001,2055.58092529,6752,507126,,
,,-124.9443278503418,,9.40213696026802,510000,0.001,,,509126,1000.0,2334.2148847601843
556,75,-124.8766778869629,979.45,9.539495685577393,512126,0.001,2086.33112432,6809,511126,,
,,-124.80473077392578,,10.860229437828064,515000,0.001,,,514126,904.9,1644.90658936291
560,75,-125.39636631774903,979.45,9.491293354988098,516126,0.001,2091.89465219,6867,515126,,
,,-125.91697436523438,,9.627601421356202,520000,0.001,,,519126,1000.0,2222.9320817471016
564,75,,979.45,,520126,,2090.4209923099997,6925,,,
568,75,-127.82509043884278,981.95,9.825770788192749,524126,0.001,2103.3850287699997,6977,523126,,
