train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,1010,0.19612485468387603,4,274.25,7,1097,-2.694242763519287,139.91057325000003,152,,
0.001,3255,0.0764686142615974,8,537.75,25,4302,-5.518727032661438,108.21729162500002,168,,
0.001,4255,0.08447908726707101,,,,5000,-7.181587295532227,,,904.190489171818,1000.0
0.001,7255,0.08193449133262039,12,691.8333333333334,70,8302,-11.64300223350525,285.29363225000003,118,,
0.001,9255,0.09261367613822222,,,,10000,-14.351086542129517,,,926.3979255467654,1000.0
0.001,11255,0.09090372070297599,16,768.875,115,12302,-17.051559913635256,382.5296665625,106,,
0.001,14554,0.1406501980753846,,,,15000,-21.81025363922119,,,923.1886575758457,1000.0
,,,20,780.05,155,15601,,416.891294,100,,
0.001,18554,0.14399113966524602,24,777.5833333333334,183,18662,-26.31762913131714,435.74380254166664,101,,
0.001,19615,0.15439543971419334,,,,20000,-27.570407585144043,,,944.0177594423294,1000.0
0.001,21615,0.14040767446532845,28,809.3571428571429,222,22662,-29.8100930519104,472.5575307142857,101,,
0.001,24615,0.11209659704566002,,,,25000,-33.09696199035645,,,955.4099472820759,1000.0
0.001,25615,0.12190712352097034,32,833.1875,267,26662,-34.14207219696045,501.06027946874997,99,,
0.001,29615,0.11863635434955358,,,,30000,-38.07361874389648,,,955.8897010564804,1000.0
,,,36,851.7222222222222,312,30662,,524.0258964722221,98,,
0.001,32763,0.4574411763885134,40,845.25,335,33810,-41.340773556683516,527.2896849249998,100,,
0.001,34763,0.26611283264681695,,,,35000,-42.75814205169678,,,961.2001520872116,1000.0
0.001,36763,0.33484925020486117,44,858.1818181818181,380,37760,-44.38726039886475,541.6887388636363,99,,
0.001,39713,0.24917031189799307,,,,40000,-46.695013427734374,,,954.2060282945633,1000.0
0.001,40713,0.26347873331978916,48,870.0,426,41760,-47.44367554473877,554.7835116041666,97,,
0.001,44713,0.26215687715262176,,,,45000,-50.198926734924314,,,969.8605789065361,1000.0
,,,52,880.0,472,45760,,566.0827098076923,96,,
0.001,48713,0.16969761493057012,56,888.5714285714286,501,49760,-52.66526136016846,575.3288073214286,99,,
0.001,49713,0.1995667469613254,,,,50000,-53.269777397155764,,,950.5340506136417,1000.0
0.001,52713,0.2052619765251875,60,896.0,546,53760,-54.9792679977417,583.07074015,98,,
0.001,54713,0.11184560201689601,,,,55000,-56.00529711151123,,,946.9870525956154,1000.0
0.001,56713,0.16395787666738032,64,902.5,592,57760,-56.96660313415527,588.7407492499999,97,,
0.001,59271,0.35642494370043276,,,,60000,-58.05807019042969,,,950.9667014956474,1000.0
0.001,60271,0.32611622734367846,68,901.7352941176471,634,61318,-58.48535424041748,589.4006193970588,96,,
0.001,64195,0.6664460157588511,,,,65000,-60.04799378795541,,,951.1531766355038,1000.0
,,,72,906.1388888888889,679,65242,,593.0267282916666,95,,
0.001,68195,0.24830051703751088,76,911.078947368421,709,69242,-61.36530744934082,596.4926755131578,97,,
0.001,69195,0.2550277652293444,,,,70000,-61.659188934326174,,,891.2819546222687,1000.0
0.001,72195,0.18466399886086582,80,915.525,756,73242,-62.59053036499024,599.6862014625,96,,
0.001,74195,0.2403214806690812,,,,75000,-63.1461508102417,,,920.8738596141338,1000.0
0.001,76195,0.19915664585679768,84,919.547619047619,803,77242,-63.67889912414551,602.7891576904761,96,,
0.001,79195,0.2483178747817874,,,,80000,-64.47019400024413,,,933.0874337732791,1000.0
0.001,80195,0.18358351780101656,88,923.2045454545455,849,81242,-64.7286812133789,605.885943159091,95,,
0.001,84195,0.19011656676977873,,,,85000,-65.60213131713867,,,933.2970825314521,1000.0
,,,92,926.5434782608696,896,85242,,608.2305965652174,95,,
0.001,88195,0.17698637696355582,96,929.6041666666666,927,89242,-66.38317034912109,610.3427471979167,96,,
0.001,89195,0.2483325714878738,,,,90000,-66.57804788208009,,,915.2451780557633,1000.0
0.001,92195,0.16894567082077264,100,932.42,974,93242,-67.12996276855469,612.53152316,95,,
0.001,94195,0.15939403282105924,,,,95000,-67.47366954040527,,,915.5674996733666,1000.0
0.001,96195,0.19463539000973104,104,961.45,1020,97242,-67.8209485321045,633.5693868,95,,
0.001,99321,0.10938390885435399,,,,100000,-68.34869118342324,,,924.838765078783,1000.0
,,,108,960.66,1058,100368,,651.34969917,94,,
0.001,103321,0.2514651683680713,112,960.66,1087,104368,-68.79289649963378,651.9743492100001,95,,
0.001,104580,1.3610559340178046,,,,105000,-68.91454467773437,,,922.3986062943935,1000.0
0.001,106580,0.2533089590370655,116,953.25,1128,107627,-69.17769567871093,646.09323628,95,,
0.001,109580,0.14087686869874597,,,,110000,-69.61829438781739,,,913.7411658227444,1000.0
0.001,110580,0.5532385989166796,120,960.26,1174,111627,-69.76163645935058,650.36949662,95,,
0.001,114580,0.19367851302027703,,,,115000,-70.22320217895508,,,911.7984411507845,1000.0
,,,124,969.65,1223,115627,,655.52834826,94,,
0.001,118580,0.15487323573231698,128,969.65,1253,119627,-70.62674426269531,653.78039428,95,,
0.001,119580,0.13997052258625625,,,,120000,-70.714987991333,,,920.7417525492608,1000.0
0.001,122580,0.24705277764424682,132,969.65,1301,123627,-70.96334468078614,652.11590511,95,,
0.001,124580,0.44194563531503084,,,,125000,-71.13578173828125,,,958.9701562404632,1000.0
0.001,126580,0.4320369785875082,136,965.73,1347,127235,-71.27238201904296,647.54977032,94,,
0.001,129004,0.7204642089029007,,,,130000,-71.39187603370816,,,966.7991140544415,1000.0
0.001,130004,0.7164839238934219,140,972.41,1389,131051,-71.45299227905274,650.89376278,94,,
0.001,134004,0.8131750869937241,,,,135000,-71.76231457519532,,,927.4130276024341,1000.0
,,,144,972.91,1435,135051,,650.14563685,94,,
0.001,138004,0.6744317534081637,148,972.91,1466,139051,-71.97464031982422,648.24785171,94,,
0.001,139004,0.4439452448748052,,,,140000,-72.01034317016601,,,884.947598183155,1000.0
0.001,142004,0.29623097041249274,152,972.91,1511,143051,-72.09457693481446,646.50229353,94,,
0.001,144004,0.4401511548049748,,,,145000,-72.26023106384277,,,885.6375335991382,1000.0
0.001,146004,0.42133895292505624,156,972.91,1556,147051,-72.27554383850098,644.67529924,94,,
0.001,149004,0.26027165007218717,,,,150000,-72.33053184509278,,,908.4786093235016,1000.0
