time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/std,train/learning_rate,train/loss
1000,-12.871893398463726,50.0,,,,,,,,,,,,,,,,
2000,-12.871893398463726,50.0,,,,,,,,,,,,,,,,
2048,,,1,50.0,892,-59.117960849999996,2,,,,,,,,,,,
3000,-12.74747130125761,50.0,,,,,,177.96512978076936,0.0050559975,-0.002623915672302246,10,-0.00521126510866452,-2.8053954035043716,0.020654296875,0.2,0.9730226993560791,0.0003,54.78434371948242
4000,-12.74747130125761,50.0,,,,,,,,,,,,,,,,
4096,,,2,50.0,711,-59.394194469135805,5,,,,,,,,,,,
5000,-11.340471199713647,50.0,,,,,,113.89519288539887,0.0067084944,0.3199464678764343,20,-0.0076948896399699155,-2.7614695370197295,0.047900390625,0.2,0.9508844614028931,0.0003,27.276527404785156
6000,-11.340471199713647,50.0,,,,,,,,,,,,,,,,
6144,,,3,50.0,645,-59.128029240000004,9,,,,,,,,,,,
7000,-12.369064449332654,50.0,,,,,,72.18752934336662,0.0066252463,0.1705685257911682,30,-0.0055227849050424995,-2.715436738729477,0.035498046875,0.2,0.9287680387496948,0.0003,13.164101600646973
8000,-12.369064449332654,50.0,,,,,,,,,,,,,,,,
8192,,,4,50.0,626,-58.85841025,13,,,,,,,,,,,
9000,-12.30476590488106,50.0,,,,,,57.52830077111721,0.007145266,0.10083109140396118,40,-0.0048147386842174456,-2.6515288293361663,0.024365234375,0.2,0.8882932662963867,0.0003,9.757990837097168
10000,-12.30476590488106,50.0,,,,,,,,,,,,,,,,
10240,,,5,50.0,614,-57.96228237,16,,,,,,,,,,,
11000,-12.428581205382944,50.0,,,,,,45.635093566775325,0.010087374,0.17332375049591064,50,-0.011462862382177263,-2.5591830871999264,0.070068359375,0.2,0.8501826524734497,0.0003,8.692010879516602
12000,-12.428581205382944,50.0,,,,,,,,,,,,,,,,
12288,,,6,50.0,610,-56.207705399999995,20,,,,,,,,,,,
13000,-12.935181408375502,50.0,,,,,,29.644784539937973,0.007374441,0.19860804080963135,60,-0.007123489701189101,-2.475601030141115,0.04716796875,0.2,0.8187674283981323,0.0003,5.517014026641846
14000,-12.935181408375502,50.0,,,,,,,,,,,,,,,,
14336,,,7,50.0,612,-54.1891637,23,,,,,,,,,,,
15000,-15.1525462821126,50.0,,,,,,23.35941938608885,0.010608939,0.35127347707748413,70,-0.013048595655709505,-2.400294328480959,0.083447265625,0.2,0.7906804084777832,0.0003,5.312719345092773
16000,-15.1525462821126,50.0,,,,,,,,,,,,,,,,
16384,,,8,50.0,614,-53.042445400000005,26,,,,,,,,,,,
17000,-19.115503758192062,50.0,,,,,,29.009733933210374,0.009042239,0.6898879706859589,80,-0.017162134117097595,-2.3510431334376336,0.095947265625,0.2,0.7766506671905518,0.0003,11.481138229370117
18000,-19.115503758192062,50.0,,,,,,,,,,,,,,,,
18432,,,9,50.0,613,-52.27550937,30,,,,,,,,,,,
