time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1,2048,3,1000.0,39491.282346,646,,,,,,,,,,,,,
2,4096,7,1000.0,37546.98282775,535,0.9994861483573914,0.2,0.010173,0.08623046875,10,-0.04226108238217421,199107.0625,0.0003,-0.000736236572265625,434450.451171875,-24.11925075054169,,
,5000,,,,,1.0011072158813477,0.2,0.01241182,0.09833984375,20,-0.041728749172762036,153359.75,0.0003,-0.003829360008239746,343212.9556640625,-24.13534207344055,1000.0,38086.6770488739
3,6144,48,1000.0,37171.40849266667,126,,,,,,,,,,,,,
4,8192,53,1000.0,37840.615982749994,153,0.9997437596321106,0.2,0.013080869,0.10771484375,30,-0.04516705826681573,174965.859375,0.0003,-0.003976941108703613,360979.19482421875,-24.12811227440834,,
,10000,,,,,0.9984371066093445,0.2,0.013011632,0.111279296875,40,-0.04949617651291192,219325.734375,0.0003,0.0009789466857910156,438316.0624023437,-24.111270356178284,1000.0,59939.163327407834
5,10240,92,1000.0,38522.50504589999,110,,,,,,,,,,,,,
6,12288,97,1000.0,38508.35116416666,125,0.996273934841156,0.2,0.01192827,0.0904296875,50,-0.04498854510311503,237959.109375,0.0003,-0.0024243593215942383,466746.7056640625,-24.08075659275055,,
7,14336,101,1000.0,38985.27123071429,140,0.9951298832893372,0.2,0.013777791,0.134326171875,60,-0.054966787467128596,196895.34375,0.0003,-0.0008816719055175781,400184.9240234375,-24.052264803647994,,
,15000,,,,,0.9926010370254517,0.2,0.012107523,0.116015625,70,-0.051265031658113004,280959.15625,0.0003,8.696317672729492e-05,499408.0994140625,-24.016845893859863,1000.0,74237.09060020446
8,16384,139,1000.0,39240.008245499994,117,,,,,,,,,,,,,
9,18432,144,1000.0,39458.31938433333,127,0.9892203211784363,0.2,0.013360594,0.1330078125,80,-0.055445420957403256,228370.03125,0.0003,-0.001306772232055664,450805.2779296875,-23.963712173700333,,
,20000,,,,,0.9890940189361572,0.2,0.013722318,0.122265625,90,-0.053743924232549034,297951.9375,0.0003,-0.0015993118286132812,531576.4811523438,-23.935177487134933,1000.0,63278.07692031861
10,20480,178,1000.0,39786.6069966,114,,,,,,,,,,,,,
11,22528,182,1000.0,40226.69275186363,123,0.9875978827476501,0.2,0.013840926,0.13564453125,100,-0.05208542743057478,198487.640625,0.0003,0.000996232032775879,431749.3451171875,-23.92135278582573,,
12,24576,186,1000.0,40489.44683975,131,0.9827501773834229,0.2,0.01336165,0.131396484375,110,-0.05561455150309484,289042.15625,0.0003,-0.0001608133316040039,569215.9573242187,-23.85952445268631,,
,25000,,,,,0.9815404415130615,0.2,0.015242593,0.17138671875,120,-0.05670216643484309,253193.875,0.0003,0.00026679039001464844,498858.54833984375,-23.810947561264037,1000.0,54891.93143825531
13,26624,222,1000.0,40807.69193165385,119,,,,,,,,,,,,,
14,28672,227,1000.0,41076.02501960715,126,0.9794787168502808,0.2,0.014174684,0.135546875,130,-0.05444250944128726,282846.625,0.0003,-0.000523686408996582,569627.5018554687,-23.781913954019547,,
,30000,,,,,0.9769888520240784,0.2,0.014974119,0.145947265625,140,-0.05745369381911587,258941.9375,0.0003,-0.001697540283203125,572431.1591796875,-23.743822407722472,1000.0,60746.11288738251
15,30720,263,1000.0,41503.289594466674,116,,,,,,,,,,,,,
16,32768,268,1000.0,42093.096232031254,122,0.9746854305267334,0.2,0.014820272,0.153369140625,150,-0.061539567293948494,332423.3125,0.0003,0.0005210041999816895,643822.49453125,-23.699015218019486,,
