time/fps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
246,0.1891966566219926,12,2000,4,-3.0616584675088525,3018,-1029.9655505,0.001,754.5,,
,0.07392436277121306,,4000,,0.08410687468561809,5000,,0.001,,-667.0335590839386,607.4
169,0.19172389656305314,35,5015,8,0.0012940429151058197,6033,-1028.3121783749998,0.001,754.125,,
171,0.2070804779753089,52,8036,12,-0.19774548357748425,9054,-606.6777816666664,0.001,754.5,,
,0.21086369306594133,,9036,,-0.2719324875238817,10000,,0.001,,676.2871868497692,901.6
152,0.25813337054848673,85,12036,16,-2.5134915668964384,13054,-346.193368625,0.001,815.875,,
,0.28629696236550806,,14036,,-4.054327425956726,15000,,0.001,,459.02455477658657,1000.0
141,0.32473581455647943,120,16036,20,-4.530480354309082,17054,-188.43213015,0.001,852.7,,
,0.2985829997211695,,19036,,-6.321612301826477,20000,,0.001,,516.2759991858387,967.0
136,0.37723231860995293,154,20036,24,-6.826787132263184,21054,-60.65056333333332,0.001,877.25,,
,0.328130739197135,,24036,,-10.004859813690185,25000,,0.001,,522.9030026146677,1000.0
133,,188,,28,,25054,44.230479285714296,,894.7857142857143,,
137,0.4424648532271385,210,28036,32,-13.153185934066773,29054,118.3261520625,0.001,907.9375,,
,0.4576712648719549,,29036,,-13.806516164779664,30000,,0.001,,638.3811574840918,1000.0
135,0.5365020472407341,244,32036,36,-15.703983596801757,33054,179.14705197222221,0.001,918.1666666666666,,
,0.5817762634605169,,34036,,-16.455889417648315,35000,,0.001,,378.0573874623169,1000.0
133,0.5747253297269345,278,36036,40,-17.12031149291992,37054,211.945540175,0.001,926.35,,
,0.652005734950304,,39036,,-17.68356325149536,40000,,0.001,,122.35462953990464,1000.0
131,0.6425446759164334,312,40036,44,-17.52133285522461,41054,205.0498106136364,0.001,933.0454545454545,,
,0.5746212229877711,,44036,,-18.666717376708984,45000,,0.001,,651.0965837815777,1000.0
129,,349,,48,,45054,236.5553267083333,,938.625,,
131,0.5377049399614334,372,48036,52,-20.14484633255005,49054,258.0310457499999,0.001,943.3461538461538,,
,0.5360122976005077,,49036,,-20.552711055755616,50000,,0.001,,488.8261437029112,1000.0
129,0.4670631036609411,409,52036,56,-21.7740548286438,53054,284.18243476785716,0.001,947.3928571428571,,
,0.4381788840293884,,54036,,-22.380596881866456,55000,,0.001,,781.6964795877226,1000.0
128,0.3968252651244402,445,56036,60,-22.943149585723877,57054,314.69257296666666,0.001,950.9,,
,0.4104805583357811,,59036,,-23.92129957962036,60000,,0.001,,321.3612972063944,1000.0
127,0.403276134416461,479,60036,64,-24.178659278869628,61054,327.260187546875,0.001,953.96875,,
,0.386241368919611,,64036,,-25.612594612121583,65000,,0.001,,699.9723955864087,1000.0
126,,514,,68,,65054,349.45002591176467,,956.6764705882352,,
128,0.3949461156874895,537,68036,72,-26.868120342254638,69054,369.63992830555554,0.001,959.0833333333334,,
,0.4007910697758198,,69036,,-27.16849362564087,70000,,0.001,,754.4065642907284,1000.0
127,0.3423856552243233,570,72036,76,-28.03637438583374,73054,389.0626351447369,0.001,961.2368421052631,,
,0.3435785259306431,,74036,,-28.716378734588623,75000,,0.001,,878.9403989337385,1000.0
127,0.3237174985408783,605,76036,80,-29.56927428817749,77054,410.9383594875,0.001,963.175,,
,0.3022451250702143,,79036,,-30.626375953674316,80000,,0.001,,812.905107995309,1000.0
126,0.3326006720811129,640,80036,84,-30.900179386138916,81054,432.7818941785714,0.001,964.9285714285714,,
,0.3754544445425272,,84036,,-30.763026371002198,85000,,0.001,,769.1892599307,1000.0
126,,674,,88,,85054,435.3036505,,966.5227272727273,,
127,0.3688220337629318,697,88036,92,-30.9720905380249,89054,446.3385695543479,0.001,967.9782608695652,,
,0.3453248597085476,,89036,,-31.232977836608885,90000,,0.001,,695.9225333108567,1000.0
127,0.317476247176528,731,92036,96,-32.25939774703979,93054,460.3725871354166,0.001,969.3125,,
,0.356635195299983,,94036,,-33.08770009613037,95000,,0.001,,787.1393496222794,1000.0
126,0.4102825312614441,769,96036,100,-34.066438743591306,97054,475.4793865499999,0.001,970.54,,
,0.3707675342708826,,99036,,-34.43184085083008,100000,,0.001,,835.2456823512912,1000.0
125,0.3632496681660414,804,100036,104,-34.65350428009033,101054,543.0425953499999,0.001,980.36,,
,0.29568687734007837,,104036,,-35.46382141876221,105000,,0.001,,900.0370227351784,1000.0
125,,838,,108,,105054,618.3276620099999,,990.21,,
126,0.27369049690663816,860,108036,112,-36.62947862243652,109054,644.95013398,0.001,1000.0,,
,0.27309945119917395,,109036,,-37.05265048980713,110000,,0.001,,874.1355547491461,1000.0
126,0.30986346732079983,895,112036,116,-37.95534008026123,113054,661.4291957300001,0.001,1000.0,,
,0.331015073955059,,114036,,-38.35956203460693,115000,,0.001,,753.7437556810212,1000.0
125,0.31967859180271624,930,116036,120,-38.83028630828857,117054,676.5703761699999,0.001,1000.0,,
,0.3027322987318039,,119036,,-39.369335983276365,120000,,0.001,,867.1490636281669,1000.0
125,0.2900176868662238,965,120036,124,-39.59175077056885,121054,688.2537458099999,0.001,1000.0,,
,0.32352347815036775,,124036,,-40.3974602432251,125000,,0.001,,877.7077106934041,1000.0
124,,1000,,128,,125054,694.7574976599999,,1000.0,,
126,0.34722117726504803,1023,128036,132,-41.0402155456543,129054,707.2266008199999,0.001,1000.0,,
,0.3334778933227062,,129036,,-41.30728681945801,130000,,0.001,,822.7767944172956,1000.0
125,0.3203341371715069,1057,132036,136,-41.93828284454346,133054,715.3407930699998,0.001,1000.0,,
,0.29730611346662045,,134036,,-42.43954867553711,135000,,0.001,,857.1876255139708,1000.0
125,0.2789306407123804,1090,136036,140,-42.77896103668213,137054,731.41547433,0.001,1000.0,,
,0.24922238698601723,,139036,,-43.564997657775876,140000,,0.001,,883.8758938048035,1000.0
125,0.26819630240648984,1124,140036,144,-43.84417784118652,141054,762.9249170800003,0.001,1000.0,,
,0.3049550212621689,,144036,,-44.75199599456787,145000,,0.001,,924.1941295170109,1000.0
125,,1158,,148,,145054,775.47413564,,1000.0,,
