rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/n_updates,time/episodes,eval/mean_reward,eval/mean_ep_length
-115.5844585,0.001,400,1.6089507269859313,316,1,0.051392802954651415,100.0,200,4,,
,0.001,500,1.7010963082313537,,,0.022352907373569906,,300,,-83.9570777,100.0
-91.17391525,0.001,800,2.032518215179443,160,4,0.010667256503365934,100.0,600,8,,
,0.001,1000,2.278037452697754,,,0.008650833889842034,,800,,-65.94324155000001,100.0
-83.56480108333332,0.001,1200,2.5701406145095826,136,8,0.010309947291389107,100.0,1000,12,,
,0.001,1500,3.036520018577576,,,0.012465614625252783,,1300,,-66.78752444999999,100.0
-80.20863,0.001,1600,3.1953915882110597,128,12,0.012880527097731829,100.0,1400,16,,
,0.001,2000,3.8145551824569703,,,0.023122698124498128,,1800,,-61.05651615000001,100.0
-76.51020904999999,,2000,,124,16,,100.0,,20,,
-73.93620104166666,0.001,2400,4.444206256866455,131,18,0.019903939459472896,100.0,2200,24,,
,0.001,2500,4.608968048095703,,,0.021585045596584678,,2300,,-61.769768099999986,100.0
-72.1599479642857,0.001,2800,5.077924823760986,127,21,0.02235504881478846,100.0,2600,28,,
,0.001,3000,5.359274826049805,,,0.021004987526685,,2800,,-59.01873955,100.0
-70.28536746875,0.001,3200,5.7032697391510006,125,25,0.02157877655699849,100.0,3000,32,,
,0.001,3500,6.137244043350219,,,0.02897514371201396,,3300,,-58.019815949999995,100.0
-68.54525458333332,0.001,3600,6.298156251907349,123,29,0.024266356425359844,100.0,3400,36,,
,0.001,4000,6.88813159942627,,,0.024466531118378043,,3800,,-59.105747099999995,100.0
-67.620832975,,4000,,121,32,,100.0,,40,,
-67.18762027272727,0.001,4400,7.530426921844483,125,35,0.027485029865056278,100.0,4200,44,,
,0.001,4500,7.686577177047729,,,0.030136136412620543,,4300,,-62.1502874,100.0
-66.68778687499999,0.001,4800,8.140355033874512,123,38,0.03411180069670081,100.0,4600,48,,
,0.001,5000,8.439261093139649,,,0.025296133551746605,,4800,,-58.5053945,100.0
-66.01487611538461,0.001,5200,8.746221199035645,122,42,0.024374907640740275,100.0,5000,52,,
,0.001,5500,9.16347578048706,,,0.026018349956721067,,5300,,-56.05667335,100.0
-64.81901889285714,0.001,5600,9.333809871673584,119,46,0.028070416133850813,100.0,5400,56,,
,0.001,6000,9.944077167510986,,,0.03167894758284092,,5800,,-58.43322895,100.0
-64.39796931666666,,6000,,118,50,,100.0,,60,,
-64.016082953125,0.001,6400,10.51302583694458,119,53,0.033880346175283196,100.0,6200,64,,
,0.001,6500,10.659476013183594,,,0.025709051713347433,,6300,,-53.26569615,100.0
-63.4130853235294,0.001,6800,11.099153518676758,117,57,0.031854713391512635,100.0,6600,68,,
,0.001,7000,11.363718032836914,,,0.02585128603503108,,6800,,-51.08496665,100.0
-62.53294415277777,0.001,7200,11.65827579498291,117,61,0.02673497550189495,100.0,7000,72,,
,0.001,7500,12.04439287185669,,,0.0353170533105731,,7300,,-49.17657725,100.0
-61.72682919736842,0.001,7600,12.176274223327637,115,66,0.033072835374623535,100.0,7400,76,,
,0.001,8000,12.64761064529419,,,0.03367637192830444,,7800,,-51.88407054999999,100.0
-61.0468985,,8000,,114,69,,100.0,,80,,
-60.44245701190475,0.001,8400,13.157724304199219,116,72,0.02999041009694338,100.0,8200,84,,
,0.001,8500,13.323752994537353,,,0.03253874549642205,,8300,,-53.09643325,100.0
-60.11566412500001,0.001,8800,13.747005023956298,115,75,0.03306569237262011,100.0,8600,88,,
,0.001,9000,13.951030902862549,,,0.04064073473215103,,8800,,-47.744082000000006,100.0
-59.559823597826096,0.001,9200,14.231097202301026,115,79,0.032569719273597,100.0,9000,92,,
,0.001,9500,14.59035831451416,,,0.03329261774197221,,9300,,-52.433912199999995,100.0
-59.13423451041666,0.001,9600,14.751693630218506,115,83,0.03679845804348588,100.0,9400,96,,
,0.001,10000,15.281068363189696,,,0.03444154590368271,,9800,,-51.41441995,100.0
-58.81413401,,10000,,114,87,,100.0,,100,,
-56.49486156,0.001,10400,15.764054069519043,116,89,0.03822604775428772,100.0,10200,104,,
,0.001,10500,15.86971492767334,,,0.05095642918720841,,10300,,-49.185531749999996,100.0
-55.84116176,0.001,10800,16.26506965637207,115,93,0.035769125055521725,100.0,10600,108,,
,0.001,11000,16.420873432159425,,,0.03807273229584098,,10800,,-49.757638899999996,100.0
-54.950228579999994,0.001,11200,16.662159118652344,115,97,0.04187952203676105,100.0,11000,112,,
,0.001,11500,17.006484718322753,,,0.0492540623433888,,11300,,-49.935987499999996,100.0
-54.404077439999995,0.001,11600,17.10041648864746,114,100,0.04362361827865243,100.0,11400,116,,
,0.001,12000,17.56783203125,,,0.0445835599116981,,11800,,-51.7658913,100.0
-54.11095862,,12000,,114,104,,100.0,,120,,
-53.60082559000001,0.001,12400,17.996940460205078,115,107,0.038179448135197164,100.0,12200,124,,
,0.001,12500,18.14061908721924,,,0.03633160147815943,,12300,,-49.000670899999996,100.0
-53.16493066,0.001,12800,18.420306129455568,115,110,0.038943235352635386,100.0,12600,128,,
,0.001,13000,18.586091842651367,,,0.04074949247762561,,12800,,-66.83564925000002,100.0
-52.92540089999999,0.001,13200,18.820887870788575,115,114,0.050149003472179175,100.0,13000,132,,
,0.001,13500,19.117088890075685,,,0.04351543683558703,,13300,,-46.814791449999994,100.0
-52.45254513999999,0.001,13600,19.250390853881836,114,118,0.04278533784672618,100.0,13400,136,,
,0.001,14000,19.675722846984865,,,0.04248954212293029,,13800,,-46.30095629999999,100.0
-51.85153331000001,,14000,,114,122,,100.0,,140,,
-51.35361668,0.001,14400,20.042371215820314,115,124,0.04573360197246075,100.0,14200,144,,
,0.001,14500,20.068324203491212,,,0.04618528056889772,,14300,,-47.931171199999994,100.0
-50.74635215,0.001,14800,20.43404644012451,115,128,0.052500161528587344,100.0,14600,148,,
,0.001,15000,20.621147689819335,,,0.04999184031039476,,14800,,-48.096003100000004,100.0
-50.117857740000005,0.001,15200,20.865980911254884,114,132,0.05560490287840367,100.0,15000,152,,
,0.001,15500,21.1526416015625,,,0.05325311094522476,,15300,,-53.811446749999995,100.0
-50.14327823000001,0.001,15600,21.253227615356444,114,136,0.05357540670782328,100.0,15400,156,,
,0.001,16000,21.642281303405763,,,0.05491897691041231,,15800,,-49.96495510000001,100.0
-49.67880416,,16000,,114,140,,100.0,,160,,
-49.36939348999999,0.001,16400,21.958666038513183,115,142,0.06345185834914446,100.0,16200,164,,
,0.001,16500,22.065468254089357,,,0.06497748609632253,,16300,,-54.297442950000004,100.0
-49.33212874,0.001,16800,22.36099178314209,114,146,0.07154852978885173,100.0,16600,168,,
,0.001,17000,22.563605575561525,,,0.060542415343225,,16800,,-50.3139003,100.0
-49.1747349,0.001,17200,22.812227935791014,114,149,0.06055995289236307,100.0,17000,172,,
,0.001,17500,23.078265762329103,,,0.06022386539727449,,17300,,-49.4433144,100.0
-49.43653782999999,0.001,17600,23.21929126739502,114,154,0.059348339363932606,100.0,17400,176,,
,0.001,18000,23.51637405395508,,,0.07324671640992164,,17800,,-49.11457555,100.0
-49.53651921999999,,18000,,114,157,,100.0,,180,,
-49.47927142999999,0.001,18400,23.990540008544922,114,160,0.07363963697105647,100.0,18200,184,,
,0.001,18500,24.017974281311034,,,0.06672448068857192,,18300,,-46.827124149999996,100.0
-49.325120610000006,0.001,18800,24.273169898986815,114,164,0.06351120863109827,100.0,18600,188,,
,0.001,19000,24.57902275085449,,,0.06407737594097852,,18800,,-48.2171858,100.0
-49.39519572000001,0.001,19200,24.707759704589844,114,167,0.06862002767622472,100.0,19000,192,,
,0.001,19500,25.003950729370118,,,0.08021650962531567,,19300,,-47.52941835,100.0
