time/episodes,time/fps,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,eval/mean_ep_length,eval/mean_reward
232,113,47264,45.795989990234375,70.25,15.097824806637234,416,47325,-46.4979814,0.001,,
236,113,47329,46.189292430877686,69.54,12.865899506737204,416,47391,-46.084270030000006,0.001,,
240,113,47436,45.94836201387293,68.86,11.524572190116434,417,47513,-46.65078995,0.001,,
244,113,47533,45.633141326904294,67.94,13.835069266232578,418,47601,-45.46404409000001,0.001,,
248,115,47691,45.92973435230744,77.86,13.643192058954483,421,48734,-50.82787141000001,0.001,,
252,114,48789,45.93128509521485,58.54,13.323616690751983,427,48880,-41.408066909999995,0.001,,
256,114,48890,45.93834032331194,56.92,10.676119259425572,428,48944,-39.93963685,0.001,,
260,114,48970,45.304786682128906,46.53,13.660303831100464,429,49091,-37.251388229999996,0.001,,
264,114,49108,46.10519256591797,45.75,10.903557671440971,430,49166,-36.60590885,0.001,,
268,114,49155,45.87218704223633,45.24,11.66992542960427,430,49228,-36.063080649999996,0.001,,
272,114,49268,45.70979881286621,45.37,15.02147440476851,431,49328,-37.20255013999999,0.001,,
276,114,49318,45.84357515970866,45.01,13.425230806524103,431,49371,-37.10996322,0.001,,
280,114,49367,45.913766860961914,44.03,16.30657407972548,432,49420,-36.996419499999995,0.001,,
284,114,49441,45.75347682407924,43.96,14.694368532725743,432,49499,-36.57395939,0.001,,
288,114,49488,46.28211975097656,43.38,11.759964863459269,433,49541,-36.30194836,0.001,,
292,114,49559,45.64273548126221,43.47,16.184757285647922,433,49666,-36.618012160000006,0.001,,
296,114,49663,45.40746180216471,43.03,15.388426027799907,434,49718,-36.203854,0.001,,
300,114,49705,45.99962043762207,42.64,16.796550114949543,434,49757,-36.07218704,0.001,,
304,114,49762,45.446457386016846,42.32,13.124619245529175,435,49816,-35.90245952000001,0.001,,
308,114,49863,45.35377025604248,32.8,13.793928681587687,435,49914,-32.55058638,0.001,,
312,114,49937,45.21822611490885,32.37,17.38287134170532,436,49991,-32.661856439999994,0.001,,
,,49948,45.53921890258789,,13.914223064075816,,50000,,0.001,17.2,-17.22322260006331
316,114,50027,46.192884826660155,31.99,16.116595528342508,437,50081,-33.21999640999999,0.001,,
320,114,50083,45.02779541015625,31.39,14.768796829950242,437,50141,-32.16096865,0.001,,
324,114,50149,45.06102294921875,31.45,14.645965749567205,438,50208,-32.90620131,0.001,,
328,114,50204,45.226262773786274,30.48,14.619186548086313,438,50274,-32.64534869,0.001,,
332,114,50306,45.44667358398438,30.42,16.160851383209227,439,50367,-32.85467237999999,0.001,,
336,114,50449,45.29543431599935,31.09,16.447246887065745,440,50500,-34.74581481999999,0.001,,
340,114,50497,45.52371046278212,30.35,13.382823140997635,440,50548,-33.639981670000004,0.001,,
344,114,50545,46.05482177734375,29.97,18.195802021026612,441,50598,-34.158389740000004,0.001,,
348,114,50595,44.74232451121012,19.12,18.697305003801983,441,50646,-28.699479220000004,0.001,,
352,114,50685,44.950020108904155,18.64,14.764532582513217,442,50744,-28.649995020000002,0.001,,
356,114,50744,44.93779536655971,18.55,19.336419619046726,442,50799,-28.730255539999998,0.001,,
360,114,50807,44.768737157185875,17.69,14.52143515073336,443,50860,-27.56166676000001,0.001,,
364,114,50862,45.42982940673828,17.52,13.143649419148764,443,50918,-27.879396879999998,0.001,,
368,114,50918,44.738735834757485,17.44,13.940232515335083,444,50972,-28.0530407,0.001,,
372,114,50978,44.60176229476929,17.01,16.172255843877792,444,51029,-27.36646512,0.001,,
376,114,51014,43.91262664794922,16.95,17.42215304904514,444,51066,-27.420546069999997,0.001,,
380,114,51051,43.97334575653076,16.83,17.04063057899475,445,51103,-27.418408190000005,0.001,,
384,114,51083,44.4392147064209,16.52,13.488286137580872,445,51151,-26.986007810000004,0.001,,
388,114,51134,44.410790252685544,16.44,15.848490609063042,445,51185,-26.98023522,0.001,,
392,114,51185,45.30382792154948,15.94,17.361899375915527,446,51260,-26.995850410000006,0.001,,
396,114,51246,44.76377944946289,15.78,14.695140626695421,446,51296,-26.79582602,0.001,,
400,114,51277,44.63640308380127,15.71,18.65320046742757,446,51328,-26.502785229999994,0.001,,
404,114,51314,44.34529781341553,15.49,14.060834765434265,446,51365,-26.35767608,0.001,,
408,114,51353,44.8091323852539,14.9,15.943575598976828,447,51404,-25.76352848,0.001,,
412,114,51383,43.74748611450195,14.46,13.702522158622742,447,51437,-25.17462578,0.001,,
416,114,51428,44.91750717163086,13.98,16.625002002716066,447,51479,-24.508443189999998,0.001,,
420,114,51468,45.10144233703613,13.79,12.869552850723267,448,51520,-24.34733554,0.001,,
424,115,51506,44.72788925170899,13.49,15.41253270043267,448,51557,-23.74713079,0.001,,
428,115,51558,44.62589645385742,13.35,15.323457823859322,448,51609,-23.077515939999998,0.001,,
432,115,51592,45.06445541381836,12.77,15.018123414781359,448,51644,-22.40980202,0.001,,
436,115,51639,44.3126597934299,12.18,17.26026570169549,449,51718,-20.666312630000004,0.001,,
440,115,51720,44.868690490722656,12.23,14.737952470779419,449,51771,-20.453645899999998,0.001,,
444,115,51750,43.81171226501465,12.03,17.671409470694407,450,51801,-20.15380639,0.001,,
448,115,51785,43.904428482055664,11.9,15.205812136332193,450,51836,-19.8175164,0.001,,
452,115,51828,44.223954094780815,11.44,12.850631475448608,450,51888,-19.451578729999998,0.001,,
456,115,51868,42.49725914001465,11.21,16.354371309280396,450,51920,-19.0386167,0.001,,
460,115,51917,43.692959785461426,11.09,18.622790098190308,451,51969,-18.89193679,0.001,,
464,115,51956,44.525669733683266,10.97,19.71401596069336,451,52015,-18.590593,0.001,,
468,115,52095,43.86136245727539,11.76,15.982362096959895,452,52148,-19.06989941,0.001,,
472,115,52129,43.546589851379395,11.52,16.74253824022081,452,52181,-18.685345440000003,0.001,,
476,115,52163,44.18104839324951,11.49,19.906041264533997,453,52215,-18.50703552,0.001,,
480,115,52203,44.15437861851284,11.5,14.594677098592122,453,52253,-18.41149844,0.001,,
484,115,52234,43.214162826538086,11.37,15.230132341384888,453,52288,-18.44888699,0.001,,
488,115,52273,43.73708572387695,11.41,14.925638198852539,453,52326,-18.459138229999997,0.001,,
492,115,52311,43.5611047744751,11.06,17.078781127929688,454,52366,-18.08839045,0.001,,
496,115,52352,43.56053771972656,11.08,16.990427875518797,454,52404,-18.13640574,0.001,,
500,115,52401,43.355748263272375,11.28,19.62886959573497,454,52456,-18.438692829999997,0.001,,
504,115,52447,41.80911445617676,11.35,18.946862326727974,455,52500,-18.585929009999997,0.001,,
508,115,52492,43.512605879041885,11.41,15.199788411458334,455,52545,-18.732779880000002,0.001,,
512,115,52530,43.36638196309408,11.45,16.377007831226695,455,52582,-18.68620646,0.001,,
516,115,52562,42.246575355529785,11.36,17.06680727005005,456,52615,-18.61590955,0.001,,
520,115,52601,44.07193088531494,11.33,16.065703127119278,456,52653,-18.77534327,0.001,,
524,115,52638,43.10668182373047,11.33,18.116699981689454,456,52690,-18.996245979999998,0.001,,
528,115,52685,44.20315246582031,11.26,13.354902267456055,456,52735,-18.831260129999997,0.001,,
532,115,52718,43.269832611083984,11.26,18.043952306111652,457,52770,-19.04954328,0.001,,
536,115,52762,43.5114049911499,10.97,16.61911404132843,457,52815,-19.05088836,0.001,,
540,115,52836,42.994699024018786,11.18,15.758181458427792,458,52889,-20.23078216,0.001,,
544,115,52873,43.22206401824951,11.23,20.288140508863663,458,52924,-20.353812010000002,0.001,,
548,115,52907,43.01524353027344,11.22,15.967389318678114,458,52958,-20.4113115,0.001,,
552,115,52960,42.651890073503765,11.23,18.171128136771067,458,53011,-20.65658003,0.001,,
556,115,53982,43.29858112335205,21.12,15.182823998587471,466,54032,-26.56480848,0.001,,
560,115,54013,43.989861488342285,21.06,14.75108920203315,466,54075,-26.584072719999998,0.001,,
564,115,54053,41.41644541422526,20.88,18.454026767185756,466,54103,-26.31317135,0.001,,
568,115,54081,42.69381968180338,19.9,17.653866359165736,467,54138,-25.55770966,0.001,,
572,115,54117,42.660317738850914,19.87,12.7461336680821,467,54168,-25.514709829999997,0.001,,
576,115,54152,41.41566467285156,19.9,14.532507479190826,467,54205,-25.696367529999996,0.001,,
580,115,54216,43.41848278045654,20.14,15.023651242256165,468,54267,-26.088405159999994,0.001,,
584,115,54249,41.869893074035645,20.12,18.052704917060005,468,54300,-25.97554901000001,0.001,,
588,115,54281,42.65026728312174,20.05,16.172919545854842,468,54331,-25.915871390000003,0.001,,
592,115,54311,43.19323857625326,19.96,12.84781551361084,468,54362,-25.714854280000004,0.001,,
596,115,54348,41.72196896870931,19.95,15.229911370710893,469,54399,-25.74996444,0.001,,
600,115,54383,42.439208984375,19.82,16.74051856994629,469,54438,-25.6203435,0.001,,
604,116,54439,42.07723426818848,19.97,14.080631136894226,469,54497,-25.753590109999994,0.001,,
608,116,54515,42.65875091552734,20.23,17.244977323020375,470,54568,-26.02328457,0.001,,
612,116,54557,42.42294947306315,20.26,15.717217005216158,470,54608,-26.105063329999997,0.001,,
616,116,54586,41.993656158447266,20.24,15.253137043544225,470,54639,-26.03768617,0.001,,
,,54596,41.867243957519534,,14.10610122680664,,55000,,0.001,9.0,-10.902078938484191
620,116,55612,42.34037685394287,30.11,14.853662252426147,478,55664,-35.8486315,0.001,,
624,116,55647,41.89561080932617,30.09,15.060609054565429,478,55699,-35.67072337,0.001,,
628,116,55682,42.33421993255615,29.99,14.329954624176025,478,55734,-35.61487002,0.001,,
632,116,55721,42.622666931152345,30.03,12.244615364074708,478,55773,-35.49389296,0.001,,
636,116,55754,42.63705921173096,29.91,15.668680429458618,479,55806,-35.36331597,0.001,,
640,116,55786,41.30255317687988,29.49,16.425247311592102,479,55838,-34.278489640000004,0.001,,
644,116,55818,42.322110176086426,29.46,13.641725778579712,479,55870,-34.15071607,0.001,,
648,116,55854,41.92492141723633,29.48,12.910801039801704,479,55906,-34.145635469999995,0.001,,
652,116,55887,41.442426681518555,29.27,15.189124531216091,480,55938,-33.64887673,0.001,,
656,116,55920,42.62476921081543,19.4,14.052348852157593,480,55972,-27.78666684,0.001,,
660,116,55958,42.442527770996094,19.35,14.018908882141114,480,56010,-27.7542512,0.001,,
664,116,55993,41.05776882171631,19.41,11.981199383735657,480,56044,-27.790243810000007,0.001,,
668,116,56029,40.29220275878906,19.42,14.29037265777588,481,56080,-27.679274180000007,0.001,,
672,116,56061,43.41890525817871,19.44,17.648760199546814,481,56112,-27.773428910000007,0.001,,
676,116,57085,41.87616035461426,29.31,13.647140658378602,488,57136,-33.52364038,0.001,,
680,116,57118,41.43907165527344,29.03,14.516988277435303,489,57170,-33.15647344,0.001,,
684,116,57153,40.7948637008667,29.05,16.940123558044434,489,57205,-33.20289529,0.001,,
688,116,57186,42.2040901184082,29.06,11.978652358055115,489,57237,-33.17822331000001,0.001,,
692,116,57218,41.1434211730957,29.08,11.591526627540588,489,57270,-33.16516216,0.001,,
696,116,57268,42.241196950276695,29.21,11.325743556022644,490,57320,-32.987217890000004,0.001,,
700,116,57303,42.108561515808105,29.17,14.376135349273682,490,57355,-32.910073940000004,0.001,,
704,116,57338,41.01585998535156,28.93,11.903586175706652,490,57390,-32.59758158,0.001,,
708,116,57371,42.76314067840576,28.54,11.1423579454422,490,57422,-31.99979543000001,0.001,,
712,116,57404,41.28226566314697,28.48,14.387535691261292,491,57456,-31.978090380000005,0.001,,
716,117,57438,41.85104751586914,28.5,11.111173523796928,491,57489,-32.03714052,0.001,,
720,117,57471,42.04462432861328,18.59,13.097318589687347,491,57523,-22.041500939999995,0.001,,
724,117,57504,40.428955078125,18.57,13.999249935150146,491,57556,-22.039094859999995,0.001,,
728,117,57539,43.04540729522705,18.58,12.463871214124891,492,57592,-22.021858959999996,0.001,,
732,117,57575,42.03867244720459,18.55,11.1339815987481,492,57628,-21.892402030000003,0.001,,
736,117,57612,42.74398193359375,18.59,12.786115741729736,492,57665,-21.90601295,0.001,,
740,117,57648,42.11552429199219,18.61,12.45062518119812,492,57699,-21.893288239999997,0.001,,
744,117,57682,42.121296882629395,18.62,14.29256522655487,493,57732,-21.94884986,0.001,,
748,117,57718,40.699785232543945,18.64,12.317141771316528,493,57770,-21.876668800000008,0.001,,
752,117,57752,41.9982852935791,18.65,11.693912863731384,493,57803,-21.85911439,0.001,,
756,117,57786,42.40805511474609,18.65,12.163676155938042,493,57837,-21.76481295,0.001,,
760,117,57821,40.108001708984375,18.75,14.609990986910733,494,57885,-21.80771183,0.001,,
764,117,57868,42.10154037475586,18.76,13.4354690445794,494,57920,-21.734361029999995,0.001,,
768,117,57902,40.35341262817383,18.74,12.27263100941976,494,57954,-21.767680039999995,0.001,,
772,117,57936,41.42321090698242,18.75,12.58413314819336,495,57987,-21.5841436,0.001,,
776,117,57967,40.99099063873291,8.83,11.521200180053711,495,58019,-15.61965944,0.001,,
780,117,58000,42.17646026611328,8.82,12.40589451789856,495,58052,-15.519975759999998,0.001,,
784,117,58037,41.15652236938477,8.84,12.0888503074646,495,58089,-15.433594370000002,0.001,,
788,117,58074,40.87384605407715,8.9,11.387038469314575,496,58127,-15.43670237,0.001,,
792,117,58109,41.76784038543701,8.99,13.137018733554417,496,58169,-15.447684929999998,0.001,,
796,117,58152,40.28388500213623,8.83,11.631414532661438,496,58203,-15.378586779999996,0.001,,
800,117,58186,40.9946403503418,8.84,15.481153806050619,496,58239,-15.25724515,0.001,,
804,117,58221,40.24743175506592,8.83,13.712448358535767,497,58273,-15.12480534,0.001,,
808,117,58254,42.02745532989502,8.84,13.804401755332947,497,58306,-15.182353410000001,0.001,,
812,117,58289,41.72749328613281,8.85,11.69375631544325,497,58341,-15.10184027,0.001,,
816,117,58323,42.394659996032715,8.86,12.291497826576233,497,58375,-15.003950199999998,0.001,,
820,117,58356,41.76417064666748,8.84,10.55945360660553,498,58407,-14.796014890000002,0.001,,
824,117,58391,41.52424144744873,8.87,11.881782001919216,498,58443,-14.697863070000004,0.001,,
828,117,58425,39.70285415649414,8.84,12.257129881117079,498,58476,-14.716861710000003,0.001,,
832,117,58457,40.36374855041504,8.8,12.407449841499329,498,58508,-14.685316989999999,0.001,,
836,117,58489,40.72987079620361,8.76,12.570107400417328,499,58541,-14.688515399999998,0.001,,
840,117,58522,39.275940895080566,8.74,11.220112323760986,499,58573,-14.703169959999999,0.001,,
844,117,58555,41.3604793548584,8.74,12.943161129951477,499,58606,-14.64764593,0.001,,
848,117,58589,41.03001403808594,8.7,12.525661362542046,499,58640,-14.54468253,0.001,,
852,117,58621,41.16166019439697,8.7,13.363372564315796,500,58673,-14.50408467,0.001,,
856,117,58654,41.75743579864502,8.68,11.746191620826721,500,58705,-14.52316736,0.001,,
860,117,58688,41.50370635986328,8.56,12.912407557169596,500,58741,-14.31045056,0.001,,
864,117,58724,41.726698875427246,8.55,11.655202507972717,500,58775,-14.39061835,0.001,,
868,117,58756,41.90548038482666,8.53,11.532394647598267,501,58807,-14.301498570000001,0.001,,
872,117,58789,41.84731388092041,8.54,12.63974666595459,501,58841,-14.3001637,0.001,,
876,117,58822,42.05625820159912,8.55,13.021684646606445,501,58874,-14.444942489999999,0.001,,
880,117,58856,39.19237995147705,8.55,11.701077342033386,501,58907,-14.502258740000002,0.001,,
884,117,58889,40.79244327545166,8.51,10.784855961799622,502,58940,-14.567542860000001,0.001,,
888,117,58922,41.05887794494629,8.47,11.205108761787415,502,58974,-14.555790739999997,0.001,,
892,117,58955,42.052040100097656,8.37,9.944529354572296,502,59006,-14.52912564,0.001,,
896,117,58991,40.40580368041992,8.39,14.744415369900791,502,59042,-14.524027089999999,0.001,,
900,117,59026,39.382318115234376,8.38,11.679587650299073,503,59077,-14.60773026,0.001,,
904,117,59060,40.15842132568359,8.39,12.373783429463705,503,59112,-14.662762169999999,0.001,,
908,117,59095,40.780978202819824,8.4,10.750943183898926,503,59146,-14.66057585,0.001,,
912,117,59127,40.734506607055664,8.39,12.519440412521362,503,59180,-14.648517530000001,0.001,,
916,117,59162,40.517706298828124,8.38,11.168862024943033,504,59213,-14.766864520000002,0.001,,
920,117,59195,39.3344669342041,8.39,11.539470791816711,504,59246,-14.858619040000002,0.001,,
924,117,59228,41.0313606262207,8.38,11.270102739334106,504,59281,-14.89305039,0.001,,
928,117,59264,40.45103454589844,8.39,12.768677592277527,504,59315,-14.787687149999996,0.001,,
932,117,59295,38.84200859069824,8.38,12.548536896705627,504,59346,-14.802382659999996,0.001,,
936,117,59326,39.74189472198486,8.36,12.842105269432068,505,59377,-14.652293770000002,0.001,,
940,117,59359,39.52877235412598,8.36,10.745994091033936,505,59409,-14.702347360000001,0.001,,
944,117,59388,41.064547538757324,8.32,10.291406631469727,505,59438,-14.7160893,0.001,,
948,117,59422,41.66291732788086,8.33,11.040361722310385,505,59473,-14.947271500000001,0.001,,
952,117,59457,40.791646575927736,8.35,10.258556747436524,506,59508,-15.049624340000001,0.001,,
956,117,59491,41.5997314453125,8.37,10.351556671990288,506,59542,-14.95519704,0.001,,
960,117,59528,41.223812103271484,8.38,13.112003087997437,506,59579,-14.999927049999998,0.001,,
964,117,59560,41.09866905212402,8.37,12.575181603431702,506,59612,-14.87527594,0.001,,
968,117,59595,40.87932434082031,8.38,10.069253921508789,507,59645,-14.9068267,0.001,,
972,117,59627,40.932570457458496,8.38,11.378286361694336,507,59679,-14.92064422,0.001,,
976,117,59663,41.01125717163086,8.4,11.822616365220812,507,59714,-14.795259039999998,0.001,,
980,117,59696,40.96787452697754,8.4,11.794816255569458,508,59747,-14.777236650000003,0.001,,
984,117,59728,39.369497299194336,8.39,11.989896893501282,508,59779,-14.66064833,0.001,,
988,117,59761,39.060797691345215,8.38,10.35355257987976,508,59812,-14.741069270000002,0.001,,
992,117,59796,40.47037982940674,8.41,11.44274628162384,508,59847,-14.735979380000002,0.001,,
996,117,59829,41.142659187316895,8.38,11.987046559651693,509,59880,-14.730505740000002,0.001,,
,,59853,41.060495376586914,,10.672630965709686,,60000,,0.001,8.5,-11.218876510858536
1000,117,60853,40.29901096343994,18.27,11.528780786037444,517,60904,-20.046368490000003,0.001,,
1004,117,60885,39.00096607208252,18.24,10.508045315742493,517,60936,-20.026546050000004,0.001,,
1008,117,60917,40.80479049682617,18.23,10.369859457015991,518,60969,-20.02554976,0.001,,
1012,117,60952,40.89978103637695,18.23,11.81689421335856,518,61003,-19.955416290000002,0.001,,
1016,117,60984,39.808932304382324,18.23,9.392412841320038,518,61036,-19.69074914,0.001,,
1020,117,61018,39.59445571899414,18.3,11.048829290601942,518,61076,-19.5351108,0.001,,
1024,117,61059,40.81303691864014,18.29,8.913132071495056,519,61110,-19.47639345,0.001,,
1028,117,61091,40.62852764129639,18.28,11.933851957321167,519,61143,-19.438782619999998,0.001,,
1032,117,61128,40.79134826660156,18.34,10.325596809387207,519,61180,-19.35582936,0.001,,
1036,117,61162,41.90748138427735,18.36,10.013401720258924,520,61213,-19.522074010000004,0.001,,
1040,117,61194,40.76733589172363,18.36,11.798476219177246,520,61245,-19.356839660000002,0.001,,
1044,117,61227,40.65882682800293,18.41,11.968410703870985,520,61279,-19.29358603,0.001,,
1048,117,61265,39.06052589416504,18.43,10.495225369930267,520,61316,-19.24384463,0.001,,
1052,117,61297,40.73273754119873,18.4,10.188588976860046,521,61348,-19.10483011,0.001,,
1056,117,61329,40.326321601867676,18.39,9.596234427558052,521,61381,-19.09762618,0.001,,
1060,117,61362,39.34728813171387,18.34,10.068513870239258,521,61413,-18.95218178,0.001,,
1064,117,61394,40.089035987854004,18.34,10.69719672203064,521,61446,-19.00759341,0.001,,
1068,117,61427,40.82477283477783,18.33,11.120118856430054,522,61478,-18.975914790000004,0.001,,
1072,117,61459,40.40469264984131,18.31,10.366929769515991,522,61510,-18.958182430000004,0.001,,
1076,117,61492,39.24465084075928,18.29,11.297737836837769,522,61543,-19.021352970000002,0.001,,
1080,117,61525,39.894619941711426,18.29,10.0901358127594,522,61576,-18.966895920000002,0.001,,
1084,117,61561,39.97994136810303,18.33,9.872627019882202,523,61612,-18.9807949,0.001,,
1088,117,61595,40.111878395080566,18.34,11.067716704474556,523,61646,-18.87182386,0.001,,
1092,117,61627,39.779165267944336,18.31,11.116232342190212,523,61678,-18.75666469,0.001,,
1096,117,61660,40.59376907348633,18.31,11.406230807304382,523,61711,-18.68709398,0.001,,
1100,117,61694,39.94253234863281,8.41,10.828427420722115,524,61745,-13.36132877,0.001,,
1104,117,61728,40.25996780395508,8.43,10.208862924575806,524,61779,-13.214285939999998,0.001,,
1108,117,61762,38.616546630859375,8.45,10.063291337754992,524,61814,-13.247175249999998,0.001,,
1112,117,61795,39.5663423538208,8.43,11.326677978038788,524,61846,-13.29425367,0.001,,
1116,117,61830,38.57515182495117,8.46,10.206121974521214,525,61882,-13.33690901,0.001,,
1120,117,61865,39.18617534637451,8.4,10.692213588290745,525,61916,-13.589981219999997,0.001,,
1124,117,61898,40.43130302429199,8.41,9.618135929107666,525,61951,-13.612007309999997,0.001,,
1128,117,61933,40.526187896728516,8.4,10.767290592193604,525,61983,-13.61034176,0.001,,
1132,117,61967,39.734910011291504,8.4,12.062735438346863,526,62020,-13.7257845,0.001,,
