time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
5,-387.27885066666664,352,2048,1,363.3333333333333,,,,,,,,,,,,,
12,-252.75348433333335,315,4096,2,239.06666666666666,0.9848175048828125,0.012246515,-11.2766617923975,0.0003,243.68777890205382,0.2,0.123681640625,-0.01939570903778076,-0.026084487879415974,10,43.9990119934082,,
,,,5000,,,0.9707409143447876,0.016093768,-11.166854205727578,0.0003,98.67539736032487,0.2,0.1357421875,-0.07235443592071533,-0.029337960854172708,20,18.31804847717285,1000.0,978.1016624573618
40,-148.5894073,153,6144,3,140.375,,,,,,,,,,,,,
48,-172.01975798,167,8192,4,161.9,0.9614159464836121,0.012126472,-11.073059594631195,0.0003,152.68610632419586,0.2,0.13154296875,0.0011122822761535645,-0.030467044771648945,30,76.16880798339844,,
,,,10000,,,0.9513211846351624,0.011373356,-11.000642469525337,0.0003,116.11485900878907,0.2,0.116259765625,0.00459742546081543,-0.027806232386501505,40,28.213245391845703,1000.0,970.3144334513694
73,-163.47957843548383,138,10240,5,154.66129032258064,,,,,,,,,,,,,
82,-128.29676182828283,148,12288,6,123.57575757575758,0.9376370906829834,0.014890092,-10.887275743484498,0.0003,119.37924315929413,0.2,0.15185546875,0.010168135166168213,-0.036552766626118685,50,46.90154266357422,,
91,-87.0154421,157,14336,7,85.39,0.9299758672714233,0.01118139,-10.799211677908897,0.0003,182.58018226623534,0.2,0.1287109375,0.08024847507476807,-0.03326816148182843,60,98.17210388183594,,
,,,15000,,,0.9251270890235901,0.010634936,-10.747541558742522,0.0003,186.5765784263611,0.2,0.106591796875,0.13073694705963135,-0.030071915485314092,70,91.42916107177734,1000.0,946.7853511893773
118,-75.20886984999999,138,16384,8,75.88,,,,,,,,,,,,,
126,-65.44328405999998,145,18432,9,68.91,0.9157847762107849,0.012929845,-10.68095430135727,0.0003,123.14008681774139,0.2,0.14072265625,0.18313956260681152,-0.03724738131277263,80,58.10921859741211,,
,,,20000,,,0.9061367511749268,0.012374349,-10.600677695870399,0.0003,125.50024700164795,0.2,0.127490234375,0.2567841410636902,-0.03632809996779542,90,48.55589294433594,1000.0,905.3619761493203
154,-81.85370059,132,20480,10,84.95,,,,,,,,,,,,,
161,-90.06653664000001,139,22528,11,95.76,0.9010018706321716,0.010677014,-10.542239761352539,0.0003,141.46270077228547,0.2,0.115478515625,0.30038774013519287,-0.03378911397740012,100,70.16039276123047,,
168,-106.13589108999999,145,24576,12,115.1,0.8925175666809082,0.012517979,-10.478801462054253,0.0003,126.52847383022308,0.2,0.13955078125,0.3135092854499817,-0.03614954972290434,110,66.48046112060547,,
,,,25000,,,0.8819866180419922,0.012910249,-10.387984508275986,0.0003,75.05211381316185,0.2,0.139990234375,0.4185940623283386,-0.03572831011842936,120,38.95481872558594,1000.0,830.0249472181662
197,-116.71084992999998,134,26624,13,125.87,,,,,,,,,,,,,
206,-132.62642768,138,28672,14,145.07,0.8745887279510498,0.01241213,-10.308533522486687,0.0003,117.18623118400573,0.2,0.141650390625,0.41296303272247314,-0.03634605842817109,130,71.73678588867188,,
,,,30000,,,0.8661991357803345,0.011348445,-10.235942631959915,0.0003,77.47926242351532,0.2,0.14794921875,0.5453822910785675,-0.0357802464015549,140,33.85593032836914,858.8,733.5637469831156
230,-121.40812853999998,133,30720,15,133.8,,,,,,,,,,,,,
238,-109.31576905,137,32768,16,123.66,0.8603927493095398,0.011755402,-10.172762960195541,0.0003,147.55155582427977,0.2,0.123583984375,0.5534958839416504,-0.03248049553367309,150,73.86366271972656,,
246,-80.57305862999999,140,34816,17,92.66,0.8541896343231201,0.010805982,-10.116837078332901,0.0003,103.28007417917252,0.2,0.12265625,0.6987963318824768,-0.03637814288958907,160,58.69747543334961,,
,,,35000,,,0.8496505618095398,0.011547495,-10.066056564450264,0.0003,184.62262256145476,0.2,0.13544921875,0.5682282149791718,-0.03350270381197333,170,123.72050476074219,697.8,553.7273088073707
267,-78.69162763,138,36864,18,93.25,,,,,,,,,,,,,
274,-72.51953948,141,38912,19,87.13,0.8441315293312073,0.013683808,-10.017405128479004,0.0003,74.45775902271271,0.2,0.157568359375,0.7513372302055359,-0.03936619946180144,180,33.44152069091797,,
,,,40000,,,0.8385090827941895,0.0118987765,-9.964919033646584,0.0003,133.00300073623657,0.2,0.127001953125,0.6285450458526611,-0.034365144796902315,190,61.10236740112305,725.9,542.7790201770025
297,-79.00702103000002,137,40960,20,97.44,,,,,,,,,,,,,
