time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/std,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,eval/mean_ep_length,eval/mean_reward
2048,1000.0,479,1,4,37336.436895,,,,,,,,,,,,,
4096,1000.0,423,2,9,38139.72411325,0.9977654814720154,0.1076171875,166571.890625,-0.043271325100795364,0.0003,391095.4393554687,10,0.011071754,-24.104778641462325,0.00014388561248779297,0.2,,
5000,,,,,,1.0001215934753418,0.04990234375,204191.78125,-0.03356949692242779,0.0003,405061.7732421875,20,0.008975392,-24.105981427431107,-0.01055920124053955,0.2,1000.0,56287.23447628021
6144,1000.0,121,3,50,39031.40431116666,,,,,,,,,,,,,
8192,1000.0,146,4,55,39484.612217125,0.9988439083099365,0.080322265625,219080.9375,-0.039730874236556704,0.0003,459576.3296875,30,0.010990035,-24.11505683064461,-0.006211280822753906,0.2,,
10000,,,,,,0.9977765679359436,0.08974609375,219811.546875,-0.044665706939122175,0.0003,461926.0716796875,40,0.011172797,-24.094350451231,-0.0032181739807128906,0.2,1000.0,39382.30085849762
10240,1000.0,105,5,96,39852.7480721,,,,,,,,,,,,,
12288,1000.0,120,6,101,40225.14406166667,0.9958754181861877,0.101806640625,217889.4375,-0.046167372248601166,0.0003,475944.52470703126,50,0.011818392,-24.069400244951247,-0.0025262832641601562,0.2,,
14336,1000.0,134,7,106,40143.435742857146,0.9953531622886658,0.11728515625,261045.828125,-0.049556427210336554,0.0003,491872.609375,60,0.013014166,-24.046326744556428,8.058547973632812e-05,0.2,,
15000,,,,,,0.9945270419120789,0.126513671875,232816.734375,-0.05313591645099223,0.0003,429960.2586914062,70,0.013514956,-24.035550677776335,-0.0016478300094604492,0.2,1000.0,68273.14343338013
16384,1000.0,112,8,144,40237.919639499996,,,,,,,,,,,,,
18432,1000.0,123,9,149,40218.184487611106,0.9953407049179077,0.1224609375,239522.328125,-0.05315800104872324,0.0003,459880.278125,80,0.013543107,-24.042206782102586,-0.0025211572647094727,0.2,,
20000,,,,,,0.9944947361946106,0.1283203125,210677.1875,-0.054576532705686985,0.0003,432743.899609375,90,0.0137234945,-24.036957520246506,-0.0007196664810180664,0.2,1000.0,55963.24623889923
20480,1000.0,111,10,184,40514.257282349994,,,,,,,,,,,,,
22528,1000.0,119,11,188,40820.58865390909,0.9932488799095154,0.12763671875,205992.984375,-0.0534780877729645,0.0003,493153.6143554688,100,0.01382526,-24.01212955713272,-0.001588582992553711,0.2,,
24576,1000.0,127,12,193,41255.64896516667,0.9905873537063599,0.12724609375,253430.40625,-0.05452912712062243,0.0003,556132.9264648438,110,0.013820989,-23.98047345280647,-0.00028645992279052734,0.2,,
25000,,,,,,0.9883487820625305,0.14404296875,310750.0,-0.05863300680066459,0.0003,630496.8973632812,120,0.014335563,-23.93597373366356,0.0004057884216308594,0.2,1000.0,99529.58269081116
26624,1000.0,116,13,228,41476.895774692304,,,,,,,,,,,,,
28672,1000.0,123,14,233,41857.80036478571,0.986651599407196,0.152197265625,241371.515625,-0.058646737842354926,0.0003,514774.0040039063,130,0.01524098,-23.901201087236405,-0.0001462697982788086,0.2,,
30000,,,,,,0.9843125343322754,0.14921875,271777.34375,-0.05517130366351921,0.0003,540739.7900390625,140,0.01563901,-23.86953809261322,-0.0016303062438964844,0.2,1000.0,115137.75549125671
30720,1000.0,113,15,271,42051.97300393333,,,,,,,,,,,,,
32768,1000.0,118,16,276,42515.92010040625,0.9808481931686401,0.12880859375,320572.59375,-0.05332108455768321,0.0003,666105.4440429688,150,0.013428534,-23.816084545850753,-0.002315998077392578,0.2,,
34816,1000.0,124,17,280,42785.89411020588,0.9771400094032288,0.166015625,264073.90625,-0.06196704863978084,0.0003,547495.1998046875,160,0.015953789,-23.747836655378343,0.0006712079048156738,0.2,,
35000,,,,,,0.9741826057434082,0.173095703125,336661.125,-0.06445652045076714,0.0003,644258.523828125,170,0.016633155,-23.692383933067322,-3.635883331298828e-05,0.2,1000.0,93358.64847984313
36864,1000.0,116,18,317,43199.63962372222,,,,,,,,,,,,,
38912,1000.0,121,19,321,43656.51046326316,0.9705893397331238,0.164990234375,335355.21875,-0.06318767504708375,0.0003,680952.7578125,180,0.01720766,-23.637866377830505,-0.0008617639541625977,0.2,,
40000,,,,,,0.9704504609107971,0.167919921875,322103.71875,-0.06611631410487462,0.0003,705670.718359375,190,0.016469061,-23.614230066537857,0.0011153817176818848,0.2,1000.0,81613.58718891144
40960,1000.0,114,20,357,43925.062827325,,,,,,,,,,,,,
43008,1000.0,118,21,362,44643.56902879069,0.9692792296409607,0.147998046875,385134.59375,-0.057380278952769,0.0003,754983.3234375,200,0.014924383,-23.595679295063018,0.00043523311614990234,0.2,,
45000,,,,,,0.965555727481842,0.159912109375,410526.4375,-0.0610662533872528,0.0003,856435.0375,210,0.016248733,-23.550955575704574,-0.0014466047286987305,0.2,1000.0,73305.6808731079
45056,1000.0,112,22,399,45302.59274393333,,,,,,,,,,,,,
47104,1000.0,116,23,404,45583.29472699999,0.9637949466705322,0.16240234375,438601.15625,-0.06540249611716717,0.0003,968239.7646484375,220,0.017146468,-23.504266381263733,0.0004985332489013672,0.2,,
