time/episodes,train/n_updates,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/fps,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
384,356566,0.001,10.506445266246796,4129,987.48,-169.92486367797852,86,357566,2592.69971661,,
,359566,0.001,10.610739713191986,,,-170.54316101074218,,360000,,2915.27509309398,1000.0
388,360566,0.001,11.958036278247834,4179,987.48,-171.1848903198242,86,361566,2602.72322554,,
,364566,0.001,11.503683103799819,,,-173.0043395690918,,365000,,2767.8543540956452,968.6
392,,,,4228,987.81,,86,365566,2610.6234641600004,,
396,368566,0.001,10.622910440921784,4262,987.81,-173.5865221862793,86,369566,2594.5630102899995,,
,369566,0.001,9.90375869679451,,,-173.9559004211426,,370000,,2796.3405162155627,1000.0
400,372566,0.001,10.597102144241333,4310,987.81,-174.37009951782227,86,373566,2584.03481034,,
,374566,0.001,11.617477294445038,,,-174.65576632690428,,375000,,2887.1180133945395,1000.0
404,376566,0.001,11.74972512626648,4359,987.81,-175.38109518432617,86,377566,2620.6226684800004,,
,379451,0.001,11.637426400319331,,,-175.69845850327437,,380000,,2826.352410659753,1000.0
408,380451,0.001,13.785855326414108,4409,986.66,-175.81815576171874,86,381451,2623.67565441,,
,384451,0.001,14.231996198654175,,,-176.89225076293945,,385000,,2919.8297453745736,1000.0
412,,,,4458,986.66,,86,385451,2632.8767899699997,,
416,388451,0.001,12.100749346733092,4492,986.66,-177.50880654907226,86,389451,2637.78923104,,
,389451,0.001,11.588013310194016,,,-178.18850799560548,,390000,,2891.814994172752,1000.0
420,392451,0.001,10.753357841014862,4540,986.66,-178.10535641479493,86,393451,2642.1325453900004,,
,394451,0.001,10.560567470788955,,,-178.3116953430176,,395000,,2866.138442569133,1000.0
424,396451,0.001,12.1606700360775,4589,986.66,-178.814431640625,86,397451,2651.03415204,,
,399451,0.001,10.989610611200332,,,-178.8771853942871,,400000,,2690.4631650434226,1000.0
428,400451,0.001,10.640818726539612,4638,990.07,-179.13241516113283,86,401451,2666.87838834,,
,404451,0.001,11.722949255943298,,,-180.5724135131836,,405000,,2711.1154305412665,1000.0
432,,,,4687,990.07,,86,405451,2671.7230448600003,,
436,408451,0.001,11.3488142182827,4720,990.07,-181.55004956054688,86,409451,2675.2992790499998,,
,409451,0.001,11.760229045152665,,,-181.7894679260254,,410000,,2932.8001770735254,1000.0
440,412451,0.001,10.810322895765305,4770,990.07,-182.45756658935548,86,413451,2679.98205165,,
,414451,0.001,11.826942817926406,,,-183.17371148681642,,415000,,2920.6884618709328,1000.0
444,416451,0.001,11.199086238861083,4818,990.07,-183.24404043579102,86,417451,2684.4484984400005,,
,419451,0.001,10.508096623897552,,,-183.9968254699707,,420000,,2896.9488030593843,1000.0
448,420451,0.001,10.958114829063415,4867,990.07,-184.2049773864746,86,421451,2733.0781868000004,,
,424451,0.001,11.013486501693725,,,-184.83785653686525,,425000,,2795.865024686791,951.2
452,,,,4913,990.07,,86,425451,2740.0187594999998,,
456,428451,0.001,10.585163597106934,4944,990.07,-184.779546875,86,429451,2744.8302358399997,,
,429451,0.001,11.606880154132844,,,-184.7947508239746,,430000,,2998.977893311158,1000.0
460,432451,0.001,10.594817676544189,4989,990.07,-184.72316552734375,86,433451,2754.4407898699997,,
,434451,0.001,12.098956746578217,,,-184.92779827880858,,435000,,2789.8665454063566,972.9
464,436451,0.001,11.146072059631347,5035,998.85,-184.93598001098633,86,437451,2785.70138752,,
,439805,0.001,11.506090772867203,,,-184.98173916625976,,440000,,2971.631458041817,1000.0
468,,,,5076,992.39,,86,440805,2771.3742931100005,,
472,443805,0.001,11.165129985570907,5108,992.39,-184.9179019165039,87,444805,2780.5473098499997,,
,444805,0.001,12.66656691980362,,,-184.6979451904297,,445000,,2917.074474521726,1000.0
476,447805,0.001,11.540283686161041,5155,992.39,-184.78956005859374,87,448805,2788.4775501199997,,
,449805,0.001,11.355335967540741,,,-185.099087890625,,450000,,3008.192934947275,1000.0
480,451144,0.001,10.136508156767988,5196,985.78,-184.54307933134191,87,452144,2760.4317266200005,,
,454144,0.001,14.549477969169617,,,-185.1920802001953,,455000,,2906.721795549244,1000.0
484,455144,0.001,12.711763383388519,5247,985.78,-185.10362756347655,86,456144,2765.21506328,,
,459144,0.001,13.479300009727478,,,-184.3770014038086,,460000,,2868.126719107479,1000.0
488,,,,5296,985.78,,86,460144,2769.2747909500004,,
492,463144,0.001,12.869074065208435,5329,985.78,-185.20826959228515,87,464144,2770.3028952700006,,
,464165,0.001,11.233546393258232,,,-184.7272155761719,,465000,,2887.8804093173762,1000.0
496,466165,0.001,12.369363647699355,5370,975.99,-185.57619024658203,86,467165,2767.12170908,,
,469165,0.001,11.995283936500549,,,-185.29796612548827,,470000,,3033.8702325711956,1000.0
500,470165,0.001,10.759435700893402,5418,975.99,-184.87131115722656,86,471165,2810.7851948600005,,
,474165,0.001,11.157150628089905,,,-186.14055181884765,,475000,,2984.300804122072,1000.0
504,,,,5470,975.99,,86,475165,2813.70058977,,
508,478165,0.001,12.18062692785263,5505,977.14,-186.0802717285156,87,479165,2823.5944772599996,,
,479165,0.001,12.369255598306657,,,-185.69405114746093,,480000,,2582.025806346908,1000.0
512,481999,0.001,13.110848415383904,5552,975.48,-186.57202378965968,86,482999,2821.2124220100004,,
,484999,0.001,11.583190056324005,,,-187.68740414428711,,485000,,3012.131378778396,1000.0
516,485999,0.001,11.741923738479615,5599,975.48,-187.6668350830078,86,486999,2827.888110140001,,
,489999,0.001,11.257192120313645,,,-188.7156068725586,,490000,,2947.178712133877,1000.0
520,,,,5649,975.48,,86,490999,2833.46563592,,
524,493999,0.001,12.601679649353027,5682,975.48,-189.63569729614258,87,494999,2835.9132206599998,,
,494999,0.001,10.008440541982651,,,-189.659345703125,,495000,,2739.245247122925,915.5
528,497075,0.001,10.692933016300202,5723,966.24,-189.81133038330077,87,498075,2812.03848642,,
,499075,0.001,11.569415341377258,,,-190.08480380249023,,500000,,2723.9377732958646,913.1
532,501075,0.001,11.980390352487564,5770,966.24,-190.70106326293944,87,502075,2816.6950837400004,,
,504075,0.001,11.536940274238587,,,-191.28759661865234,,505000,,2560.6866980645805,888.0
536,505075,0.001,12.649793418884277,5818,966.24,-190.76602069091797,86,506075,2822.0936753299993,,
,509075,0.001,11.902808261394501,,,-191.5970315551758,,510000,,2723.5148612686667,937.5
540,,,,5867,966.24,,86,510075,2821.7928928499996,,
544,513075,0.001,10.793716230630874,5901,966.24,-192.22096368408202,87,514075,2821.69724127,,
,514075,0.001,10.907902706861496,,,-192.488554107666,,515000,,2692.233956347033,1000.0
548,517075,0.001,11.983893981933594,5952,966.24,-192.97753942871094,87,518075,2826.9227277300006,,
,519075,0.001,11.161939794063569,,,-193.38272940063476,,520000,,2962.4490429991156,1000.0
552,521075,0.001,10.647590128183365,6001,966.24,-193.3554997253418,86,522075,2829.55590004,,
,524075,0.001,12.30816077542305,,,-193.5421259765625,,525000,,3046.098698640242,1000.0
556,525075,0.001,9.82915049958229,6052,966.24,-193.21170751953125,86,526075,2829.2380988799996,,
,529075,0.001,10.334211475849152,,,-193.37812271118165,,530000,,2948.15676717842,1000.0
560,,,,6101,966.24,,86,530075,2833.5879302399994,,
564,533075,0.001,10.5813267223835,6135,966.24,-194.02337872314453,87,534075,2837.27822857,,
,534075,0.001,11.477304223775864,,,-194.75120877075196,,535000,,2921.4750112719835,974.5
568,537075,0.001,11.161943617343903,6185,972.7,-194.55152264404296,86,538075,2861.2821236,,
,539075,0.001,11.305680572032928,,,-194.7574027404785,,540000,,3014.5070524301614,1000.0
572,541075,0.001,11.377425408363342,6234,972.7,-195.56584002685548,86,542075,2865.1020038399997,,
,544075,0.001,9.094443794250488,,,-196.39807531738282,,545000,,3104.661947676912,1000.0
576,545075,0.001,10.643006911277771,6284,972.7,-195.96741943359376,86,546075,2871.98041242,,
,549075,0.001,10.957114458799362,,,-196.05140237426758,,550000,,3059.9772875417025,1000.0
580,,,,6317,979.31,,87,550075,2905.2833656200005,,
584,553075,0.001,11.79773813867569,6338,979.31,-197.00524853515626,87,554075,2908.1131571600004,,
,554075,0.001,10.717703337669372,,,-197.39357110595702,,555000,,2958.434844174981,1000.0
588,557075,0.001,11.84111483335495,6368,979.31,-197.78558993530274,87,558075,2908.21503026,,
,559075,0.001,10.730889069080353,,,-198.37736715698242,,560000,,3034.19948611334,1000.0
592,561075,0.001,11.071777843475342,6396,979.31,-198.36419506835938,87,562075,2917.04801342,,
,564075,0.001,12.262377894163132,,,-198.98763790893554,,565000,,2849.40520227924,949.2
596,565075,0.001,10.83857673406601,6425,989.1,-199.08956451416014,88,566075,2950.2357349,,
,569075,0.001,9.943918496370316,,,-199.4870476989746,,570000,,3080.1094807924237,1000.0
600,,,,6454,989.1,,88,570075,2955.1736617800007,,
604,573075,0.001,11.084207686901092,6476,989.1,-199.83965194702148,88,574075,2957.39305947,,
,574075,0.001,9.95205598473549,,,-199.96771487426759,,575000,,3037.291256435588,1000.0
608,577075,0.001,11.329320558547973,6505,989.1,-200.07679513549806,88,578075,2953.981974250001,,
,579075,0.001,11.207941899061202,,,-200.09850021362305,,580000,,3051.4987705398353,1000.0
612,581075,0.001,12.480721862316132,6534,990.76,-200.01692431640626,89,582075,2963.76771079,,
,584075,0.001,10.920868750810623,,,-200.41682247924805,,585000,,3031.5606415754182,1000.0
616,585075,0.001,13.266928919553756,6563,990.76,-200.20829867553712,89,586075,2966.95025256,,
,589075,0.001,11.018265019416809,,,-201.24326998901367,,590000,,3080.8529672924196,1000.0
620,,,,6595,990.76,,89,590075,2967.81129174,,
624,593075,0.001,9.816278312444688,6616,990.76,-201.22810556030274,89,594075,2973.69732982,,
,594075,0.001,11.827308928012847,,,-201.4545901184082,,595000,,3027.806447291933,988.8
628,597075,0.001,12.49682154750824,6645,1000.0,-201.74949642944335,89,598075,3003.5678650000004,,
,599075,0.001,10.789973614215851,,,-201.38043432617187,,600000,,2936.130659406027,1000.0
632,601075,0.001,12.857664352416991,6673,1000.0,-201.28338912963866,90,602075,3005.3892516999995,,
,604075,0.001,12.054378608703614,,,-202.07663360595703,,605000,,2492.9855484595523,832.1
636,605075,0.001,11.636786975383759,6699,1000.0,-201.5545377807617,90,606075,3006.9916033299996,,
,609075,0.001,11.062426313877106,,,-201.98079122924804,,610000,,2969.6902675004676,1000.0
640,,,,6731,1000.0,,90,610075,3012.852650930001,,
644,613075,0.001,10.936658692359924,6752,1000.0,-202.4543605041504,90,614075,3015.0708147200003,,
,614075,0.001,10.558839487552643,,,-203.0222575073242,,615000,,2936.334468676522,1000.0
648,617075,0.001,10.97329680466652,6784,1000.0,-203.0211118774414,91,618075,3016.0808657700004,,
,619075,0.001,11.551823885917663,,,-203.232059967041,,620000,,3100.010901849973,1000.0
652,621075,0.001,11.393184902667999,6816,1000.0,-203.47769442749023,91,622075,3019.29586993,,
,624075,0.001,11.847502175331115,,,-203.1292844848633,,625000,,2944.046426491835,1000.0
656,625075,0.001,11.344647075176239,6846,1000.0,-203.34274005126954,91,626075,3018.4990977700004,,
,629075,0.001,12.511458262443542,,,-202.78899975585938,,630000,,3097.414818078684,1000.0
660,,,,6880,1000.0,,91,630075,3019.48144943,,
664,633075,0.001,10.590904122114182,6904,1000.0,-203.7125228881836,91,634075,3022.28972064,,
,634075,0.001,11.781540297746659,,,-204.01337100219726,,635000,,2891.8181311881635,973.8
668,637075,0.001,11.9137120885849,6938,1000.0,-204.26064190673827,91,638075,3018.7062240200003,,
,639075,0.001,11.198778053045272,,,-204.24297256469725,,640000,,3111.097218981944,1000.0
672,641075,0.001,11.195355456590653,6971,1000.0,-204.34258700561523,92,642075,3019.82583201,,
,644075,0.001,12.249968157768249,,,-204.6674933166504,,645000,,2970.721574816853,1000.0
676,645075,0.001,12.828632638454437,7006,1000.0,-204.70510208129883,92,646075,3015.6235741699998,,
,649075,0.001,10.765673011302948,,,-205.16245382690428,,650000,,2970.8604296164585,974.5
680,,,,7042,1000.0,,92,650075,3022.5387746300003,,
684,653075,0.001,10.073849269390106,7065,1000.0,-205.72314178466797,92,654075,3025.1056108499997,,
,654075,0.001,10.53773423576355,,,-205.42965563964844,,655000,,2914.997176048346,964.0
688,657075,0.001,11.892728630542756,7099,1000.0,-205.90007147216798,92,658075,3031.41143335,,
,659011,0.001,11.351786352375633,,,-206.71432915712015,,660000,,3008.295358787477,1000.0
692,661011,0.001,12.140885672092438,7132,999.36,-206.34095889282227,92,662011,3026.9797524799997,,
,664011,0.001,9.716483521461488,,,-207.25612753295897,,665000,,2821.9832370473364,926.3
696,665011,0.001,12.72183572769165,7164,999.36,-206.83807815551756,92,666011,3029.2500939799997,,
,669011,0.001,10.229578310251236,,,-207.56642709350587,,670000,,2830.0666616911067,930.3
