time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
174,-10.428319931030273,0.0003,-0.29070717096328735,2.892608165740967,186,4,0.9786146879196167,-3.2679004999999997,73,43.5,0,,
1306,-24.189807891845703,0.0003,-4.714381217956543,0.751652181148529,86,8,0.698148787021637,-78.222371125,1205,163.25,15,,
1479,-25.87347984313965,0.0003,-5.346674919128418,3.264133930206299,85,12,0.6631091833114624,-60.36056108333333,1378,123.25,17,,
1809,-28.642864227294922,0.0003,-6.536263465881348,2.1910762786865234,83,16,0.6015767455101013,-52.88991893749999,1708,113.0625,21,,
1983,-29.899276733398438,0.0003,-7.101181983947754,4.604386329650879,83,20,0.5717756748199463,-46.41382239999999,1882,99.15,23,,
2150,-31.38712501525879,0.0003,-7.545970916748047,3.6166698932647705,83,24,0.5448701977729797,-44.275207791666666,2049,89.58333333333333,25,,
4248,-37.267051696777344,0.0003,-13.283980369567871,2.3750624656677246,80,28,0.29998910427093506,-87.86641707142857,4147,151.71428571428572,52,,
4656,-37.085205078125,0.0003,-13.756826400756836,2.711277484893799,81,32,0.2670287489891052,-86.135690375,4555,145.5,57,,
4864,-36.78070068359375,0.0003,-14.898462295532227,3.6287331581115723,81,36,0.25155192613601685,-81.02818802777777,4763,135.11111111111111,59,,
5000,-37.03297424316406,0.0003,-15.597932815551758,4.227133274078369,,,0.24188971519470215,,4899,,,-66.04561733228911,392.4
6964,-33.448177337646484,0.0003,-18.68624496459961,2.154317855834961,75,40,0.13926029205322266,-102.428466925,6863,174.1,92,,
9246,-27.764659881591797,0.0003,-19.03009033203125,2.0965113639831543,76,44,0.07480017095804214,-120.80296945454543,9145,210.13636363636363,121,,
9636,-26.43033218383789,0.0003,-19.60561752319336,2.736829996109009,76,48,0.06737188994884491,-114.0018324375,9535,200.75,125,,
10000,-25.151962280273438,0.0003,-18.801300048828125,2.785837173461914,,,0.06113583967089653,,9899,,,-64.9511074446178,317.0
10317,-24.809484481811523,0.0003,-18.915027618408203,2.185305118560791,73,52,0.056190285831689835,-109.50557632692306,10216,198.40384615384616,139,,
10515,-24.140213012695312,0.0003,-18.497833251953125,1.8606165647506714,74,56,0.05332755669951439,-103.00513217857143,10414,187.76785714285714,141,,
10802,-23.728668212890625,0.0003,-17.88031578063965,2.7741734981536865,74,60,0.049457333981990814,-97.81168966666668,10701,180.03333333333333,145,,
11278,-22.307825088500977,0.0003,-18.25031852722168,2.7144296169281006,74,64,0.043786074966192245,-93.151100140625,11177,176.21875,151,,
13785,-18.308820724487305,0.0003,-10.369956970214844,2.1606955528259277,75,68,0.024446552619338036,-99.72723798529414,13684,202.72058823529412,182,,
14601,-16.13595962524414,0.0003,-7.76199197769165,2.4671595096588135,75,72,0.020695941522717476,-95.40106568055555,14500,202.79166666666666,192,,
15000,-15.52686595916748,0.0003,-7.064890384674072,2.383378744125366,,,0.01919296197593212,,14899,,,-70.05434163801547,550.4
