eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/approx_kl
-13.179309927672147,1000,50.0,,,,,,,,,,,,,,,,
-13.179309927672147,2000,50.0,,,,,,,,,,,,,,,,
,2048,,5,1,-59.831058275,360,50.0,,,,,,,,,,,
-12.290397106762976,3000,50.0,,,,,,-0.004463145232875831,-0.0010416507720947266,180.40250639915467,-2.811196003854275,0.9774652719497681,0.2,0.019873046875,10,68.59947967529297,0.0003,0.0035455734
-12.290397106762976,4000,50.0,,,,,,,,,,,,,,,,
,4096,,13,2,-59.95067049382716,297,50.0,,,,,,,,,,,
-11.691336109116673,5000,50.0,,,,,,-0.00283693082164973,0.16550922393798828,117.92859814167022,-2.779755841195583,0.9652369022369385,0.2,0.00693359375,20,24.150793075561523,0.0003,0.0025326237
-11.691336109116673,6000,50.0,,,,,,,,,,,,,,,,
,6144,,21,3,-59.64308562,290,50.0,,,,,,,,,,,
-11.708618264086544,7000,50.0,,,,,,-0.0050696552978479305,0.2914775609970093,66.17062418460846,-2.748773941397667,0.9432634115219116,0.2,0.030810546875,30,13.389004707336426,0.0003,0.005995096
-11.708618264086544,8000,50.0,,,,,,,,,,,,,,,,
,8192,,28,4,-59.30195029000001,288,50.0,,,,,,,,,,,
-10.075162387266754,9000,50.0,,,,,,-0.007147594098933041,0.1690654158592224,59.40149118304252,-2.689365568011999,0.909022867679596,0.2,0.048779296875,40,12.012807846069336,0.0003,0.006466524
-10.075162387266754,10000,50.0,,,,,,,,,,,,,,,,
,10240,,35,5,-58.56349488,285,50.0,,,,,,,,,,,
-11.222892653569579,11000,50.0,,,,,,-0.008073363880976103,0.010925829410552979,48.249871054291724,-2.5919631347060204,0.8529905080795288,0.2,0.04404296875,50,7.8858537673950195,0.0003,0.009908665
-11.222892653569579,12000,50.0,,,,,,,,,,,,,,,,
,12288,,43,6,-56.873622610000005,283,50.0,,,,,,,,,,,
-12.934806714206934,13000,50.0,,,,,,-0.009464323057909497,0.31088900566101074,32.88056773841381,-2.4801826611161233,0.8221092224121094,0.2,0.044189453125,60,7.152204990386963,0.0003,0.00784515
-12.934806714206934,14000,50.0,,,,,,,,,,,,,,,,
,14336,,50,7,-54.85138575999999,284,50.0,,,,,,,,,,,
-12.419510948844254,15000,50.0,,,,,,-0.011553486430784687,0.2104390263557434,23.397008611261846,-2.383207980543375,0.7723503112792969,0.2,0.05517578125,70,5.666090488433838,0.0003,0.0120046325
-12.419510948844254,16000,50.0,,,,,,,,,,,,,,,,
,16384,,57,8,-52.43790062,285,50.0,,,,,,,,,,,
-13.426769719272851,17000,50.0,,,,,,-0.011451484361896292,0.35826659202575684,22.402715316414834,-2.2850059770047664,0.7441253066062927,0.2,0.053759765625,80,6.383310317993164,0.0003,0.006551955
-13.426769719272851,18000,50.0,,,,,,,,,,,,,,,,
,18432,,64,9,-50.66188325999999,285,50.0,,,,,,,,,,,
-18.10474124401808,19000,50.0,,,,,,-0.019639746422762984,0.7653338015079498,47.56178665161133,-2.240817565470934,0.7404670715332031,0.2,0.10400390625,90,17.79082679748535,0.0003,0.00936829
-18.10474124401808,20000,50.0,,,,,,,,,,,,,,,,
,20480,,71,10,-50.797503719999995,284,50.0,,,,,,,,,,,
-23.897048565745354,21000,50.0,,,,,,-0.017731056493357756,0.7525218427181244,69.4890186905861,-2.234768984466791,0.7387478351593018,0.2,0.097314453125,100,25.64261817932129,0.0003,0.009873224
-23.897048565745354,22000,50.0,,,,,,,,,,,,,,,,
,22528,,78,11,-51.81718481,285,50.0,,,,,,,,,,,
-30.26640648394823,23000,50.0,,,,,,-0.014894478410133161,0.8653589934110641,44.58328903913498,-2.227874647080898,0.7349863052368164,0.2,0.09775390625,110,23.271347045898438,0.0003,0.008870056
-30.26640648394823,24000,50.0,,,,,,,,,,,,,,,,
,24576,,86,12,-53.12591844000001,283,50.0,,,,,,,,,,,
-36.21249607950449,25000,50.0,,,,,,-0.013454946939600632,0.8959865644574165,28.483417415618895,-2.2135955967009067,0.728486180305481,0.2,0.08310546875,120,9.500510215759277,0.0003,0.0071740877
-36.21249607950449,26000,50.0,,,,,,,,,,,,,,,,
,26624,,93,13,-53.811158559999996,284,50.0,,,,,,,,,,,
-44.565209010243414,27000,50.0,,,,,,-0.017011784479836933,0.8945926055312157,23.390030178427697,-2.1959693744778632,0.7228850722312927,0.2,0.115869140625,130,15.068303108215332,0.0003,0.009591894
-44.565209010243414,28000,50.0,,,,,,,,,,,,,,,,
,28672,,100,14,-56.88385821000001,284,50.0,,,,,,,,,,,
-49.86522838175297,29000,50.0,,,,,,-0.014679876202717424,0.9268775582313538,10.483575689792634,-2.179787515103817,0.7159421443939209,0.2,0.100244140625,140,5.149399757385254,0.0003,0.008446626
