train/critic_loss,rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
3.047858238220215,175.51470588235293,0.0394616425037384,-17.844661712646484,-93.28524914705882,11935,-11.582937240600586,93,68,128,0.0003,11834,,
2.402252197265625,198.77777777777777,0.023277264088392258,-13.345345497131348,-97.38073172222224,14312,-8.325254440307617,93,72,153,0.0003,14211,,
2.5368027687072754,195.76315789473685,0.020884176716208458,-12.317001342773438,-93.82617467105263,14878,-6.040579319000244,92,76,160,0.0003,14777,,
2.324042797088623,,0.02039046213030815,-12.66440200805664,,15000,-7.710360527038574,,,,0.0003,14899,555.4,-54.75139322764589
2.248286724090576,201.65,0.0169789120554924,-11.156231880187988,-92.8048890375,16132,-3.010162830352783,89,80,179,0.0003,16031,,
2.564448833465576,219.4047619047619,0.014345158822834492,-9.03628158569336,-89.8115638095238,18430,-0.19914956390857697,89,84,206,0.0003,18329,,
2.3972597122192383,217.67045454545453,0.013934076763689518,-8.512170791625977,-86.01446140909091,19155,-0.8421128988265991,89,88,215,0.0003,19054,,
1.587378740310669,,0.013794663362205029,-8.660360336303711,,20000,-1.3155685663223267,,,,0.0003,19899,330.7,30.725356925779487
1.7462737560272217,243.44565217391303,0.013756873086094856,-7.723042011260986,-81.05410102173913,22397,0.3193640112876892,88,92,254,0.0003,22296,,
1.7979189157485962,259.0104166666667,0.01409553736448288,-7.241134166717529,-74.84180789583333,24865,-0.42594730854034424,88,96,279,0.0003,24764,,
1.4555693864822388,,0.014025406911969185,-7.143797874450684,,25000,0.39283984899520874,,,,0.0003,24899,421.6,109.46593382654245
2.062669038772583,262.84,0.014197468757629395,-7.161710739135742,-68.428656,26284,-0.9609196782112122,88,100,298,0.0003,26183,,
1.9804117679595947,264.46,0.014312704093754292,-7.358443260192871,-66.00279272,26816,-0.8215188980102539,88,104,304,0.0003,26715,,
1.8296846151351929,284.5,0.01413380540907383,-7.0319929122924805,-61.022241230000006,29000,0.45786982774734497,88,108,327,0.0003,28899,,
2.0811874866485596,,0.014006420038640499,-7.778741836547852,,30000,-0.1600176990032196,,,,0.0003,29899,363.0,109.67330744305946
2.046109676361084,308.15,0.014090154320001602,-7.756328582763672,-52.77782107,31533,0.6510288119316101,87,112,359,0.0003,31432,,
2.212268352508545,309.41,0.014264601282775402,-7.727164268493652,-50.618488230000004,31936,-0.21999448537826538,87,116,364,0.0003,31835,,
2.0200767517089844,312.18,0.014177079312503338,-9.3202543258667,-37.103779970000005,33541,0.6508827209472656,87,120,382,0.0003,33440,,
1.762356162071228,311.75,0.014123417437076569,-9.062397003173828,-24.89492399,34824,0.020381629467010498,88,124,395,0.0003,34723,,
1.9698251485824585,,0.014034813269972801,-9.531645774841309,,35000,-0.829420804977417,,,,0.0003,34899,455.9,148.60743388943956
1.6374855041503906,347.64,0.014456255361437798,-10.94963550567627,-7.848160459999998,38824,-0.36548447608947754,87,128,441,0.0003,38723,,
2.412769317626953,,0.014216070994734764,-11.158170700073242,,40000,1.1638553142547607,,,,0.0003,39899,381.3,187.09128546266874
1.7729499340057373,357.23,0.014291228726506233,-11.52536392211914,7.313374180000002,40923,1.2978311777114868,87,132,466,0.0003,40822,,
2.4094061851501465,364.45,0.014132263138890266,-12.63546371459961,15.058309270000002,42178,-0.49189266562461853,87,136,480,0.0003,42077,,
1.9795618057250977,,0.014151953160762787,-14.589654922485352,,45000,-1.9269773960113525,,,,0.0003,44899,607.8,230.8462650887115
2.309274911880493,391.46,0.014219908975064754,-14.280080795288086,28.162149550000002,45296,-0.37150609493255615,86,140,521,0.0003,45195,,
2.4927549362182617,404.32,0.013957683928310871,-15.272858619689941,38.09781018,47826,-0.21187347173690796,87,144,547,0.0003,47725,,
1.8509970903396606,413.56,0.013934374786913395,-16.16339874267578,51.04428329999999,49896,0.6179937720298767,87,148,569,0.0003,49795,,
2.4152989387512207,,0.013930907472968102,-17.30392074584961,,50000,1.0777113437652588,,,,0.0003,49899,563.3,218.07981423218735
2.6281840801239014,443.21,0.013786042109131813,-18.990489959716797,65.45557468,53071,-1.662078619003296,87,152,608,0.0003,52970,,
2.3038015365600586,,0.013902498409152031,-19.316383361816406,,55000,0.3446101248264313,,,,0.0003,54899,679.6,315.5442863852251
3.1780507564544678,462.63,0.013407306745648384,-18.733142852783203,74.04965630999999,55410,0.18714582920074463,86,156,640,0.0003,55309,,
2.459254264831543,478.04,0.013509846292436123,-20.132686614990234,90.65469368,58096,0.14307841658592224,86,160,667,0.0003,57995,,
1.9834001064300537,,0.01364677120000124,-20.5401554107666,,60000,0.0002402663230895996,,,,0.0003,59899,603.0,392.32162376347696
2.101344347000122,497.0,0.013507385738193989,-20.37827491760254,109.14990432,61171,-1.6971983909606934,86,164,706,0.0003,61070,,
2.4708309173583984,520.55,0.013257655315101147,-22.91451644897461,126.66320562000001,63990,0.006314754486083984,86,168,736,0.0003,63889,,
2.1380696296691895,,0.013259836472570896,-22.90188217163086,,65000,-1.4954984188079834,,,,0.0003,64899,572.0,352.33289563543514
2.1580557823181152,515.22,0.013328265398740768,-23.73776626586914,143.33151518,65834,-0.6223253607749939,86,172,763,0.0003,65733,,
2.3739395141601562,531.77,0.013217894360423088,-24.83892822265625,157.42593436000004,68055,-0.15694546699523926,86,176,786,0.0003,67954,,
2.088444709777832,,0.013273841701447964,-25.92555809020996,,70000,0.5486076474189758,,,,0.0003,69899,793.9,556.288306383615
1.8219746351242065,550.09,0.013373268768191338,-25.234373092651367,179.25771196000002,71141,-1.1101047992706299,85,180,829,0.0003,71040,,
1.815974235534668,541.39,0.01349550113081932,-25.634794235229492,189.78513824,72569,0.13143044710159302,86,184,843,0.0003,72468,,
2.3082990646362305,,0.013617493212223053,-28.086009979248047,,75000,-0.49158212542533875,,,,0.0003,74899,829.5,670.1582794008842
2.439028263092041,574.14,0.013373063877224922,-28.877700805664062,218.00000600999996,76569,1.0960569381713867,85,188,893,0.0003,76468,,
2.214360237121582,575.1,0.01334287878125906,-30.895671844482422,240.62180128999998,79907,-1.4753875732421875,85,192,929,0.0003,79806,,
2.4215493202209473,,0.013500560075044632,-30.11284065246582,,80000,-0.6924698352813721,,,,0.0003,79899,669.6,590.9961152265344
3.160332202911377,575.73,0.013325965031981468,-32.099220275878906,257.82233704,82438,0.009950578212738037,85,196,964,0.0003,82337,,
1.4786350727081299,,0.01302348542958498,-33.486324310302734,,85000,0.2196783572435379,,,,0.0003,84899,946.6,818.0902401763597
2.249269962310791,591.51,0.013129573315382004,-33.10436248779297,276.18034289999997,85435,-0.5715923309326172,84,200,1009,0.0003,85334,,
2.2770192623138428,606.41,0.01329344604164362,-34.35356903076172,291.09524269,87457,0.0012347102165222168,84,204,1030,0.0003,87356,,
1.72346031665802,,0.013425078243017197,-35.580074310302734,,90000,-0.7271137833595276,,,,0.0003,89899,583.7,506.0875678959419
2.0228259563446045,610.08,0.013411648571491241,-37.125946044921875,305.34816151,90008,-0.5808823108673096,84,208,1064,0.0003,89907,,
1.68233060836792,617.5,0.013288522139191628,-38.43260955810547,328.85598273000005,93283,-0.1138051450252533,84,212,1100,0.0003,93182,,
1.783109188079834,,0.013019020669162273,-37.43812561035156,,95000,1.0379347801208496,,,,0.0003,94899,706.8,628.7422609957575
2.0253515243530273,633.43,0.013179094530642033,-39.06575393676758,346.81428976999996,95279,-0.3009020984172821,84,216,1132,0.0003,95178,,
1.7820497751235962,642.63,0.012999685481190681,-40.12995147705078,361.82218631,97804,-0.3643606901168823,84,220,1159,0.0003,97703,,
2.383878707885742,,0.013119972310960293,-42.41217041015625,,100000,0.12438152730464935,,,,0.0003,99899,703.5,634.5711121002911
2.3507766723632812,660.1,0.012974622659385204,-41.45537567138672,382.00143877999994,100834,1.152302622795105,84,224,1200,0.0003,100733,,
1.919858455657959,642.93,0.012985262088477612,-42.66415786743164,390.71470065999995,103117,-0.5299962759017944,84,228,1224,0.0003,103016,,
2.713416576385498,,0.012895255349576473,-43.91918182373047,,105000,0.14543914794921875,,,,0.0003,104899,677.9,704.9713952503749
2.424670696258545,644.47,0.013099493458867073,-44.76246643066406,403.48951863,105370,1.6509499549865723,83,232,1256,0.0003,105269,,
3.318159580230713,658.55,0.013089116662740707,-46.12299346923828,423.0293756,108033,-0.08199137449264526,84,236,1283,0.0003,107932,,
2.1406362056732178,,0.01315771322697401,-46.13568878173828,,110000,-0.5128676295280457,,,,0.0003,109899,1000.0,902.5730657419539
2.4147427082061768,656.88,0.01321020070463419,-45.99041748046875,447.78517106,110984,-1.8839612007141113,83,240,1325,0.0003,110883,,
2.7704057693481445,648.68,0.013365362770855427,-46.596168518066406,465.32369113,112694,-0.30784720182418823,83,244,1344,0.0003,112593,,
2.642009735107422,,0.013237775303423405,-49.10869216918945,,115000,0.6536245346069336,,,,0.0003,114899,705.8,814.3947960909106
2.9930458068847656,653.52,0.013244107365608215,-50.036102294921875,492.4461250900001,115248,0.562912106513977,83,248,1380,0.0003,115147,,
3.1950550079345703,642.4,0.013366108760237694,-50.29874801635742,504.68531969000003,117311,-0.6643483638763428,83,252,1403,0.0003,117210,,
3.0740952491760254,,0.013447907753288746,-51.04377746582031,,120000,-0.6672192811965942,,,,0.0003,119899,783.6,1020.4088125556125
2.6264283657073975,649.08,0.013656978495419025,-53.067832946777344,527.1567165800001,120318,1.2050855159759521,83,256,1445,0.0003,120217,,
2.2038111686706543,645.32,0.013620799407362938,-52.9923095703125,535.9374871200001,122628,-0.7406668663024902,83,260,1470,0.0003,122527,,
2.467161178588867,633.52,0.013801288791000843,-55.29118728637695,554.01578155,124523,-1.4127601385116577,83,264,1490,0.0003,124422,,
2.263634204864502,,0.013791321776807308,-54.78348159790039,,125000,0.645103931427002,,,,0.0003,124899,643.2,706.6479996866547
3.17936372756958,635.96,0.013681283220648766,-58.87006378173828,576.52962555,127586,0.4401981234550476,83,268,1529,0.0003,127485,,
2.6625075340270996,,0.01379368919879198,-59.32469940185547,,130000,1.3251370191574097,,,,0.0003,129899,751.7,1176.979173804971
3.266270399093628,650.89,0.01383631769567728,-59.27957534790039,600.8335727099999,130923,1.0591589212417603,83,272,1572,0.0003,130822,,
3.589296579360962,656.72,0.014196358621120453,-61.60478973388672,629.5232617300001,133727,1.4578992128372192,83,276,1604,0.0003,133626,,
2.965292453765869,,0.01397699024528265,-61.082542419433594,,135000,-0.9068469405174255,,,,0.0003,134899,751.4,974.459985441588
3.599836826324463,658.72,0.014209456741809845,-64.671630859375,644.48588719,137013,0.10545822978019714,83,280,1648,0.0003,136912,,
2.1900100708007812,,0.014045960269868374,-64.74958038330078,,140000,-0.5310874581336975,,,,0.0003,139899,722.5,940.6370329957979
3.8462114334106445,680.81,0.014348695985972881,-65.53804016113281,677.1568681699999,140650,0.6524710059165955,83,284,1694,0.0003,140549,,
3.5093369483947754,654.41,0.014331095851957798,-68.32083129882812,663.5411215500001,142010,-0.19666877388954163,83,288,1710,0.0003,141909,,
5.907505035400391,645.19,0.01450647134333849,-67.3177490234375,680.2766526699999,144426,-0.17860358953475952,83,292,1737,0.0003,144325,,
6.73940896987915,,0.014704403467476368,-65.76412963867188,,145000,-0.2948634624481201,,,,0.0003,144899,566.0,860.107090120879
3.8073108196258545,645.72,0.014569665305316448,-70.76702880859375,710.19054579,147010,-0.11818817257881165,83,296,1769,0.0003,146909,,
3.7002487182617188,637.64,0.014787514694035053,-68.14076232910156,717.6379031700001,149199,-1.6061798334121704,83,300,1793,0.0003,149098,,
3.59163761138916,,0.01466451957821846,-72.63923645019531,,150000,0.34239304065704346,,,,0.0003,149899,439.5,514.2140990967298
5.176877975463867,650.04,0.01474154181778431,-73.26521301269531,726.8760562599999,152461,-0.201504185795784,83,304,1835,0.0003,152360,,
4.646858215332031,,0.015096251852810383,-74.19621276855469,,155000,0.30313223600387573,,,,0.0003,154899,710.2,971.5070270244032
3.6656103134155273,664.53,0.015006774105131626,-75.50434875488281,758.3144693400002,156461,-0.016907989978790283,82,308,1888,0.0003,156360,,
4.547783851623535,650.29,0.014943622052669525,-73.87083435058594,753.89212897,158312,-0.9505836963653564,82,312,1908,0.0003,158211,,
6.471062660217285,,0.015178045257925987,-80.88934326171875,,160000,0.3137035071849823,,,,0.0003,159899,923.8,1171.9948475196288
4.913214206695557,660.61,0.015026158653199673,-78.21808624267578,763.2486748299999,161340,0.24292954802513123,82,316,1952,0.0003,161239,,
5.042764663696289,647.86,0.015100615099072456,-75.13713073730469,769.0246049099999,162590,-0.004642069339752197,82,320,1966,0.0003,162489,,
7.117494583129883,,0.015219136141240597,-74.22705078125,,165000,0.5541183352470398,,,,0.0003,164899,725.0,924.92293015779
4.406193733215332,643.93,0.01505744457244873,-79.11114501953125,779.6209756200001,165227,-0.25279492139816284,82,324,2005,0.0003,165126,,
6.117526054382324,645.03,0.014852825552225113,-79.10021209716797,783.6095065499999,167620,-0.4498745799064636,82,328,2031,0.0003,167519,,
4.723665237426758,,0.01534098107367754,-81.2439956665039,,170000,-1.2206430435180664,,,,0.0003,169899,697.8,1271.793597937937
8.668618202209473,662.5,0.015413711778819561,-86.3521728515625,829.18437878,171620,2.1637141704559326,82,332,2082,0.0003,171519,,
5.791351795196533,,0.015367550775408745,-88.771240234375,,175000,0.3521420955657959,,,,0.0003,174899,799.9,1491.6478900877642
4.955464839935303,669.74,0.01535746455192566,-83.05020141601562,869.4278635099998,175007,-0.3384385406970978,82,336,2129,0.0003,174906,,
12.664066314697266,671.38,0.01552565023303032,-89.45646667480469,893.741044,178122,0.9582762122154236,82,340,2160,0.0003,178021,,
7.680990219116211,,0.01566275954246521,-94.55082702636719,,180000,1.6039268970489502,,,,0.0003,179899,919.2,1718.6087256726228
5.2949137687683105,694.28,0.015347698703408241,-89.3809585571289,950.7516889999999,182122,0.17666053771972656,82,344,2213,0.0003,182021,,
7.098162651062012,695.05,0.01596616767346859,-94.34396362304688,967.2787014700001,184753,2.3466477394104004,82,348,2241,0.0003,184652,,
15.198492050170898,,0.01594175584614277,-91.15997314453125,,185000,0.30878281593322754,,,,0.0003,184899,862.3,1326.9537605811522
7.776239395141602,714.42,0.01615530252456665,-88.95305633544922,1005.2592289,188753,-1.213964581489563,82,352,2293,0.0003,188652,,
6.241910934448242,,0.015938373282551765,-89.10124206542969,,190000,-1.22173011302948,,,,0.0003,189899,697.0,1269.3151857684875
6.24918270111084,703.71,0.01603832095861435,-93.54930114746094,1004.6653846499997,190689,-0.6961463689804077,82,356,2322,0.0003,190588,,
6.03640604019165,720.61,0.015994315966963768,-100.28353881835938,1066.80063476,194689,2.0909199714660645,82,360,2366,0.0003,194588,,
9.153642654418945,,0.016226137056946754,-98.76265716552734,,195000,1.1311516761779785,,,,0.0003,194899,773.7,1819.443508269696
6.797906875610352,719.52,0.016592785716056824,-101.05332946777344,1077.6619507199998,196475,-1.31595778465271,82,364,2395,0.0003,196374,,
8.666043281555176,715.46,0.017051469534635544,-99.3467025756836,1105.0841214499999,199132,-1.5986549854278564,82,368,2424,0.0003,199031,,
7.405806541442871,,0.016407577320933342,-98.40563201904297,,200000,0.4120367765426636,,,,0.0003,199899,928.8,2209.1876011417057
10.058586120605469,702.67,0.016740180552005768,-98.01382446289062,1115.2087552699998,201190,-1.7618008852005005,81,372,2456,0.0003,201089,,
11.330076217651367,,0.017017321661114693,-106.09791564941406,,205000,2.0536959171295166,,,,0.0003,204899,724.7,1451.7746963141108
11.566237449645996,714.63,0.016810309141874313,-107.47583770751953,1142.50993933,205190,-0.0705118328332901,81,376,2506,0.0003,205089,,
10.035896301269531,721.77,0.01702592521905899,-104.25912475585938,1174.95885072,209190,0.07717978954315186,82,380,2549,0.0003,209089,,
13.61153507232666,,0.017302772030234337,-102.3152847290039,,210000,-0.35511547327041626,,,,0.0003,209899,795.5,1908.033904857497
8.628643989562988,708.72,0.017674511298537254,-108.73573303222656,1186.9744411000001,211522,0.13427650928497314,81,384,2583,0.0003,211421,,
