time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_ep_length,train/std,eval/mean_reward,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
2048,2,1,20.683673469387756,17.790932163265303,829,,,,,,,,,,,,,
2500,,,,,,-0.00570523738861084,10,0.0003,-0.023047971006599256,0.200732421875,71.12610157132148,46.55,0.990139365196228,76.88253337442875,-4.241865561902523,0.016258402,0.2,12.72386646270752
4096,7,2,24.45,25.955042549999998,550,,,,,,,,,,,,,
5000,,,,,,0.2639956474304199,20,0.0003,-0.030733249205513857,0.23095703125,104.88019560575485,36.65,0.9838193655014038,60.29665603637695,-4.2181175470352175,0.01837115,0.2,64.85606384277344
6144,12,3,31.33,40.50803703,511,,,,,,,,,,,,,
7500,,,,,,0.22855675220489502,30,0.0003,-0.022678451833780856,0.14638671875,174.68984625339507,37.45,0.9799396395683289,61.52819384336472,-4.2020776450634,0.013339147,0.2,72.0600357055664
8192,17,4,36.99,54.18805418000001,477,,,,,,,,,,,,,
10000,,,,,,0.17628705501556396,40,0.0003,-0.02010306612064596,0.137158203125,253.32003984451293,34.6,0.9766424894332886,57.033697777986525,-4.189117833971977,0.013413551,0.2,120.35716247558594
10240,21,5,45.07,73.88954724,470,,,,,,,,,,,,,
12288,25,6,55.1,98.54588731,474,0.06598037481307983,50,0.0003,-0.011589213044499048,0.066650390625,323.94895219802856,,0.9800236225128174,,-4.189595091342926,0.0065623587,0.2,157.0697479248047
12500,,,,,,0.0020389556884765625,60,0.0003,-0.013411800909671001,0.0697265625,390.47388648986816,92.9,0.9816822409629822,211.65864546895028,-4.198000745475293,0.005950464,0.2,155.45440673828125
14336,31,7,64.6,121.73982474999998,455,,,,,,,,,,,,,
15000,,,,,,0.0005933642387390137,70,0.0003,-0.011910069987061433,0.071923828125,409.6278579711914,95.25,0.9801509380340576,216.4515017747879,-4.197812348604202,0.006997708,0.2,212.2137908935547
16384,37,8,72.92,143.00735556,440,,,,,,,,,,,,,
17500,,,,,,0.0001309514045715332,80,0.0003,-0.008747160292114132,0.07744140625,452.48296422958373,92.25,0.9694631099700928,208.61855245828627,-4.182496666908264,0.010292267,0.2,144.6246337890625
18432,42,9,79.37,158.72094063,430,,,,,,,,,,,,,
20000,,,,,,0.000740349292755127,90,0.0003,-0.008841827922151425,0.075341796875,465.513943862915,91.9,0.9677316546440125,208.11151299476623,-4.161389596760273,0.008440491,0.2,166.8874053955078
20480,48,10,85.5,176.02170204000006,421,,,,,,,,,,,,,
22500,,,,,,0.18360209465026855,100,0.0003,-0.010658361320383846,0.074755859375,364.8971569061279,92.2,0.9634033441543579,209.29152616262436,-4.15175825804472,0.0064790915,0.2,115.36194610595703
22528,54,11,87.92,183.23667462,411,,,,,,,,,,,,,
24576,58,12,91.05,193.60377837,420,0.49230819940567017,110,0.0003,-0.009713043112424203,0.067919921875,284.5597878456116,,0.9630542993545532,,-4.143551172316075,0.0075196144,0.2,97.63041687011719
25000,,,,,,0.813742071390152,120,0.0003,-0.007119915977818891,0.046826171875,199.99653885364532,95.6,0.9535983800888062,216.69675053358077,-4.127009247243405,0.0053034495,0.2,67.06856536865234
26624,63,13,95.42,204.91408694,417,,,,,,,,,,,,,
27500,,,,,,0.8514798134565353,130,0.0003,-0.006660400875261985,0.048291015625,155.53423244953154,95.25,0.9506627917289734,216.07242827415467,-4.108915990591049,0.0056959307,0.2,53.40695571899414
28672,69,14,97.85,212.73084072,415,,,,,,,,,,,,,
30000,,,,,,0.8469849526882172,140,0.0003,-0.009821063524577766,0.0822265625,154.78213927745819,99.8,0.9420865774154663,231.80126559734344,-4.088617573678493,0.007520567,0.2,50.299495697021484
30720,74,15,99.2,215.94379843000002,411,,,,,,,,,,,,,
32500,,,,,,0.8539323657751083,150,0.0003,-0.010139367030933499,0.125048828125,158.44926557540893,118.15,0.9288188815116882,291.941880941391,-4.051669140160084,0.01079784,0.2,55.28596496582031
32768,80,16,101.61,221.91158056000003,409,,,,,,,,,,,,,
34816,83,17,104.58,230.32334071999995,414,0.7212390303611755,160,0.0003,-0.01160839141230099,0.082275390625,251.5366064786911,,0.9260951280593872,,-4.0298618718981745,0.00909169,0.2,69.93122100830078
35000,,,,,,0.8633837252855301,170,0.0003,-0.012917644441768062,0.097119140625,161.16934945583344,131.55,0.9230093955993652,317.4362115442753,-4.021125763654709,0.0081650745,0.2,63.8266716003418
36864,89,18,107.23,237.73962360000002,411,,,,,,,,,,,,,
37500,,,,,,0.8077299445867538,180,0.0003,-0.0151876639429247,0.10859375,203.8945583820343,134.85,0.9197357892990112,319.55544117093086,-4.01090666949749,0.010052938,0.2,77.27389526367188
38912,95,19,108.67,243.63143911999998,407,,,,,,,,,,,,,
40000,,,,,,0.7035409510135651,190,0.0003,-0.011629008091404103,0.12080078125,315.9403662443161,133.3,0.9223651885986328,314.7651783704758,-4.007982394099235,0.008448245,0.2,60.04204559326172
40960,101,20,113.7,259.29675002,404,,,,,,,,,,,,,
42500,,,,,,0.8851972222328186,200,0.0003,-0.010721876402385533,0.10341796875,152.12399945259094,132.0,0.9175782203674316,313.5439618110657,-4.005892918258906,0.009562547,0.2,66.89666748046875
43008,107,21,117.5,271.79790433,400,,,,,,,,,,,,,
45000,,,,,,0.9421460032463074,210,0.0003,-0.01025678982696263,0.0927734375,100.68108481168747,132.7,0.9155649542808533,318.78429560661317,-3.9946998417377473,0.008599686,0.2,32.42068099975586
45056,113,22,121.34,284.81275029,398,,,,,,,,,,,,,
47104,116,23,123.07,289.57683621,402,0.899159774184227,220,0.0003,-0.008899213475524448,0.089306640625,143.16374821662902,,0.9095341563224792,,-3.9821995005011557,0.009102657,0.2,40.89130783081055
47500,,,,,,0.8921171948313713,230,0.0003,-0.01038676304742694,0.09345703125,134.37840119600295,137.75,0.9072002172470093,323.660076802969,-3.967985165864229,0.006390674,0.2,35.930118560791016
49152,122,24,126.81,301.32941808,399,,,,,,,,,,,,,
50000,,,,,,0.9584970846772194,240,0.0003,-0.016780101842596196,0.128173828125,75.94850581884384,182.25,0.9075800180435181,492.30101320147514,-3.9641854122281073,0.0116168875,0.2,26.292095184326172
51200,129,25,129.28,309.24646286,394,,,,,,,,,,,,,
52500,,,,,,0.8167983144521713,250,0.0003,-0.011241187974519562,0.0869140625,278.5385642528534,177.45,0.8999802470207214,475.85413587093353,-3.9529560543596745,0.0068075797,0.2,203.09326171875
53248,136,26,131.44,312.99906695,389,,,,,,,,,,,,,
55000,,,,,,0.9721431341022253,260,0.0003,-0.007634108989441302,0.0953125,42.0302076280117,213.6,0.9019314646720886,585.4425550758839,-3.9413895651698114,0.007936562,0.2,11.90549373626709
55296,143,27,134.34,321.432111,385,,,,,,,,,,,,,
57344,147,28,137.1,328.10445361,388,0.8983045071363449,270,0.0003,-0.00905934835318476,0.067529296875,151.08555136919023,,0.8965843915939331,,-3.9356935627758505,0.00594541,0.2,71.45963287353516
57500,,,,,,0.9273796379566193,280,0.0003,-0.009277343738358469,0.094921875,129.56037542819976,154.9,0.8947982788085938,385.9706057369709,-3.925428781658411,0.007952834,0.2,21.162376403808594
59392,153,29,139.8,336.83929829,385,,,,,,,,,,,,,
60000,,,,,,0.9034793972969055,290,0.0003,-0.016310432643513194,0.13828125,154.16483286619186,134.5,0.8937901854515076,310.44222084879874,-3.918732425570488,0.0101726595,0.2,58.55118942260742
61440,160,30,143.34,350.6070239399999,383,,,,,,,,,,,,,
62500,,,,,,0.8933490961790085,300,0.0003,-0.010628559440374375,0.1095703125,207.2372851729393,127.05,0.8930253982543945,294.3032310783863,-3.9146293982863427,0.008129724,0.2,37.177650451660156
63488,165,31,146.58,363.42100522,382,,,,,,,,,,,,,
65000,,,,,,0.9271155446767807,310,0.0003,-0.011638736136956141,0.112158203125,155.28005636930465,131.05,0.8951539397239685,307.02598985433576,-3.9168066926300527,0.007643299,0.2,48.59407424926758
65536,171,32,151.31,380.78491641,381,,,,,,,,,,,,,
67500,,,,,,0.8240004628896713,320,0.0003,-0.011058898936607876,0.150634765625,328.52576608657836,148.35,0.8927444219589233,393.1588411986828,-3.916262501478195,0.011766306,0.2,116.9367446899414
67584,178,33,152.9,389.49133854,379,,,,,,,,,,,,,
69632,182,34,154.76,401.00970284999994,382,0.8244567662477493,330,0.0003,-0.00710717189067509,0.059521484375,371.6120621919632,,0.8897038698196411,,-3.90913056358695,0.007271824,0.2,81.11144256591797
70000,,,,,,0.8767804354429245,340,0.0003,-0.007229322499188129,0.075732421875,239.44651272296906,222.65,0.881664514541626,707.0443193376065,-3.8905686497688294,0.0074706795,0.2,85.11902618408203
71680,189,35,158.58,418.0380979600001,378,,,,,,,,,,,,,
72500,,,,,,0.8558209538459778,350,0.0003,-0.00854001231782604,0.07236328125,226.55151588916777,208.25,0.8775182962417603,660.0827833294868,-3.8684770546853544,0.0077122375,0.2,97.45925903320312
73728,197,36,161.16,431.02066441000005,374,,,,,,,,,,,,,
75000,,,,,,0.9516963548958302,360,0.0003,-0.009203902570880019,0.103466796875,101.89054845571518,239.55,0.868330180644989,754.4454659938813,-3.8433484926819803,0.010051135,0.2,43.653812408447266
75776,204,37,166.19,452.00252760999996,369,,,,,,,,,,,,,
77500,,,,,,0.8998105973005295,370,0.0003,-0.00804045117693022,0.075146484375,211.76541969776153,224.4,0.8645119071006775,660.2951069116592,-3.8203415744006635,0.007877091,0.2,136.9406280517578
77824,212,38,173.16,479.18272183,366,,,,,,,,,,,,,
79872,216,39,180.44,500.65487962000014,368,0.9522139802575111,380,0.0003,-0.007043888227781281,0.0794921875,130.1106000304222,,0.8596847057342529,,-3.808475613594055,0.008330146,0.2,37.20158004760742
80000,,,,,,0.8327977210283279,390,0.0003,-0.009409316084929741,0.134423828125,334.6716113090515,243.45,0.8547301292419434,759.3837359130382,-3.781779260933399,0.010527186,0.2,98.34538269042969
81920,224,40,181.42,505.83823758000005,365,,,,,,,,,,,,,
82500,,,,,,0.7797302901744843,400,0.0003,-0.009238769138755742,0.077294921875,591.6470937013626,236.55,0.8465695381164551,695.832400110364,-3.766138419508934,0.008156406,0.2,114.94518280029297
83968,232,41,183.54,514.38269198,361,,,,,,,,,,,,,
85000,,,,,,0.8592402786016464,410,0.0003,-0.009088491635338869,0.079833984375,312.7797886610031,243.9,0.8455738425254822,784.1205073446035,-3.7513146571815015,0.009889323,0.2,121.15672302246094
86016,240,42,184.24,518.57472827,357,,,,,,,,,,,,,
87500,,,,,,0.7819376289844513,420,0.0003,-0.007574405573541299,0.067529296875,622.8615979194641,258.7,0.8410658836364746,801.4312235593795,-3.7387178860604764,0.007084612,0.2,358.21014404296875
88064,248,43,187.76,531.5159627400001,355,,,,,,,,,,,,,
90000,,,,,,0.9034935757517815,430,0.0003,-0.01028831849398557,0.10654296875,252.53237466812135,209.2,0.8393828868865967,624.67431281209,-3.72693944722414,0.009633148,0.2,60.042991638183594
90112,254,44,193.18,550.52729331,353,,,,,,,,,,,,,
92160,258,45,196.87,565.01310179,355,0.9531452991068363,440,0.0003,-0.007410571978834923,0.063330078125,124.02794971466065,,0.8346502184867859,,-3.714816214889288,0.009013867,0.2,66.98623657226562
92500,,,,,,0.9049149975180626,450,0.0003,-0.01317121448519174,0.10576171875,262.71172590255736,192.8,0.8315693736076355,594.1589365720749,-3.7023652024567126,0.010062873,0.2,100.62630462646484
94208,266,46,199.77,575.08074602,353,,,,,,,,,,,,,
95000,,,,,,0.7158693075180054,460,0.0003,-0.012065363422152586,0.098779296875,627.7539663791656,177.75,0.8244115114212036,584.1122697412968,-3.681925877928734,0.009000147,0.2,78.55630493164062
96256,273,47,202.2,582.72619381,352,,,,,,,,,,,,,
97500,,,,,,0.7799446284770966,470,0.0003,-0.006492941791657358,0.0318359375,479.30197420120237,176.2,0.828734278678894,576.1922167003155,-3.6763454489409924,0.0053284406,0.2,255.13365173339844
98304,280,48,199.98,574.4666599799998,350,,,,,,,,,,,,,
100000,,,,,,0.9385457672178745,480,0.0003,-0.00923761843587272,0.0845703125,164.6841861963272,190.85,0.8232002258300781,621.0474946975708,-3.6746674232184886,0.010285746,0.2,50.36680603027344
100352,287,49,195.07,563.92376231,349,,,,,,,,,,,,,
102400,290,50,194.67,568.34000109,352,0.9556107223033905,490,0.0003,-0.007475782456458547,0.093798828125,129.44088187217713,,0.8283076286315918,,-3.672062653303146,0.0073543997,0.2,76.78955841064453
102500,,,,,,0.8874890953302383,500,0.0003,-0.007580802447046153,0.102490234375,367.44304313659666,183.05,0.8267302513122559,596.7717427968979,-3.6772713854908945,0.010098425,0.2,327.326171875
104448,297,51,199.9,588.5898833299999,350,,,,,,,,,,,,,
105000,,,,,,0.9389040321111679,510,0.0003,-0.010693841305328532,0.1390625,157.38935885429382,179.25,0.8263349533081055,587.4926398694515,-3.6775023974478245,0.011721401,0.2,62.47488784790039
106496,304,52,202.88,601.80171396,349,,,,,,,,,,,,,
107500,,,,,,0.8588236570358276,520,0.0003,-0.010508940945146605,0.15703125,503.69895670413973,184.95,0.8252221941947937,586.1055816948414,-3.6750957615673543,0.01237516,0.2,424.92779541015625
108544,311,53,199.44,595.5161716800001,348,,,,,,,,,,,,,
110000,,,,,,0.8989431411027908,530,0.0003,-0.008368149204761722,0.090673828125,351.720615029335,185.15,0.8319090604782104,580.5735115170479,-3.6832978375256062,0.007929585,0.2,56.87183380126953
110592,318,54,197.67,592.3838899,347,,,,,,,,,,,,,
112500,,,,,,0.9197873398661613,540,0.0003,-0.006712685810634866,0.105029296875,304.93243129253386,182.9,0.8281635642051697,575.2249281048774,-3.688513296842575,0.009567811,0.2,55.71288299560547
112640,325,55,195.01,588.1830065100002,346,,,,,,,,,,,,,
114688,328,56,196.01,594.1211524,348,0.9662817791104317,550,0.0003,-0.010332083608955146,0.09619140625,109.44880995750427,,0.8225457072257996,,-3.6700663387775423,0.009195449,0.2,40.356849670410156
115000,,,,,,0.9550981186330318,560,0.0003,-0.009096386239980348,0.12421875,132.94520802497863,183.75,0.8226255178451538,586.599371623993,-3.6598732873797415,0.010541835,0.2,56.86865234375
116736,335,57,194.99,596.7690728000001,347,,,,,,,,,,,,,
117500,,,,,,0.9661347009241581,570,0.0003,-0.0077234486787347125,0.0767578125,117.24404476881027,182.6,0.8066083192825317,594.596038967371,-3.6277877539396286,0.007873588,0.2,41.23972702026367
118784,342,58,195.81,603.0225517,347,,,,,,,,,,,,,
120000,,,,,,0.9648125991225243,580,0.0003,-0.007839817050262354,0.090478515625,114.23430843353272,175.55,0.8085724711418152,569.95615234375,-3.6006444811820986,0.0086985035,0.2,49.06578826904297
120832,348,59,197.55,608.9424000299999,346,,,,,,,,,,,,,
122500,,,,,,0.9672196097671986,590,0.0003,-0.007711430355266202,0.09169921875,113.80258464813232,178.7,0.8136798143386841,580.2821724683047,-3.6109712697565555,0.009374883,0.2,67.18379211425781
122880,355,60,199.13,614.3345680100001,345,,,,,,,,,,,,,
124928,359,61,194.39,600.1365196500001,347,0.9180758148431778,600,0.0003,-0.010005215369164943,0.110595703125,319.46953361034394,,0.8086654543876648,,-3.611496525257826,0.010387913,0.2,58.1237907409668
125000,,,,,,0.9168228432536125,610,0.0003,-0.008184019158943557,0.091064453125,222.44664078950882,185.15,0.810245931148529,576.4338920474053,-3.606139499694109,0.0085565075,0.2,40.838626861572266
126976,366,62,197.2,609.9277246,346,,,,,,,,,,,,,
127500,,,,,,0.9571875892579556,620,0.0003,-0.008638279733713717,0.088916015625,149.16072024106978,209.75,0.8125238418579102,638.369416642189,-3.615110608935356,0.009579139,0.2,57.914466857910156
129024,373,63,204.41,629.1767869699999,345,,,,,,,,,,,,,
130000,,,,,,0.9058472439646721,630,0.0003,-0.00829048612213228,0.12607421875,327.0027918815613,273.4,0.8172075152397156,866.7002699077129,-3.6283114060759543,0.01339053,0.2,42.470821380615234
131072,381,64,210.11,648.1289548499999,343,,,,,,,,,,,,,
132500,,,,,,0.9772445894777775,640,0.0003,-0.010395254974719137,0.1314453125,63.47325707674027,259.8,0.8110640048980713,817.5575686633587,-3.6268884599208833,0.010446357,0.2,27.609268188476562
133120,389,65,213.85,660.57817757,341,,,,,,,,,,,,,
135000,,,,,,0.9812821857631207,650,0.0003,-0.010036632452101912,0.12216796875,55.0584475338459,249.55,0.8010152578353882,766.1591278612614,-3.5984972327947617,0.013187347,0.2,25.370744705200195
135168,397,66,222.32,685.68896379,339,,,,,,,,,,,,,
137216,401,67,224.92,694.1540041499998,341,0.9013123884797096,660,0.0003,-0.006970553731662221,0.0908203125,274.62191754579544,,0.7957993745803833,,-3.5676720894873144,0.0073547405,0.2,191.88775634765625
137500,,,,,,0.9642847403883934,670,0.0003,-0.00826296045415802,0.08583984375,97.37896335721015,261.2,0.7950984835624695,833.8977956056594,-3.558743330836296,0.0077949315,0.2,52.59369659423828
139264,409,68,228.37,702.3245940600001,340,,,,,,,,,,,,,
140000,,,,,,0.9347344040870667,680,0.0003,-0.006701562728267163,0.12119140625,156.90995495915413,271.05,0.795578122138977,867.8282163202763,-3.5606182262301447,0.009986958,0.2,236.49984741210938
141312,417,69,231.12,709.0139286399999,338,,,,,,,,,,,,,
142500,,,,,,0.8983956053853035,690,0.0003,-0.0087742710558814,0.087109375,352.6100678563118,259.15,0.7951682806015015,821.3997254252433,-3.5600765869021416,0.006553224,0.2,39.67044448852539
143360,425,70,236.26,728.3451643300001,336,,,,,,,,,,,,,
145000,,,,,,0.9689879771322012,700,0.0003,-0.00871198312524939,0.124169921875,78.08530704975128,216.5,0.7947045564651489,677.8054138481617,-3.5585704602301123,0.012263833,0.2,31.853633880615234
145408,432,71,238.39,735.71352065,335,,,,,,,,,,,,,
147456,436,72,239.91,742.9539364799999,337,0.9428563266992569,710,0.0003,-0.007622164679924026,0.084814453125,200.36674007177353,,0.7953037619590759,,-3.55718430429697,0.006618656,0.2,63.95192337036133
147500,,,,,,0.8606570810079575,720,0.0003,-0.012682689129724168,0.110888671875,477.84453092813493,212.6,0.7958073616027832,670.2511277079582,-3.559300621598959,0.010549514,0.2,58.324676513671875
149504,444,73,242.47,753.22995087,336,,,,,,,,,,,,,
150000,,,,,,0.9085822626948357,730,0.0003,-0.010179459386563394,0.127783203125,337.89849772453306,271.7,0.7871834635734558,862.4922420918941,-3.5439247265458107,0.0131340735,0.2,286.2738952636719
151552,452,74,244.87,762.5392392099999,334,,,,,,,,,,,,,
152500,,,,,,0.9714698400348425,740,0.0003,-0.003991693624993786,0.11640625,71.2456875026226,228.1,0.7784088850021362,719.0262926459312,-3.50787685662508,0.008706934,0.2,14.880942344665527
153600,460,75,245.56,768.8658965200002,333,,,,,,,,,,,,,
155000,,,,,,0.9671091139316559,750,0.0003,-0.009499671283992938,0.111669921875,88.39973772168159,226.2,0.7767404913902283,706.7850222826004,-3.486141145974398,0.011140815,0.2,33.25846481323242
155648,467,76,247.52,776.4514085599999,332,,,,,,,,,,,,,
157500,,,,,,0.9146803393959999,760,0.0003,9.807906462810934e-05,0.1732421875,326.14370329380034,294.45,0.7784871459007263,936.2067268550396,-3.4809283249080183,0.014510592,0.2,56.69637680053711
157696,476,77,245.2,771.0648286400001,331,,,,,,,,,,,,,
159744,480,78,242.52,764.0595807299999,332,0.9836749397218227,770,0.0003,-0.00981993469176814,0.133935546875,67.36485186815261,,0.7773122191429138,,-3.48756555467844,0.009539257,0.2,20.874679565429688
160000,,,,,,0.9642555415630341,780,0.0003,-0.005351042524853256,0.110791015625,105.24705448150635,208.2,0.7723648548126221,649.4442494153976,-3.4738970942795278,0.011429752,0.2,20.088808059692383
161792,487,79,243.64,767.1049175,331,,,,,,,,,,,,,
162500,,,,,,0.970132002606988,790,0.0003,-0.008424602398008574,0.116650390625,118.69626842141152,258.0,0.7780866026878357,822.3989372909069,-3.4734601594507692,0.0091651175,0.2,21.71038055419922
163840,495,80,241.18,762.8797015899999,330,,,,,,,,,,,,,
165000,,,,,,0.9823309704661369,800,0.0003,-0.005267740471754223,0.108935546875,63.99420868754387,268.1,0.7760684490203857,852.8086802244186,-3.4766624704003335,0.009068965,0.2,32.36202621459961
165888,503,81,245.69,779.0221920700001,329,,,,,,,,,,,,,
167500,,,,,,0.9786557108163834,810,0.0003,-0.004770124991773627,0.085888671875,79.85115838050842,277.55,0.7718601226806641,889.2069312334061,-3.4645586378872393,0.009191857,0.2,86.12700653076172
167936,512,82,243.65,771.9383803900001,327,,,,,,,,,,,,,
169984,516,83,246.08,782.31653641,329,0.9842759948223829,820,0.0003,-0.005060853503528051,0.104541015625,50.947810262441635,,0.767394483089447,,-3.448690749704838,0.009904577,0.2,22.091264724731445
170000,,,,,,0.989790509454906,830,0.0003,-0.008128942176699638,0.111083984375,35.60438071489334,287.65,0.76434326171875,927.4591202020645,-3.4359180450439455,0.010125367,0.2,24.35874366760254
172032,524,84,248.03,789.27970464,327,,,,,,,,,,,,,
172500,,,,,,0.9887863909825683,840,0.0003,-0.0070595945930108425,0.129345703125,46.08846852183342,368.7,0.7564012408256531,1206.4032662689685,-3.4121366672217848,0.010887999,0.2,18.72098159790039
174080,534,85,252.1,803.02118504,325,,,,,,,,,,,,,
175000,,,,,,0.992785676382482,850,0.0003,-0.007962932006921618,0.14052734375,26.633770778775215,293.55,0.7514402270317078,960.8286512315274,-3.3888890124857425,0.013944099,0.2,13.38010311126709
176128,543,86,251.69,802.17187689,324,,,,,,,,,,,,,
177500,,,,,,0.966487817466259,860,0.0003,-0.006590052950195968,0.07177734375,131.01209740042685,288.15,0.7455775141716003,947.4789097905159,-3.3665543615818025,0.0075192614,0.2,18.647106170654297
