rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
3.0,0,4,4877,3.0,12,,,,,,
3.75,0,8,5325,3.75,30,,,,,,
6.25,0,12,6057,6.25,75,,,,,,
6.5,0,16,5439,6.5,104,,,,,,
5.8,0,20,767,5.8,116,0.001,20,-1.1337459683418274,0.024724585314591725,,
5.333333333333333,0,24,552,5.333333333333333,128,0.001,32,-1.112893521785736,0.01951325684785843,,
5.0,0,28,451,5.0,140,0.001,44,-1.1282803416252136,0.005578854897369941,,
4.75,0,32,392,4.75,152,0.001,56,-1.2159042358398438,0.004224288510158658,,
4.555555555555555,0,36,352,4.555555555555555,164,0.001,68,-1.2177149057388306,0.004253871428469817,,
4.4,0,40,325,4.4,176,0.001,80,-1.2472462058067322,0.005196160481621821,,
4.2727272727272725,0,44,304,4.2727272727272725,188,0.001,92,-1.2867926359176636,0.00764509088670214,,
4.166666666666667,0,48,288,4.166666666666667,200,0.001,104,-1.3089346289634705,0.008105924042562643,,
4.076923076923077,0,52,274,4.076923076923077,212,0.001,116,-1.346178114414215,0.0068456376902759075,,
4.0,0,56,262,4.0,224,0.001,128,-1.3592562079429626,0.008168592117726803,,
3.933333333333333,0,60,253,3.933333333333333,236,0.001,140,-1.3791465163230896,0.010106173033515612,,
3.875,1,64,244,3.875,248,0.001,152,-1.3775653839111328,0.011590118209520975,,
3.823529411764706,1,68,238,3.823529411764706,260,0.001,164,-1.3991914987564087,0.008023240913947424,,
3.7777777777777777,1,72,232,3.7777777777777777,272,0.001,176,-1.4146778583526611,0.011617563664913177,,
3.736842105263158,1,76,228,3.736842105263158,284,0.001,188,-1.4162948727607727,0.009218070190399885,,
3.7,1,80,223,3.7,296,0.001,200,-1.4361016154289246,0.008454464065531889,,
3.6666666666666665,1,84,220,3.6666666666666665,308,0.001,212,-1.4258756041526794,0.008054078090935946,,
3.6363636363636362,1,88,216,3.6363636363636362,320,0.001,224,-1.4436767101287842,0.013841713468233744,,
3.608695652173913,1,92,213,3.608695652173913,332,0.001,236,-1.4801474213600159,0.010239877427617708,,
3.5833333333333335,1,96,210,3.5833333333333335,344,0.001,248,-1.4732747673988342,0.011773660158117613,,
3.56,1,100,208,3.56,356,0.001,260,-1.5204740166664124,0.0075477246815959615,,
3.56,1,104,206,3.56,368,0.001,272,-1.5019778609275818,0.008452007547020912,,
3.5,1,108,204,3.5,380,0.001,284,-1.5155977010726929,0.016673004254698753,,
3.17,1,112,202,3.17,392,0.001,296,-1.501646339893341,0.0174851647267739,,
3.0,2,116,199,3.0,404,0.001,308,-1.5040913224220276,0.012101946398615837,,
3.0,2,120,198,3.0,416,0.001,320,-1.556532382965088,0.01174254467089971,,
3.0,2,124,196,3.0,428,0.001,332,-1.542656421661377,0.018143346222738426,,
3.0,2,128,195,3.0,440,0.001,344,-1.591247022151947,0.014991220086812973,,
3.0,2,132,194,3.0,452,0.001,356,-1.5894296765327454,0.009355766077836355,,
3.0,2,136,192,3.0,464,0.001,368,-1.5777242183685303,0.0033748126588761806,,
3.0,2,140,191,3.0,476,0.001,380,-1.539478600025177,0.01899717313547929,,
3.0,2,144,190,3.0,488,0.001,392,-1.6050275564193726,0.013677572986731926,,
3.0,2,148,189,3.0,500,0.001,404,-1.6399878859519958,0.014850488708664974,,
3.0,2,152,187,3.0,512,0.001,416,-1.6243608593940735,0.013871825921038786,,
3.0,2,156,186,3.0,524,0.001,428,-1.6526840329170227,0.01207064495732387,,
3.0,2,160,185,3.0,536,0.001,440,-1.6182932257652283,0.013288870453834534,,
3.0,2,164,185,3.0,548,0.001,452,-1.6270294785499573,0.012820704064021507,,
3.0,3,168,183,3.0,560,0.001,464,-1.7087382078170776,0.014720697576800982,,
3.0,3,172,183,3.0,572,0.001,476,-1.6360762119293213,0.017924452510972817,,
3.0,3,176,182,3.0,584,0.001,488,-1.6409836411476135,0.015613441045085589,,
3.0,3,180,181,3.0,596,0.001,500,-1.7125455141067505,0.020460345471898716,,
3.0,3,184,181,3.0,608,0.001,512,-1.6830701231956482,0.026238040067255497,,
3.0,3,188,180,3.0,620,0.001,524,-1.6907824873924255,0.0167689078177015,,
3.0,3,192,180,3.0,632,0.001,536,-1.725659191608429,0.0098453713580966,,
3.0,3,196,179,3.0,644,0.001,548,-1.7113388776779175,0.017309979535639286,,
3.0,3,200,179,3.0,656,0.001,560,-1.7265783548355103,0.02343534678220749,,
3.0,3,204,178,3.0,668,0.001,572,-1.7938318252563477,0.015101706298689047,,
3.0,3,208,177,3.0,680,0.001,584,-1.7338328957557678,0.004707518654565017,,
3.0,3,212,177,3.0,692,0.001,596,-1.7532659769058228,0.015379179424295822,,
3.0,3,216,176,3.0,704,0.001,608,-1.6962161660194397,0.012692685859898726,,
3.0,4,220,175,3.0,716,0.001,620,-1.7438058257102966,0.010028226766735315,,
3.0,4,224,175,3.0,728,0.001,632,-1.7519901990890503,0.006967062130570412,,
3.0,4,228,174,3.0,740,0.001,644,-1.6693421006202698,0.018288124352693558,,
3.0,4,232,174,3.0,752,0.001,656,-1.7625330090522766,0.009314841901262602,,
3.0,4,236,173,3.0,764,0.001,668,-1.7989449501037598,0.024266891181468964,,
3.0,4,240,173,3.0,776,0.001,680,-1.7458103895187378,0.02035963659485181,,
3.0,4,244,173,3.0,788,0.001,692,-1.8240017294883728,0.034741032868623734,,
3.0,4,248,172,3.0,800,0.001,704,-1.7716323733329773,0.018518505928417046,,
3.0,4,252,172,3.0,812,0.001,716,-1.7972356677055359,0.011695747030898929,,
3.0,4,256,172,3.0,824,0.001,728,-1.8615531921386719,0.016689568137129147,,
3.0,4,260,172,3.0,836,0.001,740,-1.7576545476913452,0.009510734428962072,,
3.0,4,264,171,3.0,848,0.001,752,-1.71998530626297,0.004928627982735634,,
3.0,5,268,171,3.0,860,0.001,764,-1.8498622179031372,0.012060834094882011,,
3.0,5,272,170,3.0,872,0.001,776,-1.8133355379104614,0.017382979703446228,,
3.0,5,276,170,3.0,884,0.001,788,-1.7761698365211487,0.01932731457054615,,
3.0,5,280,170,3.0,896,0.001,800,-1.8731903433799744,0.026656642866631348,,
3.0,5,284,169,3.0,908,0.001,812,-1.8235376477241516,0.026644244169195492,,
3.0,5,288,169,3.0,920,0.001,824,-1.7220931649208069,0.027089789509773254,,
3.0,5,292,168,3.0,932,0.001,836,-1.9721148014068604,0.015474945694829026,,
3.0,5,296,168,3.0,944,0.001,848,-1.8905757665634155,0.01191745170702537,,
3.0,5,300,168,3.0,956,0.001,860,-1.863115668296814,0.01624178420752287,,
3.0,5,304,167,3.0,968,0.001,872,-1.80917489528656,0.007840950973331928,,
3.0,5,308,167,3.0,980,0.001,884,-1.8817796111106873,0.014909893739968538,,
3.0,5,312,167,3.0,992,0.001,896,-1.8230744004249573,0.014910355520745119,,
,,,,,1000,0.001,905,-1.8570448160171509,0.009057871221254269,3.0,3.0
3.0,6,316,166,3.0,1004,0.001,908,-1.8497765064239502,0.014289007211724917,,
3.0,6,320,165,3.0,1016,0.001,920,-1.8257122039794922,0.014193628604213396,,
3.0,6,324,165,3.0,1028,0.001,932,-1.8454343676567078,0.015931934273491304,,
3.0,6,328,164,3.0,1040,0.001,944,-1.9365002512931824,0.019217404536902905,,
3.0,6,332,164,3.0,1052,0.001,956,-1.910756766796112,0.023822917292515438,,
3.0,6,336,163,3.0,1064,0.001,968,-1.9038658142089844,0.0212507420219481,,
3.0,6,340,163,3.0,1076,0.001,980,-1.9470424056053162,0.014893429974714914,,
3.0,6,344,162,3.0,1088,0.001,992,-1.9278318285942078,0.013370628779133161,,
3.0,6,348,162,3.0,1100,0.001,1004,-1.9248948097229004,0.015548429762323698,,
3.0,6,352,162,3.0,1112,0.001,1016,-1.9127095341682434,0.020178598662217457,,
3.0,6,356,162,3.0,1124,0.001,1028,-1.8421644568443298,0.0073860570167501765,,
3.0,7,360,161,3.0,1136,0.001,1040,-1.8940668106079102,0.020528582856059074,,
3.0,7,364,161,3.0,1148,0.001,1052,-1.9196723699569702,0.011611812748014927,,
3.0,7,368,161,3.0,1160,0.001,1064,-1.9734686613082886,0.030599910765886307,,
3.0,7,372,161,3.0,1172,0.001,1076,-1.8916534781455994,0.00763334147632122,,
3.0,7,376,160,3.0,1184,0.001,1088,-1.8506579399108887,0.009934290933112303,,
3.0,7,380,160,3.0,1196,0.001,1100,-1.9046557545661926,0.009050676909585794,,
3.0,7,384,160,3.0,1208,0.001,1112,-1.9729853868484497,0.024463279948880274,,
3.0,7,388,160,3.0,1220,0.001,1124,-2.0164692997932434,0.00911984903117021,,
3.0,7,392,160,3.0,1232,0.001,1136,-1.9220210313796997,0.007340238119165103,,
3.0,7,396,160,3.0,1244,0.001,1148,-2.0162405371665955,0.020107565525298316,,
3.0,7,400,160,3.0,1256,0.001,1160,-1.9788368344306946,0.01229652219141523,,
3.0,7,404,160,3.0,1268,0.001,1172,-1.9865792393684387,0.011928408406674862,,
3.0,8,408,159,3.0,1280,0.001,1184,-1.9276286363601685,0.020715149119496346,,
3.0,8,412,159,3.0,1292,0.001,1196,-1.9800994396209717,0.028045593450466793,,
3.0,8,416,159,3.0,1304,0.001,1208,-1.9329438209533691,0.01136758349214991,,
3.0,8,420,159,3.0,1316,0.001,1220,-2.0056697726249695,0.017673082028826077,,
3.0,8,424,159,3.0,1328,0.001,1232,-1.9608126282691956,0.02209475760658582,,
3.0,8,428,159,3.0,1340,0.001,1244,-2.0306385159492493,0.01678341254591942,,
3.0,8,432,159,3.0,1352,0.001,1256,-2.0126625895500183,0.01374642550945282,,
3.0,8,436,159,3.0,1364,0.001,1268,-1.9181719422340393,0.009015836908171574,,
3.0,8,440,159,3.0,1376,0.001,1280,-1.9204107522964478,0.014652218048771223,,
3.0,8,444,159,3.0,1388,0.001,1292,-2.0248271226882935,0.01253977200637261,,
3.0,8,448,159,3.0,1400,0.001,1304,-1.9161323308944702,0.011573355179280043,,
3.0,8,452,158,3.0,1412,0.001,1316,-2.0378963947296143,0.017288425005972385,,
3.0,8,456,158,3.0,1424,0.001,1328,-1.9046157002449036,0.011341409292072058,,
3.0,9,460,157,3.0,1436,0.001,1340,-1.9664018154144287,0.008116271191587051,,
3.0,9,464,157,3.0,1448,0.001,1352,-1.954439640045166,0.014307724932829538,,
3.0,9,468,157,3.0,1460,0.001,1364,-2.0606189966201782,0.02225130656734109,,
3.0,9,472,156,3.0,1472,0.001,1376,-2.0261844396591187,0.025176428568859894,,
3.0,9,476,156,3.0,1484,0.001,1388,-1.9261528849601746,0.013725441880524158,,
3.0,9,480,156,3.0,1496,0.001,1400,-1.8929943442344666,0.005185367229084174,,
3.0,9,484,156,3.0,1508,0.001,1412,-1.9115301966667175,0.01499868230894208,,
3.04,9,488,156,3.04,1524,0.001,1426,-2.241728186607361,0.026175022746125858,,
3.2,9,492,156,3.2,1552,0.001,1454,-2.3603455225626626,0.03842332996428013,,
3.41,10,496,156,3.41,1585,0.001,1485,-2.2894884745279946,0.05236326561619838,,
3.54,10,500,156,3.54,1610,0.001,1510,-2.352521022160848,0.031027695164084435,,
3.71,10,504,156,3.71,1639,0.001,1538,-2.518534481525421,0.12586134485900402,,
3.96,10,508,156,3.96,1676,0.001,1572,-2.4460742473602295,0.06893315504897725,,
4.23,10,512,157,4.23,1715,0.001,1610,-2.524296681086222,0.14486059111853442,,
5.11,11,516,159,5.11,1815,0.001,1684,-2.6994777236666,0.12174580844917468,,
6.51,12,520,158,6.51,1967,0.001,1838,-2.858340050044813,0.12767265354724308,,
,,,,,2000,0.001,1874,-2.8312822182973227,0.10884146842484672,39.1,39.1
7.87,13,524,156,7.87,2115,0.001,1989,-3.1521623511063424,0.10633072629570961,,
9.07,14,528,156,9.07,2247,0.001,2112,-4.055821958341096,0.12842538086949168,,
11.11,15,532,157,11.11,2463,0.001,2314,-4.39976323567904,0.15210124298643607,,
