train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
0.19365781678818167,4000,1000.0,0.001,4,3000,-1740.8084747500002,241,16,-6.002205314397812,,
0.1895839219763875,5000,,0.001,,4000,,,,-5.845646509170532,1000.0,-2529.201669037342
0.20356309899687766,7779,972.375,0.001,8,7000,-2022.7560555,170,45,-2.2978150173723697,,
0.6164376315441025,8967,747.25,0.001,12,8927,-1448.5011769166665,163,54,-4.188442723317579,,
0.7564654119136766,10000,,0.001,,9128,,,,-4.2484670132398605,805.7,-954.0344467400835
0.5767408805042505,11128,695.5,0.001,16,10128,-1219.524199,162,68,-3.8838935532569887,,
0.8741590730547905,15000,,0.001,,14128,,,,-2.9701021686196327,1000.0,-374.25007856562297
,15128,756.4,,20,,-985.9099957999999,156,96,,,
1.319236763894558,19128,797.0,0.001,24,18128,-810.2263501666666,163,117,-2.37625876685977,,
1.54439447487746,20000,,0.001,,19890,,,,-2.264564659417145,1000.0,518.3910506199638
1.3613233051896094,22890,817.5,0.001,28,21890,-622.1281685714285,158,144,-3.5342500040531157,,
1.0642234777212143,25000,,0.001,,24890,,,,-5.4679216918945315,1000.0,627.9423297674599
1.0834554573297501,26890,840.3125,0.001,32,25890,-475.47395974999995,154,173,-5.948836993217468,,
0.922023007184267,30000,,0.001,,29890,,,,-7.57686226272583,958.0,354.48676540202143
,30890,858.0555555555555,,36,,-380.7315605,152,202,,,
0.9264660501182079,34890,872.25,0.001,40,33890,-272.59693857499997,156,223,-8.477101349830628,,
0.8881988440155983,35000,,0.001,,34890,,,,-9.01164820766449,986.3,607.039427084215
0.8698405140936375,38163,867.3409090909091,0.001,44,37163,-196.28035368181816,153,248,-10.134532512664794,,
0.8338835400938988,40000,,0.001,,39163,,,,-11.454071922302246,1000.0,784.9959716114215
0.8219548505246639,42163,878.3958333333334,0.001,48,41163,-112.97108766666663,151,278,-12.833344806671143,,
0.7449864448606968,45000,,0.001,,44163,,,,-14.764892791748046,1000.0,824.0117592949421
0.7392332761585713,46163,887.75,0.001,52,45163,-41.20451378846151,150,307,-15.432820220947265,,
0.6869484626054764,50000,,0.001,,49163,,,,-18.043606449127196,1000.0,833.9223626640626
,50163,895.7678571428571,,56,,20.761712857142868,148,336,,,
0.6731001802980899,54163,902.7166666666667,0.001,60,53163,75.47133173333334,151,356,-20.57596337890625,,
0.66678242790699,55000,,0.001,,54163,,,,-21.051041522979737,1000.0,886.4407110879198
0.6263048406988382,58163,908.796875,0.001,64,57163,125.20452401562503,150,385,-22.850019958496095,,
0.6129247633516789,60000,,0.001,,59163,,,,-23.84648443222046,1000.0,852.8996257036124
0.5882964345216751,62163,914.1617647058823,0.001,68,61163,168.9337649264706,149,415,-24.830310855865477,,
0.5895600611567497,65000,,0.001,,64163,,,,-26.44293873977661,1000.0,744.6397914144676
0.6851552564948797,66163,918.9305555555555,0.001,72,65163,202.02154070833336,148,444,-26.855369415283203,,
0.6616020067930222,70000,,0.001,,69163,,,,-28.596824371337892,1000.0,829.9738537751139
,70163,923.1973684210526,,76,,235.04700967105265,147,474,,,
0.6818249917924404,74163,927.0375,0.001,80,73163,267.705163925,149,495,-30.33966777038574,,
0.6466862926185131,75000,,0.001,,74163,,,,-30.57978602218628,1000.0,925.0989525794982
0.62873763397336,78163,930.5119047619048,0.001,84,77163,297.5069233095238,148,524,-31.85109376525879,,
0.6457872662246227,80000,,0.001,,79163,,,,-32.50577131652832,1000.0,860.023603230901
0.6195018136799335,82163,933.6704545454545,0.001,88,81163,322.95662851136365,148,553,-33.2372805595398,,
0.6162001551687717,85000,,0.001,,84163,,,,-34.18111684036255,1000.0,910.7189888305962
0.6162405478954315,86163,936.554347826087,0.001,92,85163,348.1648565652174,147,582,-34.51333688735962,,
0.6170956996679307,90000,,0.001,,89163,,,,-35.86763082885742,901.5,770.8731132440735
,90163,939.1979166666666,,96,,370.4562440520834,147,611,,,
0.6048777224421501,94163,941.63,0.001,100,93163,391.09385112,149,631,-37.14716487121582,,
0.6038631395101547,95000,,0.001,,94163,,,,-37.49263401794433,1000.0,843.3077964161523
0.5922263230085373,98163,941.63,0.001,104,97163,495.20625421999995,148,660,-38.132985389709475,,
0.5920601666420698,100000,,0.001,,99163,,,,-38.763263481140136,1000.0,860.4532921714708
0.5995307261943817,102163,943.84,0.001,108,101163,623.34359157,148,689,-39.40221083831787,,
0.5936584472209215,105000,,0.001,,104163,,,,-39.94581174468994,1000.0,864.6211443686392
0.6023588039278984,106163,971.96,0.001,112,105163,669.31401703,147,718,-40.10410063171387,,
0.6017658506929875,110000,,0.001,,109163,,,,-40.87681551361084,1000.0,883.1497296474408
,110163,990.35,,116,,725.6777610500001,147,748,,,
0.5441469284892082,114163,990.35,0.001,120,113163,763.5859044799998,148,769,-41.93688154602051,,
0.5261388413906097,115000,,0.001,,114163,,,,-42.32829037475586,1000.0,807.5988582830876
0.5201313893049956,118163,990.35,0.001,124,117163,794.61639595,148,798,-42.84359271240234,,
0.5207226410508156,120000,,0.001,,119163,,,,-43.25164157867432,1000.0,900.1854588795453
0.534251944988966,122163,992.73,0.001,128,121163,809.77344453,147,826,-43.5878416595459,,
0.5271062611341476,125000,,0.001,,124163,,,,-44.29689612579346,1000.0,884.8314097787254
0.5398624637573958,126163,992.73,0.001,132,125163,823.0965061900002,147,856,-44.42259532928467,,
