time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,4,16,-4.05716825,642,4.0,,,,,,,,
0,8,38,-4.735712625,711,4.75,,,,,,,,
0,12,56,-4.888421583333332,720,4.666666666666667,,,,,,,,
0,16,74,-5.0406418125,738,4.625,,,,,,,,
0,20,91,-4.9397505,731,4.55,,,,,,,,
0,24,109,-4.816965583333333,386,4.541666666666667,-8.95578670501709,-0.04022229090332985,8,0.9978901147842407,0.0003,15.41744613647461,,
0,28,126,-4.792821714285715,227,4.5,-10.951516151428223,-0.14483767747879028,25,0.9927120208740234,0.0003,15.246442794799805,,
0,32,142,-4.9171455,175,4.4375,-11.535785675048828,-0.2456069439649582,41,0.9878334999084473,0.0003,18.00728988647461,,
1,36,166,-5.1659574444444445,137,4.611111111111111,-11.822397232055664,-0.3917442560195923,65,0.9805856943130493,0.0003,14.156578063964844,,
1,40,183,-5.117489075,121,4.575,-11.933197021484375,-0.4959188997745514,82,0.9755052328109741,0.0003,19.12102508544922,,
1,44,203,-5.087508,109,4.613636363636363,-11.911260604858398,-0.6187095642089844,102,0.9695779085159302,0.0003,15.529280662536621,,
2,48,220,-5.156261229166667,101,4.583333333333333,-12.47607421875,-0.7201676368713379,119,0.9645816087722778,0.0003,12.352882385253906,,
2,52,242,-5.282921807692308,96,4.653846153846154,-12.129632949829102,-0.8524793386459351,141,0.958169162273407,0.0003,11.641990661621094,,
2,56,262,-5.243496785714286,92,4.678571428571429,-12.884061813354492,-0.9745004177093506,161,0.9523930549621582,0.0003,7.091794967651367,,
3,60,291,-5.297178616666667,88,4.85,-13.331097602844238,-1.135443925857544,190,0.944117546081543,0.0003,3.7796316146850586,,
3,64,307,-5.1977079843750005,86,4.796875,-14.082106590270996,-1.2304673194885254,206,0.9396088719367981,0.0003,2.9155805110931396,,
3,68,331,-5.236965441176471,84,4.867647058823529,-14.811915397644043,-1.3758227825164795,230,0.9329084157943726,0.0003,2.8856539726257324,,
4,72,346,-5.202772013888889,82,4.805555555555555,-15.456993103027344,-1.454753041267395,245,0.9287472367286682,0.0003,1.9843358993530273,,
4,76,370,-5.297005644736842,81,4.868421052631579,-15.488232612609863,-1.5831146240234375,269,0.9221475124359131,0.0003,3.1184933185577393,,
5,80,396,-5.2866628875,79,4.95,-15.307973861694336,-1.7395559549331665,295,0.9150555729866028,0.0003,3.124530076980591,,
