time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
1145,-23.308483123779297,0.0003,-4.1365861892700195,1.837533712387085,93,4,0.7316774129867554,-121.66447699999999,1044,286.25,12,,
2447,-35.650115966796875,0.0003,-9.033935546875,1.1728235483169556,89,8,0.4973941147327423,-140.204788875,2346,305.875,27,,
3657,-38.76577377319336,0.0003,-12.809863090515137,2.136815071105957,87,12,0.3498615324497223,-153.56565916666665,3556,304.75,41,,
3833,-39.61248016357422,0.0003,-13.391984939575195,6.310383319854736,87,16,0.33246833086013794,-121.24628150000001,3732,239.5625,43,,
5000,-38.90296936035156,0.0003,-16.172256469726562,2.236567497253418,,,0.23802365362644196,,4899,,,-61.31630995274536,1000.0
5072,-39.187042236328125,0.0003,-16.69401741027832,2.824398994445801,69,20,0.23319774866104126,-135.52172735000002,4971,253.6,73,,
6345,-37.36128616333008,0.0003,-18.704801559448242,2.0388498306274414,71,24,0.16224394738674164,-142.89171241666668,6244,264.375,88,,
8669,-31.192638397216797,0.0003,-21.169872283935547,1.3590538501739502,75,28,0.08462996035814285,-162.6262208214286,8568,309.60714285714283,115,,
10000,-28.226282119750977,0.0003,-21.237865447998047,1.3562452793121338,,,0.058845579624176025,,9899,,,-18.36042054013742,476.5
10772,-26.903379440307617,0.0003,-20.739200592041016,1.2513277530670166,73,32,0.047969408333301544,-164.99516253125,10671,336.625,145,,
14337,-20.825401306152344,0.0003,-12.143619537353516,0.8354551792144775,76,36,0.020001472905278206,-145.84739319444444,14236,398.25,187,,
15000,-20.127031326293945,0.0003,-11.865289688110352,1.2045032978057861,,,0.017397267743945122,,14899,,,167.19624674526858,797.0
16612,-18.604034423828125,0.0003,-4.742445468902588,1.1848509311676025,73,40,0.01309517864137888,-124.73293212499998,16511,415.3,226,,
18374,-17.970401763916016,0.0003,1.1099352836608887,1.4084727764129639,74,44,0.011102451011538506,-109.70006315909087,18273,417.59090909090907,248,,
20000,-18.09086799621582,0.0003,-2.4447920322418213,1.47727632522583,,,0.011094513349235058,,19899,,,261.57975579509764,813.5
20567,-17.968563079833984,0.0003,-0.21260946989059448,0.9314460754394531,71,48,0.01113797351717949,-90.35853049999999,20466,428.4791666666667,286,,
23266,-18.592391967773438,0.0003,-1.242874026298523,1.1448384523391724,72,52,0.011314654722809792,-69.46223923076923,23165,447.4230769230769,319,,
24544,-18.783544540405273,0.0003,-0.6782310009002686,1.3302364349365234,73,56,0.011292302049696445,-58.33095007142857,24443,438.2857142857143,334,,
25000,-19.05417251586914,0.0003,-0.5517504215240479,1.5338594913482666,,,0.011385553516447544,,24899,,,221.632991577778,541.0
27733,-19.8824405670166,0.0003,-0.7241700887680054,1.2874958515167236,73,60,0.011930825188755989,-32.52623473333333,27632,462.21666666666664,379,,
