rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
-5.103237249999999,4,24,790,6.0,0,,,,,,,,
-6.180245125,8,49,797,6.125,0,,,,,,,,
-5.507033666666666,12,67,834,5.583333333333333,0,,,,,,,,
-6.2063021875,16,94,834,5.875,0,,,,,,,,
-6.1782524,20,113,401,5.65,0,15.348209381103516,-10.126285552978516,0.9966778755187988,-0.06339268386363983,0.0003,12,,
-6.0937957083333325,24,130,268,5.416666666666667,0,15.273923873901367,-11.290282249450684,0.991492748260498,-0.1687423139810562,0.0003,29,,
-5.9804395,28,149,209,5.321428571428571,0,16.119396209716797,-12.138694763183594,0.9857118725776672,-0.2873808443546295,0.0003,48,,
-6.202988281250001,32,171,173,5.34375,0,14.777427673339844,-12.54802417755127,0.9790818095207214,-0.4230283498764038,0.0003,70,,
-6.625064305555557,36,199,148,5.527777777777778,1,16.26468276977539,-12.519338607788086,0.9707480072975159,-0.5909392833709717,0.0003,98,,
-6.7502718999999995,40,223,136,5.575,1,13.562179565429688,-13.251335144042969,0.9636871814727783,-0.7405076026916504,0.0003,122,,
-6.548777409090908,44,244,127,5.545454545454546,1,13.092385292053223,-13.776987075805664,0.9575647115707397,-0.8667393922805786,0.0003,143,,
-6.5128569999999995,48,267,120,5.5625,2,9.05583667755127,-14.186857223510742,0.950920581817627,-1.0036135911941528,0.0003,166,,
-6.6404929807692294,52,292,116,5.615384615384615,2,5.155869960784912,-14.546758651733398,0.9437654614448547,-1.1550962924957275,0.0003,191,,
-6.6884264107142855,56,314,112,5.607142857142857,2,3.1170389652252197,-14.026439666748047,0.9375176429748535,-1.2784168720245361,0.0003,213,,
-6.649608916666667,60,337,111,5.616666666666666,3,2.4378232955932617,-15.06479263305664,0.931039571762085,-1.420251727104187,0.0003,236,,
-6.581253687499999,64,358,108,5.59375,3,2.797372341156006,-15.667266845703125,0.9251708388328552,-1.5548255443572998,0.0003,257,,
-6.514969264705882,68,381,105,5.602941176470588,3,2.031578540802002,-16.160640716552734,0.9187893867492676,-1.6862126588821411,0.0003,280,,
-6.442168972222222,72,401,103,5.569444444444445,3,2.6779961585998535,-15.84743595123291,0.9132766723632812,-1.8124020099639893,0.0003,300,,
-6.411184921052631,76,423,102,5.565789473684211,4,2.0915958881378174,-15.695821762084961,0.9072542190551758,-1.935011625289917,0.0003,322,,
-6.336224,80,447,100,5.5875,4,3.4503066539764404,-16.2969970703125,0.9007329940795898,-2.0892598628997803,0.0003,346,,
-6.418194928571428,84,478,98,5.690476190476191,4,2.752626657485962,-16.605968475341797,0.8923869132995605,-2.2563369274139404,0.0003,377,,
-6.415735125,88,502,98,5.704545454545454,5,1.971933364868164,-16.711509704589844,0.8859872817993164,-2.3977699279785156,0.0003,401,,
-6.340789521739131,92,524,97,5.695652173913044,5,2.0717499256134033,-16.18946647644043,0.8801633715629578,-2.5290374755859375,0.0003,423,,
-6.220805177083332,96,546,96,5.6875,5,1.9039673805236816,-16.56376075744629,0.8743802905082703,-2.651427745819092,0.0003,445,,
-6.24495437,100,573,95,5.73,5,1.8527405261993408,-17.643970489501953,0.8673393726348877,-2.8149049282073975,0.0003,472,,
-6.206621359999999,104,594,95,5.7,6,2.9859297275543213,-17.162458419799805,0.8619077801704407,-2.9605488777160645,0.0003,493,,
-6.0990074299999995,108,617,95,5.68,6,2.0136094093322754,-17.566184997558594,0.8559962511062622,-3.060060739517212,0.0003,516,,
-6.1459537399999995,112,640,94,5.73,6,1.8205770254135132,-17.46596908569336,0.8501369953155518,-3.2175681591033936,0.0003,539,,
-5.994383730000001,116,661,94,5.67,7,3.0852513313293457,-16.96355438232422,0.8448271155357361,-3.3370778560638428,0.0003,560,,
-5.938934660000001,120,687,93,5.74,7,2.9285035133361816,-17.583728790283203,0.8383015394210815,-3.4864211082458496,0.0003,586,,
-5.86235449,124,710,93,5.8,7,3.6082684993743896,-16.90895652770996,0.8325796127319336,-3.6129817962646484,0.0003,609,,
-5.886398430000002,128,736,92,5.87,7,2.8583314418792725,-17.694467544555664,0.8261670470237732,-3.7347726821899414,0.0003,635,,
-5.822078790000001,132,761,92,5.9,8,2.8423056602478027,-18.18804168701172,0.820054292678833,-3.892951250076294,0.0003,660,,
-5.64259172,136,782,92,5.83,8,3.069599151611328,-17.583105087280273,0.8149571418762207,-3.9968769550323486,0.0003,681,,
-5.493176799999999,140,806,91,5.83,8,2.30454158782959,-17.743614196777344,0.809162437915802,-4.15142822265625,0.0003,705,,
-5.548863150000001,144,830,91,5.86,9,2.7238035202026367,-17.627885818481445,0.8034152388572693,-4.281071662902832,0.0003,729,,
-5.578131190000001,148,858,91,5.91,9,3.298147201538086,-17.193679809570312,0.7967621684074402,-4.455291748046875,0.0003,757,,
-5.469535300000001,152,882,90,5.9,9,2.7919015884399414,-16.494382858276367,0.7910965085029602,-4.582614898681641,0.0003,781,,
-5.346806,156,904,90,5.9,9,2.7330498695373535,-17.34459686279297,0.7859404683113098,-4.743089199066162,0.0003,803,,
-5.391441019999999,160,934,90,5.97,10,2.990170478820801,-17.22821044921875,0.7789586186408997,-4.8698883056640625,0.0003,833,,
-5.4682553700000005,164,969,89,6.11,10,3.1290464401245117,-17.832473754882812,0.7709037661552429,-5.059798240661621,0.0003,868,,
-5.45786896,168,990,89,6.09,11,2.597883939743042,-17.87628173828125,0.7661182284355164,-5.207093715667725,0.0003,889,,
