rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
4.75,0,4,3.2926817500000003,754,19,,,,,,,,
5.0,0,8,3.8202695,774,40,,,,,,,,
4.916666666666667,0,12,3.7888947500000003,819,59,,,,,,,,
4.9375,0,16,3.7592825625,802,79,,,,,,,,
4.9,0,20,3.720416999999999,806,98,,,,,,,,
4.958333333333333,0,24,3.747143,329,119,18,0.9948487281799316,0.0003,-0.1007775142788887,20.761310577392578,-12.751368522644043,,
5.035714285714286,0,28,3.848062071428572,228,141,40,0.9881367683410645,0.0003,-0.2379550039768219,22.43436622619629,-13.339370727539062,,
4.96875,0,32,3.8059336562499997,192,159,58,0.9826833009719849,0.0003,-0.3496880829334259,27.542705535888672,-13.506207466125488,,
5.194444444444445,1,36,4.0987131111111115,161,187,86,0.9742966294288635,0.0003,-0.522559404373169,26.952011108398438,-14.35776138305664,,
5.15,1,40,4.04410095,147,206,105,0.9686683416366577,0.0003,-0.6367645263671875,26.099580764770508,-14.30284309387207,,
5.181818181818182,1,44,4.077683204545455,137,228,127,0.9622097611427307,0.0003,-0.7736534476280212,23.832107543945312,-15.215250968933105,,
5.208333333333333,1,48,4.1534090625,130,250,149,0.9558085203170776,0.0003,-0.8997426629066467,18.37565040588379,-15.651333808898926,,
5.3076923076923075,2,52,4.1661203076923075,124,276,175,0.9483258724212646,0.0003,-1.0548508167266846,11.131560325622559,-16.30856704711914,,
5.321428571428571,2,56,4.183200607142857,119,298,197,0.9420670866966248,0.0003,-1.1943886280059814,8.030144691467285,-17.00257682800293,,
5.45,2,60,4.30310445,114,327,226,0.9339257478713989,0.0003,-1.3450722694396973,5.08547306060791,-18.363191604614258,,
5.375,3,64,4.2314145156250005,112,344,243,0.9292014837265015,0.0003,-1.440609097480774,3.449573278427124,-18.336502075195312,,
5.4411764705882355,3,68,4.282515294117647,109,370,269,0.9220461249351501,0.0003,-1.582059383392334,3.6412606239318848,-19.51234245300293,,
5.402777777777778,3,72,4.236124583333333,107,389,288,0.9168708324432373,0.0003,-1.6897943019866943,3.771066188812256,-18.683212280273438,,
5.473684210526316,3,76,4.2574798289473685,105,416,315,0.9095694422721863,0.0003,-1.8515496253967285,3.317152976989746,-19.2401065826416,,
5.6125,4,80,4.3876489125,103,449,348,0.9006782174110413,0.0003,-2.05472469329834,2.7410151958465576,-20.206541061401367,,
5.595238095238095,4,84,4.375413238095239,101,470,369,0.8950490355491638,0.0003,-2.1846261024475098,2.542994976043701,-20.68138885498047,,
5.590909090909091,4,88,4.334761431818182,100,492,391,0.88917475938797,0.0003,-2.3107750415802,3.1001250743865967,-20.338695526123047,,
5.565217391304348,5,92,4.331207619565219,99,512,411,0.8838567733764648,0.0003,-2.4407176971435547,3.0519609451293945,-21.556873321533203,,
5.520833333333333,5,96,4.295175833333333,99,530,429,0.8790891170501709,0.0003,-2.5541903972625732,3.5693507194519043,-20.591732025146484,,
5.53,5,100,4.340894190000001,98,553,452,0.873031497001648,0.0003,-2.690279960632324,3.5991830825805664,-21.116546630859375,,
5.5,5,104,4.33691289,97,569,468,0.8688390851020813,0.0003,-2.8009581565856934,3.961866617202759,-21.799461364746094,,
