train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,2071,0.1663572069939593,4,528.25,12,2113,-1.9938226052692958,-295.95763750000003,175,,
0.001,3464,0.11915806049481034,8,558.0,21,4464,-2.708771534204483,-117.11727412500002,210,,
0.001,4464,0.10877989742904902,,,,5000,-4.345615749835968,,,673.1655163750053,1000.0
0.001,7419,0.10919677312672138,12,701.5833333333334,55,8419,-7.848038212776184,94.953516,151,,
0.001,9116,0.1301171477974915,,,,10000,-10.257485515408666,,,877.0007678538561,1000.0
0.001,10858,0.14904206713054058,16,741.125,85,11858,-12.473843260916738,195.2443275,138,,
0.001,14858,0.1322936141639948,,,,15000,-17.366217185974122,,,885.0916586168111,1000.0
,,,20,792.9,120,15858,,279.0729643,131,,
0.001,18858,0.13284076041728257,24,827.4166666666666,143,19858,-22.08283385848999,338.08761216666664,138,,
0.001,19858,0.12497237718105317,,,,20000,-23.23094607925415,,,905.1862930566073,1000.0
0.001,22858,0.12503414721041917,28,852.0714285714286,178,23858,-26.548495601654054,383.3991782142857,133,,
0.001,24858,0.1226819553412497,,,,25000,-28.65798500442505,,,909.7636942446231,1000.0
0.001,26858,0.13517253431677817,32,870.5625,212,27858,-30.68577724456787,418.72893690625,131,,
0.001,29858,0.13040421916544437,,,,30000,-33.66543310546875,,,948.3760873675346,1000.0
0.001,30858,0.12711203772574664,36,884.9444444444445,247,31858,-34.616799308776855,447.45020833333336,128,,
0.001,34858,0.14574500046670436,,,,35000,-38.27030143737793,,,943.7633388996124,1000.0
,,,40,896.45,279,35858,,471.46818404999993,128,,
0.001,38858,0.09616563298553228,44,905.8636363636364,302,39858,-41.66530679321289,490.19159159090907,131,,
0.001,39858,0.13619139340147376,,,,40000,-42.45617951965332,,,939.1264921367168,1000.0
0.001,42858,0.11443720889464021,48,913.7083333333334,335,43858,-44.73874711608887,505.0962222499999,130,,
0.001,44858,0.10820528788119554,,,,45000,-46.230225273132326,,,929.5709442317486,1000.0
0.001,46858,0.1439411936365068,52,920.3461538461538,368,47858,-47.58584999084473,518.2199551923076,129,,
0.001,49858,0.12075036862120032,,,,50000,-49.54559803771973,,,921.0414124310016,1000.0
0.001,50858,0.1173347651027143,56,926.0357142857143,403,51858,-50.12271459197998,529.1106032142857,128,,
0.001,54858,0.12741289138048886,,,,55000,-52.38837581634522,,,921.6790385246277,1000.0
,,,60,930.9666666666667,436,55858,,538.3110755333333,127,,
0.001,58858,0.1079787899106741,64,935.28125,459,59858,-54.42791167449951,545.352858515625,130,,
0.001,59858,0.1315701140202582,,,,60000,-54.918989303588866,,,900.4829859673977,1000.0
0.001,62858,0.105432010833174,68,939.0882352941177,493,63858,-56.26457261657715,551.8830416911765,129,,
