time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
17546,147,115.79,118,244,257.38022943,,,,,,
17978,148,115.86,121,248,257.76596358,5.188008497427176,0.001,-54.20359122536399,17779,,
18408,148,115.96,123,252,258.42463818000004,5.848695973555247,0.001,-54.66736553333424,18207,,
18840,148,115.45,126,256,257.74051310000004,8.107497899904164,0.001,-55.306835313276814,18640,,
19262,149,114.8,129,260,256.86484674,6.714704303829758,0.001,-56.17665905422635,19071,,
19727,149,114.58,131,264,256.42435932,7.008494887764998,0.001,-55.76254181634812,19515,,
20000,,,,,,6.890644145011902,0.001,-56.75575904846191,19879,269.2498596072197,122.3
20216,147,114.67,136,268,256.71415543,5.97346258841879,0.001,-57.333203715662805,20002,,
20703,147,114.56,139,272,256.55571362,7.550762335459392,0.001,-57.50831005389874,20492,,
21189,148,114.52,142,276,256.48917381,8.009036574481932,0.001,-57.7411693572998,20975,,
21683,148,114.62,145,280,256.83633962999994,6.004109516976372,0.001,-57.663025568402006,21466,,
22166,148,114.69,149,284,257.28424062,6.326776846762626,0.001,-59.117568539034934,21960,,
22500,,,,,,7.372739249840379,0.001,-58.932056963443756,22311,277.36677953600883,125.8
22645,146,114.47,154,288,257.15012107999996,6.510927018866075,0.001,-58.86708048770302,22424,,
23107,147,113.89,157,292,256.25961884000003,6.3115841453725645,0.001,-59.717166137695315,22891,,
23585,147,113.83,159,296,256.57656956000005,8.851423658100904,0.001,-59.83212668555124,23365,,
24083,147,113.91,163,300,257.05311654,6.624191594502283,0.001,-60.233139946347194,23877,,
24670,148,114.94,166,304,258.50114260000004,7.23045861989932,0.001,-60.79522288929332,24455,,
25000,,,,,,6.040052637457848,0.001,-61.48313856124878,24820,281.83143666982653,129.6
25164,146,115.33,171,308,259.4556419,7.463815644729969,0.001,-61.05145388841629,24949,,
25623,146,115.44,174,312,259.26140319,5.833900445797404,0.001,-61.80325386172435,25448,,
26125,147,116.13,177,316,260.94962872,7.986175716432751,0.001,-62.4825553894043,25903,,
26589,147,116.45,180,320,262.13978156,6.399981811756396,0.001,-62.21462983351488,26385,,
27042,147,116.64,183,324,263.32265214,7.74641978523948,0.001,-62.75804804021662,26836,,
27500,,,,,,6.246283176725945,0.001,-62.92612443651472,27297,270.90070788264273,111.8
27500,146,116.94,187,328,264.92758771000007,,,,,,
27949,146,117.15,190,332,266.44740248,8.297167000017668,0.001,-63.502272823400666,27746,,
28416,146,117.45,193,336,267.94212445999995,6.7044000815501255,0.001,-63.25933603654828,28208,,
28872,146,117.58,196,340,268.90913822000005,6.867170589160075,0.001,-63.95125920431955,28667,,
29324,147,117.78,199,344,269.8232547,8.223012200717267,0.001,-64.57305960819639,29125,,
29554,147,115.76,200,348,261.46943306000003,8.102817948659261,0.001,-64.86057879130045,29411,,
29951,147,115.43,202,352,255.88915406,7.270030532822465,0.001,-64.6429109284372,29686,,
30000,,,,,,9.992677170654822,0.001,-64.79788703479986,29860,91.81809076145291,106.9
30418,146,115.78,207,356,252.83218744,7.673791717660838,0.001,-64.56800554876457,30216,,
30975,147,117.13,210,360,253.21192949,10.323091804981232,0.001,-64.69512849105031,30747,,
31505,147,117.78,214,364,252.25182736,11.881457168804971,0.001,-65.13108539581299,31335,,
