time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0,17.67479525,104,4,3547,26.0,,,,,,
0,9.146378499999999,140,8,478,17.5,0.001,-0.4334065243601799,0.023812573817041185,55,,
0,7.862146333333333,180,12,365,15.0,0.001,-0.5970073223114014,0.01686560660600662,94,,
0,7.2508871875,220,16,307,13.75,0.001,-0.6522996068000794,0.015804228326305746,134,,
0,6.884070799999999,260,20,281,13.0,0.001,-0.7611273407936097,0.013707310333848,174,,
1,6.641378458333333,300,24,262,12.5,0.001,-0.8684047102928162,0.013917671283707023,214,,
1,6.4663061428571424,340,28,248,12.142857142857142,0.001,-0.8390899538993836,0.017813706956803798,254,,
1,6.3336635,380,32,238,11.875,0.001,-0.8937521815299988,0.012552274391055107,294,,
1,6.229750694444444,420,36,231,11.666666666666666,0.001,-0.9620200634002686,0.011030659871175885,334,,
2,6.147712725,460,40,225,11.5,0.001,-0.9596800804138184,0.015227458160370588,374,,
2,6.079630863636364,500,44,221,11.363636363636363,0.001,-0.9654156923294067,0.014994034357368947,414,,
2,6.024135333333334,540,48,217,11.25,0.001,-1.05355064868927,0.014180790074169636,454,,
2,5.976576307692308,580,52,213,11.153846153846153,0.001,-1.0393214225769043,0.009512430196627975,494,,
2,5.935351196428571,620,56,210,11.071428571428571,0.001,-1.0950379252433777,0.0073705201502889395,534,,
3,5.899248683333332,660,60,208,11.0,0.001,-1.1191016912460328,0.013968841591849922,574,,
3,5.869013921875,700,64,207,10.9375,0.001,-1.2173965215682983,0.00690273279324174,614,,
3,5.8436900147058815,740,68,204,10.882352941176471,0.001,-1.185250997543335,0.010721915145404637,654,,
3,5.820574958333334,780,72,204,10.833333333333334,0.001,-1.1333324670791627,0.01070534884929657,694,,
4,5.7997132763157895,820,76,203,10.789473684210526,0.001,-1.2422497987747192,0.012060506828129291,734,,
4,5.784261262500001,860,80,202,10.75,0.001,-1.2425561428070069,0.011257572704926134,774,,
4,7.358725202380954,948,84,202,11.285714285714286,0.001,-2.1705850037661465,0.079382437704639,850,,
5,8.567729295454546,1060,88,202,12.045454545454545,0.001,-2.570152163505554,0.17796182233308042,945,,
6,12.463536358695654,1354,92,195,14.717391304347826,0.001,-3.5759290998632256,0.23816355470229278,1250,,
7,12.189483052083332,1382,96,193,14.395833333333334,0.001,-3.918654282887777,0.2645233614104135,1299,,
7,13.833300229999997,1505,100,201,15.05,0.001,-4.108905613422394,0.3496411392092705,1345,,
9,18.59066006,1789,104,196,16.85,0.001,-5.370243582614632,0.42346715095431303,1664,,
10,22.543253930000002,2002,108,195,18.62,0.001,-6.183540802735549,0.4315979407643372,1875,,
11,26.435013350000006,2223,112,194,20.43,0.001,-7.061209449061641,0.4002863366018843,2087,,
12,31.13967621,2488,116,194,22.68,0.001,-8.082585280282157,0.5735509683904441,2340,,
,,2500,,,,0.001,-8.595212552282545,0.6442424458348088,2412,72.9,138.52271973490716
15,37.14653171,2804,120,180,25.44,0.001,-9.3359672965073,0.8526840368058624,2648,,
17,43.40310033000001,3132,124,182,28.32,0.001,-10.749554711419183,1.1729853757440227,2970,,
19,49.74158208,3462,128,181,31.22,0.001,-12.07440329706946,1.6722902548174525,3310,,
20,55.04594396,3753,132,182,33.73,0.001,-13.140853274952281,1.8300807218660007,3591,,
22,60.431617720000006,4046,136,182,36.26,0.001,-14.372536803736832,2.2833957929502833,3885,,
23,65.10851432999999,4312,140,181,38.52,0.001,-15.43638698032924,2.8664827549803085,4172,,
25,70.58070572,4606,144,181,41.06,0.001,-16.502770991552445,2.2992060230058784,4469,,
26,76.21837194999999,4908,148,182,43.68,0.001,-17.66453626078944,2.4808657638362197,4746,,
,,5000,,,,0.001,-17.96098451053395,3.656624832878942,4901,85.75,168.2714466392994
29,81.98741343999998,5218,152,174,46.38,0.001,-18.58831400190081,3.2834769240447454,5057,,
31,88.36003249999997,5552,156,176,49.32,0.001,-19.65809608641125,3.728353064200457,5391,,
33,95.01877121,5896,160,176,52.36,0.001,-20.87710109976835,3.6167204109735267,5734,,
35,101.55939717,6241,164,176,55.41,0.001,-22.035693862221457,3.894281374997106,6078,,
37,108.22122886999999,6587,168,177,58.47,0.001,-23.061105381358754,3.6477712968300127,6424,,
39,114.90215619,6935,172,177,61.55,0.001,-24.43483131582087,4.263172153768869,6772,,
40,121.40830289000002,7279,176,177,64.59,0.001,-25.232075713401617,4.137293489866479,7117,,
,,7500,,,,0.001,-26.220231828235445,4.5806633702346256,7374,85.95,169.05916444063186
44,127.85451542999999,7620,180,172,67.6,0.001,-26.38503819420224,3.757025224321029,7459,,
46,133.04864016,7962,184,172,70.14,0.001,-27.514690887096318,3.85014654869257,7799,,
47,138.39542806999998,8305,188,173,72.45,0.001,-28.331286896106807,3.8812784594158796,8143,,
49,141.18043195,8649,192,173,72.95,0.001,-29.566871007283527,4.0035728328368245,8487,,
51,147.54629622000002,8990,196,174,76.08,0.001,-30.382790747142973,4.313605261700494,8829,,
53,152.12378907999997,9331,200,174,78.26,0.001,-30.929826827276322,4.689185564658221,9169,,
55,153.32461841,9674,204,174,78.85,0.001,-32.154884870662244,4.209711383941562,9514,,
,,10000,,,,0.001,-32.867779266002564,4.616892039074617,9852,85.6,167.8473910778761
58,155.98439575000003,10014,208,170,80.12,,,,,,
60,160.15579646,10474,212,172,82.51,0.001,-33.419611553813134,3.8616201822147813,10196,,
61,156.30202034,10564,216,170,80.76,0.001,-33.56398344039917,12.285568153156953,10451,,
63,156.7634505,10907,220,172,81.03,0.001,-34.93542604668196,6.255314536478328,10747,,
65,157.10559648999998,11255,224,172,81.23,0.001,-35.87915732643821,5.325271661254181,11092,,
66,157.12636749,11594,228,173,81.32,0.001,-36.33300590515137,5.472267392135802,11433,,
68,158.21792428999998,11935,232,173,81.82,0.001,-36.915880839029946,6.41078979344595,11773,,
70,159.11286843999997,12271,236,174,82.25,0.001,-37.366248061017295,5.545349802912735,12111,,
,,12500,,,,0.001,-37.74273388884788,5.841127133917534,12369,85.35,165.97321148216724
73,160.95206026000002,12617,240,170,83.05,0.001,-38.243825247121414,4.436639383259942,12454,,
75,161.95038562,12962,244,171,83.56,0.001,-38.79796715669854,4.47083554688622,12798,,
