rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1000.0,36106.242830999996,1,2048,5,403,,,,,,,,,,,,,
1000.0,38112.11884975,2,4096,11,357,165030.921875,0.0003,0.2,-0.04270891191263217,0.9990577697753906,353470.82275390625,0.09765625,10,-24.11546841263771,0.010723808,0.0006973743438720703,,
,,,5000,,,209693.421875,0.0003,0.2,-0.040185091897728856,0.9942429661750793,449521.56318359374,0.080615234375,20,-24.067753493785858,0.011499433,-0.003626704216003418,39097.49726066589,1000.0
1000.0,37809.72058466667,3,6144,64,95,,,,,,,,,,,,,
1000.0,37803.465381999995,4,8192,70,116,174932.015625,0.0003,0.2,-0.05160724873130675,0.993031919002533,367918.2681640625,0.13134765625,30,-24.017385917901994,0.013998314,-0.003741025924682617,,
,,,10000,,,197899.78125,0.0003,0.2,-0.05104166973324027,0.9908496737480164,390788.5939453125,0.127978515625,40,-23.982400262355803,0.0136221405,-0.003639817237854004,40863.704779052736,1000.0
1000.0,38304.064243299996,5,10240,115,88,,,,,,,,,,,,,
1000.0,38450.190449249996,6,12288,121,100,215272.96875,0.0003,0.2,-0.05533720549137797,0.9895790219306946,446697.82548828126,0.12138671875,50,-23.957332503795623,0.013423376,-0.0016444921493530273,,
1000.0,39220.900185499995,7,14336,127,112,223382.203125,0.0003,0.2,-0.043734390233294104,0.9882320165634155,432441.676953125,0.078369140625,60,-23.93500989675522,0.012282146,0.010286152362823486,,
,,,15000,,,258332.28125,0.0003,0.2,-0.05275162671750877,0.9864137172698975,520721.6495117188,0.1189453125,70,-23.904169034957885,0.01344703,-1.0132789611816406e-05,55375.864640808104,1000.0
1000.0,39616.0442923125,8,16384,174,93,,,,,,,,,,,,,
1000.0,40239.394363444444,9,18432,179,102,233100.21875,0.0003,0.2,-0.05829339612973854,0.9832853674888611,481353.25732421875,0.129443359375,80,-23.85744196176529,0.013507635,-0.0004690885543823242,,
,,,20000,,,251134.65625,0.0003,0.2,-0.05073756009223871,0.9789698123931885,576805.8303710937,0.106103515625,90,-23.79404776096344,0.012472684,-0.0010786056518554688,102607.9346780777,1000.0
1000.0,40335.39059725001,10,20480,229,89,,,,,,,,,,,,,
1000.0,40673.83953604545,11,22528,236,95,223405.28125,0.0003,0.2,-0.058154075403581376,0.9781027436256409,462108.499609375,0.159033203125,100,-23.758108305931092,0.015287595,-0.0023822784423828125,,
1000.0,40876.437784125,12,24576,242,101,258983.84375,0.0003,0.2,-0.059116151483613065,0.9744418859481812,509045.48095703125,0.14228515625,110,-23.708430188894273,0.015051248,-0.001401066780090332,,
,,,25000,,,282007.46875,0.0003,0.2,-0.06031342173519079,0.9735533595085144,540503.258984375,0.163427734375,120,-23.67299860715866,0.015748769,-0.0013785362243652344,116797.35103263854,1000.0
1000.0,41161.268796076925,13,26624,293,90,,,,,,,,,,,,,
1000.0,41325.34101771429,14,28672,299,95,245090.765625,0.0003,0.2,-0.0625823629758088,0.9722676277160645,504456.20458984375,0.171728515625,130,-23.65402001142502,0.016294025,-0.003257155418395996,,
,,,30000,,,272035.375,0.0003,0.2,-0.05135792800574564,0.9703577756881714,569711.6712890625,0.133984375,140,-23.618025636672975,0.013903606,0.000809013843536377,90721.46444606781,1000.0
1000.0,41675.00381813334,15,30720,346,88,,,,,,,,,,,,,
1000.0,42076.882829625,16,32768,352,93,277838.8125,0.0003,0.2,-0.05873414091038285,0.9680948853492737,581866.8135742188,0.164306640625,150,-23.58004676103592,0.015550656,-0.0005211830139160156,,
1000.0,42261.90607,17,34816,358,97,349414.0,0.0003,0.2,-0.06414218019053805,0.9682797789573669,613580.0637695312,0.177783203125,160,-23.572988295555113,0.016403012,-0.0017199516296386719,,
