time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
,,,0.001,,160000,-57.92362895202637,159330,,0.22035979519039392,867.2413314960897,1000.0
176,1000.0,102,0.001,1590,162330,-58.14553570556641,161330,915.16077224,0.2303102086931467,,
,,,0.001,,165000,-58.50226401519775,164330,,0.17722738828882575,935.0895078359638,1000.0
180,1000.0,102,0.001,1621,166330,-58.57611096954346,165330,917.2185818099999,0.20770165339112281,,
,,,0.001,,170000,-58.985142219543455,169330,,0.20008059281855822,968.8357271686197,1000.0
184,1000.0,103,,1651,170330,,,919.8284740300002,,,
188,1000.0,104,0.001,1672,174330,-59.1866381149292,173330,921.3033096600001,0.2052881159298122,,
,,,0.001,,175000,-59.229326148986814,174330,,0.2037966281361878,955.7103167255409,1000.0
192,1000.0,104,0.001,1702,178330,-59.4759539642334,177330,922.9955858200001,0.2028652302585542,,
,,,0.001,,180000,-59.63431198883057,179330,,0.17554520106315613,948.8080406449735,1000.0
196,1000.0,105,0.001,1732,182330,-59.727515190124514,181330,925.10865177,0.203774855080992,,
,,,0.001,,185000,-59.918478866577146,184330,,0.20816508528962732,959.9330415539443,1000.0
200,1000.0,105,0.001,1763,186330,-59.93191251373291,185330,925.6354706300001,0.18816728354990483,,
,,,0.001,,190000,-60.228865234375,189330,,0.1949406844638288,939.7687128171325,1000.0
204,1000.0,106,,1793,190330,,,926.8393582100001,,,
208,1000.0,107,0.001,1815,194330,-60.4734234085083,193330,928.4393000700001,0.190702832557261,,
,,,0.001,,195000,-60.516465759277345,194330,,0.18389602955803275,948.9411129921675,1000.0
212,1000.0,107,0.001,1846,198330,-60.71074268341064,197330,929.99763322,0.19644578731805087,,
,,,0.001,,200000,-60.81816732788086,199330,,0.18521486282348631,927.9152572661638,1000.0
216,1000.0,107,0.001,1879,202330,-60.82310514831543,201330,931.3743412999997,0.19528710713610054,,
,,,0.001,,205000,-60.92958666229248,204330,,0.20037241762503982,935.184717899561,1000.0
220,1000.0,108,0.001,1908,206330,-61.00554523468018,205330,932.0928895199997,0.1745720992460847,,
,,,0.001,,210000,-61.01049646759033,209330,,0.1818857223726809,922.4180915715639,1000.0
224,1000.0,108,,1939,210330,,,933.1812459599998,,,
228,1000.0,109,0.001,1962,214330,-61.22797275543213,213330,933.6328741199998,0.15205728095024823,,
,,,0.001,,215000,-61.25407557678223,214330,,0.16055753499269484,931.0611198727041,1000.0
232,1000.0,109,0.001,1993,218330,-61.34891961669922,217330,934.16014051,0.16690965497866272,,
,,,0.001,,220000,-61.45085001373291,219330,,0.17333043046668173,887.0810837394558,1000.0
236,1000.0,109,0.001,2023,222330,-61.59925614929199,221330,936.87410019,0.1633587302826345,,
,,,0.001,,225000,-61.703126983642576,224330,,0.16891613372042774,936.0909404109232,1000.0
240,1000.0,110,0.001,2056,226330,-61.722214080810545,225330,936.4873190900001,0.16358555661141871,,
,,,0.001,,230000,-61.86870435333252,229330,,0.1845484844185412,953.7639909237623,1000.0
244,1000.0,110,,2086,230330,,,938.6409432300002,,,
248,1000.0,111,0.001,2106,234330,-61.971783866882326,233330,938.1485554400002,0.15680513036251068,,
,,,0.001,,235000,-62.00354778289795,234330,,0.17498633440583944,916.2787379175425,1000.0
252,1000.0,111,0.001,2138,238330,-62.095642715454105,237330,935.2606845199999,0.163159837923944,,
,,,0.001,,240000,-62.094411094665524,239330,,0.21202578780427575,954.0242146939039,1000.0
256,1000.0,111,0.001,2168,242330,-62.125429092407224,241330,935.23167818,0.15806864957511424,,
,,,0.001,,245000,-62.29764286804199,244330,,0.16260350349918007,929.4566177815199,1000.0
260,1000.0,112,0.001,2198,246330,-62.3449822845459,245330,936.8299528500002,0.1528247432857752,,
,,,0.001,,250000,-62.48150924682617,249330,,0.1505501532703638,940.2357272326947,1000.0
264,1000.0,112,,2227,250330,,,936.4702807699999,,,
268,1000.0,113,0.001,2250,254330,-62.60893627929688,253330,935.8359370300001,0.14308296684548258,,
,,,0.001,,255000,-62.64878939819336,254330,,0.1503368713147938,964.6497254490853,1000.0
272,1000.0,113,0.001,2279,258330,-62.70916828918457,257330,934.2825167200001,0.15358360838517546,,
,,,0.001,,260000,-62.75975422668457,259330,,0.15760938380658626,947.751496192813,1000.0
276,1000.0,113,0.001,2308,262330,-62.79074564361572,261330,935.5945638600002,0.16220221090689302,,
,,,0.001,,265000,-62.89683984375,264330,,0.1464979073368013,932.2619857370853,1000.0
280,1000.0,113,0.001,2338,266330,-62.88789485931397,265330,934.9137007,0.14756720357760786,,
,,,0.001,,270000,-63.0651432800293,269330,,0.13635095694288613,947.518491268158,1000.0
284,1000.0,114,,2368,270330,,,934.7949543899998,,,
288,1000.0,114,0.001,2391,274330,-63.249047103881836,273330,933.1239984199998,0.14795758682116866,,
,,,0.001,,275000,-63.29730004119873,274330,,0.15217164801433683,936.6784263044595,1000.0
292,1000.0,114,0.001,2422,278330,-63.418923416137694,277330,931.89544903,0.15143432581052185,,
,,,0.001,,280000,-63.412262992858885,279330,,0.13651739221811293,958.7192868292332,1000.0
296,1000.0,115,0.001,2453,282330,-63.46725351715088,281330,932.5462328299999,0.14068356338888408,,
,,,0.001,,285000,-63.488528343200684,284330,,0.14673462630808354,947.8127009749412,1000.0
300,1000.0,115,0.001,2484,286330,-63.44425696563721,285330,932.8610575499999,0.15071426114439965,,
,,,0.001,,290000,-63.502596794128415,289330,,0.15633308496698736,953.4192468136549,1000.0
304,1000.0,115,,2516,290330,,,932.3226373800001,,,
308,1000.0,115,0.001,2537,294330,-63.490005241394044,293330,931.23608568,0.1322139418721199,,
,,,0.001,,295000,-63.58442776489258,294330,,0.14990135591477155,957.6059118598699,1000.0
312,1000.0,116,0.001,2567,298330,-63.50377564239502,297330,930.6429922099998,0.1339388951100409,,
,,,0.001,,300000,-63.37154364013672,299330,,0.1476872766800225,909.167988422513,1000.0
316,1000.0,116,0.001,2596,302330,-63.360481872558594,301330,930.03091686,0.1583546111881733,,
,,,0.001,,305000,-63.19504694366455,304330,,0.1702882103100419,937.9723065257073,1000.0
320,1000.0,116,0.001,2626,306330,-63.152887031555174,305330,927.76680107,0.16261176106333733,,
,,,0.001,,310000,-62.90052160644531,309330,,0.1718129370957613,903.4683806397021,1000.0
324,1000.0,116,,2658,310330,,,927.6814230500001,,,
328,1000.0,117,0.001,2679,314330,-62.607072273254396,313330,925.56219914,0.17002484652400016,,
,,,0.001,,315000,-62.57701651763916,314330,,0.17602107989788054,912.1511915117502,1000.0
332,1000.0,117,0.001,2708,318330,-62.21490631866455,317330,921.3375778100001,0.21318320761620999,,
,,,0.001,,320000,-61.77851287841797,319330,,0.23875169692188503,783.7951415708288,1000.0
336,1000.0,117,0.001,2739,322330,-61.38106566619873,321330,915.8432755800002,0.2737732787132263,,
,,,0.001,,325000,-60.19619722747803,324330,,0.40931692844629286,696.8910047013778,1000.0
340,1000.0,117,0.001,2768,326330,-59.695681457519534,325330,904.0524170900001,0.35894741962850096,,
,,,0.001,,330000,-58.94707225799561,329330,,0.35155502665042876,786.4525413881522,1000.0
344,1000.0,117,,2800,330330,,,897.7832639100001,,,
348,1000.0,118,0.001,2822,334330,-59.19482448577881,333330,889.6163779399999,0.2648425381556153,,
,,,0.001,,335000,-59.16272158050537,334330,,0.28228427676856516,840.529428948462,1000.0
352,1000.0,118,0.001,2853,338330,-59.44650263214111,337330,883.75511544,0.25834714680165055,,
,,,0.001,,340000,-59.34629948425293,339330,,0.48027792416512965,680.0848643598496,1000.0
356,1000.0,118,0.001,2883,342330,-58.41792921447754,341330,874.2155100599998,0.5313252070844173,,
,,,0.001,,345000,-57.44516451263428,344330,,0.5489033558368683,715.8906756401062,1000.0
360,1000.0,118,0.001,2914,346330,-57.16240283966064,345330,867.4069974800001,0.5380159461200237,,
,,,0.001,,350000,-56.67353346252441,349330,,0.36487914265692234,811.2870910830795,1000.0
364,1000.0,118,,2945,350330,,,861.3354351400002,,,
368,1000.0,119,0.001,2968,354330,-56.944511215209964,353330,859.74720027,0.2587516204342246,,
,,,0.001,,355000,-57.14015142822266,354330,,0.19013006342947483,917.8007487028838,1000.0
372,1000.0,119,0.001,2998,358330,-57.64941074371338,357330,859.6948625099999,0.17597357512265444,,
,,,0.001,,360000,-58.01702731323242,359330,,0.16273552705347538,945.926275858283,1000.0
376,1000.0,119,0.001,3026,362330,-58.366733711242674,361330,859.1062393900003,0.13934727688506246,,
,,,0.001,,365000,-58.9948127746582,364330,,0.13660111150145532,896.5468969315291,1000.0
380,1000.0,119,0.001,3056,366330,-59.19930963897705,365330,858.18197023,0.12891981438919903,,
,,,0.001,,370000,-59.98514471435547,369330,,0.13831251503527164,955.5170346025377,1000.0
384,1000.0,119,,3087,370330,,,856.7786707499998,,,
388,1000.0,120,0.001,3108,374330,-60.70546726989746,373330,859.0415347399997,0.1270977423489094,,
,,,0.001,,375000,-60.84043745422363,374330,,0.14095129093900322,962.2433581233024,1000.0
392,1000.0,120,0.001,3140,378330,-61.30965439605713,377330,859.98570646,0.14487938756495713,,
,,,0.001,,380000,-61.62037978363037,379330,,0.1664872894473374,858.7935200624167,1000.0
396,1000.0,120,0.001,3172,382330,-61.893377906799316,381330,848.8994352299998,0.137295464951545,,
,,,0.001,,385000,-62.09656209564209,384330,,0.1821745036803186,955.7908177882433,1000.0
400,1000.0,120,0.001,3204,386330,-62.256429519653324,385330,849.51130194,0.14962143272534012,,
,,,0.001,,390000,-62.51854428100586,389330,,0.19904653446748852,961.4698097974062,1000.0
404,1000.0,120,,3234,390330,,,850.3764221699998,,,
408,1000.0,121,0.001,3255,394330,-62.972590927124024,393330,850.53113625,0.21613549822941422,,
,,,0.001,,395000,-63.097661178588865,394330,,0.2063250451274216,930.5915652453899,1000.0
412,1000.0,121,0.001,3286,398330,-63.368156379699705,397330,850.2685004999998,0.18740414212271572,,
,,,0.001,,400000,-63.57240090179443,399330,,0.18726140458881854,919.7358030557632,1000.0
416,1000.0,121,0.001,3317,402330,-63.71529025268555,401330,849.7447138499999,0.18489389679580928,,
,,,0.001,,405000,-63.859203590393065,404330,,0.19867413940653206,942.0723002493381,1000.0
420,1000.0,121,0.001,3347,406330,-63.9533903503418,405330,853.0886695700002,0.1744183457940817,,
,,,0.001,,410000,-64.1819789428711,409330,,0.17923021202534437,949.3930444657802,1000.0
424,1000.0,121,,3377,410330,,,853.79866233,,,
428,1000.0,121,0.001,3399,414330,-64.40848355102538,413330,854.9146498100001,0.1919822937361896,,
,,,0.001,,415000,-64.49244157409667,414330,,0.21569273476675152,901.211901384592,1000.0
432,1000.0,121,0.001,3429,418330,-64.44267086029053,417330,858.32134742,0.18091479961574078,,
,,,0.001,,420000,-64.55447141265869,419330,,0.17769250421971083,932.4267470031976,1000.0
436,1000.0,122,0.001,3459,422330,-64.66479753112793,421330,864.3612400699999,0.19623139211907983,,
,,,0.001,,425000,-64.63058572387695,424330,,0.21623177411034702,914.9701332822442,1000.0
440,1000.0,122,0.001,3490,426330,-64.66042790985108,425330,877.6680098500001,0.2180260605253279,,
,,,0.001,,430000,-64.79507475280762,429330,,0.22077304853871466,917.7376468986273,1000.0
444,1000.0,122,,3519,430330,,,882.0970425099999,,,
448,1000.0,122,0.001,3541,434330,-65.06199959564209,433330,889.0944901199998,0.2325578908994794,,
,,,0.001,,435000,-65.14344681549072,434330,,0.24367143762111665,897.9429500699043,1000.0
452,1000.0,122,0.001,3573,438330,-65.14575553894043,437330,896.9458237199999,0.23051760511100292,,
,,,0.001,,440000,-65.22023612976074,439330,,0.2065660889558494,908.7800344854593,1000.0
456,1000.0,122,0.001,3603,442330,-65.25422330474854,441330,904.51447942,0.20570459927245974,,
,,,0.001,,445000,-65.16682084655761,444330,,0.2002596087604761,925.5935778468847,1000.0
460,1000.0,122,0.001,3633,446330,-65.14143767547607,445330,910.9657769999999,0.2061167464107275,,
,,,0.001,,450000,-65.16434314727783,449330,,0.2318452318497002,957.9258490383625,1000.0
464,1000.0,122,,3664,450330,,,919.1417260200001,,,
468,1000.0,123,0.001,3685,454330,-65.1257526626587,453330,920.59225536,0.25532849137857555,,
,,,0.001,,455000,-65.12078224945068,454330,,0.2538972770869732,930.3216606736183,1000.0
472,1000.0,123,0.001,3714,458330,-65.1171071548462,457330,920.0146044800001,0.22308913397416472,,
,,,0.001,,460000,-65.05354470062255,459330,,0.21455317899212242,846.1896892011166,1000.0
476,1000.0,123,0.001,3746,462330,-65.23856265258789,461330,918.1715022899999,0.19818816789239646,,
,,,0.001,,465000,-65.23766536712647,464330,,0.18812516748160124,915.5613737761975,1000.0
480,1000.0,123,0.001,3778,466330,-65.23793103790283,465330,918.6339389099999,0.18643125196546317,,
,,,0.001,,470000,-65.31670012664794,469330,,0.19394413843378425,953.2958855271339,1000.0
484,1000.0,123,,3809,470330,,,919.4596153800001,,,
488,1000.0,123,0.001,3831,474330,-65.28353488922119,473330,918.93147353,0.19447060031816363,,
