time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
2048,1,380,93.96561070103093,21.072164948453608,5,,,,,,,,,,,,,
4096,2,277,100.28692742,22.53,14,0.0003,0.017677892,10,1.001057744026184,0.2,-24.14016981124878,371.8560791015625,0.2041015625,0.005861341953277588,1148.4771183013916,-0.05632204326684587,,
5000,,,,,,0.0003,0.024755431,20,0.9995245337486267,0.2,-24.130302238464356,338.8077697753906,0.239599609375,0.021923065185546875,952.3416959762574,-0.06922930576838553,55.7,283.377838344872
6144,3,221,94.34270859999998,21.17,27,,,,,,,,,,,,,
8192,4,222,106.74105543000002,23.8,36,0.0003,0.029074442,30,0.998702883720398,0.2,-24.111161410808563,396.9444885253906,0.302001953125,0.02505481243133545,743.0651129722595,-0.0799808641342679,,
10000,,,,,,0.0003,0.03010548,40,0.9995748996734619,0.2,-24.107435512542725,407.2458190917969,0.3080078125,0.009362220764160156,927.5830556869507,-0.08052537896146532,65.35,320.1655473881634
10240,5,211,109.49618051000002,24.37,48,,,,,,,,,,,,,
12288,6,219,109.89385409,24.54,55,0.0003,0.032560833,50,0.9991219639778137,0.2,-24.12852162718773,389.77203369140625,0.349169921875,0.025803804397583008,846.5636383056641,-0.08591492747946176,,
14336,7,226,105.10577085999998,23.57,63,0.0003,0.027225578,60,0.9968323707580566,0.2,-24.086754471063614,407.2724914550781,0.275439453125,0.038810908794403076,797.8930243492126,-0.07597546250908635,,
15000,,,,,,0.0003,0.023154404,70,0.9944657683372498,0.2,-24.044058054685593,241.31858825683594,0.26162109375,0.0613977313041687,752.8726668357849,-0.07560153683298268,57.05,296.1504526630044
16384,8,220,113.52279750000001,25.36,74,,,,,,,,,,,,,
18432,9,220,116.72135902999999,26.16,83,0.0003,0.021255028,80,0.9941015839576721,0.2,-24.023085045814515,442.6563720703125,0.2203125,0.1025267243385315,884.4169765472412,-0.07267216306645423,,
20000,,,,,,0.0003,0.019499518,90,0.9935160279273987,0.2,-24.01632278561592,356.4486999511719,0.2029296875,0.18845641613006592,783.1626456260681,-0.07012724411324597,60.75,312.75538315624
20480,10,214,121.39612154000001,27.03,95,,,,,,,,,,,,,
22528,11,215,116.60157338999997,25.86,104,0.0003,0.018012589,100,0.9919580817222595,0.2,-23.996071511507033,419.5378723144531,0.177490234375,0.2484532594680786,870.2331926345826,-0.06501677751948591,,
24576,12,219,126.28367795999999,28.24,112,0.0003,0.015291307,110,0.9912882447242737,0.2,-23.97677771449089,426.2899169921875,0.139306640625,0.32523518800735474,764.0640575408936,-0.05637486507184804,,
25000,,,,,,0.0003,0.016005043,120,0.989855945110321,0.2,-23.959299355745316,333.12042236328125,0.139111328125,0.3621048331260681,783.3521008491516,-0.05485016451857518,67.9,352.02108978033067
26624,13,217,138.70986198999998,30.8,122,,,,,,,,,,,,,
28672,14,218,136.86437893000002,30.14,131,0.0003,0.017872889,130,0.9895191192626953,0.2,-23.941779202222826,422.63787841796875,0.16767578125,0.3578122854232788,858.5700859069824,-0.061114030570024624,,
30000,,,,,,0.0003,0.016229155,140,0.9890652894973755,0.2,-23.940030974149703,426.18316650390625,0.151025390625,0.37232309579849243,879.7730644226074,-0.058207609472447075,63.5,333.28877277970315
30720,15,213,136.08273266000003,30.12,143,,,,,,,,,,,,,
32768,16,215,139.04236294,30.78,152,0.0003,0.016609516,150,0.9874969720840454,0.2,-23.918311816453933,266.7961120605469,0.154052734375,0.3853026032447815,810.9628002166749,-0.0584068437514361,,
34816,17,215,146.80493173000002,32.46,161,0.0003,0.01652678,160,0.9865598082542419,0.2,-23.8989930331707,368.9316711425781,0.153955078125,0.41126763820648193,889.5225784301758,-0.058730122132692485,,
35000,,,,,,0.0003,0.01791639,170,0.9860597252845764,0.2,-23.885901445150374,299.6931457519531,0.160400390625,0.40942317247390747,902.982331085205,-0.05812793144432362,67.2,352.8834634333849
36864,18,214,151.28647082999998,33.74,171,,,,,,,,,,,,,
