time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
4,5.9868421052631575,76,-6.715306657894736,92,455,2.880084753036499,-17.108903884887695,0.899588942527771,0.0003,-2.1124234199523926,354,,
5,5.9625,80,-6.73066575,92,477,2.2886624336242676,-17.04034423828125,0.8936758637428284,0.0003,-2.2282333374023438,376,,
5,6.119047619047619,84,-6.744139654761905,91,514,2.0243263244628906,-17.651142120361328,0.8838225603103638,0.0003,-2.4550108909606934,413,,
5,6.090909090909091,88,-6.704809375,90,536,2.1030120849609375,-18.0617733001709,0.8780182600021362,0.0003,-2.5838592052459717,435,,
6,6.043478260869565,92,-6.627769521739131,90,556,2.763230085372925,-18.226341247558594,0.8727673292160034,0.0003,-2.694917678833008,455,,
6,6.020833333333333,96,-6.556551260416666,90,578,1.7932038307189941,-17.354717254638672,0.8670327067375183,0.0003,-2.821890354156494,477,,
6,5.99,100,-6.5531700599999985,90,599,2.4674971103668213,-17.88428497314453,0.861594021320343,0.0003,-2.964111566543579,498,,
6,6.0,104,-6.537655759999999,89,623,2.0129647254943848,-18.02083969116211,0.8554189801216125,0.0003,-3.1015543937683105,522,,
7,6.02,108,-6.522281270000001,89,645,1.4714699983596802,-18.23119354248047,0.8498007655143738,0.0003,-3.2347285747528076,544,,
7,6.02,112,-6.572244969999999,89,668,1.8432527780532837,-18.11441421508789,0.8439686298370361,0.0003,-3.378208875656128,567,,
7,6.02,116,-6.46952436,89,690,1.8912665843963623,-18.986570358276367,0.8384356498718262,0.0003,-3.4856529235839844,589,,
8,6.06,120,-6.4281306900000015,88,717,1.9097073078155518,-17.96832275390625,0.8317000865936279,0.0003,-3.643031597137451,616,,
8,6.07,124,-6.357042750000001,88,740,2.1018736362457275,-17.005672454833984,0.8260027766227722,0.0003,-3.7803988456726074,639,,
8,6.16,128,-6.35862179,88,767,2.245983123779297,-17.476329803466797,0.8193734288215637,0.0003,-3.9131693840026855,666,,
8,6.06,132,-6.261562129999999,88,787,2.669229507446289,-17.482437133789062,0.8145031929016113,0.0003,-4.038958549499512,686,,
9,6.18,136,-6.273562550000001,88,817,2.630603790283203,-17.385066986083984,0.8072547912597656,0.0003,-4.214054584503174,716,,
9,6.12,140,-6.21726705,87,836,2.132629632949829,-17.975357055664062,0.8027005195617676,0.0003,-4.32534646987915,735,,
9,6.14,144,-6.23829439,87,861,2.787682056427002,-17.62107276916504,0.7967463135719299,0.0003,-4.450160503387451,760,,
10,6.1,148,-6.098960539999998,87,887,2.4761815071105957,-18.461923599243164,0.7906019687652588,0.0003,-4.603451728820801,786,,
10,6.03,152,-5.994624669999999,87,908,2.93900728225708,-17.381866455078125,0.7856743931770325,0.0003,-4.751235485076904,807,,
10,6.03,156,-5.996236,87,933,2.508451223373413,-17.813716888427734,0.7798640727996826,0.0003,-4.8817033767700195,832,,
10,6.1,160,-5.996108859999998,87,961,2.776552438735962,-17.45246124267578,0.7734089493751526,0.0003,-5.000143051147461,860,,
11,6.06,164,-5.7491451300000005,87,989,2.932255983352661,-17.736831665039062,0.7670230865478516,0.0003,-5.1956682205200195,888,,
11,6.11,168,-5.708362869999999,87,1014,2.7608370780944824,-18.51577377319336,0.7613735198974609,0.0003,-5.3220038414001465,913,,
11,6.08,172,-5.545354219999999,87,1037,3.557783842086792,-18.435619354248047,0.7562047243118286,0.0003,-5.488873481750488,936,,
12,6.07,176,-5.447027319999998,87,1062,2.962252378463745,-17.702190399169922,0.7506313920021057,0.0003,-5.5994038581848145,961,,
12,6.15,180,-5.3509528799999995,87,1092,3.2529115676879883,-18.054645538330078,0.7440155148506165,0.0003,-5.719155311584473,991,,
12,6.05,184,-5.262750479999999,87,1119,4.5198259353637695,-16.64671516418457,0.7381079792976379,0.0003,-5.925191879272461,1018,,
12,6.02,188,-5.16034628,87,1138,2.669839859008789,-17.525596618652344,0.7339736223220825,0.0003,-6.008946895599365,1037,,
13,6.12,192,-5.19571336,87,1168,4.153797149658203,-17.12053680419922,0.727475106716156,0.0003,-6.159907341003418,1067,,
13,6.13,196,-5.17845309,87,1191,3.8074073791503906,-17.773216247558594,0.7225378751754761,0.0003,-6.324912071228027,1090,,
13,6.1,200,-5.0481167099999995,87,1209,4.249314308166504,-17.227935791015625,0.7186934351921082,0.0003,-6.449912071228027,1108,,
14,6.05,204,-4.99722676,87,1228,3.547300338745117,-16.90730857849121,0.7146535515785217,0.0003,-6.509613990783691,1127,,
14,6.09,208,-4.946353279999999,87,1254,3.6279525756835938,-16.97339630126953,0.7091590762138367,0.0003,-6.709504127502441,1153,,
14,6.13,212,-4.89964567,87,1281,3.5783867835998535,-16.03103256225586,0.7035004496574402,0.0003,-6.884690284729004,1180,,
14,6.2,216,-4.91214554,87,1310,3.9719417095184326,-17.738628387451172,0.6974648833274841,0.0003,-7.001074314117432,1209,,
