time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
3397,4,0.04914796739071608,2397,0.001,194,17,-1518.6142245,2.2267626719474793,849.25,,
5000,,0.10745481575280427,4397,0.001,,,,4.933509427070618,,-1245.1261090742423,1000.0
6462,8,0.23787142130044792,5462,0.001,131,49,-1314.322990375,8.153774752761379,807.75,,
10000,,0.3798306200057268,9462,0.001,,,,12.59778925704956,,340.00262571956847,1000.0
10462,12,,,,114,91,-1184.4989225,,871.8333333333334,,
14462,16,0.29221064992249013,13462,0.001,121,118,-987.2212289375001,18.018967239379883,903.875,,
15000,,0.2811945366114378,14462,0.001,,,,18.62462999343872,,692.5327685544034,1000.0
18462,20,0.2251848826482892,17462,0.001,115,160,-833.9282867500002,20.94591749572754,923.1,,
20000,,0.18517420966923237,19462,0.001,,,,22.048561988830567,,866.471780577302,1000.0
22462,24,0.16208032016456128,21462,0.001,111,201,-723.3704731666667,22.844199661254883,935.9166666666666,,
25000,,0.16003234814852477,24462,0.001,,,,23.67550761795044,,895.4142853409052,1000.0
26462,28,0.14366250470280648,25462,0.001,110,240,-635.4360239642857,23.826291194915772,945.0714285714286,,
30000,,0.12685522903501986,29462,0.001,,,,24.442597068786622,,923.5889708042145,1000.0
30462,32,,,,109,277,-565.1841095625,,951.9375,,
34462,36,0.11442906665056944,33462,0.001,114,300,-510.6177606944445,24.629483139038086,957.2777777777778,,
35000,,0.1180353535413742,34462,0.001,,,,24.676285167694093,,910.6934640824795,1000.0
38462,40,0.10319305855035782,37462,0.001,113,338,-467.40932374999994,24.853750160217285,961.55,,
40000,,0.09250215470418334,39462,0.001,,,,24.863258544921877,,938.1666861027479,1000.0
42462,44,0.10017125344276429,41462,0.001,112,377,-431.20363154545447,24.94945446395874,965.0454545454545,,
45000,,0.10673497715219855,44462,0.001,,,,24.9860581741333,,879.7940592601896,1000.0
46462,48,0.09516193952411413,45462,0.001,111,416,-401.9431141041666,25.01830951690674,967.9583333333334,,
50000,,0.09116077705472708,49462,0.001,,,,25.035995223999024,,939.6267395496368,1000.0
50462,52,,,,110,455,-374.8544607884615,,970.4230769230769,,
54462,56,0.07830539153516293,53462,0.001,113,481,-350.9640853035714,24.92578915786743,972.5357142857143,,
55000,,0.08382299887388944,54462,0.001,,,,24.876048889160156,,965.8209566533566,1000.0
58462,60,0.07663528417795896,57462,0.001,111,525,-329.8830343166667,24.76317939376831,974.3666666666667,,
60000,,0.07089186481013894,59462,0.001,,,,24.658040798187255,,954.2494963347912,1000.0
62462,64,0.0724051070008427,61462,0.001,110,567,-311.77879334375,24.540830066680908,975.96875,,
65000,,0.07384324147552251,64462,0.001,,,,24.37396678543091,,942.0616827875376,1000.0
66462,68,0.07295136573910713,65462,0.001,108,611,-295.78049672058825,24.30461833190918,977.3823529411765,,
70000,,0.06510299579426647,69462,0.001,,,,24.09243147277832,,969.1980988442898,1000.0
70462,72,,,,107,654,-280.9875524722222,,978.6388888888889,,
74462,76,0.0633844244107604,73462,0.001,109,680,-267.93409460526317,23.85852618408203,979.7631578947369,,
75000,,0.05673511232621968,74462,0.001,,,,23.79407646560669,,958.1700158894062,1000.0
78462,80,0.07150759550370275,77462,0.001,108,722,-256.0188797375,23.60857244873047,980.775,,
80000,,0.052190107049420474,79462,0.001,,,,23.47974095916748,,957.664220404625,1000.0
82462,84,0.05190370422974229,81462,0.001,108,763,-245.48609682142856,23.336258674621583,981.6904761904761,,
85000,,0.04948059200309217,84462,0.001,,,,23.16364448928833,,961.5128546655178,1000.0
86462,88,0.05721804178319871,85462,0.001,107,802,-235.8540515227273,23.113581325531005,982.5227272727273,,
90000,,0.0509949298184365,89462,0.001,,,,22.888409385681154,,972.8381814420223,1000.0
90462,92,,,,107,841,-226.7255471304348,,983.2826086956521,,
94462,96,0.04785211433842778,93462,0.001,108,868,-218.73359653125,22.665502056121827,983.9791666666666,,
95000,,0.04884653912112117,94462,0.001,,,,22.62988739013672,,974.6859001755714,1000.0
98462,100,0.06476648447290063,97462,0.001,109,902,-210.98130400000002,22.50620435333252,984.62,,
100000,,0.04857286961376667,99462,0.001,,,,22.395401988983153,,960.295324832201,1000.0
102462,104,0.04568080387450755,101462,0.001,109,935,-151.61414877,22.301112590789796,990.65,,
105000,,0.04708219653554261,104462,0.001,,,,22.16780318069458,,967.5077827930451,1000.0
106462,108,0.04428949425928295,105462,0.001,109,973,-108.32793495999998,22.13262166595459,1000.0,,
110000,,0.04273677659034729,109462,0.001,,,,21.980489433288575,,979.9812177240849,1000.0
110462,112,,,,108,1014,-72.35825055,,1000.0,,
114462,116,0.04678496400639415,113462,0.001,109,1043,-57.50333103999999,21.8621279258728,1000.0,,
115000,,0.046767908358946446,114462,0.001,,,,21.83371640396118,,973.0933576285839,1000.0
118462,120,0.04085804879665375,117462,0.001,109,1085,-50.044054890000005,21.73511172103882,1000.0,,
120000,,0.046656898889690636,119462,0.001,,,,21.682499824523926,,972.8987940192222,1000.0
122462,124,0.03940670954436064,121462,0.001,108,1128,-44.39769098000001,21.647216178894045,1000.0,,
125000,,0.052567601893097164,124462,0.001,,,,21.591393642425537,,979.4289428591728,1000.0
126462,128,0.04876804257184267,125462,0.001,107,1171,-40.95283228,21.567711742401123,1000.0,,
130000,,0.04109229082241654,129462,0.001,,,,21.49196820831299,,915.5288651704789,1000.0
130462,132,,,,107,1209,-39.732265819999995,,1000.0,,
134462,136,0.04313540514372289,133462,0.001,108,1238,-37.67677013,21.403067039489745,1000.0,,
135000,,0.03866909112595022,134462,0.001,,,,21.40219250869751,,985.9979204177856,1000.0
138462,140,0.038985113963484766,137462,0.001,108,1280,-35.23838773,21.367613304138185,1000.0,,
140000,,0.03807754610665143,139462,0.001,,,,21.348646652221678,,982.5094896614552,1000.0
142462,144,0.03733808028325439,141462,0.001,108,1317,-33.2095338,21.31190029144287,1000.0,,
145000,,0.03584856036677957,144462,0.001,,,,21.270921566009523,,973.5780468523502,1000.0
146462,148,0.03958781613409519,145462,0.001,108,1356,-31.02360523,21.2559400138855,1000.0,,
