time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,4,20,-5.76661375,702,5.0,,,,,,,,
0,8,39,-5.585997875,690,4.875,,,,,,,,
0,12,59,-5.1573503333333335,699,4.916666666666667,,,,,,,,
0,16,78,-5.2517219375,717,4.875,,,,,,,,
0,20,99,-5.645980700000001,726,4.95,,,,,,,,
0,24,120,-5.7675318749999995,350,5.0,-11.311479568481445,-0.1074909120798111,19,0.9945518374443054,0.0003,16.894271850585938,,
0,28,136,-5.721930535714286,264,4.857142857142857,-11.225196838378906,-0.20574897527694702,35,0.9896807074546814,0.0003,17.703332901000977,,
0,32,160,-5.79327121875,202,5.0,-11.846099853515625,-0.35428065061569214,59,0.9824191927909851,0.0003,18.799406051635742,,
0,36,177,-5.636652611111111,178,4.916666666666667,-11.898944854736328,-0.45724648237228394,76,0.9773275852203369,0.0003,17.64807891845703,,
1,40,201,-5.7640253,158,5.025,-12.75078010559082,-0.6056174635887146,100,0.9702091217041016,0.0003,14.334356307983398,,
1,44,223,-5.923484113636364,144,5.068181818181818,-12.594416618347168,-0.7367784976959229,122,0.9637491106987,0.0003,10.820967674255371,,
1,48,252,-6.1165362708333335,132,5.25,-13.244361877441406,-0.9164391756057739,151,0.9553259015083313,0.0003,7.3320441246032715,,
2,52,274,-6.024386134615384,127,5.269230769230769,-13.989825248718262,-1.0402894020080566,173,0.949004054069519,0.0003,4.515515327453613,,
2,56,296,-5.891249267857143,122,5.285714285714286,-14.16469955444336,-1.169515609741211,195,0.9427551031112671,0.0003,3.1718084812164307,,
2,60,315,-5.873971483333333,120,5.25,-15.003385543823242,-1.2793607711791992,214,0.9373992085456848,0.0003,2.1383323669433594,,
2,64,344,-5.97802815625,117,5.375,-15.604101181030273,-1.4540975093841553,243,0.9292925596237183,0.0003,1.845557451248169,,
3,68,363,-5.932001882352941,116,5.338235294117647,-14.890637397766113,-1.5652161836624146,262,0.924019992351532,0.0003,1.702730417251587,,
3,72,387,-5.934993652777778,114,5.375,-15.145254135131836,-1.7004907131195068,286,0.9174110889434814,0.0003,3.067150831222534,,
3,76,410,-5.9239448026315795,112,5.394736842105263,-15.983415603637695,-1.842314600944519,309,0.9111247062683105,0.0003,2.663055419921875,,
3,80,429,-5.931765325,110,5.3625,-15.680323600769043,-1.9584729671478271,328,0.9059661030769348,0.0003,1.7294046878814697,,
4,84,459,-6.00084411904762,108,5.464285714285714,-15.947271347045898,-2.1259779930114746,358,0.8978787660598755,0.0003,2.609339952468872,,
4,88,479,-5.980024965909092,106,5.443181818181818,-16.780029296875,-2.2505040168762207,378,0.8925296664237976,0.0003,1.732301950454712,,
4,92,497,-5.928144086956521,105,5.4021739130434785,-16.594261169433594,-2.338876247406006,396,0.8877391219139099,0.0003,1.7491315603256226,,
4,96,516,-5.8452955937499995,105,5.375,-15.859015464782715,-2.4717936515808105,415,0.8827113509178162,0.0003,2.347660541534424,,
5,100,537,-5.81824317,104,5.37,-16.535947799682617,-2.595956563949585,436,0.8771796226501465,0.0003,3.3046176433563232,,
5,104,559,-5.823840389999999,103,5.39,-16.596343994140625,-2.720517873764038,458,0.8714157342910767,0.0003,2.496676445007324,,
5,108,579,-5.771394949999999,102,5.4,-17.122629165649414,-2.860881805419922,478,0.8662047982215881,0.0003,1.9352328777313232,,
5,112,599,-5.846547590000001,101,5.4,-16.492111206054688,-2.964266300201416,498,0.8610233664512634,0.0003,1.8614963293075562,,
6,116,618,-5.80532735,101,5.4,-16.39239501953125,-3.068943738937378,517,0.8561265468597412,0.0003,2.2325022220611572,,
6,120,641,-5.68916701,100,5.42,-16.405405044555664,-3.1994471549987793,540,0.8502423167228699,0.0003,1.9310557842254639,,
6,124,662,-5.65334897,100,5.42,-16.04736328125,-3.3410606384277344,561,0.8449051380157471,0.0003,1.491714358329773,,
6,128,691,-5.669978609999999,98,5.55,-16.804508209228516,-3.5131170749664307,590,0.8375730514526367,0.0003,2.5046682357788086,,
7,132,709,-5.543386019999999,98,5.49,-17.270145416259766,-3.6032252311706543,608,0.8330598473548889,0.0003,2.375504970550537,,
7,136,734,-5.553968870000001,97,5.57,-16.292064666748047,-3.742152214050293,633,0.8268383741378784,0.0003,2.169203519821167,,
7,140,753,-5.46884779,96,5.52,-16.442729949951172,-3.849458694458008,652,0.8221439719200134,0.0003,1.931239128112793,,
8,144,773,-5.335125819999999,96,5.5,-16.522953033447266,-3.9789528846740723,672,0.8172338604927063,0.0003,2.4558751583099365,,
8,148,795,-5.183555340000001,95,5.43,-17.128957748413086,-4.1243391036987305,694,0.8118656277656555,0.0003,2.833064556121826,,
8,152,812,-5.1660388,95,5.38,-16.801794052124023,-4.227599143981934,711,0.8077449798583984,0.0003,2.07452130317688,,
8,156,839,-5.259668220000001,94,5.43,-15.425050735473633,-4.36623477935791,738,0.8012373447418213,0.0003,2.4902353286743164,,
9,160,862,-5.25660166,94,5.47,-16.287540435791016,-4.495881080627441,761,0.7957437038421631,0.0003,2.615705966949463,,
9,164,888,-5.1445889099999995,93,5.44,-16.645706176757812,-4.657235622406006,787,0.7895783185958862,0.0003,2.6109848022460938,,
9,168,909,-5.15265052,93,5.46,-16.39051055908203,-4.775465965270996,808,0.7846302390098572,0.0003,3.12666654586792,,
9,172,930,-5.065803110000001,93,5.43,-16.15204620361328,-4.874880790710449,829,0.779721200466156,0.0003,2.3781886100769043,,
10,176,952,-5.058398159999999,93,5.42,-16.46664047241211,-5.032828330993652,851,0.774617612361908,0.0003,3.459500789642334,,
