rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
-5.01804175,4,19,865,4.75,0,,,,,,,,
-4.87048025,8,40,862,5.0,0,,,,,,,,
-5.130242666666667,12,59,864,4.916666666666667,0,,,,,,,,
-5.29815275,16,79,857,4.9375,0,,,,,,,,
-5.2573422,20,98,842,4.9,0,,,,,,,,
-5.3023575,24,119,348,4.958333333333333,0,15.630779266357422,-11.086854934692383,0.9948487281799316,-0.10080239176750183,0.0003,18,,
-5.549304928571429,28,141,233,5.035714285714286,0,16.280916213989258,-11.843498229980469,0.9881367087364197,-0.2379491776227951,0.0003,40,,
-5.5406288749999995,32,159,194,4.96875,0,19.218677520751953,-11.730165481567383,0.9826833009719849,-0.34964221715927124,0.0003,58,,
-5.65363011111111,36,187,162,5.194444444444445,1,17.132144927978516,-12.381542205810547,0.9742968678474426,-0.5225376486778259,0.0003,86,,
-5.49062385,40,206,149,5.15,1,16.30373764038086,-12.280412673950195,0.9686688184738159,-0.6366850137710571,0.0003,105,,
-5.585412681818182,44,228,138,5.181818181818182,1,13.195701599121094,-13.169818878173828,0.9622116684913635,-0.773055374622345,0.0003,127,,
-5.569440125,48,250,129,5.208333333333333,1,9.730501174926758,-13.47418212890625,0.9558145999908447,-0.8978734612464905,0.0003,149,,
-5.594398,52,276,123,5.3076923076923075,2,5.7583327293396,-14.141878128051758,0.9483400583267212,-1.0510303974151611,0.0003,175,,
-5.505917428571428,56,298,119,5.321428571428571,2,4.386533737182617,-14.450157165527344,0.9420890808105469,-1.1912457942962646,0.0003,197,,
-5.408989599999999,60,327,115,5.45,2,3.128480911254883,-15.34448528289795,0.9339585304260254,-1.341156244277954,0.0003,226,,
-5.338631250000001,64,344,113,5.375,3,2.045802116394043,-15.115251541137695,0.9292396306991577,-1.4362133741378784,0.0003,243,,
-5.412378455882354,68,371,110,5.455882352941177,3,2.1114983558654785,-15.471317291259766,0.9218186140060425,-1.596085548400879,0.0003,270,,
-5.3425842361111116,72,391,109,5.430555555555555,3,2.1131420135498047,-15.905777931213379,0.9163709878921509,-1.7142459154129028,0.0003,290,,
-5.285939868421052,76,417,107,5.4868421052631575,3,2.098562240600586,-16.28602409362793,0.9093361496925354,-1.8599274158477783,0.0003,316,,
-5.371669225,80,449,105,5.6125,4,2.092947483062744,-16.599838256835938,0.9007123112678528,-2.0478627681732178,0.0003,348,,
-5.345103678571428,84,470,104,5.595238095238095,4,2.1026926040649414,-17.22184944152832,0.8950868248939514,-2.1832098960876465,0.0003,369,,
-5.355165556818182,88,492,103,5.590909090909091,4,2.0784168243408203,-16.1726016998291,0.8892139196395874,-2.3055577278137207,0.0003,391,,
-5.279456228260869,92,512,102,5.565217391304348,5,1.7169989347457886,-17.006664276123047,0.8839014172554016,-2.4256954193115234,0.0003,411,,
-5.239620791666667,96,531,101,5.53125,5,2.245473623275757,-15.975038528442383,0.8788808584213257,-2.5416057109832764,0.0003,430,,
-5.1969338,100,553,100,5.53,5,2.278693199157715,-16.751277923583984,0.8731008172035217,-2.672987461090088,0.0003,452,,
-5.1525330700000005,104,569,100,5.5,5,2.161489963531494,-16.973861694335938,0.868916928768158,-2.7877628803253174,0.0003,468,,
-5.17728213,108,592,99,5.52,5,1.9041026830673218,-16.73716926574707,0.8629380464553833,-2.902149200439453,0.0003,491,,
-5.13909059,112,612,99,5.53,6,2.5835275650024414,-17.039121627807617,0.8577725887298584,-3.0131843090057373,0.0003,511,,
-5.1538815100000015,116,642,98,5.63,6,3.2617721557617188,-16.552988052368164,0.850088894367218,-3.1877989768981934,0.0003,541,,
-5.168302649999999,120,670,97,5.72,6,2.5232796669006348,-17.219806671142578,0.8429864048957825,-3.3728103637695312,0.0003,569,,
-5.235099939999999,124,699,97,5.8,7,1.8852014541625977,-17.184846878051758,0.8356926441192627,-3.510117530822754,0.0003,598,,
-5.18839697,128,729,96,5.88,7,1.9072633981704712,-17.461585998535156,0.8282293677330017,-3.683896541595459,0.0003,628,,
-5.18927267,132,752,95,5.93,7,2.532515525817871,-17.33352279663086,0.8225703835487366,-3.812669038772583,0.0003,651,,
-5.18049168,136,782,95,5.95,8,2.295478582382202,-17.76457977294922,0.8152503371238708,-3.982738733291626,0.0003,681,,
-5.21324809,140,804,94,5.98,8,2.0252842903137207,-18.287717819213867,0.8099388480186462,-4.124047756195068,0.0003,703,,
-5.167793399999999,144,829,94,6.01,8,2.2778592109680176,-17.850650787353516,0.8039504885673523,-4.2120513916015625,0.0003,728,,
-5.1147839799999995,148,856,93,6.06,9,2.840106964111328,-17.625356674194336,0.797531008720398,-4.385834217071533,0.0003,755,,
-5.07160934,152,880,93,6.04,9,2.734041690826416,-18.32638168334961,0.7918705940246582,-4.548144340515137,0.0003,779,,
-5.159864039999999,156,913,93,6.15,9,3.3595893383026123,-16.777725219726562,0.7841469049453735,-4.7209601402282715,0.0003,812,,
-5.12284319,160,937,92,6.1,10,3.171794891357422,-17.407943725585938,0.7785723805427551,-4.826001167297363,0.0003,836,,
-5.08768977,164,965,92,6.21,10,3.3727450370788574,-18.264423370361328,0.7721360921859741,-5.008660316467285,0.0003,864,,
-4.970214049999999,168,983,92,6.12,10,3.655649185180664,-17.280126571655273,0.7680261731147766,-5.133817672729492,0.0003,882,,
