time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
2048,1,487,100.78753687912085,22.505494505494507,4,,,,,,,,,,,,,
4096,2,401,103.95833463,23.25,10,0.0003,0.020430453,10,0.9980247616767883,0.2,-24.104508662223814,524.814208984375,0.219921875,-0.0005820989608764648,1304.511058998108,-0.05997953002515714,,
5000,,,,,,0.0003,0.022673227,20,0.9977070093154907,0.2,-24.08643070459366,400.45513916015625,0.242138671875,0.022069931030273438,1008.0318752288819,-0.07101568946382031,76.6,385.12129564508797
6144,3,350,108.87959983000002,24.38,17,,,,,,,,,,,,,
8192,4,352,109.62006546,24.45,23,0.0003,0.026335571,30,0.9942696690559387,0.2,-24.056686067581175,429.84954833984375,0.28798828125,0.030007779598236084,977.1882057189941,-0.07712772192899138,,
10000,,,,,,0.0003,0.03281951,40,0.9915527105331421,0.2,-24.00164568424225,453.1509704589844,0.3560546875,0.018348515033721924,935.1308916091918,-0.08611851129680873,66.7,305.1620666369796
10240,5,327,109.88117545000001,24.37,31,,,,,,,,,,,,,
12288,6,330,112.32462170999999,25.17,37,0.0003,0.031623255,50,0.9921613335609436,0.2,-23.989146643877028,368.05950927734375,0.339013671875,0.02400660514831543,879.3568462371826,-0.08343854351260234,,
14336,7,331,120.27083846000001,26.77,43,0.0003,0.03134053,60,0.9916759133338928,0.2,-23.981254214048384,416.8912048339844,0.335107421875,0.018824219703674316,880.7800638198853,-0.08514423353772145,,
15000,,,,,,0.0003,0.02781018,70,0.9895961880683899,0.2,-23.956781005859376,486.8432312011719,0.294921875,0.050589561462402344,966.4114048004151,-0.0783974711841438,66.35,302.1746471438557
16384,8,325,128.08666264,28.34,50,,,,,,,,,,,,,
18432,9,327,130.57965154,28.7,56,0.0003,0.02671304,80,0.9872723817825317,0.2,-23.9242990732193,516.1849365234375,0.285400390625,0.05621713399887085,1027.245047569275,-0.07835741895542014,,
20000,,,,,,0.0003,0.023285832,90,0.9842295050621033,0.2,-23.875403720140458,457.7731628417969,0.22685546875,0.08175235986709595,1027.9797454833983,-0.07268312414526008,80.05,420.50619308054445
20480,10,316,130.38728475,28.97,64,,,,,,,,,,,,,
22528,11,319,129.58401369,28.85,70,0.0003,0.021041643,100,0.9841210842132568,0.2,-23.847149580717087,352.95355224609375,0.22119140625,0.14604312181472778,920.7925924301147,-0.07216368778899777,,
24576,12,320,134.72530638,29.73,76,0.0003,0.019823305,110,0.9834337830543518,0.2,-23.840472370386124,258.2372741699219,0.1837890625,0.2658035159111023,851.0752027511596,-0.06435355600260664,,
25000,,,,,,0.0003,0.016954806,120,0.9830683469772339,0.2,-23.828597378730773,483.18927001953125,0.158349609375,0.28083336353302,995.5838022232056,-0.06151478600222617,78.6,381.1810502085835
26624,13,314,147.52134027999998,32.6,84,,,,,,,,,,,,,
28672,14,319,144.93200764,32.17,89,0.0003,0.016534124,130,0.9832736849784851,0.2,-23.825959438085555,458.8194885253906,0.159423828125,0.27280712127685547,1056.4268003463744,-0.059130003026803026,,
30000,,,,,,0.0003,0.018198099,140,0.9830553531646729,0.2,-23.82652989625931,330.2616271972656,0.16787109375,0.3412829637527466,893.5264459609986,-0.06077508364687674,80.15,383.578868239373
30720,15,313,144.52726558,31.91,98,,,,,,,,,,,,,
32768,16,315,155.56458079,34.29,103,0.0003,0.015674198,150,0.9822375178337097,0.2,-23.82000508904457,476.1351623535156,0.13544921875,0.35302478075027466,969.1577343940735,-0.05516778963792603,,
34816,17,316,166.08207034,36.9,109,0.0003,0.018484328,160,0.981481671333313,0.2,-23.80466164946556,353.8949279785156,0.16806640625,0.39702051877975464,942.5087678909301,-0.05928544606722426,,
35000,,,,,,0.0003,0.02010484,170,0.9803465604782104,0.2,-23.788000774383544,500.6094665527344,0.19697265625,0.3322792053222656,1154.246270942688,-0.06633621443179435,81.7,415.4554419130087
36864,18,311,176.11787566000004,39.08,118,,,,,,,,,,,,,
38912,19,313,183.78923492,40.2,124,0.0003,0.018804524,180,0.9807510375976562,0.2,-23.785628801584245,579.7828979492188,0.16611328125,0.36646801233291626,1207.1353353500367,-0.058940624512615614,,
40000,,,,,,0.0003,0.018705318,190,0.9809949398040771,0.2,-23.789859920740128,557.1139526367188,0.160205078125,0.38673436641693115,1240.9858470916747,-0.05783548612671439,75.7,376.00627805925905
40960,20,310,189.85167327000002,41.69,131,,,,,,,,,,,,,
43008,21,311,200.38429227999998,43.66,137,0.0003,0.022357972,200,0.9785516262054443,0.2,-23.76865437030792,378.5693054199219,0.19619140625,0.42379361391067505,1087.6558963775635,-0.06496680142881814,,
45000,,,,,,0.0003,0.02177759,210,0.9761796593666077,0.2,-23.72162327170372,625.85400390625,0.197802734375,0.4175518751144409,1385.6806373596191,-0.06324219907692168,71.75,380.7854834377766
45056,22,308,222.2637621,47.77,146,,,,,,,,,,,,,
47104,23,309,222.16023728,48.06,151,0.0003,0.022012938,220,0.9761030673980713,0.2,-23.703234493732452,680.573486328125,0.220068359375,0.3770483732223511,1359.4983388900757,-0.06582754250557628,,
49152,24,310,213.18809690999998,46.12,158,0.0003,0.019145077,230,0.975112795829773,0.2,-23.69378735423088,484.5624694824219,0.183251953125,0.3858243227005005,1278.2307502746582,-0.06205300414003432,,
50000,,,,,,0.0003,0.02014621,240,0.9730713963508606,0.2,-23.66614962220192,600.8642578125,0.170654296875,0.4552689790725708,1224.6690643310546,-0.05774419166555163,59.25,315.7512451380491
51200,25,309,228.44246461999998,49.43,165,,,,,,,,,,,,,
53248,26,311,229.38925218,49.55,170,0.0003,0.02254093,250,0.9729807376861572,0.2,-23.64896188378334,594.2521362304688,0.19375,0.45447808504104614,1291.7896993637085,-0.05873719854280353,,
55000,,,,,,0.0003,0.017356945,260,0.97153240442276,0.2,-23.63124938607216,627.0060424804688,0.151171875,0.408325731754303,1338.8887859344482,-0.053246071704779754,63.15,333.6407557070255
55296,27,309,235.10785045000003,50.6,178,,,,,,,,,,,,,
57344,28,310,242.25870546000002,51.81,184,0.0003,0.018082734,270,0.9713093042373657,0.2,-23.61671798825264,646.2806396484375,0.164453125,0.4494423270225525,1275.8450731277467,-0.05563762565725483,,
59392,29,311,266.76650315,56.39,190,0.0003,0.0209441,280,0.9714197516441345,0.2,-23.617960900068283,571.0076904296875,0.206884765625,0.5284476280212402,1276.1883750915526,-0.0602938872150844,,
60000,,,,,,0.0003,0.022168633,290,0.9713402986526489,0.2,-23.61473903656006,655.1989135742188,0.1845703125,0.5051863193511963,1431.3892601013183,-0.05477521038556006,73.9,392.88109412193296
61440,30,308,279.29571837,58.85,198,,,,,,,,,,,,,
63488,31,310,260.38736836,55.29,204,0.0003,0.019765649,300,0.9701535701751709,0.2,-23.60765592455864,650.14453125,0.18154296875,0.4888901114463806,1326.2326499938965,-0.0562897018273361,,
65000,,,,,,0.0003,0.017600436,310,0.9694492220878601,0.2,-23.59196965098381,528.0714721679688,0.169873046875,0.45625633001327515,1145.284282875061,-0.05652581866888795,58.95,310.2372668594122
65536,32,308,266.47052435,56.51,212,,,,,,,,,,,,,
67584,33,309,269.09498502,57.19,218,0.0003,0.018876113,320,0.9673027992248535,0.2,-23.564019274711608,615.656982421875,0.177490234375,0.5584753453731537,1308.402313041687,-0.0552513307047775,,
69632,34,309,289.31652529,61.08,224,0.0003,0.017305326,330,0.9666553139686584,0.2,-23.536443823575972,549.7764282226562,0.148779296875,0.497376024723053,1235.2845277786255,-0.05178219599474687,,
