time/total_timesteps,time/time_elapsed,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/iterations,train/n_updates,train/entropy_loss,train/std,eval/mean_ep_length,eval/mean_reward
26000,136,15.190347671508789,16.61603316,18.49,191,0.0007,58.91815185546875,-0.5702714920043945,5200,5199,-16.62055778503418,0.9677462577819824,,
26500,138,5.3937811851501465,17.13150747,18.91,190,0.0007,-24.082548141479492,0.9475563764572144,5300,5299,-16.596588134765625,0.9656664729118347,,
27000,141,4.572007656097412,16.717968510000002,18.51,190,0.0007,26.796232223510742,-0.23375070095062256,5400,5399,-16.574506759643555,0.9639996290206909,,
27500,144,8.70106029510498,17.224232750000002,18.39,190,0.0007,42.021663665771484,0.06233423948287964,5500,5499,-16.569416046142578,0.9632142782211304,,
28000,146,14.5042142868042,18.0322575,18.7,190,0.0007,-51.26874923706055,-1.2790391445159912,5600,5599,-16.55826187133789,0.9627118110656738,,
28500,149,0.846936821937561,18.34094924,18.81,190,0.0007,-9.089077949523926,0.5417633354663849,5700,5699,-16.560632705688477,0.9625215530395508,,
29000,152,4.004857540130615,17.995583679999996,18.39,190,0.0007,-26.173330307006836,0.9790871478617191,5800,5799,-16.511457443237305,0.9586560130119324,,
29500,154,4.396270751953125,18.340161149999997,19.09,190,0.0007,-34.68873977661133,0.6685228645801544,5900,5899,-16.50261688232422,0.9578089714050293,,
30000,,52.1758918762207,,,,0.0007,110.3250503540039,-3.5343871116638184,,5999,-16.508569717407227,0.9585806727409363,35.15,29.354357372340747
30000,159,,18.11438963,19.64,188,,,,6000,,,,,
30500,161,9.64157485961914,19.27931732,20.91,188,0.0007,38.74567413330078,-3.522228717803955,6100,6099,-16.57026481628418,0.9634783267974854,,
31000,164,124.5933609008789,19.45060738,21.45,188,0.0007,-156.9383087158203,0.6250647902488708,6200,6199,-16.5281982421875,0.9604520797729492,,
31500,166,13.906145095825195,19.42975856,21.34,189,0.0007,54.1468391418457,-4.941777229309082,6300,6299,-16.542036056518555,0.9615734815597534,,
32000,168,11.54500961303711,19.290605300000003,20.93,189,0.0007,-56.24258041381836,0.5760437846183777,6400,6399,-16.538074493408203,0.9610804915428162,,
32500,170,234.34776306152344,18.98248212,20.31,190,0.0007,-218.80870056152344,0.41465145349502563,6500,6499,-16.544208526611328,0.9618403315544128,,
33000,173,9.22391414642334,18.16789463,19.22,190,0.0007,-48.12561798095703,0.9381003938615322,6600,6599,-16.566892623901367,0.9637535810470581,,
33500,175,12.319839477539062,17.819458360000002,18.72,191,0.0007,-65.2053451538086,0.9278347715735435,6700,6699,-16.61862564086914,0.9677042961120605,,
34000,177,32.839908599853516,17.49274236,17.88,191,0.0007,-79.57615661621094,0.830056369304657,6800,6799,-16.60576820373535,0.9671062231063843,,
34500,179,0.9318122863769531,17.97004898,18.38,192,0.0007,-15.27306079864502,0.8603375852108002,6900,6899,-16.66218376159668,0.9711532592773438,,
35000,,6.198428153991699,,,,0.0007,-28.6009464263916,-0.7119094133377075,,6999,-16.6650447845459,0.9715430736541748,19.15,20.604867112886858
35000,183,,18.763267730000003,18.2,190,,,,7000,,,,,
35500,186,12.226375579833984,18.81755657,18.08,190,0.0007,-56.59316635131836,0.7778783738613129,7100,7099,-16.675094604492188,0.9727382659912109,,
36000,188,7.859614849090576,19.30312782,18.25,190,0.0007,-36.48676300048828,0.957694198936224,7200,7199,-16.616291046142578,0.9677397012710571,,
36500,191,7.5393385887146,19.331401800000002,18.31,190,0.0007,-21.070171356201172,0.906730480492115,7300,7299,-16.637805938720703,0.9700314402580261,,
37000,194,47.397361755371094,19.440675720000005,18.42,190,0.0007,-88.5994644165039,0.6496088802814484,7400,7399,-16.623615264892578,0.9683486223220825,,
37500,197,81.92485809326172,20.007153600000002,18.66,190,0.0007,-146.1542205810547,-5.141039848327637,7500,7499,-16.622486114501953,0.9681625366210938,,
38000,199,1.7359882593154907,19.816266,18.38,190,0.0007,18.024429321289062,0.7989643216133118,7600,7599,-16.619260787963867,0.9678024649620056,,
38500,202,4.848972320556641,20.528711480000002,18.66,189,0.0007,-16.42447280883789,0.9170665070414543,7700,7699,-16.661314010620117,0.971152663230896,,
39000,205,10.199247360229492,21.62345481,19.7,189,0.0007,44.412532806396484,-0.5480659008026123,7800,7799,-16.659339904785156,0.9715985059738159,,
39500,208,9.838606834411621,21.787514110000004,19.9,189,0.0007,-54.902252197265625,-0.5519125461578369,7900,7899,-16.637907028198242,0.9694651365280151,,
40000,,6.468426704406738,,,,0.0007,41.13534164428711,0.739384651184082,,7999,-16.61612319946289,0.9679915308952332,23.45,22.466300928150304
40000,211,,21.638363299999995,20.53,188,,,,8000,,,,,
40500,214,75.41024017333984,23.078975090000004,21.89,189,0.0007,-138.9037322998047,0.755780428647995,8100,8099,-16.616392135620117,0.9676569700241089,,
41000,216,1.6199337244033813,22.728953050000005,22.67,189,0.0007,7.478459358215332,-0.0030117034912109375,8200,8199,-16.609149932861328,0.9674148559570312,,
41500,219,8.133206367492676,21.176121420000005,22.4,189,0.0007,41.68220901489258,-0.4424697160720825,8300,8299,-16.593420028686523,0.966368556022644,,
42000,221,8.21484375,21.57298784,23.19,189,0.0007,44.22297668457031,0.4121779203414917,8400,8399,-16.5914363861084,0.9663230180740356,,
42500,223,0.9688586592674255,20.42925539,22.36,190,0.0007,-13.944487571716309,0.8512581139802933,8500,8499,-16.630765914916992,0.9698785543441772,,
43000,225,3.8930795192718506,20.6409187,22.16,190,0.0007,-28.14829444885254,0.09833371639251709,8600,8599,-16.654178619384766,0.9716302752494812,,
43500,227,167.2774200439453,20.997421150000005,22.24,191,0.0007,-223.04502868652344,0.13796716928482056,8700,8699,-16.66329002380371,0.9722553491592407,,
44000,229,6.964581489562988,21.485173080000003,22.47,191,0.0007,19.370624542236328,-0.5774729251861572,8800,8799,-16.6747989654541,0.9729288816452026,,
44500,232,0.4529268443584442,21.252585399999997,21.57,191,0.0007,-4.364458084106445,0.835216224193573,8900,8899,-16.659767150878906,0.971580982208252,,
45000,,1.694774866104126,,,,0.0007,13.1516695022583,0.6446249783039093,,8999,-16.630939483642578,0.9700450897216797,25.85,27.39726179651916
45000,236,,20.698880219999996,21.06,190,,,,9000,,,,,
45500,239,3.1340396404266357,20.39897551,20.88,190,0.0007,-4.434453010559082,-1.426100492477417,9100,9099,-16.617399215698242,0.9691072702407837,,
