train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,eval/mean_ep_length,eval/mean_reward
3000,4000,4,0.001,211,18,0.04191286096908152,1000.0,-1860.690214,1.8401290864944457,,
4000,5000,,0.001,,,0.07973624638840557,,,3.5079187994003296,774.7,-1270.1797873556613
6407,7407,8,0.001,156,47,0.28524201995800696,925.875,-1861.21131525,9.200503203669205,,
9437,9459,12,0.001,147,63,0.7459132840236028,788.25,-1448.8435112500001,14.985520172119141,,
9586,9637,16,0.001,148,64,0.8273100091860844,602.3125,-1107.21748,15.13852867935643,,
9637,10000,,0.001,,,1.1586892131496878,,,15.5809037399292,593.7,175.13124271085252
11089,11949,20,0.001,147,80,0.5662554254771298,597.45,-965.4764325,16.4385803581303,,
13082,14082,24,0.001,151,93,0.5360416301659175,586.75,-843.7847022916667,17.354531015668595,,
14082,15000,,0.001,,,0.6233624849617482,,,17.995850610733033,723.6,360.11364303316225
16686,16731,28,0.001,134,124,0.678453785348807,597.5357142857143,-766.1712643571428,19.73329133545326,,
19731,20000,,0.001,,,0.5369889902472496,,,20.764810775756835,1000.0,684.4667775683105
,20731,32,,132,156,,647.84375,-706.2755629375,,,
23731,24731,36,0.001,136,181,0.5037980489432812,686.9722222222222,-648.9663075,22.290150020599366,,
24731,25000,,0.001,,,0.5012086487263441,,,22.73223850250244,1000.0,751.9116879191249
27731,28731,40,0.001,131,218,0.4209338517487049,718.275,-595.2437332,23.576846714019776,,
29731,30000,,0.001,,,0.3882056324630976,,,23.834871112823485,819.7,422.7976126338705
31731,32731,44,0.001,128,254,0.41873574773967265,743.8863636363636,-562.6374758863636,24.17926124191284,,
34021,35000,,0.001,,,0.45874860749162477,,,24.646763847614157,1000.0,878.1131354857237
35021,36021,48,0.001,125,286,0.4101787178963423,750.4375,-519.5549466875,24.769917568206786,,
38641,39641,52,0.001,128,308,0.44635431228578093,762.3269230769231,-485.6406666730769,25.532624919891358,,
39641,40000,,0.001,,,0.4225408697575331,,,25.808047790527343,973.9,790.3071455095429
42641,43641,56,0.001,125,349,0.4034107259362936,779.3035714285714,-453.1328717321429,26.27682427215576,,
44641,45000,,0.001,,,0.39071977357566356,,,26.19370906829834,1000.0,934.3600457224995
46641,47641,60,0.001,121,392,0.38529359455406664,794.0166666666667,-423.5707290166667,26.21842451095581,,
49641,50000,,0.001,,,0.37429877392947675,,,26.157641052246095,1000.0,896.6112047094387
50641,51641,64,0.001,118,434,0.3918817508518696,806.890625,-396.45926590625004,26.09711958694458,,
53947,54947,68,0.001,119,458,0.418674322660842,808.0441176470588,-372.29428582352944,25.680897806205003,,
54947,55000,,0.001,,,0.3975246072039008,,,25.576099571228028,989.1,874.8010888997466
57947,58947,72,0.001,118,498,0.37760107186436653,818.7083333333334,-355.59268751388885,25.116032817840576,,
59947,60000,,0.001,,,0.38529542891681196,,,24.88149869918823,1000.0,923.1709023058414
61947,62947,76,0.001,117,533,0.2933864881694317,828.25,-336.2808696578947,24.912093109130858,,
64947,65000,,0.001,,,0.2294098182693124,,,24.80440965270996,1000.0,893.8469109237194
65947,66947,80,0.001,117,568,0.20864854896068574,836.8375,-319.3858138375,24.749997474670412,,
69947,70000,,0.001,,,0.17970928099751474,,,24.450601634979247,1000.0,829.4240819811821
,70947,84,,117,603,,844.6071428571429,-303.8438804285714,,,
73947,74947,88,0.001,119,627,0.1479831377454102,851.6704545454545,-288.7239651136364,23.923977199554443,,
74947,75000,,0.001,,,0.14826607989147306,,,23.762326972961425,1000.0,944.8125819981099
77947,78947,92,0.001,119,663,0.13751403634250164,858.1195652173913,-274.25259622826087,23.29276223373413,,
79947,80000,,0.001,,,0.13067563231289386,,,22.990822978973387,1000.0,956.4763557255268
81947,82947,96,0.001,118,697,0.13623640348389746,864.03125,-260.534804875,22.669128479003906,,
