train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/critic_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
12850,8.526277160644531,,,,,,0.001,0.04229972764849663,13000,-12.52715435475111,50.0
,,67,50.0,-9.131802310000001,191,260,,,13000,,
13050,8.495351409912109,68,50.0,-9.15220625,192,264,0.001,0.043751347661018375,13200,,
13250,8.589412422180176,69,50.0,-9.34344913,191,268,0.001,0.04554131150245667,13400,,
13450,8.704964218139649,70,50.0,-9.498213609999999,191,272,0.001,0.055962527841329573,13600,,
13650,8.71724910736084,71,50.0,-9.619732729999999,191,276,0.001,0.03873181611299515,13800,,
13850,8.807800788879394,,,,,,0.001,0.042111866995692256,14000,-12.220802425406873,50.0
,,73,50.0,-9.52289925,191,280,,,14000,,
14050,8.885308647155762,74,50.0,-9.442383710000001,191,284,0.001,0.04366587702184915,14200,,
14250,9.012517280578614,75,50.0,-9.67464959,191,288,0.001,0.04898765534162521,14400,,
14450,9.126411819458008,76,50.0,-9.818997679999999,191,292,0.001,0.05603587880730629,14600,,
14650,9.148359260559083,77,50.0,-9.68145089,192,296,0.001,0.047446574084460735,14800,,
14850,9.208954582214355,,,,,,0.001,0.05211395040154457,15000,-9.844362684711815,50.0
,,78,50.0,-9.83444882,191,300,,,15000,,
15050,9.217792396545411,79,50.0,-10.12728478,191,304,0.001,0.04227975655347109,15200,,
15250,9.39693630218506,80,50.0,-10.10935418,191,308,0.001,0.05023746035993099,15400,,
15450,9.358537788391112,81,50.0,-9.98067567,191,312,0.001,0.04664329588413239,15600,,
15650,9.524488716125488,82,50.0,-10.12490384,191,316,0.001,0.05278606452047825,15800,,
15850,9.549912223815918,,,,,,0.001,0.04383169583976269,16000,-11.31353642232716,50.0
,,83,50.0,-10.34853785,191,320,,,16000,,
16050,9.694927215576172,84,50.0,-10.32519457,191,324,0.001,0.04899618268013001,16200,,
16250,9.707988967895508,85,50.0,-10.28132315,191,328,0.001,0.04842325299978256,16400,,
16450,9.800710144042968,86,50.0,-10.383265749999998,191,332,0.001,0.04256644923239947,16600,,
16650,9.807919273376465,87,50.0,-10.356152849999999,191,336,0.001,0.04500915218144655,16800,,
16850,9.89379508972168,,,,,,0.001,0.045361720770597455,17000,-10.20365159343928,50.0
,,88,50.0,-10.29949311,191,340,,,17000,,
17050,9.9744282913208,89,50.0,-10.299234369999999,191,344,0.001,0.04284609336405992,17200,,
