time/time_elapsed,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
0,123,180,4,30.75,34.90715875,,,,,,
1,213,129,8,26.625,27.607186625,0.001,0.07255481996319511,-1.0327986627817154,113,,
2,281,122,12,23.416666666666668,24.300234583333335,0.001,0.04897119622263643,-1.3973209195666842,184,,
2,367,122,16,22.9375,22.838773062500003,0.001,0.07020529942668002,-1.5650766762820156,253,,
4,484,116,20,24.2,23.248559450000005,0.001,0.08676875775886907,-1.8932890229754977,372,,
5,555,109,24,23.125,22.694852249999997,0.001,0.10939376997320276,-2.0972168842951455,457,,
6,658,106,28,23.5,22.775802285714285,0.001,0.17127957195043564,-2.258652084752133,562,,
6,731,108,32,22.84375,22.42081178125,0.001,0.19043107330799103,-2.374366044998169,625,,
7,868,109,36,24.11111111111111,23.87472025,0.001,0.1610520539242168,-2.7007433686937605,751,,
8,933,107,40,23.325,23.1337061,0.001,0.20334296114742756,-2.774098366498947,834,,
9,1014,109,44,23.045454545454547,22.69211225,0.001,0.2717522700627645,-2.9990662847246443,897,,
10,1120,107,48,23.333333333333332,22.834676,0.001,0.22456141171001254,-3.1508755922317504,1023,,
11,1229,107,52,23.634615384615383,23.25186730769231,0.001,0.23742868334054948,-3.358631629210252,1132,,
12,1312,107,56,23.428571428571427,23.157780714285714,0.001,0.26121414999167125,-3.5724088847637177,1216,,
13,1440,108,60,24.0,23.570674483333335,0.001,0.2726061781247457,-3.694911257425944,1315,,
14,1536,108,64,24.0,23.4220563125,0.001,0.30595683430631954,-3.9399205578698053,1416,,
15,1623,107,68,23.86764705882353,23.39561194117647,0.001,0.25085579603910446,-4.156363937589857,1525,,
15,1710,107,72,23.75,23.031631333333333,0.001,0.37814420248780933,-4.271837643214634,1608,,
16,1787,107,76,23.513157894736842,22.741559236842107,0.001,0.32118842005729675,-4.420655144585504,1683,,
17,1891,107,80,23.6375,22.6624836375,0.001,0.32972610873334546,-4.597460326026468,1791,,
18,1964,106,84,23.38095238095238,22.44864094047619,0.001,0.4494095941384633,-4.617530465126038,1862,,
19,2040,106,88,23.181818181818183,22.297562454545456,0.001,0.34390047937631607,-4.870870292186737,1943,,
20,2165,106,92,23.532608695652176,22.67293505434783,0.001,0.32887214528662817,-5.014520100184849,2060,,
21,2240,105,96,23.333333333333332,22.465204770833335,0.001,0.3678394591808319,-5.17910649226262,2144,,
21,2306,106,100,23.06,22.209075239999997,0.001,0.36631591618061066,-5.365723133087158,2208,,
22,2406,106,104,22.83,22.07656649,0.001,0.4125645959919149,-5.523398052562367,2286,,
23,2498,106,108,22.85,22.171730290000006,0.001,0.500449661579397,-5.754980458153619,2380,,
24,2621,105,112,23.4,22.62283934,0.001,0.40556059777736664,-5.936687231063843,2514,,
25,2693,105,116,23.26,22.808211420000003,0.001,0.37801715979973477,-6.073568820953369,2598,,
26,2802,105,120,23.18,23.05534032,0.001,0.39092882722616196,-6.294014930725098,2704,,
27,2875,105,124,23.2,22.923923900000005,0.001,0.375681483745575,-6.30445671081543,2771,,
27,2957,105,128,22.99,22.76203062,0.001,0.6081823671565336,-6.610665851169163,2846,,
28,3038,105,132,23.07,22.834479309999995,0.001,0.5822530314326286,-6.659069961971706,2926,,
29,3130,105,136,22.62,22.399329729999994,0.001,0.6122382756541757,-6.981185754140218,3032,,
30,3210,105,140,22.77,22.594533,0.001,0.5152580894529819,-6.991394138336181,3112,,
31,3295,105,144,22.81,22.795541300000004,0.001,0.5928258342402322,-7.0176403739235615,3198,,
32,3384,105,148,22.64,22.683139470000004,0.001,0.6041452636321386,-7.424172123273213,3284,,
33,3550,106,152,23.21,23.214487160000004,0.001,0.5557479527981385,-7.545503885849662,3425,,
34,3674,106,156,23.62,23.44797943,0.001,0.6385256036331779,-7.80341731177436,3545,,
35,3816,106,160,23.76,23.32583119000001,0.001,0.6146181050468894,-8.06073979770436,3682,,
37,3917,105,164,23.81,23.34393944,0.001,0.6398653537034988,-8.392416381835938,3819,,
38,4011,105,168,23.88,23.259078870000003,0.001,0.713865198691686,-8.512879117329915,3915,,
39,4123,105,172,24.13,23.605941350000002,0.001,0.6870721735452351,-8.761761999130249,4024,,
40,4271,105,176,24.84,24.25618054,0.001,0.5423971745702956,-9.205536206563314,4169,,
41,4389,105,180,24.98,24.470213049999998,0.001,0.760703488703697,-9.204255998134613,4278,,
42,4480,105,184,25.16,24.62672338,0.001,0.8630348311530219,-9.470457077026367,4383,,
43,4570,105,188,25.3,24.74261522,0.001,0.7855788819930133,-9.59067185719808,4450,,
44,4667,104,192,25.02,24.41569752,0.001,0.8198406131643998,-9.697787857055664,4570,,
45,4799,104,196,25.59,25.22819611,0.001,0.8449035864323378,-10.140870153903961,4702,,
46,4893,104,200,25.87,25.52354308,0.001,0.7882090240716935,-10.376608562469482,4796,,
47,4958,104,204,25.52,24.878973509999994,0.001,0.8206784409635207,-10.129698872566223,4861,,
,5000,,,,,0.001,0.8911282759573724,-10.389267656538221,4913,24.61500243479386,25.6
49,5049,102,208,25.51,24.829875,0.001,0.8315867768092589,-10.358292839743875,4951,,
50,5126,102,212,25.05,24.347792509999998,0.001,0.9345671697096392,-10.61709195917303,5028,,
51,5223,102,216,25.3,24.30089502,0.001,0.8893269865136397,-10.807879765828451,5121,,
52,5330,102,220,25.28,24.084191849999996,0.001,0.7844257040156258,-10.709468205769857,5234,,
52,5406,102,224,25.31,24.124402929999995,0.001,0.7548696037970091,-10.585150824652779,5307,,
53,5497,102,228,25.4,24.24706294,0.001,0.7459711244231776,-10.932280010647244,5379,,
54,5595,101,232,25.57,24.36538431,0.001,0.9457475215196609,-11.268045616149902,5498,,
55,5679,101,236,25.49,24.19494638,0.001,0.860444147671972,-11.044046333857946,5579,,
57,5817,101,240,26.07,24.562996159999997,0.001,0.8040237667267782,-11.007313183375768,5717,,
57,5887,101,244,25.92,24.34460621,0.001,0.724689170718193,-11.011642217636108,5788,,
58,6007,101,248,26.23,24.525044899999997,0.001,0.7132305275826227,-11.37066593170166,5895,,
59,6072,101,252,25.22,23.49247498,0.001,0.676990557461977,-11.106845021247864,5973,,
60,6154,101,256,24.8,23.214957560000002,0.001,0.9385640025138855,-11.259195645650228,6058,,
61,6240,101,260,24.24,22.96754992,0.001,0.7950320619123953,-11.286582333700997,6138,,
62,6328,101,264,24.11,23.003208829999995,0.001,0.969567956108796,-11.404519187079536,6217,,
63,6413,101,268,24.02,23.0221747,0.001,0.7687379002571106,-11.480621576309204,6306,,
64,6504,101,272,23.81,22.93422488,0.001,0.9723612434334226,-11.539589881896973,6395,,
65,6607,101,276,23.36,22.666222729999994,0.001,0.7785608725888389,-11.558953421456474,6503,,
66,6698,100,280,23.09,22.626811789999998,0.001,0.8727121353149414,-11.665349006652832,6600,,
67,6785,101,284,23.05,22.63132824,0.001,0.7765096936907087,-11.70735502243042,6687,,
67,6859,101,288,22.89,22.466846490000002,0.001,0.7671223249700334,-11.7617400487264,6758,,
68,6953,101,292,22.86,22.44840897,0.001,0.9395221590995788,-12.02686653137207,6838,,
69,7057,101,296,22.58,21.900913369999998,0.001,0.9956512451171875,-11.390176984998915,6945,,
70,7134,100,300,22.41,21.779952859999998,0.001,1.0117106847465038,-11.807215332984924,7035,,
71,7250,100,304,22.92,22.417632469999997,0.001,0.8402837961912155,-11.630300343036652,7149,,
72,7326,100,308,22.77,22.37204743,0.001,1.0255243182182312,-12.098872303962708,7226,,
73,7424,101,312,22.98,22.454414910000004,0.001,0.7239182856347826,-12.07745287153456,7313,,
74,7504,101,316,22.81,22.31448426,0.001,0.9024711781077914,-11.946879386901855,7405,,
75,7599,101,320,22.69,22.197978720000002,0.001,0.7978134579730757,-11.636891477248248,7500,,
75,7665,101,324,22.59,22.16945713,0.001,1.0792000574224136,-11.980342653062609,7568,,
76,7788,101,328,22.91,22.694248410000004,0.001,0.9617723921934763,-11.811785697937012,7664,,
77,7883,101,332,22.88,22.622986340000008,0.001,0.8924583951632182,-11.88191282749176,7758,,
78,8007,101,336,23.28,23.175085720000002,0.001,0.8942085941632588,-12.149304151535034,7880,,
79,8082,101,340,22.65,22.707340170000002,0.001,0.9073434273401896,-12.054045995076498,7981,,
80,8183,101,344,22.96,23.016960710000003,0.001,0.7916913486662365,-12.17693634033203,8061,,
81,8310,101,348,23.03,23.34889369,0.001,0.9334167117873827,-12.175921003023783,8189,,
82,8422,101,352,23.5,23.88917751,0.001,0.9546050183913287,-12.300657384535846,8321,,
83,8524,101,356,23.7,24.00187662999999,0.001,0.8585713505744934,-12.000677347183228,8426,,
84,8592,101,360,23.52,23.89059407,0.001,0.8070113956928253,-11.93166208267212,8492,,
85,8680,101,364,23.52,23.85755988,0.001,0.7852123498916626,-12.278842329978943,8582,,
86,8761,101,368,23.48,23.893081940000002,0.001,0.9297241131464641,-12.368124961853027,8663,,
86,8846,101,372,23.42,23.862631850000003,0.001,0.842315424233675,-11.9887113571167,8748,,
87,8933,102,376,23.26,23.759665019999993,0.001,0.8517271493162427,-12.118589946201869,8814,,
88,9023,101,380,23.25,23.624463639999995,0.001,0.8136986839143854,-12.172757890489367,8921,,
89,9109,101,384,23.24,23.63031662,0.001,0.7777723795489261,-12.466475105285644,9010,,
89,9178,101,388,23.19,23.645419759999996,0.001,0.7645984684166155,-12.545564121670193,9079,,
90,9253,102,392,23.0,23.586966199999996,0.001,0.9180612005293369,-12.468492150306702,9155,,
