time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
573,4,0,-7.7509967500000005,30,7.5,,,,,,,,
598,8,0,-7.274989,52,6.5,,,,,,,,
640,12,0,-6.742473750000001,70,5.833333333333333,,,,,,,,
640,16,0,-6.5052884375,91,5.6875,,,,,,,,
95,20,1,-6.9886616,119,5.95,13.522644996643066,-0.1020270362496376,0.0003,18,-12.22903823852539,0.9948840141296387,,
88,24,1,-7.031796625000001,139,5.791666666666667,16.836977005004883,-0.2240142971277237,0.0003,38,-12.039922714233398,0.9888668656349182,,
82,28,1,-7.0114521071428575,164,5.857142857142857,16.996931076049805,-0.37816140055656433,0.0003,63,-12.89088249206543,0.9814034104347229,,
79,32,2,-6.90168903125,184,5.75,16.87387466430664,-0.4993249475955963,0.0003,83,-12.818005561828613,0.9754844903945923,,
75,36,2,-7.062773305555556,216,6.0,12.62242603302002,-0.6922773122787476,0.0003,115,-13.501413345336914,0.9661026000976562,,
74,40,3,-6.991466825000001,235,5.875,15.369199752807617,-0.808791995048523,0.0003,134,-13.289592742919922,0.9605814814567566,,
73,44,3,-6.96168956818182,256,5.818181818181818,11.572845458984375,-0.9342801570892334,0.0003,155,-14.036781311035156,0.9545237421989441,,
72,48,3,-6.933757708333332,280,5.833333333333333,9.513745307922363,-1.074397325515747,0.0003,179,-14.139421463012695,0.9476679563522339,,
71,52,4,-7.003369096153846,305,5.865384615384615,4.9867844581604,-1.2124450206756592,0.0003,204,-15.2471284866333,0.9406022429466248,,
71,56,4,-6.867345053571428,326,5.821428571428571,3.6066646575927734,-1.3417863845825195,0.0003,225,-15.489501953125,0.9347274899482727,,
70,60,5,-6.954569233333332,355,5.916666666666667,2.6624157428741455,-1.513704538345337,0.0003,254,-15.28406810760498,0.9266775846481323,,
69,64,5,-6.918281875,383,5.984375,2.276982307434082,-1.679114818572998,0.0003,282,-16.00663185119629,0.9189804196357727,,
68,68,5,-6.811661338235295,404,5.9411764705882355,3.255850315093994,-1.804235816001892,0.0003,303,-16.256595611572266,0.9132449626922607,,
68,72,6,-6.824465402777778,426,5.916666666666667,2.549872398376465,-1.9309568405151367,0.0003,325,-16.368289947509766,0.907265305519104,,
67,76,6,-6.724881565789474,445,5.855263157894737,2.2170963287353516,-2.040055990219116,0.0003,344,-16.665681838989258,0.902132511138916,,
67,80,6,-6.630558537499999,470,5.875,1.7880408763885498,-2.1933765411376953,0.0003,369,-16.692554473876953,0.8954351544380188,,
66,84,7,-6.529463190476189,491,5.845238095238095,2.855461597442627,-2.3148422241210938,0.0003,390,-17.398292541503906,0.8898499608039856,,
66,88,7,-6.456321363636363,514,5.840909090909091,1.7008116245269775,-2.4330198764801025,0.0003,413,-18.084117889404297,0.8837754130363464,,
66,92,8,-6.429929467391304,545,5.923913043478261,1.708916187286377,-2.617236614227295,0.0003,444,-17.070068359375,0.8756608963012695,,
65,96,8,-6.414763562499999,565,5.885416666666667,2.189603805541992,-2.7416465282440186,0.0003,464,-17.33308219909668,0.8704577088356018,,
65,100,8,-6.2712084699999995,583,5.83,2.104696750640869,-2.826444149017334,0.0003,482,-17.329158782958984,0.8658043146133423,,
65,104,9,-6.136881800000001,610,5.8,1.5735169649124146,-2.999054431915283,0.0003,509,-16.91162109375,0.8588888049125671,,
65,108,9,-6.037423239999999,635,5.83,2.737919569015503,-3.125347137451172,0.0003,534,-17.75191879272461,0.8525338172912598,,
64,112,10,-6.0693119000000015,668,5.98,2.1090545654296875,-3.3314194679260254,0.0003,567,-18.22289276123047,0.8442218899726868,,
64,116,10,-5.963322149999999,693,6.02,3.0948426723480225,-3.436934471130371,0.0003,592,-18.412689208984375,0.8379902839660645,,
64,120,11,-5.84450728,719,6.0,2.4556469917297363,-3.613448143005371,0.0003,618,-18.274763107299805,0.8315631151199341,,
64,124,11,-5.707038590000001,738,5.99,2.6354427337646484,-3.690824031829834,0.0003,637,-18.386302947998047,0.8268975615501404,,
63,128,11,-5.604287459999999,759,5.95,2.4361212253570557,-3.8271749019622803,0.0003,658,-17.804222106933594,0.8217753767967224,,
63,132,12,-5.539560460000001,779,5.95,2.227325677871704,-3.9598584175109863,0.0003,678,-17.995378494262695,0.8169233798980713,,
63,136,12,-5.407691659999999,802,5.86,2.170457601547241,-4.088600158691406,0.0003,701,-18.04645347595215,0.8113659620285034,,
63,140,12,-5.29352744,822,5.87,2.414762496948242,-4.190176010131836,0.0003,721,-18.322507858276367,0.8065675497055054,,
63,144,13,-5.188097270000001,845,5.89,2.1557865142822266,-4.316364765167236,0.0003,744,-18.073978424072266,0.8010939359664917,,
63,148,13,-5.1126273200000005,866,5.86,2.318783760070801,-4.433842658996582,0.0003,765,-18.39796257019043,0.7961275577545166,,
63,152,14,-5.11886364,905,6.0,3.1923136711120605,-4.663740158081055,0.0003,804,-17.599533081054688,0.7869691252708435,,
63,156,14,-5.14595098,934,6.08,2.343170166015625,-4.866314888000488,0.0003,833,-18.305667877197266,0.780232846736908,,
63,160,15,-5.06682538,963,6.08,4.027653217315674,-4.979074478149414,0.0003,862,-18.373416900634766,0.7735560536384583,,
63,164,15,-4.991960010000001,988,6.05,2.667905807495117,-5.123589515686035,0.0003,887,-17.381776809692383,0.7678523659706116,,
63,168,15,-4.9801370799999995,1011,6.07,2.4065728187561035,-5.257637023925781,0.0003,910,-17.838520050048828,0.7626448273658752,,
63,172,16,-4.90063473,1036,6.1,2.5716567039489746,-5.399573802947998,0.0003,935,-18.74950408935547,0.75702303647995,,
63,176,16,-4.87889145,1063,6.18,3.1266725063323975,-5.5897016525268555,0.0003,962,-19.18415069580078,0.7510049939155579,,
63,180,17,-4.886860049999999,1091,6.21,2.670927047729492,-5.696789264678955,0.0003,990,-17.866762161254883,0.7448083758354187,,
63,184,17,-4.87371074,1113,6.22,3.2612016201019287,-5.842679023742676,0.0003,1012,-18.225929260253906,0.7399731874465942,,
63,188,17,-4.8249068600000005,1134,6.2,3.455791711807251,-5.919620037078857,0.0003,1033,-18.768009185791016,0.7353854179382324,,
63,192,18,-4.79585938,1157,6.12,4.29616117477417,-6.038921356201172,0.0003,1056,-17.464031219482422,0.7303870320320129,,
63,196,18,-4.7377848799999995,1186,6.21,3.259603500366211,-6.25010871887207,0.0003,1085,-17.38372802734375,0.7241263389587402,,
