rollout/ep_len_mean,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/fps,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
258.5,4,7,0.2566597983241081,0.001,1025,175.067791,-2.6696130275726317,140,1034,,
382.125,8,20,0.16445086090266706,0.001,3045,-574.4759777500001,-1.0126800136119127,146,3057,,
,,,0.42960765697062014,0.001,4066,,-0.04831524638267001,,5000,322.2,-227.45297360541298
428.5833333333333,12,39,0.28872487941384317,0.001,5066,-660.4262169166667,-1.1824311588956042,129,5143,,
325.6875,16,40,0.8066323747237524,0.001,5201,-507.13332850000006,-1.114638090133667,128,5211,,
400.75,20,55,0.5848732350468635,0.001,7015,-521.5598447,0.21741215517022647,145,8015,,
,,,0.7496006442904473,0.001,9015,,1.1680868709599599,,10000,614.2,59.95353076294996
460.875,24,89,0.6973698398768902,0.001,11015,-418.59954704166665,0.9864468988524749,123,11061,,
504.85714285714283,28,106,0.6970698592662812,0.001,13136,-354.56708117857136,2.8989238412976266,132,14136,,
,,,0.9384226831327002,0.001,14302,,2.829590227948614,,15000,704.2,335.68171675122574
540.6875,32,138,0.8595535246729851,0.001,16302,-246.01758325,2.311414565453306,124,17302,,
,,,0.7771442315876483,0.001,19302,,2.0792854294478893,,20000,900.9,618.0628714039922
591.7222222222222,36,178,0.8174996231496334,0.001,20302,-187.72749033333332,1.6246452147383244,119,21302,,
,,,0.7239966078698635,0.001,24302,,-0.8979141056514345,,25000,1000.0,392.56666679783956
632.55,40,219,,,,-97.16800939999999,,115,25302,,
665.9545454545455,44,247,0.6939246197640896,0.001,28302,-50.43090765909091,-2.8770900629758835,118,29302,,
,,,0.6492526814937591,0.001,29302,,-3.4063677570819855,,30000,990.7,570.7185864743412
693.7916666666666,48,289,0.5636465480923653,0.001,32302,-11.170337812500014,-4.006716983795166,114,33302,,
,,,0.5511754840910434,0.001,34302,,-5.3945475158691405,,35000,1000.0,197.95453349503222
717.3461538461538,52,331,0.6168578507006168,0.001,36302,29.421128076923065,-7.04481568813324,112,37302,,
,,,0.5580427726209164,0.001,39302,,-8.473163330078124,,40000,1000.0,447.93379815863443
737.5357142857143,56,372,0.5093778799176216,0.001,40302,45.266122785714266,-8.668493059158326,110,41302,,
,,,0.4612160994261503,0.001,44302,,-11.155951208114624,,45000,1000.0,298.50406128648683
755.0333333333333,60,414,,,,68.9765648333333,,109,45302,,
770.34375,64,442,0.5499870309829712,0.001,48302,110.00801967187499,-12.416682125091553,111,49302,,
,,,0.5517309964299202,0.001,49302,,-12.905394550323486,,50000,1000.0,659.2101204622857
783.8529411764706,68,483,0.5325502556264401,0.001,52302,150.06845808823527,-14.236811262130738,110,53302,,
,,,0.5224273489117622,0.001,54302,,-15.236052530288696,,55000,1000.0,845.2548911290244
795.8611111111111,72,524,0.5335751629471779,0.001,56302,185.89401519444442,-16.434487455368043,109,57302,,
,,,0.5681383538246155,0.001,59302,,-17.640676893234254,,60000,1000.0,505.588941443956
806.6052631578947,76,565,0.539058703482151,0.001,60302,207.96034607894734,-18.04438398551941,108,61302,,
,,,0.5502424366921187,0.001,64302,,-19.45412034225464,,65000,1000.0,620.8867991639767
816.275,80,606,,,,226.55781553749998,,107,65302,,
825.0238095238095,84,635,0.6429610900580883,0.001,68302,237.0896104642857,-20.971332286834716,109,69302,,
,,,0.6499862431883812,0.001,69302,,-21.328330924987792,,70000,1000.0,666.9150898830449
832.9772727272727,88,677,0.6028540624082088,0.001,72302,258.13931245454546,-22.67736731338501,108,73302,,
,,,0.5493872697204352,0.001,74302,,-23.874288154602052,,75000,1000.0,754.9534993065987
840.2391304347826,92,718,0.5267660041749478,0.001,76302,282.21813032608696,-25.0321863861084,107,77302,,
,,,0.6384536181092262,0.001,79302,,-26.021971118927002,,80000,1000.0,725.4156874142938
846.8958333333334,96,760,0.642945637255907,0.001,80302,292.62188342708333,-26.315821533203124,106,81302,,
,,,0.5583050556182861,0.001,84302,,-28.18091463470459,,85000,1000.0,881.4724260099232
853.02,100,801,,,,316.14258106,,106,85302,,
882.68,104,830,0.5554628572762013,0.001,88302,338.70022178,-30.218899951934816,107,89302,,
,,,0.556360611319542,0.001,89302,,-30.689569206237792,,90000,1000.0,780.2401756446809
902.45,108,872,0.5558380717784166,0.001,92302,420.24183033,-31.672179153442382,106,93302,,
,,,0.550011900678277,0.001,94302,,-32.163468559265134,,95000,1000.0,719.0033676444785
921.59,112,914,0.5714816993027926,0.001,96302,486.85750490000004,-32.74331258010864,106,97302,,
,,,0.5481926146745681,0.001,99302,,-33.73364247512817,,100000,1000.0,805.2227911730297
960.91,116,955,0.5213666016608477,0.001,100302,520.55029878,-33.964655982971195,106,101302,,
,,,0.5067469092309475,0.001,104302,,-35.459093330383304,,105000,1000.0,853.7505876576994
972.87,120,997,,,,576.3747829700001,,105,105302,,
981.27,124,1024,0.5372851126350076,0.001,108188,604.29560254,-36.63411983033604,106,109188,,
,,,0.5524546075165272,0.001,109188,,-36.97820664215088,,110000,1000.0,893.3312808310613
990.52,128,1065,0.5107039096057415,0.001,112188,638.3844680599999,-37.92455266571045,106,113188,,
,,,0.5163267525732518,0.001,114188,,-38.572665725708006,,115000,1000.0,813.043180641532
998.86,132,1107,0.5147371352612973,0.001,116188,652.85575518,-39.35312382507324,105,117188,,
,,,0.5104022569209338,0.001,119188,,-40.623027030944826,,120000,1000.0,468.1420895696647
998.86,136,1147,0.5003910465240479,0.001,120188,669.8525085499999,-40.97442493438721,105,121188,,
